标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总�����额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14
【包装设计】垃圾袋的包装设计,https://task.epwk.com/1120031/,14人,1人,¥900,圆满完成,o5f6d607cb1281,已经确定合作，按双方沟通为准,2025.04.23,2025.04.24,任务编号：1120031,￥900,2天,河南省-郑州市,企大咖科技,https://shop.epwk.com/v0n1x4wwx57y/,企大咖科技,出售服务,https://shop.epwk.com/v0n1x4wwx57y/chushou/,企业,一品,79分,总 60 次中标，交易总金额,￥18.4万,企大咖科技,,PPT策划定制,"￥99
            /起",【企大咖】品牌策划/品牌理念/产品口号/产品卖点,"￥1999
            /起",【企大咖】VI视觉识别系统/VI基础/VI应用,"￥599
            /起",【企大咖】产品包装设计/食品包装设计/礼品包装设计,"￥399
            /起",【企大咖】画册设计/高端折页设计/PPT设计/H5设计,"￥399
            /起",【企大咖】电商设计/三维建模/详情页设计/合成,"￥199
            /起",【企大咖】节日海报/朋友圈海报/创意营销海报/平面设计,"￥99
            /起",【企大咖】企业网站/小程序开发/H5开发/微信公众号开发,"￥999
            /起",【企大咖】朋友圈短视频拍摄制作,"￥399
            /起",【企大咖】企业宣传片/微电影/TVC广告片/产品宣传片,"￥1999
            /起"
【包装设计】洗发水的包装设计（首付款）,https://task.epwk.com/1119766/,86人,1人,"¥2,100",圆满完成,o5f6d607cb1281,"称呼：张先生地区: 广东，广东服务商优先需求: 青少年洗发水的logo,包装设计，品牌名称：牧婴宝 ，要求做过母婴产品，儿童护肤品，儿童洗发水沐浴露的服务沟通。先提供类似产品的案例 。服务商提供过往案例、报价预算: 看服务商报价时间：未定备注：微信是手机号",2025.04.22,2025.04.22,任务编号：1119766,￥2100,50天,广东省-深圳市,楷峰文化,https://shop.epwk.com/j7n38qo0o5e1/,楷峰文化,出售服务,https://shop.epwk.com/j7n38qo0o5e1/chushou/,工作室,一品,92分,总 73 次中标，交易总金额,￥27.72万,楷峰文化,,产品外观设计 深圳公司,"￥8000
            /起",包装设计 深圳公司,"￥3500
            /起",创意商业摄影 深圳公司,"￥5000
            /起",,,,,,,,,,,,,,
【包装设计】减脂产品的包装设计首付款,https://task.epwk.com/1119760/,42人,1人,"¥1,500",圆满完成,o5f6d607cb1281,减脂产品的包装设计，具体按照谈好设计,2025.04.22,2025.04.22,任务编号：1119760,￥1500,30天,广东省-深圳市,楷峰文化,https://shop.epwk.com/j7n38qo0o5e1/,楷峰文化,出售服务,https://shop.epwk.com/j7n38qo0o5e1/chushou/,工作室,一品,92分,总 73 次中标，交易总金额,￥27.72万,楷峰文化,,产品外观设计 深圳公司,"￥8000
            /起",包装设计 深圳公司,"￥3500
            /起",创意商业摄影 深圳公司,"￥5000
            /起",,,,,,,,,,,,,,
【包装设计】汽车透镜包装设计,https://task.epwk.com/1119758/,10人,1人,¥700,圆满完成,o5f6d607cb1281,汽车透镜包装设计，具体按照谈好设计,2025.04.22,2025.04.22,任务编号：1119758,￥700,20天,广东省-深圳市,楷峰文化,https://shop.epwk.com/j7n38qo0o5e1/,楷峰文化,出售服务,https://shop.epwk.com/j7n38qo0o5e1/chushou/,工作室,一品,92分,总 73 次中标，交易总金额,￥27.72万,楷峰文化,,产品外观设计 深圳公司,"￥8000
            /起",包装设计 深圳公司,"￥3500
            /起",创意商业摄影 深圳公司,"￥5000
            /起",,,,,,,,,,,,,,
【产品外观设计】复合移动机器人外观重构（预付款）,https://task.epwk.com/1119648/,12人,1人,"¥7,500",圆满完成,水上景色,复合移动机器人外观重构（预付款）,2025.04.21,2025.04.21,任务编号：1119648,￥7500,30天,天津市-市辖区,斑点设计,https://shop.epwk.com/p05qj3gqrdev/,斑点设计,出售服务,https://shop.epwk.com/p05qj3gqrdev/chushou/,企业,四品,54分,总 3 次中标，交易总金额,￥2.29万,斑点设计,,【结构设计】外观结构设计样机批量加工【全方位】,"￥7999
            /起",【产品设计】外观结构设计样机批量加工【全方位】,"￥7999
            /起",【外观设计】外观结构设计样机批量加工【全方位】,"￥7999
            /起",【钣金机柜】外观结构设计样机批量加工【全方位】,"￥100
            /起",【手板模型】外观结构设计样机批量加工【全方位】,"￥100
            /起",【工业设备】外观结构设计样机批量加工【全方位】,"￥100
            /起",【机械设备】外观结构设计样机批量加工【全方位】,"￥100
            /起",【工业仪器】外观结构设计样机批量加工【全方位】,"￥100
            /起",【医疗设备】外观结构设计样机批量加工【全方位】,"￥100
            /起",【智能驾驶】外观结构设计样机批量加工【全方位】,"￥100
            /起"
【LOGO设计】公司LOGO设计,https://task.epwk.com/1119528/,335人,3人,¥200,圆满完成,宸起阁M6lis,青岛传音财税有限公司LOGO设计， 价格200时间一周内完成主要是高级感和跟财税相关的简约一点,2025.04.20,2025.04.22,任务编号：1119528,￥200,1天,辽宁省-沈阳市,誉冠设计,https://shop.epwk.com/89dvgvx44dl2/,誉冠设计,出售服务,https://shop.epwk.com/89dvgvx44dl2/chushou/,企业,四品,66分,总 49 次中标，交易总金额,￥4.69万,誉冠设计,,专业包装设计,价格面议,专业排版设计,价格面议,专业vi设计,价格面议,专业海报设计,价格面议,专业宣传册设计,价格面议,logo设计,价格面议,,,,,,,,
【包装设计】产品包装设计尾款,https://task.epwk.com/1119280/,40人,1人,"¥1,200",圆满完成,vitorru,需求:现有三个产品，接下来会针对调九大类慢病的非遗的特效产品进行设计，目前要先设计妇科药酒，这款是马上要上市的，产品用于调理妇科疾病的，900ML一个疗程，一天30ML，打算设计成礼盒形式，里面三个小瓶装，打算用手绘，国潮风设计，具体按照谈好设计,2025.04.18,2025.04.21,任务编号：1119280,￥1200,7天,山东省-烟台市,素造创意,https://shop.epwk.com/m7d7w92qy5q8/,素造创意,出售服务,https://shop.epwk.com/m7d7w92qy5q8/chushou/,企业,一品,93分,总 223 次中标，交易总金额,￥56.76万,素造创意,,LOGO设计,"￥1680
            /起",品牌vi设计,"￥9800
            /起",形象IP设计,"￥5800
            /起",餐饮全案设计,"￥18800
            /起",品牌包装设计,"￥2000
            /起",品牌空间设计,"￥10000
            /起",,,,,,,,
【包装设计】海鲜干货包装设计尾款,https://task.epwk.com/1119279/,10人,1人,¥600,圆满完成,vitorru,称呼:刘先生地区:山东威海需求:海鲜干货，里面是罐装的，有提供参考的，想设计类似的盒型，主要是针对那种外地来威海旅游可以带走的一些礼品，一些伴手礼之类的。,2025.04.18,2025.04.21,任务编号：1119279,￥600,7天,山东省-烟台市,素造创意,https://shop.epwk.com/m7d7w92qy5q8/,素造创意,出售服务,https://shop.epwk.com/m7d7w92qy5q8/chushou/,企业,一品,93分,总 223 次中标，交易总金额,￥56.76万,素造创意,,LOGO设计,"￥1680
            /起",品牌vi设计,"￥9800
            /起",形象IP设计,"￥5800
            /起",餐饮全案设计,"￥18800
            /起",品牌包装设计,"￥2000
            /起",品牌空间设计,"￥10000
            /起",,,,,,,,
【PPT设计】活动PPT制作,https://task.epwk.com/1119043/,239人,1人,¥500,圆满完成,epqihua,活动PPT制作，具体以沟通好为准,2025.04.16,2025.04.25,任务编号：1119043,￥500,3天,重庆市-市辖区,文心艺境,https://shop.epwk.com/81n41ggxonp6/,文心艺境,出售服务,https://shop.epwk.com/81n41ggxonp6/chushou/,企业,五品,87分,总 9 次中标，交易总金额,￥1.26万,文心艺境,,设计类丨LOGO标志,价格面议,设计类丨VI视觉应用,价格面议,设计类丨画册设计,价格面议,设计类丨包装设计,价格面议,设计类丨3D建模渲染,价格面议,设计类丨电商设计,价格面议,视频类丨剪辑后期,价格面议,视频类丨MG二维动画,价格面议,视频类丨特效包装,价格面议,,
【LOGO设计】app的logo设计,https://task.epwk.com/1118364/,30人,1人,¥500,圆满完成,o5f6d607cb1281,已经确定合作，具体按双方沟通为准,2025.04.11,2025.04.11,任务编号：1118364,￥500,500天,河北省-张家口市,众视佳品牌视觉设计,https://shop.epwk.com/2j5jj74pz5pz/,众视佳品牌视觉设计,出售服务,https://shop.epwk.com/2j5jj74pz5pz/chushou/,企业,六品,47分,总 12 次中标，交易总金额,￥8095.60,众视佳品牌视觉设计,,台历企业宣传海报日历台历新年贺卡节日贺卡包装节日海报设计,"￥100
            /起",网店装修详情页主图直通车主图产品首图主图商品主图设计,"￥50
            /起",设计服务包年-总监设计师美工外包设计师包月美工,"￥12980
            /起",设计服务包年-资深设计师美工外包设计师包月美工,"￥8980
            /起",设计服务包年-新锐设计师美工外包设计师包月美工,"￥6980
            /起",设计服务半年合作-随机设计师美工外包设计师包月美工,"￥5980
            /起",设计服务季度合作-随机设计师美工外包设计师包月美工,"￥3980
            /起",设计服务包月-资深设计师美工外包设计师包月美工,"￥2980
            /起",设计服务包月-新锐设计师美工外包设计师包月美工,"￥1980
            /起",短视频点赞美团大众点评店铺装修团购图片详情页美工轮播头图设计,"￥1280
            /起"
