ID,degree
能力,0
设计,1
开发,1
视频,1
营销,1
文案,1
装修,1
生活 ,1
企业服务,1
创意设计,2
工业设计,2
视觉设计,2
宣传品设计,2
电商设计,2
卡片设计,2
动漫设计,2
产品/UI设计,2
网站开发,2
软件开发,2
行业解决方案,2
企业管理软件,2
工具软件,2
人工智能,2
VR/AR,2
技术服务,2
游戏,2
智能硬件,2
元宇宙,2
视频制作,2
短视频,2
网红营销,2
动画制作,2
影视后期,2
图像摄影,2
VR/AR,2
视频内容创作,2
网络推广,2
营销策划,2
搜索引擎营销,2
事件/场景营销,2
社媒营销,2
电商代运营,2
广告文案,2
品牌/产品文案,2
社交媒体,2
内容创作,2
起名取名,2
家装设计,2
建筑设计,2
公装设计,2
定制家居,2
生活服务,2
外包接单,2
专业人才,2
翻译,2
商标业务,2
版权业务,2
专利申请,2
公司财税,2
法律服务,2
广告会展,2
科技服务,2
LOGO设计,3
VI设计,3
海报设计,3
包装设计,3
交互设计,3
H5设计,3
PPT设计,3
礼品设计,3
台历设计,3
吉祥物设计,3
书籍装帧,3
班徽设计,3
签名设计,3
工业产品设计,3
产品结构设计,3
产品外观设计,3
家电数码,3
日用百货,3
家居建材,3
机械设备,3
3D建模,3
3D打印,3
服装设计,3
电路设计,3
其他工业设计,3
字体设计,3
封面设计,3
广告设计,3
展示设计,3
彩页设计,3
排版设计,3
横幅设计,3
宣传册设计,3
宣传单设计,3
招牌设计,3
展台设计,3
标签设计,3
易拉宝/展架设计,3
纸杯设计,3
手提袋设计,3
背景墙设计,3
喷绘写真制作,3
其他宣传品设计,3
画册设计,3
店铺装修,3
主图设计,3
店招设计,3
店铺海报设计,3
详情页设计,3
活动页设计,3
名片设计,3
会员卡设计,3
明信片设计,3
贺卡设计,3
PVC卡制作,3
其他设计,3
插画设计,3
漫画设计,3
卡通形象设计,3
表情设计,3
动漫角色设计,3
动漫其他,3
产品原型设计,3
软件U1设计,3
网站U设计,3
APP界面设计,3
外贸网站,3
门户网站,3
商城建设,3
定制开发,3
响应式网站,3
企业官网,3
电商网站,3
营销型网站,3
手机网站,3
网站二次开发,3
其他网站,3
模板建站,3
区块链应用,3
APP开发,3
H5开发,3
SAAS软件,3
微信开发,3
小程序开发,3
嵌入式软件,3
其他软件开发,3
金融,3
通讯通信,3
电商,3
直播,3
商业贸易,3
工程建筑,3
行政管理,3
医疗健康,3
生活家政,3
教育教学,3
旅游出行,3
餐饮,3
其他行业,3
ERP系统,3
OA系统,3
财务管理系统,3
项目管理软件,3
分销管理软件,3
物业管理软件,3
智能家居软件,3
安监系统软件,3
其他管理软件,3
采集工具,3
通讯聊天,3
安全卫士,3
影音播放,3
阅读/图像,3
系统工具,3
其他工具软件,3
语音识别,3
AI接口,3
AIGC技术,3
可视化,3
数据存储,3
数据处理,3
自然语音处理,3
机器学习,3
人脸识别,3
多媒体AI,3
图像识别,3
刷脸支付,3
数据采集,3
数据分析,3
其他人工智能,3
VR娱乐,3
VR游戏,3
VR地产,3
VR旅游,3
VR场景,3
其他VR/AR,3
测试服务,3
API接口,3
脚本开发,3
数据库设计,3
前端开发,3
后端开发,3
安全服务,3
域名/云服务,3
T解决方案,3
运维服务,3
短信服务,3
手游开发,3
页游/端游开发,3
游戏策划,3
游戏UI设计,3
游戏测试报告,3
游戏上架,3
游戏代练,3
游戏建模,3
游戏其他,3
MES,3
MIS,3
物联网,3
机器人,3
电子设备,3
PCBA,3
虚拟人,3
数字展厅,3
虚拟会议,3
虚拟直播,3
线上教育,3
更多场景定制,3
企业宣传片,3
广告片/MV,3
产品视频,3
影视拍摄,3
视频定制,3
创意短视频,3
Vlog/微电影,3
其他短视频,3
短视频营销,3
直播卖货,3
短视频代运营,3
直播策划,3
达人探店,3
二维动画,3
三维动画,3
动画设计,3
动画制作,3
剪辑服务,3
配音配乐,3
后期制作,3
产品拍摄,3
图片处理,3
VR拍摄/制作,3
VR效果图,3
VR/AR/MR,3
3D效果图,3
3D视频,3
剧本创作,3
视频脚本,3
视频旁白,3
剧情类视频创作,3
治愈类视频创作,3
创意类视频创作,3
微信推广,3
视频推广,3
公众号推广,3
APP推广,3
小程序推广,3
网店推广,3
产品推广,3
新媒体推广,3
活动策划,3
整合营销,3
电话调查,3
品牌策划,3
地推,3
营销解决方案,3
关键词优化,3
广告工具使用,3
SEO排名优化,3
新闻营销,3
专业背书营销,3
节日营销活动,3
产品发布会,3
品牌体验活动,3
信息流,3
社媒内容创作,3
