标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【数据采集】一键选股,https://task.epwk.com/1121371/,60人,1人,¥2000,待验收,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】AGV小车,https://task.epwk.com/1089088/,230人,1人,¥10,待验收,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI战略】制造业智能化转型AI战略,https://task.epwk.com/1119641/,7人,1人,¥15000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【DeepSeek】智能客服系统需求,https://task.epwk.com/1119632/,28人,1人,¥10000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】一键选股,https://task.epwk.com/1121371/,60人,1人,¥2000,待验收,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】AGV小车,https://task.epwk.com/1089088/,230人,1人,¥10,待验收,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI战略】制造业智能化转型AI战略,https://task.epwk.com/1119641/,7人,1人,¥15000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【DeepSeek】智能客服系统需求,https://task.epwk.com/1119632/,28人,1人,¥10000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AIGC技术】生成视频内容软件,https://task.epwk.com/1116485/,50人,1人,¥30000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】特定性领域的语音识别功能,https://task.epwk.com/1116488/,4人,1人,¥10000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
