标题,browser,字段1,价格,status
【版权变更】变更办理,700人,1人,¥400,圆满完成
【广告业】广告制作/印刷/写真/喷绘/标识制作/物料制作,570人,1人,¥20000,圆满完成
【广告业】百度/360/搜狗下拉框,1994人,1人,¥45,圆满完成
【广告业】广告制作/印刷/写真/喷绘/标识制作/物料制作,452人,1人,¥20000,圆满完成
【商标注册】商标申请,683人,1人,¥5000,圆满完成
【广告业】广告制作/印刷/写真/喷绘/标识制作/物料制作,617人,1人,¥20000,圆满完成
【广告业】广告制作/印刷/写真/喷绘/标识制作/物料制作,381人,1人,¥20000,圆满完成
【广告业】展会设计,336人,1人,¥20000,圆满完成
【广告业】建筑logo设计,613人,1人,¥20000,圆满完成
【广告业】企业中秋国庆活动策划制作,760人,1人,¥40000,圆满完成
【广告业】店庆物料设计制作,310人,1人,¥20000,圆满完成
【商标注册】商标注册,476人,1人,¥1500,圆满完成
【广告业】保健品包装制作,307人,1人,¥10000,圆满完成
【广告业】保健品包装制作预付款,283人,1人,¥10000,圆满完成
【广告业】节日礼盒包装设计,451人,1人,¥10000,圆满完成
【广告业】产品手提袋设计制作,548人,1人,¥20000,圆满完成
【广告业】眼镜店包装盒制作印刷,293人,1人,¥20000,圆满完成
【公司注册】代理记账小程序开发,1048人,1人,¥2000,圆满完成
【商标注册】商标设计,816人,1人,¥5000,圆满完成
【项目申报】高新技术企业认定咨询,1086人,1人,¥9460,圆满完成
【商标注册】我想给自己的酒坊注册一个白酒logo,842人,1人,¥400,圆满完成
【企业法务】危机公关、负面处理、百度知道贴吧、站点品牌围墙建设。,880人,1人,¥4500,圆满完成
【版权登记】社交、聊天app,2238人,1人,¥28500,圆满完成
【版权登记】版权登记、商标注册、前端开发、后端接口开发、软件测试、数据库设计、网站UI设计、会展服务等,1152人,1人,¥1500,圆满完成
【广告业】申请微信，支付宝，银行的支付接口。,1760人,1人,¥800,圆满完成
【版权登记】ICP经营许可证，文网文、EDI、游戏资质 支持全国代办，可加急办理,1539人,1人,¥10,圆满完成
【项目申报】网络文化经营许可证，支持全国代办，性价比高,1102人,1人,¥10,圆满完成
【商标注册】企查查 商标查询,3140人,1人,¥2500,圆满完成
【风险评估】UL美国进口认证,1044人,1人,¥9300,圆满完成
【项目申报】出口德国一批压缩机，需要认证,869人,1人,¥9200,圆满完成
,,,,
【风险评估】压缩机认证UL转CCC,966人,1人,¥8920,圆满完成
【风险评估】进口压缩机认证,836人,1人,¥7000,圆满完成
【风险评估】压缩机认证,761人,1人,¥7820,圆满完成
【项目申报】压缩机CCC认证,887人,1人,¥9000,圆满完成
【风险评估】50匹压缩机进口,994人,1人,¥9850,圆满完成
【风险评估】25匹压缩机认证,798人,1人,¥9800,圆满完成
【风险评估】需要一批进口热力膨胀阀,1062人,1人,¥9000,圆满完成
【商标注册】商标注册LOGO设计,1708人,1人,¥1500,圆满完成
【公司注册】财务分析助理,2633人,1人,¥12200,圆满完成
【风险评估】出口12匹压缩机,813人,1人,¥8700,圆满完成
【会议服务】交流会议筹备,1211人,1人,¥15000,圆满完成
【项目申报】美国标准培训,847人,1人,¥9520,圆满完成
【会议服务】会议设计与筹备,1351人,1人,¥9950,圆满完成
【项目申报】进口压缩机50匹两台,648人,1人,¥9240,圆满完成
【项目申报】50匹压缩机一个,907人,1人,¥8080,圆满完成
【展会服务】10月21日数据中心云计算展会搭建,1711人,1人,¥48000,圆满完成
【风险评估】出口压缩机认证,825人,1人,¥9850,圆满完成
【风险评估】25匹压缩机研发辅助,974人,1人,¥9500,圆满完成
【会议服务】技术分享会议组织,1254人,1人,¥14800,圆满完成
【公司注册】财务分析助理,1492人,1人,¥10900,圆满完成
【风险评估】节后第一单具体见邮件,1047人,1人,¥8300,圆满完成
【会议服务】会议设计与筹备,1093人,1人,¥15000,圆满完成
【公司注册】三季度财务报表分析,2163人,1人,¥21000,圆满完成
【公司注册】财务分析助理,1580人,1人,¥17500,圆满完成
【会议服务】国庆庆功会组织与设计,1233人,1人,¥20000,圆满完成
【风险评估】进口美国压缩机25hp4台,781人,1人,¥9800,圆满完成
【风险评估】出口美国50ph压缩机,703人,1人,¥9750,圆满完成
【代理记账】出口德国100台压缩机,1765人,1人,¥8900,圆满完成
【广告业】注册，下载，登陆,1348人,1人,¥400,圆满完成
【广告业】注册，下载，登陆,992人,1人,¥400,圆满完成
,,,,
【项目申报】进口十台125匹压缩机,704人,1人,¥10200,圆满完成
【风险评估】出口压缩机12hp,813人,1人,¥9000,圆满完成
【风险评估】美国出口认证,700人,1人,¥8000,圆满完成
【风险评估】德国GS＋Rohs,711人,1人,¥9000,圆满完成
【风险评估】出口美国需要认证,760人,1人,¥10000,圆满完成
【公司注册】租地址租地址,976人,1人,¥10000,圆满完成
【公司注册】租地址租地址,1091人,1人,¥10000,圆满完成
【项目申报】压缩机控制系统测试认证,634人,1人,¥7400,圆满完成
【代理记账】记账,4149人,1人,¥198,圆满完成
【风险评估】详情见邮件,882人,1人,¥8000,圆满完成
【项目申报】需要一批进口压缩机并完成CCc认证,588人,1人,¥15000,圆满完成
【法律咨询】需要两个型号的压缩机认证,1015人,1人,¥8200,圆满完成
【发明专利】出口洗衣机,1509人,1人,¥8800,圆满完成
【会议服务】AWS分享会议组织,1059人,1人,¥15000,圆满完成
【项目申报】一批出口欧洲的产品，家电,697人,1人,¥14000,圆满完成
【项目申报】欧盟最新RoHS、Eco-design培训,514人,1人,¥14900,圆满完成
【展会服务】公司宣传设计,1778人,1人,¥3650,圆满完成
【项目申报】认证培训服务,695人,1人,¥4490,圆满完成
【外观设计专利】Vde冰箱整机认证,1214人,1人,¥4800,圆满完成
【风险评估】5款冰箱,1165人,1人,¥21000,圆满完成
【发明专利】发明专利申请和授权,2341人,1人,¥23900,圆满完成
【风险评估】UL电器服务认证,831人,1人,¥19500,圆满完成
【风险评估】代理电子电器ul认证,717人,1人,¥12130,圆满完成
【发明专利】专利申请服务,1759人,1人,¥12000,圆满完成
【项目申报】企业专项培训,947人,1人,¥20000,圆满完成
【风险评估】德杰电器认证服务,752人,1人,¥19800,圆满完成
【项目申报】Eco-design培训,771人,1人,¥13050,圆满完成
【风险评估】代理电子电器ul认证,923人,1人,¥19900,圆满完成
【风险评估】软件认证,1051人,1人,¥20950,圆满完成
【风险评估】冰箱出口认证,993人,1人,¥16000,圆满完成
,,,,
【项目申报】欧盟最新RoHS、Eco-design培训,482人,1人,¥19900,圆满完成
【项目申报】保质保量,604人,1人,¥19200,圆满完成
【项目申报】ROHS最新认证服务,508人,1人,¥19900,圆满完成
【项目申报】Iec培训,483人,1人,¥18000,圆满完成
【项目申报】欧盟最新RoHS、Eco-design培训,477人,1人,¥19200,圆满完成
【项目申报】培训教材设计,666人,1人,¥19200,圆满完成
【项目申报】项目申报,1099人,1人,¥10000,圆满完成
【项目申报】ROHS认证检测报告,617人,1人,¥20000,圆满完成
【软件著作权】计算机软件著作权加急代理申请登记编写 实用型专利软著证书办理,1131人,1人,¥350,圆满完成
【风险评估】集团公司内部系统整顿,1748人,1人,¥50000,圆满完成
【会议服务】年会邀请支持费用,1129人,1人,¥10000,圆满完成
【法律文书】撰写网站法律文书,2265人,1人,¥23400,圆满完成
【会议服务】会议设计与筹备,1096人,1人,¥5000,圆满完成
【会议服务】会议设计与筹备,1070人,1人,¥5000,圆满完成
【代理记账】财务分析助理,2209人,1人,¥1990,圆满完成
【税收筹划】财务分析助理,1552人,1人,¥1990,圆满完成
【会议服务】年会布置与支持,1024人,1人,¥23600,圆满完成
【会议服务】会议设计与筹备,1230人,1人,¥30000,圆满完成
【公司注册】公司报税和季报整理,2201人,1人,¥26100,圆满完成
【税收筹划】财务分析助理,1002人,1人,¥1960,圆满完成
【公司注册】开发一个简单的在线财务报表软件,1263人,1人,¥1996,圆满完成
【税收筹划】财务分析助理,1064人,1人,¥1984,圆满完成
【会议服务】主题会议布置,1446人,1人,¥27800,圆满完成
【工商变更】财务分析助理,1050人,1人,¥1997,圆满完成
【商标注册】财务分析助理,1276人,1人,¥1864,圆满完成
【商标注册】【心橙创品牌】商标注册/版权登记/专利申请／商标续展／驳回复审／异议答辩／商标变更,1381人,1人,¥10000,圆满完成
【公司注册】财务分析助理,1146人,1人,¥1200,圆满完成
【商标注册】【心橙创品牌】商标注册/版权登记/专利申请／商标续展／驳回复审／异议答辩／商标变更,1296人,1人,¥1000,圆满完成
【会议服务】小型会议布置,1170人,1人,¥17300,圆满完成
【商标注册】【心橙创品牌】商标注册/版权登记/专利申请,1143人,1人,¥3000,圆满完成
,,,,
【公司注册】网站快速备案 域名ICP备案 域名开站备案,839人,1人,¥3300,圆满完成
【公司注册】季度财报处理和税收管理,1040人,1人,¥17500,圆满完成
【代理记账】日本亚马逊礼品卡代购,1484人,1人,¥1850,圆满完成
【代理记账】简动文创全年会计代理,3565人,1人,¥46510,圆满完成
【商标注册】【心橙创品牌】商标注册/版权登记/专利申请,1238人,1人,¥5000,圆满完成
【公司注册】公司注册和报税,1642人,1人,¥22000,圆满完成
【公司注册】季度财报整理,1909人,1人,¥21500,圆满完成
【商标注册】【心橙创品牌】商标注册/版权登记/专利申请,1038人,1人,¥4000,圆满完成
【代理记账】公司全年财务委托,3446人,1人,¥30030,圆满完成
【公司注册】网站备案,1258人,1人,¥380,圆满完成
【税收筹划】为我公司通过外部审计进行辅导,1212人,1人,¥11000,圆满完成
【商标注册】心橙创品牌商标注册/版权登记/专利申请,1221人,1人,¥1400,圆满完成
【广告业】易邮柜线下推广快递包裹柜硬广张贴 房地产医疗化妆减肥美妆金融服装等,1006人,1人,¥15000,圆满完成
【广告业】餐厅logo和VI设计,1005人,1人,¥3000,圆满完成
【商标注册】【心橙创品牌】商标注册/版权登记/专利申请,1269人,1人,¥2000,圆满完成
【公司注册】企业域名快速备案,978人,1人,¥430,圆满完成
【广告业】广告业务拓展,1388人,1人,¥26680,圆满完成
【税收筹划】自助建站,816人,1人,¥4500,圆满完成
【广告业】疯狂猜骰子 猜大小 猜点数 H5微信互动营销游戏开发h5,1557人,1人,¥15000,圆满完成
【广告业】疯狂猜骰子 猜大小 猜点数 H5微信互动营销游戏开发h5,1035人,1人,¥4950,圆满完成
【广告业】疯狂猜骰子 猜大小 猜点数 H5微信互动营销游戏开发h5,1030人,1人,¥4950,圆满完成
【广告业】易邮柜线下推广快递包裹柜硬广张贴,1048人,1人,¥10000,圆满完成
【广告业】易邮柜线下推广快递包裹柜硬广张贴,960人,1人,¥20000,圆满完成
【广告业】易邮柜线下推广快递包裹柜硬广张贴,1051人,1人,¥20000,圆满完成
【公司注册】企业域名快速备案,1764人,1人,¥120,圆满完成
【公司注册】个人域名快速备案,1305人,1人,¥260,圆满完成
【公司注册】域名快速备案处理,993人,1人,¥500,圆满完成
【公司注册】域名企业备案,830人,1人,¥380,圆满完成
【公司注册】域名快速备案处理,801人,1人,¥1500,圆满完成
"【商标注册】商标注册3大类，即35,29,43大类，每大类按大萝小椒的选10小类",1431人,1人,¥2490,圆满完成
,,,,
【税收筹划】需要一个了解肯尼亚的团队,806人,1人,¥10000,圆满完成
【会议服务】急需订购会议服务,1555人,1人,¥28768,圆满完成
【会议服务】诚意沟通过，布置会议,1238人,1人,¥25380,圆满完成
【会议服务】小型聚会摄影服务,1314人,1人,¥14200,圆满完成
【会议服务】合作多次，信誉保证,998人,1人,¥23550,圆满完成
【会议服务】大型会议摄影服务保障提供,1516人,1人,¥30000,圆满完成
【会议服务】急需购买服务,1039人,1人,¥20010,圆满完成
【会议服务】大型会议摄影服务,1062人,1人,¥25000,圆满完成
【商标注册】品牌商标注册,1210人,1人,¥200,圆满完成
【会议服务】急需订购会议,715人,1人,¥19880,圆满完成
【会议服务】购买多次，会议布置,639人,1人,¥18999,圆满完成
【会议服务】布置会议,528人,1人,¥16998,圆满完成
【会议服务】布置会议室,604人,1人,¥16100,圆满完成
【会议服务】布置会议室,653人,1人,¥14999,圆满完成
【代理记账】设计公司年度会计代理,1903人,1人,¥5400,圆满完成
【会议服务】重塑未来发布会,2589人,1人,¥150000,圆满完成
【会议服务】合作伴侣,606人,1人,¥13140,圆满完成
【会议服务】电话沟通过,721人,1人,¥4920,圆满完成
【会议服务】小会议室,475人,1人,¥2960,圆满完成
【会议服务】老朋友,555人,1人,¥9890,圆满完成
【会议服务】会议摄影记录,699人,1人,¥24000,圆满完成
【会议服务】已经电话沟通过,539人,1人,¥5088,圆满完成
【会议服务】会议摄影,633人,1人,¥24500,圆满完成
【会议服务】北京温泉国际酒店GJB5000D会议会务服务,1256人,1人,¥90000,圆满完成
【会议服务】会议摄影服务,813人,1人,¥26500,圆满完成
【商标注册】永正锂电商标设计和包装袋设计,981人,1人,¥500,圆满完成
【会议服务】会议摄影跟拍服务,566人,1人,¥22000,圆满完成
【会议服务】会议摄影服务,522人,1人,¥20800,圆满完成
【会议服务】会议摄像拍照,960人,1人,¥27000,圆满完成
【会议服务】北京友谊宾馆审计会议,849人,1人,¥40000,圆满完成
,,,,
【展会服务】年货展会广告活动策划,1234人,1人,¥50000,圆满完成
【会议服务】1000人国际会议论坛会务服务,1195人,1人,¥50000,圆满完成
【展会服务】大型会展摄影服务,724人,1人,¥19360,圆满完成
【会议服务】高级会议摄影服务,426人,1人,¥9660,圆满完成
【展会服务】展会交互会议UI设计,1144人,1人,¥45000,圆满完成
【展会服务】展台制作搭建,1980人,1人,¥100000,圆满完成
【展会服务】展台设计,1219人,1人,¥35000,圆满完成
【公司注册】我的公司需要注册,1241人,1人,¥1000,圆满完成
【展会服务】展会背景墙设计制作,707人,1人,¥8000,圆满完成
【会议服务】会议现场布置搭建,326人,1人,¥16000,圆满完成
【商标注册】企业商标代理注册,1510人,1人,¥11620,圆满完成
【工商变更】applied regression analysis lab5,845人,1人,¥625,圆满完成
【税收筹划】开发普票,1289人,1人,¥360,圆满完成
【展会服务】展会现场布置及设备,906人,1人,¥39000,圆满完成
【展会服务】活动现场策划及包装II,750人,1人,¥5000,圆满完成
【展会服务】活动现场策划及包装I,804人,1人,¥5000,圆满完成
【工商变更】网站认证,772人,1人,¥1000,圆满完成
【代理记账】代购,1068人,1人,¥15,圆满完成
【商标注册】企业Logo等,1226人,1人,¥500,圆满完成
,,,,
