标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【广告策划】家庭小伤口护理盒广告语征集,https://task.epwk.com/490107/,4280人,131人,¥100,圆满完成,单人悬赏,o58de58c2480b3,产品：家庭小伤口护理盒；品牌：栋栋。需要一广告语，广告语内容里要包含栋栋。比如：小伤口，找栋栋。,2017.04.07,2017.05.05,任务编号：490107,,,,笔下有余创意,https://shop.epwk.com/2j5jj2zo25pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】食品商标名称征集,https://task.epwk.com/490109/,2948人,105人,¥200,圆满完成,单人悬赏,o58e7****92190,食品商标名称取名1、能够保证在29，30，35类注册2、不能出现“敏”3、最好能提供后续注册服务，不能也没关系就是我麻烦一点食品包含：牛奶硬块糖（糖果）300032蛋白杏仁糖果300039咖啡300026茶300037糖*3000693005 蜂蜜3006 面包，糕点3007 方便食品3011 豆粉，食用面筋3012 食用淀粉及其制品 3013 食用冰，冰制品 3001 咖啡，咖啡代用品，可可,2017.04.07,2017.04.25,任务编号：490109,,,,中国商标设计在线,https://shop.epwk.com/m7d7ww6qv5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】公司名字征集,https://task.epwk.com/490001/,4057人,106人,¥100,圆满完成,单人悬赏,mf139****7266,公司起名，必须保证工商局验证通过1、我们公司主要经营有色金属、机电五金、金属材料、普通机械、五金交电、化工原料、针纺织品、塑料制品等；    2、我们想要取一个简单大气的名字，不要偏门奇怪的名字，不要随意拼凑，字数不宜超过五个，同时必须保证能够工商局注册通过；      3、同时名字设计需要考虑到后期商标设计的元素。,2017.04.07,2017.06.11,任务编号：490001,,,,意点品牌策划,https://shop.epwk.com/7lngqj21rdmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】家居日用品品牌商标取名,https://task.epwk.com/489924/,4247人,105人,¥200,圆满完成,单人悬赏,o58e5****69000,家居日用品使用 玻璃杯 保温杯 要求：1、2-3字内 名称简洁 顺口，易记。并可注册21类商标。查询好是否已经使用 2、有中、英文相对应的两种名称3、谢绝电脑取名的避免浪费精力 谢谢！,2017.04.06,2017.05.09,任务编号：489924,,,,金名创鑫,https://shop.epwk.com/4rn8q16qgngm/,金名创鑫,出售服务,https://shop.epwk.com/4rn8q16qgngm/chushou/,工作室,七品,37分,,,金名创鑫,,,,,,,,,,,,,,,,,,,
【产品卖点】产品文案撰写,https://task.epwk.com/489844/,2896人,13人,¥100,圆满完成,单人悬赏,o58e5f659b3947,1、分别向你家中的奶奶、妈妈以及小表妹（5-6岁），推荐或者说明陌陌这个APP。（每段文字不超过60字。） 2、看来毫不相关的两类事物，可以经由文案的巧思将它们入情入理的联系起来。（每段文字不超过150字）ü 口红和海豚 ü 柚子和美女 ü 素颜霜和撒哈拉沙漠,2017.04.06,2017.05.08,任务编号：489844,,,,这个名字不太冷,https://shop.epwk.com/3gd2m6rmgner/,这个名字不太冷,出售服务,https://shop.epwk.com/3gd2m6rmgner/chushou/,个人,九品,37分,,,这个名字不太冷,,,,,,,,,,,,,,,,,,,
【品牌起名】网站起名及网址域名征集,https://task.epwk.com/489633/,3265人,96人,¥200,圆满完成,单人悬赏,o58e50d2e23aa9,"网站主要从事百度下拉框/360下拉框等推广,及全网性的负面压制,,属网络推广的一类,自己想的名字,都不理想,想借用各位大神的智慧,帮忙给网站起名,及网址域名1.**营销,**推广,**优化,**网络:…… 类似这样的,不局限这几种,名字要感觉高端大气一些,正规一些,顺口一些,能诠释其意义2.要利于搜索引擎的搜索3.网址要好记,有意思,不要过长,和网站名有关系,最重要的就是不要被人注册过以上只是个人意见,各位大神请自由发挥即可如果那位朋友有LOGO设计,可以在提交稿件的时候说一下,价格另算的",2017.04.05,2017.06.08,任务编号：489633,,,,高阁雅依创意工作室,https://shop.epwk.com/p05qjor3ydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】女宝宝起名,https://task.epwk.com/489546/,6939人,148人,¥100,圆满完成,单人悬赏,o58e4b6eccba28,"鸡年女宝宝取名（包括小名），宝宝姓“张”，出生于农历2017年3月27日14点14分出生，体重6斤4两 父亲姓张，属虎农历1986年8月21日，母亲姓廖，属牛农历1985年4月13日一、名字要有内涵、简单、清新，不浮华，不使用生僻字,简洁大气，；用字要有意义，字型书写出来匀称好看，读起来朗朗上口，不拗口，不易重名，名字谐音没有不好的联想，能有特色最好，别出心裁或独具匠心，能使人过目难忘,印象深刻。 二、寓意要吉祥，听起来没有歧义,字义好。 三、名字要符合传统命理五行、五格数理格局。请结合周易五行八卦的算法、生辰八字、五行旺衰喜忌进行综合分析，三才配置要好。格数理最好全是吉数，避免有凶，交稿时附带详尽的名称寓意，命理分析，解释名字并说明名字和生辰八字的联系，提交详细的起名方案。 包括姓氏在内3个字",2017.04.05,2017.04.22,任务编号：489546,,,,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】生产制造公司名字征集,https://task.epwk.com/489456/,3019人,102人,¥100,圆满完成,单人悬赏,ceic2012,公司主要经营范围：半挂车、厢式车、自卸车、罐式车、粉粒物料运输车、低平板运输车、混凝土搅拌车、特种车生产、销售；全挂车生产、销售；汽车、拖拉机、农用车整车及配件设计、开发、制造、加工及销售；无人机、多功能飞行器及配件的生产、设计、开发、制造、销售及技术服务；无人机、多功能飞行器软件的设计、开发、销售；汽车、半挂车配件生产、销售；﻿﻿要求：1、名称响亮，易记，有含义，有创意但不失稳重，不要太俗气;(必需可以注册公司的)2、名字再2-3字之内。3、附上创意说明。,2017.04.05,2017.07.13,任务编号：489456,,,,万思新的商铺,https://shop.epwk.com/09drjxwl153w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】羊肉粉馆取名,https://task.epwk.com/489004/,8383人,152人,¥100,圆满完成,单人悬赏,mf156****1573,"羊肉粉馆取名，要求通俗，易记忆，能注册！知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.04.04,2017.07.31,任务编号：489004,,,,明尼苏达猪工作室,https://shop.epwk.com/81n41164onp6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】淘宝店、公司起名字,https://task.epwk.com/489003/,5583人,195人,¥120,圆满完成,单人悬赏,mf185****8412,淘宝店、公司起名字（卖单板滑雪板，还有滑雪服装、滑雪鞋等雪具）任务需求：淘宝店、公司起名字，可注册。店内主要卖单板滑雪板，还有滑雪服装、滑雪鞋等雪具。要求：1，名字4个字以内，最好1~2个字。2，要有创意，好记。3，必须能注册商标使用。4，28类。5，我店认为同行比较好的名字：冷山、瓷雪具、傲雪、雪圈雪具、零度……,2017.04.03,2017.06.23,任务编号：489003,,,,飞天文化,https://shop.epwk.com/v0n1x6lwk57y/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
