标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【品牌起名】陕西小吃命名,3313人,93人,¥100,圆满完成,Mr186****2165,我们主营陕西小吃，属于餐饮行业，比如凉皮，肉夹馍，羊肉泡馍，biangbiang面，油泼面，炒面、拉条子等，将来的模式是加盟连锁，除了到店消费，也外卖，目前有一家店。要求：1.名称新颖，能和大街上常规的命名区分开，比如，陕西小吃，军哥泡馍；2.有一些传统气息，毕竟陕西小吃历史悠久，源远流长，名称看上去有一定底蕴，像个有历史，有个性、有时间沉淀的店铺；3.照顾年轻消费群体的心理需求。4.能够在相关类目注册商标。,2016.04.23,2016.06.06,任务编号：417577,￥ 100,,byt_lei,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】糖尿病专业康复机构取名和广告语征集,2773人,48人,¥200,圆满完成,Mr137****6708,糖尿病这一世界性难题，在我公司（四川中航农业科技公司和成都万物升科技有限责任公司）专家团队的努力下，通过食物疗法，1-3个月修复胰岛细胞，彻底戒掉降糖药和胰岛素，是亿万糖尿病患者的福音！我们可跟患者签约治疗，没有达到签约效果，全额退款！要求：形象，容易记住，简单，便于推广，名字最好能够注册,2016.04.22,2016.07.02,任务编号：417374,￥ 200,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】厦门艾米贝贝科贸有限公司品牌起名,3077人,56人,¥100,圆满完成,mf181****8667,公司主要经营母婴用品，为公司纸尿裤取一个品牌名，名字有吸引力能够让宝宝，宝妈有深刻印象，有长远的品牌影响，有创意国际范,2016.04.22,2016.05.09,任务编号：417522,￥ 100,,竹叶常青设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】APP取名征集,3657人,75人,¥100,圆满完成,mf186****8878,您的任务是为一款社交类微信服务号取名（三个月后开发成app），目前面对的客群是同姓氏的宗亲会。一期上线的功能是，互助众筹及活动发起。二期开发成app，客群目标是百姓，当然宏大的未来目标用户群是全人类。命名规则必须符合是还未被注册的.com域名全拼，以及国家商标第9类未被注册过的。,2016.04.21,2016.05.24,任务编号：417352,￥ 100,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】水果品牌名称征集（在内蒙古）,3749人,86人,¥100,圆满完成,伟爷吉祥,"起一个水果品牌名称，公司在内蒙古。要求：1、名称响亮，易记，文雅，有创意但不失稳重;2、最好名字最多2-3个字之内，并可注册商标3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.04.21,2016.06.07,任务编号：417322,￥ 100,,锲卡设计,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】男装品牌名称征集,3002人,73人,¥300,圆满完成,nanzhuang,"本品牌主要是做男装，男装风格类似于：GXG 和太平鸟男装，主要做的是中端市场设计要求：1、大气、简洁、明快;2、有视觉冲击力，醒目易识别，突出服装品牌元素;3、名字可以是英文和中文，若是英文的话一定要有一个中文的名字4、附上创意说明，名字要能注册商标知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016.04.20,2016.05.27,任务编号：417044,￥ 300,,张佩浅,,,,,,,,,,,,,,,,,,,,,,,
【宣传策划】访谈国际金融理财策划师的新闻软文撰写,1758人,3人,¥100,圆满完成,海琳娜金融理财,"软文主要围绕“国际金融理财策划师”来写，要以采访一位生在武汉通过多年努力拿到国际金融理财策划师PASS和香港永久居民的青年女性励志故事，谈论她为什么要赖在香港发展，话题中从生活、工作方面，引出她所从事的香港保险的优势及已经投身的帮助高端客户进行海外资产配置的事业。考虑到很多威客对香港保险和海外资产配置不熟悉，需要详细了解则大家务必和我直接联系，我的QQ是575172656，邮箱是575172656@71712e636f6d 软文要求： 1、软文将用于发布在腾讯大楚网、新浪网、搜狐网等大网在当地的新闻类栏目，标题和内容绝对不能有广告味，要能引起点击和共鸣，能吸引网友参与讨论。 2、文章要有吸引力，有趣味性， 要站在高资产客户的角度来描写，帖子内容与标题给人感觉以成功人士追求自我价值实现、经验分享或消费指导为表现形式,以宣传推广我司业务（香港保险及海外资产配置）。 3、要求原创(不能在网上搜了抄袭)，文笔或专业，或幽默，或结合时事，具备新闻性皆可。不要做的太像推广。 4、附上创意说明。 知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承",2016.04.20,2016.05.13,任务编号：417141,￥ 100,,威威小妖,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】餐饮店铺起名,4170人,113人,¥100,圆满完成,a1471****8,我店坐落于重庆，经营餐饮娱乐一条龙、面积10000平米，需起一个大气的名字。要求原创。,2016.04.20,2017.01.17,任务编号：417065,￥ 100,,梦玑文字创意馆,工作室,七品,39分,,,品牌故事创作,价格面议,店铺名称设计,价格面议,宝宝名字设计,价格面议,广告语创作,价格面议,品牌名称设计,价格面议,,,,,,,,
【店铺/网店起名】高端女子会所取名,4554人,83人,¥100,圆满完成,mf181****9922,要求：清雅脱俗，高端大气上档次。(两个茶吧包房附带取名),2016.04.20,2016.08.06,任务编号：417067,￥ 100,,锲卡设计,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】激光投影仪品牌命名,3816人,65人,¥500,圆满完成,fjq15****0,1.名称可从多个角度命名，希望结合公司行业背景（核电和船舶)、企业文化、字音谐音方面多考虑，同时体现产品特色。2.品牌名称联想度高，朗朗上口，尽量避免生僻字。3.命名方案需可以注册，商标注册类别为：9，28，41，42四个大类别。,2016.04.20,2016.05.04,任务编号：417057,￥ 500,,楚韵意品品牌设计,企业,七品,40分,,,原创LOGO设计,价格面议,高端原创自适应企业网站开发,价格面议,企业VI设计,价格面议,活动宣传单设计,价格面议,画册设计,价格面议,名片设计,价格面议,,,,,,
