标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【品牌起名】大学生全能生活手册类 APP 征名！,https://task.epwk.com/1089151/,4228人,102人,"¥4,000",jmgzjb,￥ 4000,￥ 4000,2024.08.12,一、 APP定位： “大学生全能生活手册”类APP。目的：为大学生群体打造一款综合服务平台。应用场景：社交论坛、衣食住行、学业交流、二手交易、资源共享等。二、 APP功能：1、AI助手：智能对话与问答、搜索学习和生活资料；2、社交论坛：社交论坛、衣食住行、学业交流、二手交易、资源共享等功能；3、校内学习资源共享、课程表、记事本，学校生活指南、生活攻略等。三、APP征名要求1、一人可提交多个名称。2、名称新颖独特：能够瞬间吸引高校学生的注意，体现APP的核心价值与特色。3、简洁明了：可用汉字、英语缩写或单词，避免生僻字或复杂拼写，确保用户能够轻松记忆有联想并准确发音。汉字不超过5个字，英语不超过8个字母。4、保证原创：提交的名称必须为原创，且不能是已注册商标名称（须进行商标查重，查询第9类、第35类、第42类），商标查询网站（国家知识产权局商标局中国商标网）： https://wcjs.sbj.cnipa.gov.cn/home?b9La8sqW=0y.74JalqEou_WrDU94QISKFq1ZcStLS9BBWgS4swSn4ViYvFerO9EWQbJeab84Fc5u7kEGvXDhsy8JI4uo731O0JnZC17eqG 点击搜索”商标综合查询。5、可根据名称进行logo设计。6、所起名称中标并商标注册成功后，商标所有权和使用权等与之相关的权利归任务发起方所有。,任务编号：1089151,hencongmingde,纤尘繁星
【品牌起名】童装 商标起名,https://task.epwk.com/1085573/,3514人,97人,¥200,mf180****4815,￥ 200,￥ 200,2024.07.08,经营介绍： 主营小童，中童，大童日常穿着服装。客户人群以宝妈为主。产品主要类：1、小童，中童，大童日常服装2、拜年服，周岁礼服要求：1、名称响亮，易记，有创意。;(要注册商标)2、最好有中、英文两种名称，并可注册服装类类商标。3、附上创意说明。中标要求：保证原创以及能注册（需在商标网进行查询可注册并附截图再提交），请勿抄袭。,任务编号：1085573,晓云文匠,似幻11
【品牌起名】对一个品牌起个好听大气的名字,https://task.epwk.com/1084789/,4202人,161人,¥500,李医生,￥ 500,￥ 500,2024.06.30,我们是内蒙古做牛羊肉半成品的厂家，要建立一个品牌，想起个好听好记大气的名字，突出草原形象，内蒙特色。,任务编号：1084789,hencongmingde,南沙群岛设计策划咨询工作室
【广告策划】征集广告语,https://task.epwk.com/1081971/,2360人,81人,¥301,mf180****5945,￥ 301,￥ 301,2024.05.31,征集品牌广告语品牌名称：呱米行业：自助台球要求： 1、广告语要切合呱米台球行业的特点和品牌诉求； 2、广告语要主题鲜明、富有内涵； 3、能朗朗上口，为消费者所容易记忆和传诵； 4、广告语要结合自助台球行业，通过一句话、一段话或者词汇组合等不同方式，描画呱米品牌形象，塑造品牌新意义；,任务编号：1081971,蜜蜂工作室,武林设计
【品牌起名】餐厅店名,https://task.epwk.com/1080092/,2417人,103人,¥100,啥哇嘀卡,￥ 100,￥ 100,2024.05.13,面积：1100平地方：甘肃庆阳菜系: 品质湘菜定位: 有格调有内涵 商务会谈餐厅人均消费：150以内名字要求：有内涵，优雅，有档次。4个字以内。不一定在名字带湘和甘。体现品质优雅均可，让人感觉名字易记 有品味。,任务编号：1080092,时空巡使,米米文案
【产品卖点】涂料广告语征集,https://task.epwk.com/1075214/,2182人,104人,¥300,旧城以西1998,￥ 300,￥ 300,2024.03.25,"1、品牌：华南马
2、行业：建筑涂料
3、主要产品：仿石漆、艺术漆、水漆、砂浆腻子等。
 4、品牌简介：华南马，是一种源于中国传统文化，结合现代科技的高端涂料品牌。其以深厚的中国传统文化底蕴为支撑，以“马”作为品牌核心，寓意着中国华南马在涂料行业中奋蹄争先路，不断超越自我的精神，也象征着华南马将不断引领中国涂料行业向更高的方向发展。
5、广告语要求：结合品牌，十字以内！",任务编号：1075214,虎三,至尊齐铭
【宝宝起名】宝宝取名,https://task.epwk.com/1070186/,5149人,185人,¥300,o592a63a3449c4,￥ 300,￥ 300,2024.01.19,徐 宝宝起名，预计24年2月出生， 男，上海静安，要求2个名的，好读好写好记，押韵，例如  徐子龙 等,任务编号：1070186,躺星耀河,o5de8f6d85b53a
【店铺/网店起名】快餐店，征集品牌名、广告定位语、爆款菜名、品类名,https://task.epwk.com/1067124/,7464人,141人,¥605,o5c18****2f9c6,￥ 605,￥ 605,2023.12.15,"需求：浙江某一线城市快餐连锁餐厅（社区食堂），征集：广告定位语 + 餐厅名 + 爆款菜名 + 品类名（不想叫“社区食堂”） 特色：•          口味棒、绝对好吃、解馋——人间烟火气、锅气十足，不好吃全额退款•          高性价比、物美价廉——客单价20-30元左右、适合工作餐、社区中老年•          新鲜——不卖隔夜菜、没有冰箱、无须冷冻、就地就近取材•          卫生——干净全明档、可视化炒菜•          安全——大厨现炒、绝无预制菜、绝无转基因、绝无速成鸡、绝无速成猪，绝无添加剂、绝无核辐射海产品•          养生——著名中医教授顾问、药食同源养生菜谱、降糖低糖、清淡软烂、适合中老年•          推陈出新——周周有新菜，天天有惊喜•          美体瘦身——轻食减脂餐、增肌不长胖•          人群1——工薪阶层工作午餐：可餐位隔断一人食；外卖小哥、出租车司机午餐 •          人群2——独居老人可长期送三餐到家；出门即是，便捷就餐•          公司为公益组织、非盈利机构•          神秘大厨——大厨是“扫地僧级别”的国宴主厨，神秘隐居在社区食堂•          实惠————打菜大妈绝不手抖 创意要求：1、任一作品，必须直指上述特色之一2、用词大胆、接地气、有画面、自带想象、朗朗上口、有食欲；3、杜绝“安全、健康、卫生、新鲜…”等空洞词4、“广告定位语”一般不超10个字，“餐厅名、主打菜名、品类名”字数不限5、爆款菜名，以苏浙菜为基础，可大胆跨界  版权： 1、创意作品必须为投标者原创，且第一次发布，必须先查询国家商标局官网，且无侵权。 2、中标的创意作品，我方支付创意费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改,组合和应用；设计者不得再向其他任何地方使用该设计作品。",任务编号：1067124,草莓糖霜,名仕广告
【品牌起名】新型石材英文品牌取名,https://task.epwk.com/1064442/,4001人,125人,¥800,mf133****0310,￥ 800,￥ 800,2023.11.20,"目前我公司准备推广一款新型人造合成石材产品，1：产品主要用于室外，用途覆盖：建筑外墙（外饰面）External Facades, Exterior Clad; 室外家具桌面 Funiture Table Top ; 以及户外台面板 Outdoor Countertop。2：产品的主要特性有 抗紫外线 UV proof ,以及耐热 Heat Resistant.3：产品的原材料是精制黏土Clay ,Argilla。4：相类似的国际知名品牌有如下品牌名称网站Website原材料 MaterialCountryLUXYCLADhttps://www.luxyclad.com铝材料 AluminumCanadaCUPA PIZARRAShttps://www.cupapizarras.com板材 SlatesSpainEQUITONEhttps://www.equitone.com纤维水泥板 Fibre CementBelgiumRHEINZINKhttps://www.rheinzink.com锌材料 ZinkGERMANYParklex Prodemahttps://parklexprodema.com防火木 WoodSpainSwisspearlhttps://www.swisspearl.com纤维水泥板 Fibre CementNeolithhttps://www.neolith.com岩板 Sintered StoneSpain Dektonhttps://www.cosentino.com岩板 Sintered StoneSpainLaminamhttps://www.laminam.com岩板 Sintered StoneItalyDIRESCOhttps://www.diresco.be石英石 QuartzBelgium请根据以上信息帮取一个新品牌的英文名字，并释义。",任务编号：1064442,未来城市设计,麦阁AVkj0
【品牌起名】眼药水/鼻炎喷剂各起一个品牌名,https://task.epwk.com/1058115/,2017人,93人,¥100,开设堂Ef8Ox,￥ 100,￥ 100,2023.09.19,要求：起名跟产品相关，能联系到产品可注册商标（5类），不重复2-5个字商标查询地址：http://wcjs.sbj.cnipa.gov.cn/sistm,任务编号：1058115,雾谷设计,燕设一品
