标题,browser,字段1,价格,status
【其他内容创作】会议展览策划周年庆典年会开业产品推介会发布会促销活动物料,183人,1人,¥300,待验收
【专业代笔】文案撰写服务,642人,1人,¥200,待验收
【文学创作】文案撰写策划公司文学创作品牌文案活动策划广告语朋友圈文案,772人,1人,¥500,待验收
【专业代笔】会计本科学位撰写,5277人,1人,¥560,工作中
【专业代笔】写60字以上作文一篇,7898人,1人,¥100,待验收
【产品卖点】《从操场到职场》脚本,2144人,1人,¥200,待验收
【宣传策划】新闻稿文案撰写,2636人,1人,¥10,待验收
【品牌故事】百科竞答征集,2670人,1人,¥50,待验收
【项目策划】电子商务进社区策划书,2636人,1人,¥500,待验收
【宣传策划】活动方案,1684人,1人,¥450,待验收
【其他内容创作】aigc绘本生成,48人,1人,¥2400,圆满完成
【宣传策划】游戏推广文章写作,42人,1人,¥80,圆满完成
【自媒体软文】浣洗洗护自媒体营销推广软文,56人,1人,¥500,圆满完成
【商业提案】智能监控系统商业计划书撰写,546人,1人,¥3000,圆满完成
【广告口号】牛排西餐厅宣传广告口号,4人,1人,¥300,圆满完成
【专业代笔】淘宝开放平台奇门资质接入文档,121人,1人,¥1000,圆满完成
【营销推广软文】游戏推广文章写作,18人,1人,¥69,圆满完成
【广告口号】柑普茶广告宣传口号,3人,1人,¥300,圆满完成
【活动文案】弘扬传统文化活动文案,2人,1人,¥500,圆满完成
【自媒体软文】艺术培训学校软文撰写,17人,1人,¥300,圆满完成
【公关稿】草创堂野生松茸公关稿,8人,1人,¥800,圆满完成
【活动文案】生态农场休闲山庄活动策划文案,4人,1人,¥500,圆满完成
【公关稿】广西北海制药国发集团公关稿,9人,1人,¥500,圆满完成
【客户案例】官网首页客户案例展示,1人,1人,¥1000,圆满完成
【客户案例】品牌logo设计案例,1人,1人,¥500,圆满完成
【详情页文案】蜂蜜详情页文案,6人,1人,¥500,圆满完成
【详情页文案】新希望饮品详情页文案,2人,1人,¥1000,圆满完成
【种草文案】学习机种草文案,13人,1人,¥1000,圆满完成
【行业分析报告】预制菜行业分析报告,4人,1人,¥500,圆满完成
【公众号文章】石林贸易公众号文章撰写,46人,1人,¥500,圆满完成
,,,,
【公众号文章】西藏文化公众号文章撰写,46人,1人,¥300,圆满完成
【种草文案】护手霜种草文案,7人,1人,¥500,圆满完成
【行业分析报告】新能源汽车行业分析报告,9人,1人,¥1000,圆满完成
【商业提案】创业商业计划书融资策划书招商项目路演可行性研究报告代写作,136人,1人,¥1500,圆满完成
【商业提案】创业商业计划书融资策划书招商项目路演可行性研究报告代写作,11379人,1人,¥3000,圆满完成
【商业提案】服装行业商业计划书,89人,1人,¥2500,圆满完成
【商业提案】中医药宣传海报设计,382人,1人,¥2000,圆满完成
【其他内容创作】撰写研发技术战略PPT,597人,1人,¥4000,圆满完成
【宣传策划】在原有订单基础上增加PPT视频页面,253人,1人,¥200,圆满完成
【商业提案】需要做LOGO,368人,1人,¥20000,圆满完成
【产品卖点】PC18智能喷涂机产品文案策划,507人,1人,¥300,圆满完成
【专业代笔】负责APP推广，已经谈好,404人,1人,¥950,圆满完成
【宣传策划】笔记本设计,429人,1人,¥200,圆满完成
【营销推广软文】党建文化展示大纲,553人,1人,¥200,圆满完成
【公司起名】公司起名,289人,1人,¥100,圆满完成
【产品卖点】奇门仓储WMS入驻申请 PRD MRD 软件架构图,598人,1人,¥3000,圆满完成
【公司起名】公司起名,330人,1人,¥100,圆满完成
【专业代笔】代写投标方案,572人,1人,¥2400,圆满完成
【商业提案】全自动智能洗鞋机,459人,1人,¥2400,圆满完成
【其他内容创作】撰写PPT,392人,1人,¥1500,圆满完成
【营销推广软文】公众号代运营,509人,1人,¥18810,圆满完成
【营销推广软文】详情页文案品牌创意公司介绍PPT文案微信营销软文写作,350人,1人,¥1000,圆满完成
【其他内容创作】转正述职PPT,455人,1人,¥200,圆满完成
【商业提案】可行性研究报告定制,532人,1人,¥3800,圆满完成
【品牌故事】品牌故事文案写作软文写作产品创意文案策划编辑校对文学,449人,1人,¥1000,圆满完成
【品牌故事】品牌故事文案写作软文写作产品创意文案策划编辑校对文学,456人,1人,¥1000,圆满完成
【品牌故事】品牌故事文案写作软文写作产品创意文案策划编辑校对文学,419人,1人,¥1000,圆满完成
【营销推广软文】详情页文案品牌创意公司介绍PPT文案微信营销软文写作,321人,1人,¥1000,圆满完成
【品牌故事】品牌故事文案写作软文写作产品创意文案策划编辑校对文学,555人,1人,¥1000,圆满完成
【产品卖点】公众号代运营,360人,1人,¥22500,圆满完成
,,,,
【宣传策划】文案撰写,247人,1人,¥550,圆满完成
【宣传策划】企业文案视频策划,343人,1人,¥200,圆满完成
【专业代笔】剧本/脚本/解说词,339人,1人,¥100,圆满完成
【专业代笔】需要产品文案-短视频点赞推广文案,278人,1人,¥160,圆满完成
【商业提案】新时达短视频点赞脚本30秒,304人,1人,¥100,圆满完成
【商业提案】一种免补汽车轮胎的浙江省代理销售策划案,515人,1人,¥5000,圆满完成
【宣传策划】论文辅助,724人,1人,¥3500,圆满完成
【专业代笔】学宪法演讲稿,587人,1人,¥900,圆满完成
【商业提案】创业商业计划书融资策划书招商项目路演可行性研究报告代写作,490人,1人,¥3800,圆满完成
【宣传策划】文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案,539人,1人,¥588,圆满完成
【产品卖点】公众号运营专题及UI设计费用,443人,1人,¥15000,圆满完成
【宣传策划】编辑条短信内容,265人,1人,¥200,圆满完成
【营销推广软文】微信公众号上的宣传软文,444人,1人,¥800,圆满完成
【产品卖点】文案故事及书签故事,1091人,1人,¥1800,圆满完成
【其他内容创作】女生搞笑抖音剧本,816人,1人,¥200,圆满完成
【软文发布】十大门户套餐,397人,1人,¥5302,圆满完成
【软文发布】包收录媒体套餐,298人,1人,¥25824,圆满完成
【文学创作】独立项目2,786人,1人,¥300,圆满完成
【产品卖点】百科编撰,502人,1人,¥4800,圆满完成
【宣传策划】宣传文案,430人,1人,¥4000,圆满完成
【营销推广软文】软文代写,319人,1人,¥14596,圆满完成
【软文发布】包收录媒体套餐,539人,1人,¥46787,圆满完成
