标题,browser,字段1,价格,status
【英语】中文新闻稿件翻译成英文,208人,1人,¥357,圆满完成
【人力资源】公司岗位名称、头衔优化方案,283人,1人,¥100,圆满完成
【英语】视频脚本中文内容翻译成英文,269人,1人,¥220,圆满完成
【网络接单】APP反编译,313人,1人,¥1000,圆满完成
【旅游服务】微信小程序测试验证,958人,1人,¥100,圆满完成
【英语】中文资料翻译为英文,910人,1人,¥460,圆满完成
【旅游服务】小程序测试验证,531人,1人,¥100,圆满完成
【旅游服务】Sas兰花变异基因重组序列模型测试验证,426人,1人,¥4910,圆满完成
【旅游服务】Java虚拟机优化机制验证测试,367人,1人,¥3900,圆满完成
【旅游服务】Sas人流量模型2测试,278人,1人,¥1998,圆满完成
【旅游服务】Sas人流量预测模型验证测试,284人,1人,¥3998,圆满完成
【英语】紧急，翻译一篇英语故事,2016人,1人,¥8000,圆满完成
【日语】翻译一篇文献,1917人,1人,¥26500,圆满完成
【咨询服务】微信小程序制作，服务,768人,1人,¥1000,圆满完成
【英语】翻译儿童绘本,1185人,1人,¥29500,圆满完成
【英语】翻译一部科技文献,739人,1人,¥28000,圆满完成
【婚庆服务】安排一场婚礼庆典,651人,1人,¥29500,圆满完成
【英语】科技文献翻译,695人,1人,¥26500,圆满完成
【日语】将日语漫画翻译成中文,2001人,1人,¥23000,圆满完成
【网络接单】外卖平台代运营,1410人,1人,¥4000,圆满完成
【婚庆服务】安排婚礼,517人,1人,¥28000,圆满完成
【英语】翻译英语技术文档,536人,1人,¥25000,圆满完成
【英语】想把官网翻译成英文版,1337人,1人,¥350,圆满完成
【日语】技术文件的翻译,1025人,1人,¥16000,圆满完成
【口译】会议口译,766人,1人,¥49900,圆满完成
【口译】会议翻译,786人,1人,¥49800,圆满完成
【口译】会议翻译,604人,1人,¥49900,圆满完成
【口译】会议翻译,587人,1人,¥49000,圆满完成
【口译】会议翻译,642人,1人,¥49000,圆满完成
【口译】会议翻译,518人,1人,¥49800,圆满完成
,,,,
【口译】会议口译,626人,1人,¥49900,圆满完成
【口译】会议口译,418人,1人,¥49500,圆满完成
【口译】会议翻译口译,634人,1人,¥49800,圆满完成
【口译】会议翻译,407人,1人,¥49000,圆满完成
【口译】会议口译,285人,1人,¥49500,圆满完成
【口译】会议翻译,649人,1人,¥49800,圆满完成
【口译】会议口译,443人,1人,¥49800,圆满完成
【口译】会议翻译英文,446人,1人,¥49900,圆满完成
【英语】大型预制沉箱施工工艺翻译,599人,1人,¥6500,圆满完成
【口译】会议翻译,768人,1人,¥50000,圆满完成
【口译】会议翻译,377人,1人,¥49500,圆满完成
【口译】会议翻译口译,778人,1人,¥30000,圆满完成
【口译】会议翻译口译,412人,1人,¥49000,圆满完成
【口译】会议翻译,354人,1人,¥49800,圆满完成
【英语】翻译英文,1231人,1人,¥26000,圆满完成
【口译】医疗器械会议翻译,560人,1人,¥45000,圆满完成
【口译】会议翻译口译,555人,1人,¥49500,圆满完成
【口译】会议翻译,507人,1人,¥30000,圆满完成
【英语】翻译长期合作,720人,1人,¥9500,圆满完成
【口译】会议翻译同传,278人,1人,¥49600,圆满完成
【数据录入】文字录入,7452人,1人,¥690,圆满完成
【口译】会议翻译,350人,1人,¥36600,圆满完成
【口译】会议口译翻译航空领域,260人,1人,¥49500,圆满完成
【英语】医疗器械方向会议翻译,579人,1人,¥33500,圆满完成
【英语】翻译长期合作,695人,1人,¥17000,圆满完成
【口译】会议翻译，化工行业,626人,1人,¥48500,圆满完成
【英语】翻译一本英文书,1087人,1人,¥16000,圆满完成
【口译】会议翻译，航空方向,492人,1人,¥49500,圆满完成
【口译】会议翻译,351人,1人,¥47000,圆满完成
【招商加盟】招商加盟,999人,1人,¥19000,圆满完成
,,,,
【口译】商务洽谈翻译,533人,1人,¥48000,圆满完成
【英语】翻译长期合作,512人,1人,¥22000,圆满完成
【口译】会议洽谈翻译,404人,1人,¥48000,圆满完成
【口译】会议翻译,334人,1人,¥45000,圆满完成
【口译】商务会谈翻译,298人,1人,¥45000,圆满完成
【婚庆服务】设计一场浪漫的婚礼,704人,1人,¥17000,圆满完成
【口译】会议翻译,307人,1人,¥40000,圆满完成
【文化艺术服务】设计一款广告,795人,1人,¥6000,圆满完成
【口译】会议翻译,485人,1人,¥45000,圆满完成
【日语】翻译产品的说明书,1087人,1人,¥1500,圆满完成
【口译】口译翻译服务,509人,1人,¥32000,圆满完成
【口译】口译服务,311人,1人,¥41000,圆满完成
【口译】商业洽谈翻译,329人,1人,¥45000,圆满完成
【口译】高级口译,446人,1人,¥40000,圆满完成
【口译】英文翻译,427人,1人,¥35000,圆满完成
【口译】英文口译,288人,1人,¥25000,圆满完成
【英语】英文手册资料翻译,549人,1人,¥5000,圆满完成
【英语】资料翻译,628人,1人,¥20000,圆满完成
【口译】口译英文,1884人,1人,¥60000,圆满完成
【口译】英文口译,648人,1人,¥50000,圆满完成
【英语】英文资料翻译,3515人,1人,¥60000,圆满完成
【口译】会议翻译，化工英文,624人,1人,¥50000,圆满完成
【口译】会议翻译，化工英文口译,1039人,1人,¥60000,圆满完成
【口译】英文口译，化工方向,410人,1人,¥40000,圆满完成
【英语】会场翻译英文口译,689人,1人,¥50000,圆满完成
【口译】英文口译,336人,1人,¥40500,圆满完成
【口译】会议翻译英文,1183人,1人,¥60000,圆满完成
【口译】会议翻译,391人,1人,¥41000,圆满完成
【口译】英文口译,411人,1人,¥49000,圆满完成
【口译】英文口译,527人,1人,¥50000,圆满完成
,,,,
【英语】英文翻译，化工英语，口译,658人,1人,¥11000,圆满完成
【口译】会议翻译，化工英文，口译,291人,1人,¥18000,圆满完成
【口译】会议翻译，化工英语口译,559人,1人,¥50000,圆满完成
【口译】会议翻译化工英语,525人,1人,¥45000,圆满完成
【口译】化工英语会议口译,522人,1人,¥50000,圆满完成
【口译】会议翻译口译，化工方向,583人,1人,¥50000,圆满完成
【英语】翻译长期合作,803人,1人,¥28800,圆满完成
【英语】翻译长期合作,554人,1人,¥28600,圆满完成
【口译】会议英文翻译化工方向,485人,1人,¥40000,圆满完成
【英语】翻译长期合作,504人,1人,¥28300,圆满完成
【英语】翻译长期合作,481人,1人,¥27600,圆满完成
【英语】翻译长期合作,515人,1人,¥26500,圆满完成
【英语】翻译长期合作,514人,1人,¥27500,圆满完成
【英语】翻译长期合作,508人,1人,¥28500,圆满完成
【英语】翻译长期合作,489人,1人,¥28000,圆满完成
【英语】翻译长期合作,396人,1人,¥25500,圆满完成
【英语】会议翻译,1098人,1人,¥50400,圆满完成
【英语】会议翻译英语化工,448人,1人,¥25300,圆满完成
【英语】产品手册翻译,825人,1人,¥46300,圆满完成
【咨询服务】商务咨询服务,1372人,1人,¥48700,圆满完成
【咨询服务】项目咨询服务,1652人,1人,¥50000,圆满完成
【英语】会议翻译,504人,1人,¥42800,圆满完成
【英语】产品手册翻译,707人,1人,¥41400,圆满完成
【英语】手册翻译,549人,1人,¥40100,圆满完成
【英语】会议翻译1天,331人,1人,¥11059,圆满完成
【英语】会议翻译,216人,1人,¥7275,圆满完成
【英语】项目咨询,338人,1人,¥2700,圆满完成
【英语】产品手册翻译,302人,1人,¥500,圆满完成
【英语】翻译长期合作,300人,1人,¥38000,圆满完成
【英语】邮件翻译5封,467人,1人,¥2445,圆满完成
,,,,
【英语】翻译长期合作,431人,1人,¥39000,圆满完成
【英语】会议英文同声翻译1天,407人,1人,¥30000,圆满完成
