标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【英语】校对文件及撰写某领域的国外研究综述（英语）,https://task.epwk.com/484726/,20100人,1人,¥200,待验收,雇佣,,校对一份文件、撰写一个某领域的国外研究综述校对一份论文摘要，已翻译，只需校对修改。同时写一个旅游方面的国外研究综述，很简单，大概500字,2017.03.19,,任务编号：484726,￥200,1天,河南省-洛阳市-洛龙区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】300字中文邮件翻译成英文,https://task.epwk.com/1029124/,1604人,2人,¥100,圆满完成,雇佣,james_don,300字中文日常会话内容翻译成英文。要求提供英文翻译证明和翻译者的联系方式。,2023.02.12,2023.02.23,任务编号：1029124,"￥100,￥100","1天,2天","江苏省-南通市,北京市-北京市-朝阳区",翻译Mr Hu,https://shop.epwk.com/81n41glr0np6/,翻译Mr Hu,出售服务,https://shop.epwk.com/81n41glr0np6/chushou/,工作室,九品,41分,,,翻译Mr Hu,,口译/交替传译/陪同翻译/展会陪同,"￥1000
            /日",笔译/英文翻译,"￥15
            /百字",,,,,,,,,,,,,,
【数据录入】人工手动标注图片数据-打分数,https://task.epwk.com/1019998/,1909人,1人,¥300,圆满完成,雇佣,聚盘DHuGO,根据图片内容，按照要求，进行6个维度打分（1-5分，0/1分），比如根据一个图片，判断图中人物的情感程度得分，然后填在Excel表中进行汇总。总图片数量：780张；,2022.10.31,2022.11.04,任务编号：1019998,￥300,10天,安徽省-合肥市,威领Pghv0,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【日语】日文排版,https://task.epwk.com/894585/,2802人,2人,¥300,圆满完成,雇佣,o5f6b2acec850e,需要找到一样的日文字体  排版,2020.09.23,2020.10.20,任务编号：894585,"￥300,￥300","1天,2天","陕西省-西安市,山东省-青岛市-黄岛区",陕西臻创意设计有限公司,https://shop.epwk.com/qgdmj271gdke/,陕西臻创意设计有限公司,出售服务,https://shop.epwk.com/qgdmj271gdke/chushou/,企业,六品,40分,,,陕西臻创意设计有限公司,,展览设计,"￥100000
            /次",日语翻译,价格面议,高端书籍设计,"￥100
            /页",画册设计,"￥100
            /页",英文翻译,价格面议,LOGO设计,"￥3000
            /件",,,,,,
【网络接单】把阿里巴巴的客户数据导入到Excel表格,https://task.epwk.com/891558/,3682人,1人,¥600,圆满完成,雇佣,o5f59a9a85da0b,把阿里巴巴的客户数据导入到Excel表格。具体再议,2020.09.10,2020.09.11,任务编号：891558,￥600,1天,北京市-北京市,北京云曼科技工作室,https://shop.epwk.com/m7d7wv7py5q8/,北京云曼科技工作室,出售服务,https://shop.epwk.com/m7d7wv7py5q8/chushou/,个人,五品,37分,,,北京云曼科技工作室,,,,,,,,,,,,,,,,,,,
【英语】需要定制英语文本,https://task.epwk.com/882034/,2313人,3人,¥300,圆满完成,雇佣,o5f24e9b168493,定制旅游英语口语1000句，要求文本，类似附件的句子。要求旅游外出能用到的句子，通用英语国家。,2020.08.01,2020.08.12,任务编号：882034,"￥300,￥300,￥300","4天,1天,1天","广东省-东莞市,浙江省-温州市-苍南县,四川省-绵阳市",Reidies,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】对商城网站进行翻译，以供建立英文版,https://task.epwk.com/845101/,2826人,1人,¥400,圆满完成,雇佣,o5e709b47df322,对商城网站进行翻译，以供建立英文版，,2020.03.18,2020.03.26,任务编号：845101,￥400,2天,陕西省-西安市-未央区,小杨文案,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】往来商务邮件英语翻译,https://task.epwk.com/787744/,5755人,2人,¥110,圆满完成,雇佣,a8748****8,"公司业务量增加，翻译忙不过来，需要人帮忙翻译与国外客户的往来邮件。,公司业务量增加，翻译忙不过来，需要人帮忙翻译与国外客户的往来邮件。",2019.08.27,2020.01.22,任务编号：787744,"￥110,￥110","1天,1天","北京市-北京市,山东省-潍坊市",a19965449284,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】往来商务邮件英语翻译,https://task.epwk.com/778819/,2291人,3人,¥110,圆满完成,雇佣,a8748****8,"公司业务量增加，翻译忙不过来，需要人帮忙翻译与国外客户的往来邮件。,公司业务量增加，翻译忙不过来，需要人帮忙翻译与国外客户的往来邮件。",2019.08.02,2019.08.11,任务编号：778819,"￥110,￥110","1天,30天","广东省-汕头市,浙江省-杭州市-滨江区",a19965243774,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】英语翻译以及回复往来商务邮件,https://task.epwk.com/776075/,2349人,3人,¥110,圆满完成,雇佣,wdj88,近期公司业务量增加，翻译忙不过来，需要人帮忙翻译与国外客户的往来邮件。,2019.07.25,2019.08.10,任务编号：776075,"￥110,￥110,￥110","10天,1天,1天","浙江省-杭州市-滨江区,湖北省-襄樊市-襄城区,广东省-广州市-白云区",ojbkkk,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
