标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额
【别墅设计】自建别墅规划设计,https://task.epwk.com/976603/,1876人,6人,1000-3000元,圆满完成,招标,xjxhf119,自建5层别墅室内设计规划,2021.12.27,2022.01.28,任务编号：976603,"￥2500,￥3000","20天,7天","广东省-广州市-天河区,四川省-成都市-郫都区",心悦善和设计,https://shop.epwk.com/m7d7w7g7y5q8/,,,,,,,,
【娱乐休闲】私人影院做前台设计,https://task.epwk.com/963089/,349人,1人,1万-2万元,圆满完成,招标,k4465****5,私人影院前台区域重新装修，区域不大但需要结合现有沙发和桌椅做整体风格设计,2021.10.11,2021.10.22,任务编号：963089,￥20000,5天,辽宁省-沈阳市-市辖区,室内设计、灯光设计,https://task.epwk.com/javascript:;,,,,,,,,
【导视设计】游乐场导视装修设计,https://task.epwk.com/963908/,288人,1人,5000-10000元,圆满完成,招标,k7744****6,主题游乐场导视系统设计与后续的施工落地 ​，有经验的来,2021.10.11,2021.10.21,任务编号：963908,￥10000,5天,江苏省-南通市-市辖区,厚木室内设计,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】复式小户型设计,https://task.epwk.com/963929/,368人,1人,5000-10000元,圆满完成,招标,k9381****3,复式小户型80多平，准备做装修，想要简约风格的装修设计方案,2021.10.11,2021.10.22,任务编号：963929,￥8000,5天,浙江省-宁波市-市辖区,空间设计工作室1,https://task.epwk.com/javascript:;,,,,,,,,
【舞台设计】T型舞台的设计方案,https://task.epwk.com/963955/,435人,2人,1000元以内,圆满完成,招标,k5117****9,公司为庆祝上市成功要办一场晚会，舞台要T型的，求一套舞台设计方案,2021.10.11,2021.10.23,任务编号：963955,"￥1000,￥1000","6天,6天","山东省-潍坊市-市辖区,江苏省-扬州市-市辖区",银翼效果图设计表现,https://task.epwk.com/javascript:;,,,,,,,,
【娱乐休闲】主题密室逃脱装潢设计,https://task.epwk.com/963090/,354人,1人,1万-2万元,圆满完成,招标,k8566****1,恐怖主题的密室逃脱屋，需要做空间结构和装修风格设计，有预留了一些机关，设计的时候需要隐藏起来,2021.10.11,2021.10.22,任务编号：963090,￥20000,4天,湖北省-襄阳市-市辖区,萤火虫设计_独立设计师,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】小区绿化工程造价,https://task.epwk.com/963331/,1006人,1人,1000-3000元,圆满完成,招标,k8817****7,一住宅小区想要对原有绿化进行改造，种一些更好的植物，求绿化改造工程报价,2021.10.11,2021.10.22,任务编号：963331,￥3000,5天,甘肃省-敦煌市-市辖区,k648097966,https://task.epwk.com/javascript:;,,,,,,,,
【工程造价】生产车间建设工程造价,https://task.epwk.com/963329/,2381人,1人,1万-2万元,圆满完成,招标,k6706****2,公司要扩大生产规模，在新场地建设生产空间，需要一些新功能，具体详聊,2021.10.11,2021.10.20,任务编号：963329,￥20000,4天,海南省-三亚市-市辖区,桃源创意设计工作室,https://task.epwk.com/javascript:;,,,,,,,,
【样板间】别墅区样板间设计,https://task.epwk.com/964119/,598人,1人,2万-5万元,圆满完成,招标,k3173****0,别墅群，需做一套别墅的样板间，有做过的联系,2021.10.11,2021.10.22,任务编号：964119,￥50000,4天,重庆市-重庆市-市辖区,所见空间设计,https://task.epwk.com/javascript:;,,,,,,,,
【复式设计】200平复式楼房设计,https://task.epwk.com/963931/,796人,1人,2万-5万元,圆满完成,招标,k9381****3,200平左右，复式楼设计，需要整装设计方案,2021.10.11,2021.10.22,任务编号：963931,￥40000,4天,四川省-成都市-市辖区,盛达空间设计,https://task.epwk.com/javascript:;,,,,,,,,
