标题,browser,字段1,价格,status
【创意短视频】1分钟短视频,3431人,1人,¥200,工作中
【视频定制】城投电力产融视频制作,629人,1人,¥1500,工作中
【抖音视频】二手闲置物品群运营,2440人,1人,¥300,工作中
【剪辑服务】视频剪辑,11162人,1人,¥10,待验收
【剪辑服务】剪辑制作,23227人,1人,¥40,待验收
【剪辑服务】剪辑一下。,27736人,1人,¥25,待验收
【动画设计】二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画,2404人,1人,¥600,待验收
【图片处理】PS修图,25787人,1人,¥10,待验收
【图片处理】老照片修复,11572人,1人,¥200,待验收
【三维动画】多媒体设计,2903人,1人,¥100,待验收
【图片处理】制作费用,12317人,1人,¥350,待验收
【三维动画】未来消防三维动画合成,5538人,1人,¥7500,待验收
【图片处理】图片处理,13240人,1人,¥200,待验收
【视频定制】科技赋能生活,81人,1人,¥700,圆满完成
【视频定制】视频剪辑制作,83人,1人,¥500,圆满完成
【动画设计】动画设计购买,39人,1人,¥1800,圆满完成
【动画制作】动画改进版制作,38人,1人,¥1000,圆满完成
【其他短视频】1分钟,339人,1人,¥200,圆满完成
【影视拍摄】影视制作 尾款,50人,1人,¥500,圆满完成
【创意短视频】1分钟短视频,272人,1人,¥200,圆满完成
【三维动画】企业logo演绎动画,66人,1人,¥4492,圆满完成
【影视拍摄】影视制作 确定合作者,44人,1人,¥300,圆满完成
【企业宣传片】影视制作,119人,1人,¥200,圆满完成
【其他短视频】1分钟短视频,452人,1人,¥200,圆满完成
【创意短视频】短视频（拍摄/剪辑）,140人,1人,¥500,圆满完成
【剪辑服务】视频内容剪辑,232人,1人,¥68,圆满完成
【影视拍摄】短视频（拍摄/剪辑）,84人,1人,¥500,圆满完成
【二维动画】新增,62人,1人,¥500,圆满完成
【其他短视频】短视频,243人,1人,¥200,圆满完成
【其他短视频】1分钟视频,340人,1人,¥200,圆满完成
,,,,
【创意短视频】视频1分钟,193人,1人,¥200,圆满完成
【二维动画】二维动画制作,186人,1人,¥750,圆满完成
【二维动画】15S动画制作,293人,1人,¥750,圆满完成
【抖音视频】二手闲置物品,802人,1人,¥200,圆满完成
【创意短视频】拍摄100条梯凳短视频,170人,1人,¥1500,圆满完成
【抖音视频】短视频渠道加粉短视频原创拍摄剪辑,230人,1人,¥100,圆满完成
【剪辑服务】短视频剪辑,861人,1人,¥300,圆满完成
【剪辑服务】公司宣传片,512人,1人,¥240,圆满完成
【抖音视频】做一个短视频平台短视频,674人,1人,¥100,圆满完成
【后期制作】后期制作,165人,1人,¥200,圆满完成
【剪辑服务】视频剪辑,379人,1人,¥10,圆满完成
【剪辑服务】剪辑视频,214人,1人,¥490,圆满完成
【广告片/MV】冲浪设备tvc广告片,247人,1人,¥3500,圆满完成
【剪辑服务】视频后期剪辑,737人,1人,¥60,圆满完成
【创意短视频】清洁剂创意短视频,45人,1人,¥12000,圆满完成
【专题片制作】冰淇淋专题片制作,44人,1人,¥8000,圆满完成
【剪辑服务】剪辑合作,148人,1人,¥3000,圆满完成
【3D效果图】别墅3d效果图,163人,1人,¥8000,圆满完成
【3D效果图】花茶3d效果图,61人,1人,¥8000,圆满完成
【企业宣传片】快闪视频,143人,1人,¥1300,圆满完成
【动画制作】表情包动画制作,69人,1人,¥16000,圆满完成
【动画制作】有氧舞蹈动画制作,24人,1人,¥12000,圆满完成
【专题片制作】酸菜鱼专题片制作,42人,1人,¥8000,圆满完成
【直播卖货】青团直播卖货,42人,1人,¥13000,圆满完成
【PS修图】洗脸巾PS修图,1373人,1人,¥3000,圆满完成
【直播卖货】羊蹄直播卖货,26人,1人,¥13000,圆满完成
【直播卖货】油烟机清洗剂直播卖货,28人,1人,¥13000,圆满完成
【GIF动画】美食GIF动画制作,75人,1人,¥2800,圆满完成
【二维动画】二维动画制作,63人,1人,¥1300,圆满完成
【剪辑服务】视频剪辑,130人,1人,¥800,圆满完成
,,,,
【专题片制作】化妆专题片制作,22人,1人,¥8000,圆满完成
【动画制作】狗动画制作,33人,1人,¥12000,圆满完成
【企业宣传片】科技公司宣传片,26人,1人,¥3000,圆满完成
【创意短视频】情绪创意短视频,189人,1人,¥1500,圆满完成
【广告片/MV】电饭锅TVC（广告片）,25人,1人,¥15000,圆满完成
【企业宣传片】政务宣传片,20人,1人,¥5000,圆满完成
【三维动画】地产三维动画,61人,1人,¥2000,圆满完成
