标题,标题链接,查看数,参与数,需求价���,状态,需求方,需求文本,发布时间,完成时间,任务编号,赏金总额,参与交稿,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12
【LOGO设计】品牌LOGO设计,https://task.epwk.com/1116425/,1178人,30人,,圆满完成,威品XfU3q,食品行业。绿色食材。名称: 祖莲品牌价值观：时令，自然，健康。品牌健康生活的倡导者，优质食材的推广者logo风格：简约，时尚。,2025.03.24,2025.04.11,任务编号：1116425,￥ 500,39,雨夜设计工作室,https://shop.epwk.com/0jnekk26rnv3/,雨夜设计工作室,出售服务,https://shop.epwk.com/0jnekk26rnv3/chushou/,工作室,一品,68分,,,雨夜设计工作室,,高端logo设计,"￥1500
            /起",包装设计,"￥3000
            /起",VI设计,"￥8888
            /起",,,,,,,,,,,,
【LOGO设计】投资集团LOGO设计,https://task.epwk.com/1116408/,664人,25人,,圆满完成,威惠创dhAOe,"名称：山西中晋鑫投资集团知识产权说明：1、所提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2025.03.24,2025.04.08,任务编号：1116408,￥ 500,37,海旭设计,https://shop.epwk.com/09drjr2g653w/,海旭设计,出售服务,https://shop.epwk.com/09drjr2g653w/chushou/,个人,二品,50分,,,海旭设计,,室内设计（公寓）,价格面议,室内外装饰设计,价格面议,LOGO设计,价格面议,,,,,,,,,,,,
【海报设计】产品宣传海报,https://task.epwk.com/1116165/,2035人,20人,,圆满完成,鲸创客OrTns,"不锈钢锁宣传画的整个版面最好简洁明了 ，内容突出使用场景及产品特性。上半部分写不锈钢锁产品特点。 如： 不锈钢锁体，锁梁。 铜锁芯，铜钥匙。等。（可以加一些具体的技术检验结果）。防腐蚀，防雨淋，户外等等场景。 可实现分级管理功能。即，KA,MK.然后下面配上几张图片，即户外场景（篱笆或者仓库门），船上场景，卡车锁。分级管理功能的复杂描述可以不用写，附图片就简单明了。",2025.03.21,2025.03.30,任务编号：1116165,￥ 300,21,朱胤龙设计空间站,https://shop.epwk.com/89dvg1r1ldl2/,朱胤龙设计空间站,出售服务,https://shop.epwk.com/89dvg1r1ldl2/chushou/,个人,五品,39分,,,朱胤龙设计空间站,,LOGO原创设计,"￥1000
            /起",卡通吉祥物 企业ip设计,"￥3000
            /起",原创商业插画设计,价格面议,企业/品牌 VI设计,"￥5000
            /起",,,,,,,,,,
【包装设计】紫砂壶包装盒设计,https://task.epwk.com/1116143/,4725人,15人,,圆满完成,星威联盟JOWjx,"品牌名称:亘古。做茶文化的品牌，第一个产品是紫砂壶(亘古紫砂)。品牌含义:“亘”字通“恒”字。恒是心跟亘字组成。取名亘古是对传统文化，对传统工艺，坚守初心，用心对待，持之以恒的意思。经营理念: 用心，认真做好手工产品(茶器，含壶、杯)，为顾客提供好的、优质的、真诚的产品，让其在日常使用过程中获得好的产品体验。设计诉求:包装盒材质：雪花绒/锦布包装外型：采用附件1的样式颜色：深色，能凸显高级感的设计样式：压纹/暗纹的纹理+品牌logo，整体高级，有质感，有品牌的辨识度(参考:古驰、dior等)纹理设计要求：纹理的设计来源需要和品牌相关，可以和亘古名称、含义、理念、logo等结合最终投稿作品需要有：包装盒预览图和包装袋（包装袋与包装盒风格统一）注意事项：1.包装盒务必是采用附件1的样式2.包装务必采用附件2的LOGO，其余元素作为参考3.附件4的设计纹理仅作灵感参考，最终纹理来源需和品牌相关4.投稿务必标注纹理的设计理念中标/优秀创意后续可再进行深入沟通，合作(后续V设计合作)附件有包装盒&包装袋样式参考、品牌logo、排版参考、纹理参考作为灵感参考知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，在我方支付设计制作费后，即拥有该作品的知识产权，包括著作权、使用权和发布权等,有权对设计作品进行修改,组合和应用；设计者不得在其他任何地方使用该设计作品。",2025.03.21,2025.04.12,任务编号：1116143,￥ 1200,14,tomzhouwei,https://shop.epwk.com/z2nkzrxv2nqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】香薰礼盒和产品设计,https://task.epwk.com/1116111/,1771人,9人,,圆满完成,合业手7KCx8,香薰礼盒和产品设计外盒设计要求：1、用郁金香、向日葵，可以女性互送。（植物和花，不要玫瑰）2、图案设计用手绘。3、简约时尚、创意、有颜值。（偏中性，有情感寓意，偏大众需求）4、外盒尺寸：24.6X18.5X8.8cm    延展：手提袋尺寸：27X10X21cm产品部分设计（主要做效果图）：1.香薰杯装蜡烛，造型设计（比如杯面用花造型的装饰）。2.香片的挂件造型设计。把植物、营养土、铲子、精油、卡片，做一起摆放的效果图。（见之前产品）参考链接：https://detail.tmall.com/item.htm?id=846525059565&pisk=ghNZvjvmD1CaRPntIWG2LBjoamhtKjS57Sijor4m5cmifSZ4oquWiFviop4nrDOfWf6xgooUDcMssSypgzUY1NhfWfUtMjj5V_g4WPhxlLitB5-H-4zHsh0GdXqGjv7GV_178O0tGyj713I_uV0WijDinyYnv4ADnjqmKB0xxC0Dsqxh8DnnSdvMspxnk4tDsoAm-p0SldmmSdAHK4inmjmDIwznvqlmmAILnRvrzAb26hyDH1LZi04iYIAkyVkGYypXaQRESA0mR9AkZx3ZQ04iYgUDgWk3kxPvkIk0S8ExrlxG0mFU-52uqM9sj8u4P-rhlKrzY8cEJJI230y058emLNfg8foZH2DMzpcanlFqBR8Ayycgv8n-I9IK85NS30HexG4Q8cDz3lspicwz-kk7OHOSZ8EUgYcl4hKx-Aq7MRO63A0K80_F8o2gD0Np3nepHKHnv2o5WipvHA0K80_F8KpxBp3EVNIA.&spm=a21xtw.29178619.product_shelf.570.52451725M6NeEQ,2025.03.20,2025.04.07,任务编号：1116111,￥ 1000,7,骄世客hSBBL,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】便携式手机充电宝包装设计,https://task.epwk.com/1116032/,2783人,9人,,圆满完成,k5223****02,"产品简介：一款便携式手机充电宝，作为时尚消费类电子产品，功能主要为手机，平板电脑及其它便携式电子产品提供轻便的即插即用充电服务。任务内容：为该充电宝的包装盒做美工设计，包括图案和背景设计，产品名称，注册商标以及功能简介的文字排版设计。设计要求：1）包装盒形状尺寸为 115 x 89 x 32mm 的长方体, 材质为白色硬纸壳，样品如下图 1 所示。2）设计风格：简洁明快，符合时尚科技产品的定位，目标客户为国外特别是欧美消费群体。可参考借鉴苹果电子产品的包装盒外观设计方案。产品外观参考下图2所示。3）设计方案要输出给工厂用于自动印刷到包装盒外表面。4）对产品相关信息（包括商标，名称等）要遵循保密原则。设计方案及产品信息未经客户允许不得泄露给任何他人或实体。",2025.03.20,2025.04.05,任务编号：1116032,￥ 1088,8,常展创意设计,https://shop.epwk.com/rp5z4v33jdx3/,常展创意设计,出售服务,https://shop.epwk.com/rp5z4v33jdx3/chushou/,个人,七品,36分,,,常展创意设计,,,,,,,,,,,,,,,,,,,
【LOGO设计】餐饮logo设计,https://task.epwk.com/1115980/,1483人,31人,,圆满完成,o58d5fe54a449a,店名:乡厨渔宴主营:渔类   客家菜,2025.03.19,2025.04.05,任务编号：1115980,￥ 500,44,东田品牌设计,https://shop.epwk.com/7g5ykyj1gn0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】企业logo设计,https://task.epwk.com/1115919/,866人,27人,,圆满完成,o5cb6****34b87,佛山万诺陶瓷有限公司佛山万诺陶瓷有限公司成立于2017年3月20日，注册资本为100万人民币。公司主要经营范围包括销售陶瓷制品、陶瓷原料、建筑材料、卫生洁具、装饰材料，并涉及货物进出口和技术进出口业务。主要经营业务佛山万诺陶瓷有限公司的主要经营业务包括：销售陶瓷制品、陶瓷原料、建筑材料、卫生洁具、装饰材料。货物进出口、技术进出口。这些信息显示了佛山万诺陶瓷有限公司在陶瓷及相关产品领域的专注和专业性。公司地址：位于中国（淄博）财富陶瓷城总部基地公司经营品牌：欧神诺瓷砖、卡米亚瓷砖、王者瓷砖、特斯拉瓷砖,2025.03.19,2025.04.06,任务编号：1115919,￥ 500,42,诸侯视觉,https://shop.epwk.com/j7n38rkve5e1/,诸侯视觉,出售服务,https://shop.epwk.com/j7n38rkve5e1/chushou/,工作室,一品,145分,,,诸侯视觉,,诸侯视觉logo标志设计,"￥500
            /次",商城全店装修5000,￥5000,VI视觉DESIGN,"￥3000
            /日",,,,,,,,,,,,
【包装设计】设计膏药包装盒，线上款和线下款,https://task.epwk.com/1115787/,1745人,7人,,圆满完成,V领yzMwd,"【线上+线下】膏药贴包装设计，需区分电商/实体店需求，总预算1500元；产品尺寸：外盒尺寸：135*185*22，内袋尺寸：13*17 （外盒和内袋风格统一，内袋设计可简单些）材质：350白卡加工艺    或者350银卡加工艺；附件图片是前三代包装，比较普通，可以保留主体颜色，但包装记忆度不够  ，主体要体现苗傅商标   ； 正文关键点  1. 产品定位     - 非医疗器械，执行企业标准（文号：XXX），用途仅限保健舒缓，禁用“治疗”“医用”词汇。  2. 分渠道需求     - 线上款（电商平台用）：       - 强视觉冲击力：高对比色、放大产品卖点（如“24小时舒缓”），适配手机端展示；        - 线下款（药店/商超用）：       - 突出合规信息：成分、使用方法、注意事项等字体清晰易读；       3. 交付要求     - 基础交付：印刷稿（CMYK模式）+ 源文件      - 线上款额外需求：提供手机端展示模拟图（如淘宝详情页尺寸）。  要求原创，不侵权知识产权说明：1、所提交的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2025.03.18,2025.03.27,任务编号：1115787,￥ 1500,7,远翰设计,https://shop.epwk.com/3gd2mqo4gner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】办公耗材-硒鼓粉盒设计,https://task.epwk.com/1115683/,3313人,26人,,圆满完成,爱威特品LAuT6,配色鲜明，风格可以自定但不能脱离工业产品的调性，logo为墨斗鱼，但不用围绕logo做设计，需要在众多产品中抓住眼球的设计，比如颜色搭配或者独特的图形让人一下就知道是墨斗鱼的产品。注意不能用侵权字体，尽量用开源字体。赏金需开票。备注：任务比较着急，可能会提前选稿，请大家尽快投稿，谢谢！,2025.03.18,2025.04.10,任务编号：1115683,￥ 3000,29,昊航设计,https://shop.epwk.com/v0n1xw7xk57y/,昊航设计,出售服务,https://shop.epwk.com/v0n1xw7xk57y/chushou/,个人,四品,37分,,,昊航设计,,,,,,,,,,,,,,,,,,,
