标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4
【包装设计】食品行业包装设计,https://task.epwk.com/875767/,450人,2人,1000元以内,圆满完成,k8189****81,"项目:包装设计称呼:华先生   地区:上海市,上海市需求:食品行业，休闲小零食包装设计，想看案例，报价联系，具体详谈",2020.07.06,2020.07.17,任务编号：875767,"￥500,￥1200","3天,3天","广东省-韶关市,陕西省-西安市",谭壹视觉设计,https://shop.epwk.com/4rn8q3yw3ngm/,谭壹视觉设计,出售服务,https://shop.epwk.com/4rn8q3yw3ngm/chushou/,企业,四品,75分,,,谭壹视觉设计,,详情页设计淘宝天猫京东宝贝描述美工外包详情页定制,"￥100
            /起",包装设计产品标签纸箱瓶贴平面礼盒外包装定制设计,"￥100
            /起",VIS设计logo设计标志设计企业视觉规范公司品牌图标设计,"￥100
            /起",电商设计美工外包淘宝天猫京东海报首页详情页直通车整店装修设计定制,"￥100
            /起"
【LOGO设计】医药企业logo设计,https://task.epwk.com/875637/,463人,1人,1000元以内,圆满完成,k4063****56,林先生 莆田  要求做企业logo设计，企业名称：众知健  主要，经营，保健品，营养品，药品，药店，之类的。不过于简单、大众化，要求大方有艺术感，字面含义，大众都知道的健康产品或品牌。未明确预算，需要报价，不限制地区，微信同号。,2020.07.06,2020.07.13,任务编号：875637,￥788,5天,浙江省-温州市-鹿城区,创宸文化,https://shop.epwk.com/7g5ykgkvgn0q/,,,,,,,,,,,,,,,,,,
【包装设计】牙齿上的一个薄膜产品的包装设计,https://task.epwk.com/874616/,752人,1人,1000-3000元,圆满完成,o5efc28b44019e,牙齿上的一个薄膜产品的包装设计，於先生，工期急，越快越好，微信同号，浙江杭州，没地区要求,2020.07.01,2020.07.16,任务编号：874616,￥1600,3天,安徽省-合肥市-包河区,吾同品牌设计有限公司,https://shop.epwk.com/qgdmj2x8qdke/,吾同品牌设计有限公司,出售服务,https://shop.epwk.com/qgdmj2x8qdke/chushou/,工作室,六品,37分,,,吾同品牌设计有限公司,,海报设计/单页折页设计,"￥200
            /页",企业VI形象设计,"￥3000
            /套",书籍/画册设计,"￥150
            /页",包装设计,"￥1600
            /件"
【标签设计】保健品标签设计,https://task.epwk.com/873982/,985人,1人,1000元以内,圆满完成,o59e6cd6153d12,保健品标签设计，目前能提供文字信息、产品信息，设计师自己构想。预算100-300。,2020.06.29,2020.07.06,任务编号：873982,￥200,10天,山东省-烟台市,耀恒旺平面设计,https://shop.epwk.com/4rn8qjwzgngm/,,,,,,,,,,,,,,,,,,
【包装设计】零食包装设计,https://task.epwk.com/873803/,575人,1人,1000-3000元,圆满完成,k4682****73,项目:零食包装设计称呼:陈先生 需求:蔬菜零食包装设计，目前自己一些个人看法 就是 想要打破传统快销品的风格 标新立异 顾客能够一眼就看到我们的产品 ，并且能够看出这是什么东西。颜色不能太多太杂,2020.06.28,2020.07.07,任务编号：873803,￥1150,5天,四川省-成都市,壹鑫品牌设计,https://shop.epwk.com/78dljmpel5lx/,,,,,,,,,,,,,,,,,,
【包装设计】食品行业包装设计,https://task.epwk.com/873770/,441人,1人,1000-3000元,圆满完成,k2527****56,项目:包装设计称呼:张女士   地区:广西地区需求:食品行业，包装设计，先看案例，微信同号，具体详谈,2020.06.28,2020.07.07,任务编号：873770,￥1000,3天,广东省-汕头市,祺壹广告设计有限公司,https://shop.epwk.com/7lngqqyj6dmr/,,,,,,,,,,,,,,,,,,
【宣传册设计】画册排版设计,https://task.epwk.com/873666/,850人,1人,1000元以内,圆满完成,k8982****71,项目:画册排版设计称呼:席先生地区:广东需求:服装行业画册排版，图片已经有大致版面，只需要加点适量的颜色，做个简单的排版的就可以，前期比较简单，看下效果，后续在做复杂点的,2020.06.28,2020.07.06,任务编号：873666,￥400,3天,江苏省-苏州市-吴中区,金石品牌设计,https://shop.epwk.com/7g5ykkxegn0q/,,,,,,,,,,,,,,,,,,
【LOGO设计】农家乐LOGO设计,https://task.epwk.com/873518/,1196人,1人,1000元以内,圆满完成,k8829****61,项目:农家乐LOGO设计称呼:文先生地区:广西需求:农家乐LOGO设计，体现：回归自然，舒服，放松的感觉，以图形为主，自己原本有一个，可以按原来的参考设计预算:报价联系,2020.06.27,2020.06.30,任务编号：873518,￥200,2天,广东省-广州市-越秀区,设计计画工作室,https://shop.epwk.com/2j5jj1j8v5pz/,,,,,,,,,,,,,,,,,,
【LOGO设计】我们是做熔喷布的厂家，想做logo设计或者是vi设计,https://task.epwk.com/873323/,456人,1人,1000-3000元,圆满完成,k8789****65,姓袁，我们是做熔喷布的厂家，想做logo设计或者是vi设计：工期月底前，微信同号，辽宁沈阳，没地区要求，需要报价,2020.06.26,2020.07.13,任务编号：873323,￥1500,7天,上海市-市辖区-青浦区,绍渊品牌形象设计,https://shop.epwk.com/m7d7w21er5q8/,,,,,,,,,,,,,,,,,,
【LOGO设计】建材外贸的logo设计,https://task.epwk.com/873317/,428人,1人,1000-3000元,圆满完成,k3395****36,张先生，建材外贸的logo设计：按照谈好的来设计，合作愉快,2020.06.26,2020.07.06,任务编号：873317,￥1500,5天,上海市-市辖区,上海当然广告有限公司,https://shop.epwk.com/78n966yv0nkv/,上海当然广告有限公司,出售服务,https://shop.epwk.com/78n966yv0nkv/chushou/,企业,一品,87分,,,上海当然广告有限公司,,企业画册设计 产品宣传册 招商画册 产品样本 产品型录 图册目录 宣传画册 企业样本设计 企业型录,"￥500
            /页",包装设计 产品包装 礼盒套装 系列产品包装设计 高端精品包装 茶叶饮料酒类零食各类包装,"￥3500
            /件",logo商标设计 产品商标 企业商标 注册商标设计,"￥1500
            /起",企业VI视觉识别系统设计（基础10项）,"￥10000
            /件"
