标题,browser,字段1,价格,status
【包装设计】小程序UI设计,10人,1人,¥3400,工作中
【包装设计】Logo设计,24人,1人,¥450,工作中
【插画设计】格林童话绘本内页图制作6本,15人,1人,¥2400,工作中
【广告设计】包月平面设计,115人,1人,¥5000,工作中
【3D建模】玩具3d建模,327人,1人,¥2500,待验收
【背景墙设计】公司前台背景墙-墙绘设计,71人,1人,¥1800,待验收
【海报设计】卡牌设计,704人,1人,¥500,工作中
【LOGO设计】企业外墙装饰设计,59人,1人,¥100,待验收
【LOGO设计】菜单设计，出图快的,352人,1人,¥30,工作中
【LOGO设计】LOGO设计,220人,1人,¥2000,待验收
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,670人,1人,¥10,工作中
【VI设计】创意VI设计,116人,1人,¥800,待验收
【LOGO设计】根据AI主体进行动作设计,140人,1人,¥180,待验收
【详情页设计】建模渲染排版电商详情页设计,1028人,1人,¥600,待验收
【产品外观设计】午睡枕外观设计,349人,1人,¥1000,工作中
【LOGO设计】logo设计,935人,1人,¥1000,工作中
【LOGO设计】高端定制logo创意设计商标建筑教育logo图标设计注册,462人,1人,¥1000,工作中
【LOGO设计】铅笔盒包装盒。卡通,243人,1人,¥500,待验收
【LOGO设计】申请资质文档需求,486人,1人,¥3000,待验收
【动漫角色设计】原画设计,1774人,1人,¥800,待验收
【包装设计】不干胶贴,605人,1人,¥200,工作中
【包装设计】芝士乳酪产品包装设计,717人,1人,¥350,工作中
【LOGO设计】logo设计,982人,1人,¥100,工作中
【包装设计】电子烟彩盒,390人,1人,¥4000,待验收
【排版设计】平面设计2组,2333人,1人,¥80,待验收
【包装设计】外包装设计,328人,1人,¥3000,待验收
【横幅设计】设计到满意为止 修改次数不限,1776人,1人,¥300,待验收
【包装设计】产品包装/工业设计/外观设计,932人,1人,¥100,待验收
【LOGO设计】LOGO设计｜基础版,659人,1人,¥500,待验收
【包装设计】6张规格图，按微信沟通交流制作,483人,1人,¥200,待验收
,,,,
【LOGO设计】LOGO设计/标志设计/企业标识设计/企业LOGO设计,600人,1人,¥500,待验收
【LOGO设计】百恬康LOGO设计,1105人,1人,¥10,待验收
【LOGO设计】百恬康LOGO设计,1085人,1人,¥11,待验收
【LOGO设计】百恬康LOGO设计,801人,1人,¥10,待验收
