标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,知识
【书籍装帧】装帧设计版式设计,https://task.epwk.com/977397/,592人,1人,"¥13,422",圆满完成,,装帧设计版式设计,直接雇佣￥ 13422,￥ 13422,任务编号：977397,0-88.csv,2022.0,,,"装帧设计, 版式设计"
【响应式网站】生产管理系统,https://task.epwk.com/977402/,542人,1人,"¥29,447",圆满完成,,生产管理系统,直接雇佣￥ 29447,￥ 29447,任务编号：977402,0-88.csv,,,,"生产管理, 系统"
【营销推广软文】党建文化展示大纲,https://task.epwk.com/977454/,553人,1人,¥200,圆满完成,,党建文化展示大纲,直接雇佣￥ 200,￥ 200,任务编号：977454,0-88.csv,,,,"党建文化, 展示大纲, 文化展示"
【采集工具】数据采集工具,https://task.epwk.com/977455/,344人,1人,"¥2,000",圆满完成,,数据采集工具,直接雇佣￥ 2000,￥ 2000,任务编号：977455,0-88.csv,,,,"数据采集, 工具"
【其他网站】教育网站,https://task.epwk.com/977536/,487人,1人,"¥19,000",圆满完成,,教育网站,直接雇佣￥ 19000,￥ 19000,任务编号：977536,0-88.csv,,,,教育网站
【其他管理软件】订单管理系统,https://task.epwk.com/977537/,1212人,1人,"¥29,000",圆满完成,,订单管理系统,直接雇佣￥ 29000,￥ 29000,任务编号：977537,0-88.csv,,,,"订单管理, 系统"
【手游开发】消消乐cocos游戏开发第一期,https://task.epwk.com/977628/,596人,1人,"¥2,500",圆满完成,,消消乐cocos游戏开发第一期,直接雇佣￥ 2500,￥ 2500,任务编号：977628,0-88.csv,,,,"消消乐, cocos游戏, 游戏开发"
【门户网站】科普网站开发,https://task.epwk.com/977714/,747人,1人,"¥40,544",圆满完成,,科普网站开发,直接雇佣￥ 40544,￥ 40544,任务编号：977714,0-88.csv,,,,"科普网站, 网站开发"
【小程序开发】小区服务小程序开发,https://task.epwk.com/977761/,182人,1人,"¥20,000",圆满完成,,小区服务小程序开发,直接雇佣￥ 20000,￥ 20000,任务编号：977761,0-88.csv,,,,"小区服务, 小程序, 服务功能"
【LOGO设计】商标设计,https://task.epwk.com/977808/,397人,1人,"¥5,000",圆满完成,,商标设计,直接雇佣￥ 5000,￥ 5000,任务编号：977808,0-88.csv,,,,商标设计
【门户网站】期货推广页面开发,https://task.epwk.com/977830/,441人,1人,"¥2,000",圆满完成,,期货推广页面开发,直接雇佣￥ 2000,￥ 2000,任务编号：977830,0-88.csv,,,,"期货推广, 页面开发"
【APP开发】saas软件开发尾款,https://task.epwk.com/977900/,239人,1人,"¥46,000",圆满完成,,saas软件开发尾款,直接雇佣￥ 46000,￥ 46000,任务编号：977900,0-88.csv,,,,"saas软件, 尾款"
【微信开发】盲盒商城java管理后台和APP接口开发，参考乐米盲盒,https://task.epwk.com/977928/,687人,1人,"¥15,000",圆满完成,,盲盒商城java管理后台和APP接口开发，参考乐米盲盒,直接雇佣￥ 15000,￥ 15000,任务编号：977928,0-88.csv,,,,"盲盒商城, Java管理后台, APP接口, 乐米盲盒"
【小程序开发】做手机端pc端落地页,https://task.epwk.com/977935/,185人,1人,"¥3,500",圆满完成,,做手机端pc端落地页,直接雇佣￥ 3500,￥ 3500,任务编号：977935,0-88.csv,,,,"手机端, pc端, 落地页"
【门户网站】外贸网站开发三期,https://task.epwk.com/977949/,478人,1人,"¥9,998",圆满完成,,外贸网站开发三期,直接雇佣￥ 9998,￥ 9998,任务编号：977949,0-88.csv,,,,"外贸网站, 网站开发, 三期"
【小程序开发】文本处理,https://task.epwk.com/978002/,380人,1人,¥500,圆满完成,,文本处理,直接雇佣￥ 500,￥ 500,任务编号：978002,0-88.csv,,,,文本处理
【APP开发】签到开发,https://task.epwk.com/978012/,313人,1人,"¥2,000",圆满完成,,签到开发,直接雇佣￥ 2000,￥ 2000,任务编号：978012,0-88.csv,,,,"签到, 开发"
【产品推广】中国大学课程慕课关注,https://task.epwk.com/978039/,254人,1人,"¥3,600",圆满完成,,中国大学课程慕课关注,直接雇佣￥ 3600,￥ 3600,任务编号：978039,0-88.csv,,,,"中国大学课程, 慕课, 关注"
【其他软件开发】12月基础服务器运维租赁费用,https://task.epwk.com/978050/,330人,1人,"¥49,999",圆满完成,,12月基础服务器运维租赁费用,直接雇佣￥ 49999,￥ 49999,任务编号：978050,0-88.csv,,,,"服务器运维, 租赁费用"
【排版设计】期刊版式设计,https://task.epwk.com/978181/,376人,1人,"¥9,470",圆满完成,,期刊版式设计,直接雇佣￥ 9470,￥ 9470,任务编号：978181,0-88.csv,,,,期刊版式设计
【H5开发】首页及任务大厅二开,https://task.epwk.com/978329/,334人,1人,"¥4,500",圆满完成,,首页及任务大厅二开,直接雇佣￥ 4500,￥ 4500,任务编号：978329,0-88.csv,,,,"首页, 任务大厅, 二开"
【其他软件开发】工程建筑管理软件开发4期,https://task.epwk.com/978486/,333人,1人,"¥4,300",圆满完成,,工程建筑管理软件开发4期,直接雇佣￥ 4300,￥ 4300,任务编号：978486,0-88.csv,,,,"工程建筑管理, 软件开发, 项目管理"
【商城建设】外贸网站开发4期,https://task.epwk.com/978510/,417人,1人,"¥20,000",圆满完成,,外贸网站开发4期,直接雇佣￥ 20000,￥ 20000,任务编号：978510,0-88.csv,,,,"外贸网站, 网站开发"
【宣传策划】笔记本设计,https://task.epwk.com/978562/,429人,1人,¥200,圆满完成,,笔记本设计,直接雇佣￥ 200,￥ 200,任务编号：978562,0-88.csv,,,,笔记本设计
【小程序开发】物流平台➕小程序,https://task.epwk.com/978567/,237人,1人,"¥6,200",圆满完成,,物流平台➕小程序,直接雇佣￥ 6200,￥ 6200,任务编号：978567,0-88.csv,,,,"物流平台, 小程序"
【小程序开发】期货数据分析小程序,https://task.epwk.com/978626/,233人,1人,"¥26,800",圆满完成,,期货数据分析小程序,直接雇佣￥ 26800,￥ 26800,任务编号：978626,0-88.csv,,,,"期货数据, 小程序分析"
【微信推广】微信推广维护,https://task.epwk.com/978646/,301人,1人,"¥19,800",圆满完成,,微信推广维护,直接雇佣￥ 19800,￥ 19800,任务编号：978646,0-88.csv,,,,"微信推广, 维护"
【网站二次开发】根据文件里面的要求修改bug,https://task.epwk.com/978707/,516人,1人,"¥5,000",圆满完成,,根据文件里面的要求修改bug,直接雇佣￥ 5000,￥ 5000,任务编号：978707,0-88.csv,,,,"文件要求, 修改bug"
【宣传册设计】画册设计,https://task.epwk.com/978750/,418人,1人,"¥4,800",圆满完成,,画册设计,直接雇佣￥ 4800,￥ 4800,任务编号：978750,0-88.csv,,,,"画册, 设计"
【H5开发】H5页面开发,https://task.epwk.com/978821/,421人,1人,"¥5,000",圆满完成,,H5页面开发,直接雇佣￥ 5000,￥ 5000,任务编号：978821,0-88.csv,,,,"H5页面, 开发"
【门户网站】OA系统开发一期,https://task.epwk.com/978875/,357人,1人,"¥5,000",圆满完成,,OA系统开发一期,直接雇佣￥ 5000,￥ 5000,任务编号：978875,0-88.csv,,,,"OA系统, 开发, 一期"
【VI设计】品牌形象设计,https://task.epwk.com/978883/,484人,1人,"¥2,000",圆满完成,,品牌形象设计,直接雇佣￥ 2000,￥ 2000,任务编号：978883,0-88.csv,,,,"品牌形象, 设计"
