标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,,
【代办/跑腿】金银纪念币代购，狗年，本色金银币，封装,https://task.epwk.com/569062/,587人,1人,"¥1,991",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,金银纪念币代购，狗年，本色金银币，封装,直接雇佣￥ 1991,￥ 1991,任务编号：569062,1534-2000.csv,,2018,
【LOGO设计】餐饮logo设计,https://task.epwk.com/569065/,356人,1人,"¥1,801",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,餐饮logo设计,直接雇佣￥ 1801,￥ 1801,任务编号：569065,1534-2000.csv,,,
【产品推广】刷量,https://task.epwk.com/569075/,601人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,刷量,直接雇佣￥ 5000,￥ 5000,任务编号：569075,1534-2000.csv,,,
【LOGO设计】餐饮logo设计,https://task.epwk.com/569077/,259人,1人,¥689,圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,餐饮logo设计,直接雇佣￥ 689,￥ 689,任务编号：569077,1534-2000.csv,,,
【OA系统】办公软件开发,https://task.epwk.com/569081/,1978人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,办公软件开发,直接雇佣￥ 10000,￥ 10000,任务编号：569081,1534-2000.csv,,,
【VI设计】酒店vi设计,https://task.epwk.com/569120/,262人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,酒店vi设计,直接雇佣￥ 10000,￥ 10000,任务编号：569120,1534-2000.csv,,,
【网站UI设计】指定网站拷贝数据及数据处理,https://task.epwk.com/569154/,349人,1人,¥500,圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,指定网站拷贝数据及数据处理,直接雇佣￥ 500,￥ 500,任务编号：569154,1534-2000.csv,,,
【图片处理】修图,https://task.epwk.com/569231/,263人,1人,"¥9,500",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,修图,直接雇佣￥ 9500,￥ 9500,任务编号：569231,1534-2000.csv,,,
【店铺装修】【店铺装修】天猫淘宝京东店铺装修 整店设计 详情页 主图,https://task.epwk.com/569232/,328人,1人,"¥8,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,【店铺装修】天猫淘宝京东店铺装修 整店设计 详情页 主图,直接雇佣￥ 8000,￥ 8000,任务编号：569232,1534-2000.csv,,,
【APP开发】APP定制开发 单用户商城系统IOS/安卓,https://task.epwk.com/569238/,282人,1人,"¥45,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,APP定制开发 单用户商城系统IOS/安卓,直接雇佣￥ 45000,￥ 45000,任务编号：569238,1534-2000.csv,,,
【图片处理】修图,https://task.epwk.com/569246/,317人,1人,"¥4,000",圆满完成,https://task.epwk.com/page1755.html?m=6&o=7,修图,直接雇佣￥ 4000,￥ 4000,任务编号：569246,1534-2000.csv,,,
