标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,
【其他网站】帝华仕家居,https://task.epwk.com/1068632/,37人,1人,"¥2,500",圆满完成,,帝华仕家居,直接雇佣￥ 2500,￥ 2500,任务编号：1068632,0-88.csv,2024,
【小程序开发】小程序定制开发尾款,https://task.epwk.com/1068818/,42人,1人,"¥41,976",圆满完成,,小程序定制开发尾款,直接雇佣￥ 41976,￥ 41976,任务编号：1068818,0-88.csv,,
【其他网站】苏州乐居优家房地产仿站沟通,https://task.epwk.com/1068990/,20人,1人,¥800,圆满完成,,苏州乐居优家房地产仿站沟通,直接雇佣￥ 800,￥ 800,任务编号：1068990,0-88.csv,,
【书籍装帧】期刊排版和装帧设计,https://task.epwk.com/1069266/,21人,1人,"¥6,300",圆满完成,,期刊排版和装帧设计,直接雇佣￥ 6300,￥ 6300,任务编号：1069266,0-88.csv,,
【LOGO设计】LOGO设计,https://task.epwk.com/1069269/,20人,1人,"¥1,880",圆满完成,,LOGO设计,直接雇佣￥ 1880,￥ 1880,任务编号：1069269,0-88.csv,,
【产品外观设计】3D表盘设计,https://task.epwk.com/1069276/,61人,1人,"¥3,000",圆满完成,,3D表盘设计,直接雇佣￥ 3000,￥ 3000,任务编号：1069276,0-88.csv,,
【包装设计】大米包装袋设计需求(已谈好）,https://task.epwk.com/1069279/,214人,1人,"¥8,660",圆满完成,,大米包装袋设计需求(已谈好）,直接雇佣￥ 8660,￥ 8660,任务编号：1069279,0-88.csv,,
【APP开发】射击训练APP开发三期,https://task.epwk.com/1069296/,37人,1人,"¥4,000",圆满完成,,射击训练APP开发三期,直接雇佣￥ 4000,￥ 4000,任务编号：1069296,0-88.csv,,
【H5开发】手机端页面开发,https://task.epwk.com/1069375/,35人,1人,¥200,圆满完成,,手机端页面开发,直接雇佣￥ 200,￥ 200,任务编号：1069375,0-88.csv,,
【APP开发】咨询类APP开发（一期一阶段）,https://task.epwk.com/1069394/,44人,1人,"¥4,000",圆满完成,,咨询类APP开发（一期一阶段）,直接雇佣￥ 4000,￥ 4000,任务编号：1069394,0-88.csv,,
【软件UI设计】APP UI 设计,https://task.epwk.com/1069423/,47人,1人,"¥5,000",圆满完成,,APP UI 设计,直接雇佣￥ 5000,￥ 5000,任务编号：1069423,0-88.csv,,
【定制开发】UI设计 在QQ沟通过 以QQ沟通的为准 工期12天内,https://task.epwk.com/1069436/,34人,1人,"¥5,000",圆满完成,,UI设计 在QQ沟通过 以QQ沟通的为准 工期12天内,直接雇佣￥ 5000,￥ 5000,任务编号：1069436,0-88.csv,,
【小程序开发】工具站的更新,https://task.epwk.com/1069459/,48人,1人,¥550,圆满完成,,工具站的更新,直接雇佣￥ 550,￥ 550,任务编号：1069459,0-88.csv,,
【APP开发】中国慕课关注,https://task.epwk.com/1069473/,42人,1人,"¥6,000",圆满完成,,中国慕课关注,直接雇佣￥ 6000,￥ 6000,任务编号：1069473,0-88.csv,,
【LOGO设计】优化logo,https://task.epwk.com/1069656/,34人,1人,¥300,圆满完成,,优化logo,直接雇佣￥ 300,￥ 300,任务编号：1069656,0-88.csv,,
【网站二次开发】網站修改二次開發,https://task.epwk.com/1069701/,285人,1人,"¥5,500",圆满完成,,網站修改二次開發,直接雇佣￥ 5500,￥ 5500,任务编号：1069701,0-88.csv,,
【APP开发】中国慕课关注,https://task.epwk.com/1069704/,22人,1人,¥420,圆满完成,,中国慕课关注,直接雇佣￥ 420,￥ 420,任务编号：1069704,0-88.csv,,
【网站二次开发】中优,https://task.epwk.com/1069988/,32人,1人,"¥1,600",圆满完成,,中优,直接雇佣￥ 1600,￥ 1600,任务编号：1069988,0-88.csv,,
