标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,,
【小程序开发】打榜小程序开发,https://task.epwk.com/912984/,182人,1人,"¥3,000",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,打榜小程序开发,直接雇佣￥ 3000,￥ 3000,任务编号：912984,157-327.csv,,2021,
【其他软件开发】微信云发单机器人(淘客版）,https://task.epwk.com/913033/,273人,1人,"¥5,000",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,微信云发单机器人(淘客版）,直接雇佣￥ 5000,￥ 5000,任务编号：913033,157-327.csv,,,
【脚本开发】开发一个自动发私信的脚本,https://task.epwk.com/913039/,491人,1人,¥300,圆满完成,https://task.epwk.com/page179.html?m=6&o=7,开发一个自动发私信的脚本,直接雇佣￥ 300,￥ 300,任务编号：913039,157-327.csv,,,
【PPT设计】PPT美化/代做PPT,https://task.epwk.com/913047/,100人,1人,¥177,圆满完成,https://task.epwk.com/page179.html?m=6&o=7,PPT美化/代做PPT,直接雇佣￥ 177,￥ 177,任务编号：913047,157-327.csv,,,
【PPT设计】PPT美化/代做PPT,https://task.epwk.com/913054/,147人,1人,¥100,圆满完成,https://task.epwk.com/page179.html?m=6&o=7,PPT美化/代做PPT,直接雇佣￥ 100,￥ 100,任务编号：913054,157-327.csv,,,
【PPT设计】PPT美化/代做PPT,https://task.epwk.com/913060/,486人,1人,¥90,圆满完成,https://task.epwk.com/page179.html?m=6&o=7,PPT美化/代做PPT,直接雇佣￥ 90,￥ 90,任务编号：913060,157-327.csv,,,
【APP开发】多斯贝斯商城小程序,https://task.epwk.com/913095/,207人,1人,"¥10,000",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,多斯贝斯商城小程序,直接雇佣￥ 10000,￥ 10000,任务编号：913095,157-327.csv,,,
【APP开发】java物联网室内定位app开发,https://task.epwk.com/913108/,118人,1人,"¥18,000",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,java物联网室内定位app开发,直接雇佣￥ 18000,￥ 18000,任务编号：913108,157-327.csv,,,
【书籍装帧】书籍后六册一期款,https://task.epwk.com/913138/,506人,1人,"¥9,979",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,书籍后六册一期款,直接雇佣￥ 9979,￥ 9979,任务编号：913138,157-327.csv,,,
【书籍装帧】书籍后六册3期款,https://task.epwk.com/913140/,451人,1人,"¥5,000",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,书籍后六册3期款,直接雇佣￥ 5000,￥ 5000,任务编号：913140,157-327.csv,,,
【书籍装帧】书籍后六册4期款,https://task.epwk.com/913141/,449人,1人,"¥5,000",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,书籍后六册4期款,直接雇佣￥ 5000,￥ 5000,任务编号：913141,157-327.csv,,,
【书籍装帧】书籍后六册5期款,https://task.epwk.com/913142/,433人,1人,"¥5,000",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,书籍后六册5期款,直接雇佣￥ 5000,￥ 5000,任务编号：913142,157-327.csv,,,
【书籍装帧】书籍后六册6期款,https://task.epwk.com/913143/,472人,1人,"¥5,000",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,书籍后六册6期款,直接雇佣￥ 5000,￥ 5000,任务编号：913143,157-327.csv,,,
【书籍装帧】书籍设计后六册一期尾款,https://task.epwk.com/913145/,611人,1人,"¥5,000",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,书籍设计后六册一期尾款,直接雇佣￥ 5000,￥ 5000,任务编号：913145,157-327.csv,,,
【品牌策划】品牌全案,https://task.epwk.com/913157/,78人,1人,"¥3,200",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,品牌全案,直接雇佣￥ 3200,￥ 3200,任务编号：913157,157-327.csv,,,
【小程序开发】企业小程序开发,https://task.epwk.com/913158/,116人,1人,"¥46,497",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,企业小程序开发,直接雇佣￥ 46497,￥ 46497,任务编号：913158,157-327.csv,,,
【网店推广】整合营销,https://task.epwk.com/913159/,295人,1人,"¥2,300",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,整合营销,直接雇佣￥ 2300,￥ 2300,任务编号：913159,157-327.csv,,,
【品牌策划】品牌故事,https://task.epwk.com/913160/,164人,1人,"¥1,800",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,品牌故事,直接雇佣￥ 1800,￥ 1800,任务编号：913160,157-327.csv,,,
【网店推广】整合营销传,https://task.epwk.com/913161/,227人,1人,"¥2,400",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,整合营销传,直接雇佣￥ 2400,￥ 2400,任务编号：913161,157-327.csv,,,
【微信代运营】微信代运营,https://task.epwk.com/913162/,386人,1人,"¥1,200",圆满完成,https://task.epwk.com/page179.html?m=6&o=7,微信代运营,直接雇佣￥ 1200,￥ 1200,任务编号：913162,157-327.csv,,,
【PPT设计】年会PPT设计,https://task.epwk.com/913165/,187人,1人,"¥1,800",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,年会PPT设计,直接雇佣￥ 1800,￥ 1800,任务编号：913165,157-327.csv,,,
【微信代运营】微博代运营,https://task.epwk.com/913166/,625人,1人,"¥2,600",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,微博代运营,直接雇佣￥ 2600,￥ 2600,任务编号：913166,157-327.csv,,,
【小程序开发】微信小程序开发,https://task.epwk.com/913180/,157人,1人,"¥11,390",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,微信小程序开发,直接雇佣￥ 11390,￥ 11390,任务编号：913180,157-327.csv,,,
【包装设计】包装设计,https://task.epwk.com/913226/,583人,1人,¥300,圆满完成,https://task.epwk.com/page178.html?m=6&o=7,包装设计,直接雇佣￥ 300,￥ 300,任务编号：913226,157-327.csv,,,
【创意短视频】短视频制作,https://task.epwk.com/913241/,2544人,1人,"¥28,790",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,短视频制作,直接雇佣￥ 28790,￥ 28790,任务编号：913241,157-327.csv,,,
【分销管理软件】分销系统开发一期,https://task.epwk.com/913246/,1471人,1人,"¥50,000",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,分销系统开发一期,直接雇佣￥ 50000,￥ 50000,任务编号：913246,157-327.csv,,,
【包装设计】金木水火土,https://task.epwk.com/913250/,205人,1人,¥750,圆满完成,https://task.epwk.com/page178.html?m=6&o=7,金木水火土,直接雇佣￥ 750,￥ 750,任务编号：913250,157-327.csv,,,
【宣传策划】新品宣传,https://task.epwk.com/913255/,414人,1人,"¥23,000",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,新品宣传,直接雇佣￥ 23000,￥ 23000,任务编号：913255,157-327.csv,,,
【宣传策划】app宣传,https://task.epwk.com/913257/,413人,1人,"¥8,000",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,app宣传,直接雇佣￥ 8000,￥ 8000,任务编号：913257,157-327.csv,,,
【OA系统】人事管理系统软件开发一期,https://task.epwk.com/913263/,1553人,1人,"¥9,999",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,人事管理系统软件开发一期,直接雇佣￥ 9999,￥ 9999,任务编号：913263,157-327.csv,,,
【PPT设计】PPT设计,https://task.epwk.com/913276/,360人,1人,¥350,圆满完成,https://task.epwk.com/page178.html?m=6&o=7,PPT设计,直接雇佣￥ 350,￥ 350,任务编号：913276,157-327.csv,,,
【网站二次开发】网站二次开发一期,https://task.epwk.com/913296/,346人,1人,"¥5,000",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,网站二次开发一期,直接雇佣￥ 5000,￥ 5000,任务编号：913296,157-327.csv,,,
【活动策划】新品发布会布置,https://task.epwk.com/913331/,377人,1人,"¥9,950",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,新品发布会布置,直接雇佣￥ 9950,￥ 9950,任务编号：913331,157-327.csv,,,
【VI设计】品牌策划,https://task.epwk.com/913332/,477人,1人,"¥9,900",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,品牌策划,直接雇佣￥ 9900,￥ 9900,任务编号：913332,157-327.csv,,,
【交互设计】创意文化墙绘画,https://task.epwk.com/913334/,559人,1人,"¥4,800",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,创意文化墙绘画,直接雇佣￥ 4800,￥ 4800,任务编号：913334,157-327.csv,,,
【运维服务】签名,https://task.epwk.com/913343/,1454人,1人,"¥1,575",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,签名,直接雇佣￥ 1575,￥ 1575,任务编号：913343,157-327.csv,,,
【PPT设计】PPT美化/代做PPT,https://task.epwk.com/913366/,85人,1人,¥130,圆满完成,https://task.epwk.com/page178.html?m=6&o=7,PPT美化/代做PPT,直接雇佣￥ 130,￥ 130,任务编号：913366,157-327.csv,,,
【LOGO设计】广惠网前端页面开发,https://task.epwk.com/913372/,67人,1人,"¥1,970",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,广惠网前端页面开发,直接雇佣￥ 1970,￥ 1970,任务编号：913372,157-327.csv,,,
【LOGO设计】漠河炖鱼新店开业宣传海报设计,https://task.epwk.com/913373/,394人,1人,"¥1,960",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,漠河炖鱼新店开业宣传海报设计,直接雇佣￥ 1960,￥ 1960,任务编号：913373,157-327.csv,,,
【小程序开发】求购商城成品开发,https://task.epwk.com/913389/,82人,1人,"¥36,800",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,求购商城成品开发,直接雇佣￥ 36800,￥ 36800,任务编号：913389,157-327.csv,,,
【小程序开发】外卖小程序开发,https://task.epwk.com/913393/,101人,1人,"¥45,000",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,外卖小程序开发,直接雇佣￥ 45000,￥ 45000,任务编号：913393,157-327.csv,,,
【企业官网】企业官网开发,https://task.epwk.com/913402/,214人,1人,"¥11,200",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,企业官网开发,直接雇佣￥ 11200,￥ 11200,任务编号：913402,157-327.csv,,,
【微信开发】小店海鲜大卖场”小程序开发,https://task.epwk.com/913415/,348人,1人,"¥18,900",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,小店海鲜大卖场”小程序开发,直接雇佣￥ 18900,￥ 18900,任务编号：913415,157-327.csv,,,
【其他软件开发】微信云发单机器人(淘客版）,https://task.epwk.com/913416/,284人,1人,"¥10,000",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,微信云发单机器人(淘客版）,直接雇佣￥ 10000,￥ 10000,任务编号：913416,157-327.csv,,,
【书籍装帧】杂志装帧排版设计,https://task.epwk.com/913433/,571人,1人,"¥8,832",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,杂志装帧排版设计,直接雇佣￥ 8832,￥ 8832,任务编号：913433,157-327.csv,,,
【品牌策划】品牌全案套餐A,https://task.epwk.com/913445/,178人,1人,"¥1,200",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,品牌全案套餐A,直接雇佣￥ 1200,￥ 1200,任务编号：913445,157-327.csv,,,
【品牌策划】品牌全案套餐B,https://task.epwk.com/913446/,120人,1人,"¥2,800",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,品牌全案套餐B,直接雇佣￥ 2800,￥ 2800,任务编号：913446,157-327.csv,,,
【品牌策划】品牌全案套餐B,https://task.epwk.com/913447/,83人,1人,"¥2,800",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,品牌全案套餐B,直接雇佣￥ 2800,￥ 2800,任务编号：913447,157-327.csv,,,
【品牌策划】品牌全案套餐A,https://task.epwk.com/913449/,117人,1人,"¥1,200",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,品牌全案套餐A,直接雇佣￥ 1200,￥ 1200,任务编号：913449,157-327.csv,,,
【品牌策划】品牌全案,https://task.epwk.com/913450/,174人,1人,"¥1,500",圆满完成,https://task.epwk.com/page178.html?m=6&o=7,品牌全案,直接雇佣￥ 1500,￥ 1500,任务编号：913450,157-327.csv,,,
【品牌策划】品牌全案套餐B,https://task.epwk.com/913455/,110人,1人,"¥2,800",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,品牌全案套餐B,直接雇佣￥ 2800,￥ 2800,任务编号：913455,157-327.csv,,,
【品牌策划】品牌全案套餐C,https://task.epwk.com/913456/,132人,1人,"¥8,400",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,品牌全案套餐C,直接雇佣￥ 8400,￥ 8400,任务编号：913456,157-327.csv,,,
【APP开发】便民服务软件开发第五期,https://task.epwk.com/913459/,177人,1人,"¥30,000",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,便民服务软件开发第五期,直接雇佣￥ 30000,￥ 30000,任务编号：913459,157-327.csv,,,
【APP开发】便民服务软件开发第六期,https://task.epwk.com/913460/,119人,1人,"¥20,000",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,便民服务软件开发第六期,直接雇佣￥ 20000,￥ 20000,任务编号：913460,157-327.csv,,,
【APP开发】便民服务软件开发第七期,https://task.epwk.com/913461/,175人,1人,"¥20,000",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,便民服务软件开发第七期,直接雇佣￥ 20000,￥ 20000,任务编号：913461,157-327.csv,,,
汽车品牌推广服务,https://task.epwk.com/913465/,130人,1人,"¥33,666",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,汽车品牌推广服务,直接雇佣￥ 33666,￥ 33666,任务编号：913465,157-327.csv,,,
物流软件,https://task.epwk.com/913466/,166人,1人,"¥23,000",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,物流软件,直接雇佣￥ 23000,￥ 23000,任务编号：913466,157-327.csv,,,
【APP开发】商城购物app、租赁交易app、电影购票app等,https://task.epwk.com/913470/,269人,1人,"¥30,000",圆满完成,https://task.epwk.com/page177.html?m=6&o=7,商城购物app、租赁交易app、电影购票app等,直接雇佣￥ 30000,￥ 30000,任务编号：913470,157-327.csv,,,
