标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,
【安全服务】防御升级,https://task.epwk.com/1026317/,160人,1人,"¥4,000",圆满完成,,防御升级,直接雇佣￥ 4000,￥ 4000,任务编号：1026317,0-88.csv,2023,
【企业官网】网站维护,https://task.epwk.com/1026330/,48人,1人,"¥2,000",圆满完成,,网站维护,直接雇佣￥ 2000,￥ 2000,任务编号：1026330,0-88.csv,,
【LOGO设计】设计一个公司标志,https://task.epwk.com/1026331/,130人,1人,"¥3,500",圆满完成,,设计一个公司标志,直接雇佣￥ 3500,￥ 3500,任务编号：1026331,0-88.csv,,
【排版设计】公司内宣期刊排版设计,https://task.epwk.com/1026336/,136人,1人,"¥9,600",圆满完成,,公司内宣期刊排版设计,直接雇佣￥ 9600,￥ 9600,任务编号：1026336,0-88.csv,,
【包装设计】礼盒包装设计,https://task.epwk.com/1026455/,111人,1人,"¥6,000",圆满完成,,礼盒包装设计,直接雇佣￥ 6000,￥ 6000,任务编号：1026455,0-88.csv,,
【书籍装帧】杂志月刊编排设计,https://task.epwk.com/1026506/,118人,1人,"¥12,900",圆满完成,,杂志月刊编排设计,直接雇佣￥ 12900,￥ 12900,任务编号：1026506,0-88.csv,,
【小程序开发】文艺小程序H5改版,https://task.epwk.com/1026557/,67人,1人,"¥2,250",圆满完成,,文艺小程序H5改版,直接雇佣￥ 2250,￥ 2250,任务编号：1026557,0-88.csv,,
【画册设计】纪念画册,https://task.epwk.com/1026603/,80人,1人,"¥8,700",圆满完成,,纪念画册,直接雇佣￥ 8700,￥ 8700,任务编号：1026603,0-88.csv,,
【APP开发】游戏开发,https://task.epwk.com/1026609/,124人,1人,"¥10,000",圆满完成,,游戏开发,直接雇佣￥ 10000,￥ 10000,任务编号：1026609,0-88.csv,,
【门户网站】企业网站开发,https://task.epwk.com/1026631/,176人,1人,"¥36,000",圆满完成,,企业网站开发,直接雇佣￥ 36000,￥ 36000,任务编号：1026631,0-88.csv,,
【LOGO设计】LOGO设计,https://task.epwk.com/1026643/,139人,1人,"¥4,500",圆满完成,,LOGO设计,直接雇佣￥ 4500,￥ 4500,任务编号：1026643,0-88.csv,,
【PPT设计】ppt美化设计，共约120页，按30一页，包满意，,https://task.epwk.com/1026696/,274人,1人,"¥3,150",圆满完成,,ppt美化设计，共约120页，按30一页，包满意，,直接雇佣￥ 3150,￥ 3150,任务编号：1026696,0-88.csv,,
【书籍装帧】2023年1月刊设计,https://task.epwk.com/1026784/,115人,1人,"¥14,000",圆满完成,,2023年1月刊设计,直接雇佣￥ 14000,￥ 14000,任务编号：1026784,0-88.csv,,
【其他软件开发】下载网站数据,https://task.epwk.com/1026856/,413人,1人,"¥2,000",待验收,,下载网站数据,直接雇佣￥ 2000,￥ 2000,任务编号：1026856,0-88.csv,,
【LOGO设计】商行标志设计,https://task.epwk.com/1026877/,90人,1人,"¥5,000",圆满完成,,商行标志设计,直接雇佣￥ 5000,￥ 5000,任务编号：1026877,0-88.csv,,
【宣传册设计】宣传册排版设计,https://task.epwk.com/1026940/,104人,1人,"¥5,568",圆满完成,,宣传册排版设计,直接雇佣￥ 5568,￥ 5568,任务编号：1026940,0-88.csv,,
【包装设计】包装设计,https://task.epwk.com/1026953/,132人,1人,"¥6,000",圆满完成,,包装设计,直接雇佣￥ 6000,￥ 6000,任务编号：1026953,0-88.csv,,
【H5开发】手机页面调整,https://task.epwk.com/1027177/,374人,1人,¥200,圆满完成,,手机页面调整,直接雇佣￥ 200,￥ 200,任务编号：1027177,0-88.csv,,
【手游开发】服务器防御续费,https://task.epwk.com/1027228/,89人,1人,"¥12,000",圆满完成,,服务器防御续费,直接雇佣￥ 12000,￥ 12000,任务编号：1027228,0-88.csv,,
【小程序开发】问卷调查小程序,https://task.epwk.com/1027456/,72人,1人,"¥4,500",圆满完成,,问卷调查小程序,直接雇佣￥ 4500,￥ 4500,任务编号：1027456,0-88.csv,,
【小程序开发】问卷调查小程序2,https://task.epwk.com/1027457/,119人,1人,"¥4,800",圆满完成,,问卷调查小程序2,直接雇佣￥ 4800,￥ 4800,任务编号：1027457,0-88.csv,,
【APP开发】APP开发打包,https://task.epwk.com/1027575/,80人,1人,"¥12,000",圆满完成,,APP开发打包,直接雇佣￥ 12000,￥ 12000,任务编号：1027575,0-88.csv,,
【脚本开发】拖图软件,https://task.epwk.com/1027692/,75人,1人,"¥3,500",圆满完成,,拖图软件,直接雇佣￥ 3500,￥ 3500,任务编号：1027692,0-88.csv,,
【定制开发】教学课件开发二期,https://task.epwk.com/1027880/,88人,1人,"¥3,000",圆满完成,,教学课件开发二期,直接雇佣￥ 3000,￥ 3000,任务编号：1027880,0-88.csv,,
【其他工具软件】windows程序,https://task.epwk.com/1027913/,152人,1人,"¥4,000",圆满完成,,windows程序,直接雇佣￥ 4000,￥ 4000,任务编号：1027913,0-88.csv,,
【LOGO设计】LOGO设计,https://task.epwk.com/1028098/,82人,1人,"¥9,000",圆满完成,,LOGO设计,直接雇佣￥ 9000,￥ 9000,任务编号：1028098,0-88.csv,,
【定制开发】校园接单网站开发,https://task.epwk.com/1028128/,160人,1人,"¥5,000",圆满完成,,校园接单网站开发,直接雇佣￥ 5000,￥ 5000,任务编号：1028128,0-88.csv,,
【LOGO设计】设计一个建筑公司的logo,https://task.epwk.com/1028141/,125人,1人,¥300,圆满完成,,设计一个建筑公司的logo,直接雇佣￥ 300,￥ 300,任务编号：1028141,0-88.csv,,
【LOGO设计】连锁品牌设计,https://task.epwk.com/1028203/,95人,1人,"¥6,500",圆满完成,,连锁品牌设计,直接雇佣￥ 6500,￥ 6500,任务编号：1028203,0-88.csv,,
【响应式网站】按照接口开发相关网页数据显示,https://task.epwk.com/1028268/,153人,1人,"¥5,000",圆满完成,,按照接口开发相关网页数据显示,直接雇佣￥ 5000,￥ 5000,任务编号：1028268,0-88.csv,,
【产品外观设计】数学封面,https://task.epwk.com/1028278/,121人,1人,¥500,圆满完成,,数学封面,直接雇佣￥ 500,￥ 500,任务编号：1028278,0-88.csv,,
【定制开发】刷题考试类应用小程序,https://task.epwk.com/1028396/,147人,1人,"¥13,000",圆满完成,,刷题考试类应用小程序,直接雇佣￥ 13000,￥ 13000,任务编号：1028396,0-88.csv,,
【LOGO设计】金融类logo,https://task.epwk.com/1028401/,93人,1人,¥400,圆满完成,,金融类logo,直接雇佣￥ 400,￥ 400,任务编号：1028401,0-88.csv,,
【画册设计】新品画册,https://task.epwk.com/1028433/,73人,1人,"¥5,120",圆满完成,,新品画册,直接雇佣￥ 5120,￥ 5120,任务编号：1028433,0-88.csv,,
【商城建设】企业网站开发尾款,https://task.epwk.com/1028479/,115人,1人,"¥36,000",圆满完成,,企业网站开发尾款,直接雇佣￥ 36000,￥ 36000,任务编号：1028479,0-88.csv,,
【电商网站】需要一个现成的商城,https://task.epwk.com/1028513/,97人,1人,"¥11,999",圆满完成,,需要一个现成的商城,直接雇佣￥ 11999,￥ 11999,任务编号：1028513,0-88.csv,,
【APP开发】app开发生鲜超市,https://task.epwk.com/1028573/,120人,1人,"¥22,999",圆满完成,,app开发生鲜超市,直接雇佣￥ 22999,￥ 22999,任务编号：1028573,0-88.csv,,
【LOGO设计】VI设计应用,https://task.epwk.com/1028623/,180人,1人,"¥4,500",圆满完成,,VI设计应用,直接雇佣￥ 4500,￥ 4500,任务编号：1028623,0-88.csv,,
【LOGO设计】会所LOGO设计,https://task.epwk.com/1028716/,123人,1人,"¥4,800",圆满完成,,会所LOGO设计,直接雇佣￥ 4800,￥ 4800,任务编号：1028716,0-88.csv,,
