标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,知识
需要文章的撰写,https://task.epwk.com/244139/,588人,1人,¥350,圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,需要文章的撰写,直接雇佣￥ 350,￥ 350,任务编号：244139,3153-3304.csv,,2014.0,文章撰写
【动漫其他】1000块画10张场景,https://task.epwk.com/244146/,779人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,1000块画10张场景,直接雇佣￥ 1000,￥ 1000,任务编号：244146,3153-3304.csv,,,"场景设计, 插画设计"
【封面设计】单本教辅图书封面设计,https://task.epwk.com/244149/,370人,1人,"¥1,600",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,单本教辅图书封面设计,直接雇佣￥ 1600,￥ 1600,任务编号：244149,3153-3304.csv,,,"教辅图书, 封面设计"
【小程序开发】修改企业网站的问题,https://task.epwk.com/244241/,232人,1人,¥200,圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,修改企业网站的问题,直接雇佣￥ 200,￥ 200,任务编号：244241,3153-3304.csv,,,"企业网站, 问题修改"
【动漫其他】500元画场景（二）,https://task.epwk.com/244266/,648人,1人,¥500,圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,500元画场景（二）,直接雇佣￥ 500,￥ 500,任务编号：244266,3153-3304.csv,,,"动漫场景, 封面/插画设计"
【产品外观设计】消费电子产品外观设计,https://task.epwk.com/244288/,1478人,1人,"¥2,300",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,消费电子产品外观设计,直接雇佣￥ 2300,￥ 2300,任务编号：244288,3153-3304.csv,,,"消费电子, 外观设计"
【企业官网】为公司的软件建网站修改,https://task.epwk.com/244328/,315人,1人,¥100,圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,为公司的软件建网站修改,直接雇佣￥ 100,￥ 100,任务编号：244328,3153-3304.csv,,,"软件网站, 公司网站修改"
【网站UI设计】营销型网站网页视觉包装美工设计,https://task.epwk.com/244408/,320人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,营销型网站网页视觉包装美工设计,直接雇佣￥ 3000,￥ 3000,任务编号：244408,3153-3304.csv,,,"营销型网站, 网页视觉设计, 包装设计"
【软件UI设计】软件UI图标制作,https://task.epwk.com/244435/,760人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,软件UI图标制作,直接雇佣￥ 1000,￥ 1000,任务编号：244435,3153-3304.csv,,,"软件UI, 图标设计"
【海报设计】公司促销活动海报设计,https://task.epwk.com/244461/,253人,1人,"¥1,600",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,公司促销活动海报设计,直接雇佣￥ 1600,￥ 1600,任务编号：244461,3153-3304.csv,,,"公司促销, 海报设计"
【网站UI设计】公司网站整站设计,https://task.epwk.com/244516/,258人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,公司网站整站设计,直接雇佣￥ 1000,￥ 1000,任务编号：244516,3153-3304.csv,,,"公司网站, 整站设计"
【APP开发】商场主题展览活动移动应用安卓版制作,https://task.epwk.com/244519/,295人,1人,"¥7,000",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,商场主题展览活动移动应用安卓版制作,直接雇佣￥ 7000,￥ 7000,任务编号：244519,3153-3304.csv,,,"商场主题展览, 移动应用, 安卓版"
【小程序开发】找人做FLASH程序开发,https://task.epwk.com/244535/,341人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,找人做FLASH程序开发,直接雇佣￥ 2000,￥ 2000,任务编号：244535,3153-3304.csv,,,"FLASH程序, 开发"
【网站优化方案】百度360搜搜互动网站推广,https://task.epwk.com/244549/,398人,1人,¥750,圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,百度360搜搜互动网站推广,直接雇佣￥ 750,￥ 750,任务编号：244549,3153-3304.csv,,,"百度360搜索, 网站推广"
【广告设计】两块宣传展板设计,https://task.epwk.com/244581/,179人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,两块宣传展板设计,直接雇佣￥ 1500,￥ 1500,任务编号：244581,3153-3304.csv,,,"宣传展板, 设计"
【3D建模】产品需建模及出2张效果图,https://task.epwk.com/244600/,2115人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,产品需建模及出2张效果图,直接雇佣￥ 3000,￥ 3000,任务编号：244600,3153-3304.csv,,,"产品建模, 效果图"
【电商网站】模仿一个电子商务网站,https://task.epwk.com/244683/,318人,1人,"¥3,700",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,模仿一个电子商务网站,直接雇佣￥ 3700,￥ 3700,任务编号：244683,3153-3304.csv,,,"电子商务网站, 模仿"
【电商网站】爱宝玛咖网站建设,https://task.epwk.com/244690/,443人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3225.html?m=6&o=7,爱宝玛咖网站建设,直接雇佣￥ 3000,￥ 3000,任务编号：244690,3153-3304.csv,,,"爱宝玛咖网站, 网站建设"
