标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,知识
【APP界面设计】游戏网站设计手机网页版,https://task.epwk.com/399602/,382人,1人,"¥13,000",圆满完成,https://task.epwk.com/page2790.html?m=6&o=7,游戏网站设计手机网页版,直接雇佣￥ 13000,￥ 13000,任务编号：399602,2000-2900.csv,,"游戏网站, 手机网页设计"
【背景墙设计】婚礼背景设计,https://task.epwk.com/399603/,630人,1人,¥200,圆满完成,https://task.epwk.com/page2790.html?m=6&o=7,婚礼背景设计,直接雇佣￥ 200,￥ 200,任务编号：399603,2000-2900.csv,,"婚礼背景, 设计"
【FLASH制作】网页FALSH设计,https://task.epwk.com/399615/,470人,1人,"¥4,999",圆满完成,https://task.epwk.com/page2790.html?m=6&o=7,网页FALSH设计,直接雇佣￥ 4999,￥ 4999,任务编号：399615,2000-2900.csv,,"网页设计, FLASH设计"
【小程序开发】锐腾项目,https://task.epwk.com/399652/,463人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2790.html?m=6&o=7,锐腾项目,直接雇佣￥ 2000,￥ 2000,任务编号：399652,2000-2900.csv,,锐腾项目
【漫画设计】玉女插画,https://task.epwk.com/399688/,515人,1人,¥800,圆满完成,https://task.epwk.com/page2790.html?m=6&o=7,玉女插画,直接雇佣￥ 800,￥ 800,任务编号：399688,2000-2900.csv,,玉女插画
【企业官网】二个页面的数据调用按目标网站做,https://task.epwk.com/399700/,180人,1人,¥400,圆满完成,https://task.epwk.com/page2790.html?m=6&o=7,二个页面的数据调用按目标网站做,直接雇佣￥ 400,￥ 400,任务编号：399700,2000-2900.csv,,"数据调用, 目标网站"
【网站优化方案】游戏平台短信推广,https://task.epwk.com/399703/,229人,1人,"¥4,100",圆满完成,https://task.epwk.com/page2790.html?m=6&o=7,游戏平台短信推广,直接雇佣￥ 4100,￥ 4100,任务编号：399703,2000-2900.csv,,"游戏平台, 短信推广"
【商业提案】项目文案,https://task.epwk.com/399714/,336人,1人,¥500,圆满完成,https://task.epwk.com/page2790.html?m=6&o=7,项目文案,直接雇佣￥ 500,￥ 500,任务编号：399714,2000-2900.csv,,项目文案
【PPT设计】良木优品PPT设计,https://task.epwk.com/399721/,244人,1人,¥500,圆满完成,https://task.epwk.com/page2790.html?m=6&o=7,良木优品PPT设计,直接雇佣￥ 500,￥ 500,任务编号：399721,2000-2900.csv,,"良木优品, PPT设计"
【企业官网】良木优品网站设计,https://task.epwk.com/399723/,279人,1人,"¥3,500",圆满完成,https://task.epwk.com/page2790.html?m=6&o=7,良木优品网站设计,直接雇佣￥ 3500,￥ 3500,任务编号：399723,2000-2900.csv,,"网站设计, 良木优品"
