标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,知识
产品宣传册设计,https://task.epwk.com/468369/,129人,1人,"¥14,600",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,产品宣传册设计,直接雇佣￥ 14600,￥ 14600,任务编号：468369,2000-2900.csv,,2017.0,,"产品宣传册, 设计"
【APP开发】商圈app,https://task.epwk.com/468370/,115人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,商圈app,直接雇佣￥ 40000,￥ 40000,任务编号：468370,2000-2900.csv,,,,"商圈, app"
画册设计,https://task.epwk.com/468372/,42人,1人,"¥10,500",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,画册设计,直接雇佣￥ 10500,￥ 10500,任务编号：468372,2000-2900.csv,,,,"画册, 设计"
【软件UI设计】赛艇ui设计,https://task.epwk.com/468380/,482人,1人,¥600,圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,赛艇ui设计,直接雇佣￥ 600,￥ 600,任务编号：468380,2000-2900.csv,,,,"赛艇, UI设计"
【LOGO设计】地产行业vi全案,https://task.epwk.com/468383/,424人,1人,"¥49,999",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,地产行业vi全案,直接雇佣￥ 49999,￥ 49999,任务编号：468383,2000-2900.csv,,,,"地产行业, VI设计, 全案设计"
【宣传册设计】国际教育画册全年,https://task.epwk.com/468385/,415人,1人,"¥49,998",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,国际教育画册全年,直接雇佣￥ 49998,￥ 49998,任务编号：468385,2000-2900.csv,,,,"国际教育, 画册, 全年"
【企业官网】妇儿医院手机网站搭建,https://task.epwk.com/468389/,122人,1人,"¥2,681",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,妇儿医院手机网站搭建,直接雇佣￥ 2681,￥ 2681,任务编号：468389,2000-2900.csv,,,,"妇儿医院, 手机网站, 搭建"
【APP开发】ios开发,https://task.epwk.com/468390/,834人,1人,"¥2,500",待验收,,ios开发,直接雇佣￥ 2500,￥ 2500,任务编号：468390,0-88.csv,,,,ios开发
【LOGO设计】原创基础款logo设计,https://task.epwk.com/468401/,189人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,原创基础款logo设计,直接雇佣￥ 1000,￥ 1000,任务编号：468401,2000-2900.csv,,,,"原创基础款, logo设计"
【企业官网】高端定制门户,https://task.epwk.com/468402/,233人,1人,"¥2,200",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,高端定制门户,直接雇佣￥ 2200,￥ 2200,任务编号：468402,2000-2900.csv,,,,"高端定制, 门户"
【其他家装服务】二居室装修设计,https://task.epwk.com/468403/,434人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,二居室装修设计,直接雇佣￥ 50000,￥ 50000,任务编号：468403,2000-2900.csv,,,,"二居室, 装修设计"
【其他家装服务】装修施工图设计,https://task.epwk.com/468404/,415人,1人,"¥50,000",圆满完成,https://task.epwk.com/page2369.html?m=6&o=7,装修施工图设计,直接雇佣￥ 50000,￥ 50000,任务编号：468404,2000-2900.csv,,,,"装修施工图, 设计"
