标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,知识
【小程序开发】小游戏开发,https://task.epwk.com/827365/,134人,1人,"¥30,000",圆满完成,,小游戏开发,直接雇佣￥ 30000,￥ 30000,任务编号：827365,532-1000.csv,,2020.0,,,,小游戏开发
【APP开发】跑步运动类APP的定位，轨迹功能首期开发,https://task.epwk.com/827386/,244人,1人,"¥31,000",圆满完成,,跑步运动类APP的定位，轨迹功能首期开发,直接雇佣￥ 31000,￥ 31000,任务编号：827386,532-1000.csv,,,,,,"跑步运动, APP定位, 轨迹功能"
【其他家装服务】食堂装修设计施工,https://task.epwk.com/827392/,224人,1人,"¥41,000",圆满完成,,食堂装修设计施工,直接雇佣￥ 41000,￥ 41000,任务编号：827392,532-1000.csv,,,,,,"食堂装修, 食堂设计, 施工设计"
【APP开发】app新增功能,https://task.epwk.com/827395/,136人,1人,"¥14,000",圆满完成,,app新增功能,直接雇佣￥ 14000,￥ 14000,任务编号：827395,532-1000.csv,,,,,,"app功能, 新增功能"
【小程序开发】绿叶小程序开发,https://task.epwk.com/827399/,129人,1人,"¥20,000",圆满完成,,绿叶小程序开发,直接雇佣￥ 20000,￥ 20000,任务编号：827399,532-1000.csv,,,,,,"绿叶, 小程序"
【插画设计】蜘蛛图形艺术化设计作品第二期征集,https://task.epwk.com/827401/,683人,1人,"¥2,400",圆满完成,,蜘蛛图形艺术化设计作品第二期征集,直接雇佣￥ 2400,￥ 2400,任务编号：827401,532-1000.csv,,,,,,"蜘蛛图形, 艺术化设计, 作品征集"
【插画设计】蜘蛛图形艺术化设计作品第二期征集,https://task.epwk.com/827404/,777人,1人,"¥2,400",圆满完成,,蜘蛛图形艺术化设计作品第二期征集,直接雇佣￥ 2400,￥ 2400,任务编号：827404,532-1000.csv,,,,,,"蜘蛛图形, 艺术化设计, 作品征集"
【APP开发】生活娱乐软件开发2期,https://task.epwk.com/827409/,178人,1人,"¥31,898",圆满完成,,生活娱乐软件开发2期,直接雇佣￥ 31898,￥ 31898,任务编号：827409,532-1000.csv,,,,,,"生活娱乐软件, 软件开发"
【小程序开发】微信小程序开发,https://task.epwk.com/827418/,236人,1人,"¥10,000",圆满完成,,微信小程序开发,直接雇佣￥ 10000,￥ 10000,任务编号：827418,532-1000.csv,,,,,,"微信小程序, 开发"
【卡通形象设计】蜘蛛图形艺术化设计作品第二期征集,https://task.epwk.com/827420/,688人,1人,"¥2,400",圆满完成,,蜘蛛图形艺术化设计作品第二期征集,直接雇佣￥ 2400,￥ 2400,任务编号：827420,532-1000.csv,,,,,,"蜘蛛图形, 艺术化设计, 作品征集"
【漫画设计】蜘蛛图形艺术化设计作品第二期征集,https://task.epwk.com/827422/,800人,1人,"¥2,400",圆满完成,,蜘蛛图形艺术化设计作品第二期征集,直接雇佣￥ 2400,￥ 2400,任务编号：827422,532-1000.csv,,,,,,"蜘蛛图形, 艺术化设计, 作品征集"
【APP开发】工具类APP,https://task.epwk.com/827430/,185人,1人,"¥31,000",圆满完成,,工具类APP,直接雇佣￥ 31000,￥ 31000,任务编号：827430,532-1000.csv,,,,,,工具类APP
【APP开发】AR开发AR增强现实体验VR虚拟系统定制开发,https://task.epwk.com/827492/,265人,1人,"¥32,500",圆满完成,,AR开发AR增强现实体验VR虚拟系统定制开发,直接雇佣￥ 32500,￥ 32500,任务编号：827492,532-1000.csv,,,,,,"AR开发, 增强现实体验, VR虚拟系统"
【小程序开发】小程序开发,https://task.epwk.com/827498/,92人,1人,"¥23,980",圆满完成,,小程序开发,直接雇佣￥ 23980,￥ 23980,任务编号：827498,532-1000.csv,,,,,,小程序开发
【其他软件开发】苹果开发者账户代付费,https://task.epwk.com/827499/,216人,1人,"¥1,748",圆满完成,,苹果开发者账户代付费,直接雇佣￥ 1748,￥ 1748,任务编号：827499,532-1000.csv,,,,,,"苹果开发者账户, 代付费"
【APP开发】电商平台APP开发,https://task.epwk.com/827506/,110人,1人,"¥30,000",圆满完成,,电商平台APP开发,直接雇佣￥ 30000,￥ 30000,任务编号：827506,532-1000.csv,,,,,,"电商平台, APP开发"
【品牌策划】品牌全案,https://task.epwk.com/827522/,79人,1人,"¥6,500",圆满完成,,品牌全案,直接雇佣￥ 6500,￥ 6500,任务编号：827522,532-1000.csv,,,,,,品牌全案
【宣传策划】商业计划书,https://task.epwk.com/827527/,81人,1人,"¥8,500",圆满完成,,商业计划书,直接雇佣￥ 8500,￥ 8500,任务编号：827527,532-1000.csv,,,,,,商业计划书
【LOGO设计】标志设计,https://task.epwk.com/827530/,158人,1人,"¥3,990",圆满完成,,标志设计,直接雇佣￥ 3990,￥ 3990,任务编号：827530,532-1000.csv,,,,,,标志设计
【网店推广】全网整合营销,https://task.epwk.com/827532/,108人,1人,"¥9,500",圆满完成,,全网整合营销,直接雇佣￥ 9500,￥ 9500,任务编号：827532,532-1000.csv,,,,,,"全网营销, 营销策略"
【微信开发】小程序开发,https://task.epwk.com/827538/,120人,1人,"¥7,900",圆满完成,,小程序开发,直接雇佣￥ 7900,￥ 7900,任务编号：827538,532-1000.csv,,,,,,小程序开发
【宣传策划】活动策划案,https://task.epwk.com/827547/,108人,1人,"¥3,200",圆满完成,,活动策划案,直接雇佣￥ 3200,￥ 3200,任务编号：827547,532-1000.csv,,,,,,"活动策划, 策划案"
【小程序开发】微信小程序开发,https://task.epwk.com/827549/,93人,1人,"¥20,000",圆满完成,,微信小程序开发,直接雇佣￥ 20000,￥ 20000,任务编号：827549,532-1000.csv,,,,,,"微信小程序, 开发"
【其他行业】外卖APP成品,https://task.epwk.com/827550/,144人,1人,"¥40,000",圆满完成,,外卖APP成品,直接雇佣￥ 40000,￥ 40000,任务编号：827550,532-1000.csv,,,,,,"外卖APP, 成品"
【企业官网】企业网站推广,https://task.epwk.com/827552/,169人,1人,"¥15,000",圆满完成,,企业网站推广,直接雇佣￥ 15000,￥ 15000,任务编号：827552,532-1000.csv,,,,,,"企业网站, 推广"
【品牌策划】品牌全案,https://task.epwk.com/827555/,112人,1人,"¥7,500",圆满完成,,品牌全案,直接雇佣￥ 7500,￥ 7500,任务编号：827555,532-1000.csv,,,,,,品牌全案
【LOGO设计】logo设计,https://task.epwk.com/827558/,185人,1人,"¥15,500",圆满完成,,logo设计,直接雇佣￥ 15500,￥ 15500,任务编号：827558,532-1000.csv,,,,,,logo设计
【网店推广】全网整合营销,https://task.epwk.com/827561/,105人,1人,"¥8,500",圆满完成,,全网整合营销,直接雇佣￥ 8500,￥ 8500,任务编号：827561,532-1000.csv,,,,,,"全网营销, 营销策略"
【小程序开发】小程序,https://task.epwk.com/827574/,369人,1人,"¥5,000",圆满完成,,小程序,直接雇佣￥ 5000,￥ 5000,任务编号：827574,532-1000.csv,,,,,,小程序
【宣传策划】商业计划书,https://task.epwk.com/827578/,179人,1人,"¥5,300",圆满完成,,商业计划书,直接雇佣￥ 5300,￥ 5300,任务编号：827578,532-1000.csv,,,,,,商业计划书
夺宝小程序开发,https://task.epwk.com/827579/,64人,1人,"¥6,000",圆满完成,,夺宝小程序开发,直接雇佣￥ 6000,￥ 6000,任务编号：827579,532-1000.csv,,,,,,"夺宝小程序, 开发"
【品牌策划】品牌全案,https://task.epwk.com/827582/,129人,1人,"¥7,600",圆满完成,,品牌全案,直接雇佣￥ 7600,￥ 7600,任务编号：827582,532-1000.csv,,,,,,品牌全案
【APP开发】app修改 +上架,https://task.epwk.com/827583/,107人,1人,"¥20,000",圆满完成,,app修改 +上架,直接雇佣￥ 20000,￥ 20000,任务编号：827583,532-1000.csv,,,,,,"app修改, 上架"
【宣传策划】活动策划案,https://task.epwk.com/827584/,287人,1人,"¥4,100",圆满完成,,活动策划案,直接雇佣￥ 4100,￥ 4100,任务编号：827584,532-1000.csv,,,,,,"活动策划, 策划案"
【包装设计】7款包装设计,https://task.epwk.com/827587/,372人,1人,"¥7,000",圆满完成,,7款包装设计,直接雇佣￥ 7000,￥ 7000,任务编号：827587,532-1000.csv,,,,,,"包装设计, 7款"
【VI设计】餐饮行业VI,https://task.epwk.com/827588/,396人,1人,"¥5,000",圆满完成,,餐饮行业VI,直接雇佣￥ 5000,￥ 5000,任务编号：827588,532-1000.csv,,,,,,"餐饮行业, VI设计"
【APP开发】电器商城开发第一期,https://task.epwk.com/827590/,116人,1人,"¥40,000",圆满完成,,电器商城开发第一期,直接雇佣￥ 40000,￥ 40000,任务编号：827590,532-1000.csv,,,,,,"电器商城, 开发, 第一期"
【APP开发】小视频APP开发,https://task.epwk.com/827593/,121人,1人,"¥30,000",圆满完成,,小视频APP开发,直接雇佣￥ 30000,￥ 30000,任务编号：827593,532-1000.csv,,,,,,"小视频, APP开发"
【APP开发】APP开发,https://task.epwk.com/827609/,129人,1人,"¥40,000",圆满完成,,APP开发,直接雇佣￥ 40000,￥ 40000,任务编号：827609,532-1000.csv,,,,,,APP开发
【小程序开发】小程序开发,https://task.epwk.com/827610/,118人,1人,"¥15,880",圆满完成,,小程序开发,直接雇佣￥ 15880,￥ 15880,任务编号：827610,532-1000.csv,,,,,,小程序开发
【APP开发】APP开发一期,https://task.epwk.com/827611/,113人,1人,"¥20,000",圆满完成,,APP开发一期,直接雇佣￥ 20000,￥ 20000,任务编号：827611,532-1000.csv,,,,,,"APP开发, 一期"
【小程序开发】小程序开发,https://task.epwk.com/827612/,121人,1人,"¥15,580",圆满完成,,小程序开发,直接雇佣￥ 15580,￥ 15580,任务编号：827612,532-1000.csv,,,,,,小程序开发
【包装设计】新春大礼包包装设计,https://task.epwk.com/827616/,458人,1人,"¥3,900",圆满完成,,新春大礼包包装设计,直接雇佣￥ 3900,￥ 3900,任务编号：827616,532-1000.csv,,,,,,"新春大礼包, 包装设计"
【脚本开发】app.人气协议软件开发,https://task.epwk.com/827622/,608人,1人,"¥9,000",圆满完成,,app.人气协议软件开发,直接雇佣￥ 9000,￥ 9000,任务编号：827622,532-1000.csv,,,,,,"app, 人气协议, 软件开发"
【APP开发】APP开发,https://task.epwk.com/827627/,89人,1人,"¥12,000",圆满完成,,APP开发,直接雇佣￥ 12000,￥ 12000,任务编号：827627,532-1000.csv,,,,,,APP开发
【小程序开发】办公管理软件开发尾款,https://task.epwk.com/827639/,131人,1人,"¥9,578",圆满完成,,办公管理软件开发尾款,直接雇佣￥ 9578,￥ 9578,任务编号：827639,532-1000.csv,,,,,,"办公管理软件, 尾款"
【海报设计】新年海报设计10张,https://task.epwk.com/827641/,429人,1人,"¥5,000",圆满完成,,新年海报设计10张,直接雇佣￥ 5000,￥ 5000,任务编号：827641,532-1000.csv,,,,,,"新年海报, 设计, 海报设计"
