标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,,,
【网站UI设计】Ui 设计转回,https://task.epwk.com/1102282/,14人,1人,¥75,圆满完成,,Ui 设计转回,直接雇佣￥ 75,￥ 75,任务编号：1102282,0-88.csv,2025,,,
【背景墙设计】公司前台背景墙-墙绘设计,https://task.epwk.com/1102369/,85人,1人,"¥1,800",圆满完成,,公司前台背景墙-墙绘设计,直接雇佣￥ 1800,￥ 1800,任务编号：1102369,0-88.csv,,,,
【其他内容创作】会议展览策划周年庆典年会开业产品推介会发布会促销活动物料,https://task.epwk.com/1102699/,279人,1人,¥300,待验收,,会议展览策划周年庆典年会开业产品推介会发布会促销活动物料,直接雇佣￥ 300,￥ 300,任务编号：1102699,0-88.csv,,,,
【H5设计】手机端设计,https://task.epwk.com/1102949/,38人,1人,"¥3,300",圆满完成,,手机端设计,直接雇佣￥ 3300,￥ 3300,任务编号：1102949,0-88.csv,,,,
【LOGO设计】logo设计,https://task.epwk.com/1103518/,105人,1人,"¥5,814",圆满完成,,logo设计,直接雇佣￥ 5814,￥ 5814,任务编号：1103518,0-88.csv,,,,
【电话调查】车辆产品信息调查（显示车辆动作）,https://task.epwk.com/1104251/,43人,1人,¥400,待验收,,车辆产品信息调查（显示车辆动作）,直接雇佣￥ 400,￥ 400,任务编号：1104251,0-88.csv,,,,
【电话调查】车辆产品信息调查（自动制动装置或碰撞报警装置）,https://task.epwk.com/1104252/,26人,1人,¥400,待验收,,车辆产品信息调查（自动制动装置或碰撞报警装置）,直接雇佣￥ 400,￥ 400,任务编号：1104252,0-88.csv,,,,
【电话调查】车辆产品信息调查（图像生成装置）,https://task.epwk.com/1104254/,31人,1人,¥400,待验收,,车辆产品信息调查（图像生成装置）,直接雇佣￥ 400,￥ 400,任务编号：1104254,0-88.csv,,,,
【电话调查】车辆产品信息调查（车载声音输入系统）,https://task.epwk.com/1104259/,36人,1人,¥400,待验收,,车辆产品信息调查（车载声音输入系统）,直接雇佣￥ 400,￥ 400,任务编号：1104259,0-88.csv,,,,
【电话调查】车辆产品信息调查（多辆车共享建议信息）,https://task.epwk.com/1104260/,35人,1人,¥400,待验收,,车辆产品信息调查（多辆车共享建议信息）,直接雇佣￥ 400,￥ 400,任务编号：1104260,0-88.csv,,,,
【电话调查】车辆产品信息调查（显示系统）,https://task.epwk.com/1104262/,92人,1人,¥400,待验收,,车辆产品信息调查（显示系统）,直接雇佣￥ 400,￥ 400,任务编号：1104262,0-88.csv,,,,
