标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,知识
网站制作,https://task.epwk.com/325451/,87人,1人,¥30,圆满完成,https://task.epwk.com/page3129.html?m=6&o=7,网站制作,直接雇佣￥ 30,￥ 30,任务编号：325451,2900-3152.csv,,2015.0,,,,,,网站制作
【宝宝起名】宝宝取名,https://task.epwk.com/325454/,561人,1人,¥80,圆满完成,https://task.epwk.com/page3129.html?m=6&o=7,宝宝取名,直接雇佣￥ 80,￥ 80,任务编号：325454,2900-3152.csv,,,,,,,,宝宝取名
做公司管理系统,https://task.epwk.com/325462/,271人,1人,"¥6,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,做公司管理系统,直接雇佣￥ 6000,￥ 6000,任务编号：325462,2900-3152.csv,,,,,,,,"公司管理系统, 系统设计"
比特币导航网站建设,https://task.epwk.com/325463/,235人,1人,"¥3,500",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,比特币导航网站建设,直接雇佣￥ 3500,￥ 3500,任务编号：325463,2900-3152.csv,,,,,,,,"比特币导航网站, 建设"
做一个论坛类的网站,https://task.epwk.com/325567/,536人,1人,¥500,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,做一个论坛类的网站,直接雇佣￥ 500,￥ 500,任务编号：325567,2900-3152.csv,,,,,,,,"论坛网站, 网站开发"
校园公共空间广场文案策划,https://task.epwk.com/325570/,260人,1人,¥500,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,校园公共空间广场文案策划,直接雇佣￥ 500,￥ 500,任务编号：325570,2900-3152.csv,,,,,,,,"校园公共空间, 广场文案, 策划"
本地网上购物超市开发,https://task.epwk.com/325581/,124人,1人,"¥13,600",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,本地网上购物超市开发,直接雇佣￥ 13600,￥ 13600,任务编号：325581,2900-3152.csv,,,,,,,,"本地超市, 网上购物, 超市开发"
零食包装礼盒设计,https://task.epwk.com/325582/,115人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,零食包装礼盒设计,直接雇佣￥ 3000,￥ 3000,任务编号：325582,2900-3152.csv,,,,,,, ,"零食包装, 礼盒设计"
【微信开发】模仿一个微信平台公众号：山屿湖,https://task.epwk.com/325620/,324人,1人,¥600,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,模仿一个微信平台公众号：山屿湖,直接雇佣￥ 600,￥ 600,任务编号：325620,2900-3152.csv,,,,,,,,"微信公众号, 模仿设计, 山屿湖"
润彩馨RCX商务电子公司名片设计,https://task.epwk.com/325629/,195人,1人,¥200,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,润彩馨RCX商务电子公司名片设计,直接雇佣￥ 200,￥ 200,任务编号：325629,2900-3152.csv,,,,,,,,"商务电子公司, 名片设计, 润彩馨"
