Id,designers_2015,designers_2016,designers_2017,designers_2018,designers_2019,designers_2020,designers_2021,designers_2022,designers_2023,designers_2024
宣传策划,65,75,153,155,226,191,23,6,1,2
网络接单,332,903,554,425,523,263,326,199,38,20
店铺装修,31,15,98,198,112,62,10,5,6,2
网站优化方案,70,61,62,41,48,57,24,1,0,0
其他工具软件,16,30,34,28,24,21,7,9,12,14
LOGO设计,1035,1282,1627,1817,2646,2144,769,303,276,166
包装设计,184,506,736,725,655,570,273,185,150,109
软件UI设计,36,89,84,106,106,86,23,17,15,22
二维动画,0,0,0,0,0,0,0,0,18,4
插画设计,11,62,21,23,46,40,20,30,8,5
生日祝福,43,58,15,52,11,25,0,10,0,0
舞台设计,0,0,0,0,0,0,29,0,0,0
海报设计,108,141,253,213,219,180,85,45,40,28
企业官网,1145,2033,2189,880,930,305,125,33,17,16
小程序推广,0,0,0,24,49,53,26,16,10,3
其他网站,0,0,0,123,112,82,42,20,41,24
PPT设计,16,54,28,36,400,116,139,17,18,21
服装设计,15,28,214,60,101,9,9,0,0,3
H5设计,0,3,2,40,65,36,14,11,7,3
网店推广,15,39,43,127,72,40,5,0,0,1
店铺/网店起名,46,25,90,68,76,38,24,12,10,4
微信推广,89,40,195,353,394,180,49,21,23,7
自建房,0,0,0,0,0,0,37,0,0,1
门户网站,0,0,0,0,0,0,11,21,13,10
微信代运营,1,5,16,165,160,107,6,10,3,1
宣传册设计,198,445,533,307,469,217,159,34,26,21
其他宣传品设计,7,3,7,55,75,24,13,6,2,2
字体设计,25,29,44,27,18,10,7,6,6,4
动画设计,2,2,6,27,42,21,20,9,4,1
家居建材,1,0,2,4,24,6,2,1,0,3
礼品设计,2,9,7,34,34,22,7,5,3,1
其他内容创作,3,40,20,7,10,1,5,6,4,2
创意短视频,18,75,88,57,107,45,22,13,28,5
脚本开发,3,8,78,35,71,83,25,7,15,14
背景墙设计,16,28,39,22,25,9,11,6,7,5
吉祥物设计,0,1,7,47,49,45,17,12,4,6
视频推广,0,0,0,64,28,19,0,0,14,0
产品卖点,38,37,141,57,39,32,14,12,10,7
前端开发,29,18,17,24,145,128,27,6,18,8
问卷调查,0,2,13,33,114,107,120,58,26,9
主图设计,2,0,4,35,67,37,15,14,7,7
排版设计,9,31,39,23,47,56,16,21,8,5
软文发布,8,17,10,24,88,12,14,0,0,0
工程造价,0,0,0,0,0,0,40,1,0,0
画册设计,0,0,0,0,0,26,10,15,23,1
其他,4670,1826,1539,1975,3879,826,23,0,0,0
网站UI设计,262,293,370,189,162,93,24,25,18,17
其他人才,0,0,0,2,1,10,0,0,0,0
信息流,0,0,0,14,35,22,7,0,0,4
游戏代练,8,17,13,72,40,0,0,0,0,0
招牌设计,20,28,35,20,26,10,9,9,1,3
店铺厂房,34,58,40,23,21,9,2,1,1,0
H5开发,0,0,0,44,85,98,22,33,57,25
剪辑服务,0,0,0,22,39,40,7,11,51,21
广告设计,82,97,204,98,98,43,21,7,11,12
采集工具,0,0,0,21,44,20,4,10,14,9
小程序开发,746,1042,2081,1498,1793,1726,449,221,192,171
微信开发,183,589,958,513,425,363,51,26,6,7
广告策划,62,57,113,88,80,58,29,21,14,5
响应式网站,0,0,0,0,0,0,6,25,10,8
效果图设计,41,106,110,88,48,22,21,11,3,2
专业代笔,17,29,39,73,36,17,10,9,4,4
营销推广软文,0,0,0,42,135,50,11,7,4,1
活动策划,17,38,37,89,82,36,8,0,0,0
娱乐休闲,0,0,0,0,0,0,37,2,0,0
宣传单设计,0,1,2,107,150,105,24,9,9,8
产品外观设计,69,105,138,211,169,150,54,35,27,31
公众号推广,0,0,0,47,51,50,24,2,24,0
彩页设计,0,0,0,14,17,22,8,13,8,1
其他软件开发,193,354,380,366,385,250,125,90,70,49
图片处理,40,84,201,78,67,22,10,5,1,1
APP开发,612,1562,1927,2249,2723,2212,489,149,152,108
定制开发,0,0,0,0,0,0,14,58,37,29
APP界面设计,136,128,128,96,91,36,14,18,12,12
卡通形象设计,53,53,71,57,72,30,22,15,7,6
书籍装帧,2,1,1,14,14,40,21,21,17,8
APP推广,7,4,56,722,1062,639,467,483,83,1
施工图设计,13,35,74,32,16,10,4,5,0,1
道歉短信,1,10,0,0,10,10,9,0,0,0
商城建设,0,0,0,0,0,0,8,14,15,11
宝宝起名,40,16,42,60,52,39,14,20,4,10
电商网站,291,271,505,249,121,87,22,8,12,4
公司起名,112,84,162,108,123,88,50,43,36,18
展示设计,0,0,0,29,46,13,2,5,3,7
VI设计,332,532,937,634,595,490,192,85,60,32
爱情表白,14,10,1,28,10,2,0,0,0,0
店铺海报设计,0,0,0,21,8,2,0,1,0,3
网站二次开发,0,0,0,100,97,96,36,38,28,27
标签设计,29,39,50,45,45,20,8,10,6,2
名片设计,34,54,51,37,39,25,10,4,2,3
样板间,0,0,0,0,0,0,37,0,0,0
手机网站,49,43,126,43,51,56,17,13,7,10
产品推广,126,137,225,305,450,296,26,1,13,19
3D建模,30,34,33,124,47,43,21,14,19,18
封面设计,26,31,22,19,18,26,13,4,7,3
OA系统,61,169,149,219,141,135,18,2,1,1
整合营销,0,3,1,26,35,17,4,3,3,0
品牌起名,152,94,243,273,292,207,117,102,76,45
后端开发,28,49,49,21,50,122,9,8,10,6
品牌故事,56,33,53,26,193,13,7,7,3,1
商业提案,45,71,88,215,266,25,11,7,10,2
详情页设计,3,20,27,83,199,89,127,24,17,17
