year,rho,v,L,mean_pagerank,mu_pagerank,Re
2015,0.001299,85.3,72,0.011138,0.836953,953.8
2016,0.001591,111.5,75,0.010656,0.87479,1521.0
2017,0.001284,82.0,76,0.01052,0.886092,903.1
2018,0.001609,93.1,90,0.008722,1.068818,1261.5
2019,0.001185,82.8,91,0.008655,1.077049,829.2
2020,0.001886,100.8,91,0.008756,1.064643,1624.7
2021,0.005789,98.5,95,0.0082,1.136793,4763.8
2022,0.009736,29.9,87,0.008731,1.067729,2374.8
2023,0.013871,15.6,82,0.009499,0.981384,1803.9
2024,0.020705,10.3,85,0.009179,1.015608,1783.6
