Source,Target,Type,Weight_cooccur
图表,搜索栏,共现,1
图表,管理员,共现,1
图表,精确记录盘库时间,共现,1
图表,系统功能优化,共现,1
图表,自动计算费用,共现,1
图表,菜谱管理模块,共现,1
图表,调酒师,共现,1
图表,采购员,共现,1
图表,食材管理模块,共现,1
图表,食谱后台,共现,1
搜索栏,管理员,共现,1
搜索栏,精确记录盘库时间,共现,1
搜索栏,系统功能优化,共现,1
搜索栏,自动计算费用,共现,1
搜索栏,菜谱管理模块,共现,1
搜索栏,调酒师,共现,1
搜索栏,采购员,共现,1
搜索栏,食材管理模块,共现,1
搜索栏,食谱后台,共现,1
管理员,精确记录盘库时间,共现,1
管理员,系统功能优化,共现,1
管理员,自动计算费用,共现,1
管理员,菜谱管理模块,共现,1
管理员,调酒师,共现,1
管理员,采购员,共现,1
管理员,食材管理模块,共现,1
管理员,食谱后台,共现,1
精确记录盘库时间,系统功能优化,共现,1
精确记录盘库时间,自动计算费用,共现,1
精确记录盘库时间,菜谱管理模块,共现,1
精确记录盘库时间,调酒师,共现,1
精确记录盘库时间,采购员,共现,1
精确记录盘库时间,食材管理模块,共现,1
精确记录盘库时间,食谱后台,共现,1
系统功能优化,自动计算费用,共现,1
系统功能优化,菜谱管理模块,共现,1
系统功能优化,调酒师,共现,1
系统功能优化,采购员,共现,1
系统功能优化,食材管理模块,共现,1
系统功能优化,食谱后台,共现,1
自动计算费用,菜谱管理模块,共现,1
自动计算费用,调酒师,共现,1
自动计算费用,采购员,共现,1
自动计算费用,食材管理模块,共现,1
自动计算费用,食谱后台,共现,1
菜谱管理模块,调酒师,共现,1
菜谱管理模块,采购员,共现,1
菜谱管理模块,食材管理模块,共现,1
菜谱管理模块,食谱后台,共现,1
调酒师,采购员,共现,1
调酒师,食材管理模块,共现,1
调酒师,食谱后台,共现,1
采购员,食材管理模块,共现,1
采购员,食谱后台,共现,1
食材管理模块,食谱后台,共现,1
吸引顾客,甜品店室外灯箱海报,共现,1
吸引顾客,符合品牌理念,共现,1
吸引顾客,顾客,共现,1
吸引顾客,高级感,共现,1
甜品店室外灯箱海报,符合品牌理念,共现,1
甜品店室外灯箱海报,顾客,共现,1
甜品店室外灯箱海报,高级感,共现,1
符合品牌理念,顾客,共现,1
符合品牌理念,高级感,共现,1
顾客,高级感,共现,2
Ui设计,转回,共现,1
中英文翻译,完成时间,共现,2
中英文翻译,宣传单页设计,共现,1
中英文翻译,服务商,共现,1
中英文翻译,李先生,共现,2
中英文翻译,正反面设计,共现,1
中英文翻译,生物有机肥产品,共现,1
完成时间,宣传单页设计,共现,1
完成时间,服务商,共现,2
完成时间,李先生,共现,3
完成时间,正反面设计,共现,1
完成时间,生物有机肥产品,共现,1
宣传单页设计,服务商,共现,1
宣传单页设计,李先生,共现,1
宣传单页设计,正反面设计,共现,1
宣传单页设计,生物有机肥产品,共现,1
服务商,李先生,共现,1
服务商,正反面设计,共现,1
服务商,生物有机肥产品,共现,1
李先生,正反面设计,共现,1
李先生,生物有机肥产品,共现,1
正反面设计,生物有机肥产品,共现,1
中英文,中英文翻译,共现,1
中英文,完成时间,共现,1
中英文,李先生,共现,1
中英文,生物有机肥产品的宣传单页,共现,1
中英文,重新排版,共现,1
中英文,预算,共现,1
中英文翻译,生物有机肥产品的宣传单页,共现,1
中英文翻译,重新排版,共现,1
中英文翻译,预算,共现,1
完成时间,生物有机肥产品的宣传单页,共现,1
完成时间,重新排版,共现,1
完成时间,预算,共现,10
李先生,生物有机肥产品的宣传单页,共现,1
李先生,重新排版,共现,1
李先生,预算,共现,2
生物有机肥产品的宣传单页,重新排版,共现,1
生物有机肥产品的宣传单页,预算,共现,1
重新排版,预算,共现,1
公司前台,墙绘设计,共现,1
公司前台,背景墙,共现,1
墙绘设计,背景墙,共现,1
产品参考网站：https:,品牌颜色：绿色或者红色,共现,1
产品参考网站：https:,机械产品logo,共现,1
产品参考网站：https:,美国市场,共现,1
产品参考网站：https:,针对美国市场,共现,1
品牌颜色：绿色或者红色,机械产品logo,共现,1
品牌颜色：绿色或者红色,美国市场,共现,1
品牌颜色：绿色或者红色,针对美国市场,共现,1
机械产品logo,美国市场,共现,1
机械产品logo,针对美国市场,共现,1
美国市场,针对美国市场,共现,1
会员功能,分销功能,共现,1
会员功能,商城小程序,共现,1
会员功能,域名,共现,1
会员功能,基础商城功能,共现,1
会员功能,开分店功能,共现,1
会员功能,服务器,共现,1
会员功能,模板使用,共现,1
会员功能,源代码提供,共现,1
会员功能,物流功能,共现,1
会员功能,社区种草功能,共现,1
会员功能,维护服务,共现,1
会员功能,证书,共现,1
会员功能,辅助上线,共现,1
分销功能,商城小程序,共现,1
分销功能,域名,共现,1
分销功能,基础商城功能,共现,1
分销功能,开分店功能,共现,1
分销功能,服务器,共现,1
分销功能,模板使用,共现,1
分销功能,源代码提供,共现,1
分销功能,物流功能,共现,1
分销功能,社区种草功能,共现,1
分销功能,维护服务,共现,1
分销功能,证书,共现,1
分销功能,辅助上线,共现,1
商城小程序,域名,共现,1
商城小程序,基础商城功能,共现,1
商城小程序,开分店功能,共现,1
商城小程序,服务器,共现,1
商城小程序,模板使用,共现,1
商城小程序,源代码提供,共现,1
商城小程序,物流功能,共现,1
商城小程序,社区种草功能,共现,1
商城小程序,维护服务,共现,1
商城小程序,证书,共现,1
商城小程序,辅助上线,共现,1
域名,基础商城功能,共现,1
域名,开分店功能,共现,1
域名,服务器,共现,1
域名,模板使用,共现,1
域名,源代码提供,共现,1
域名,物流功能,共现,1
域名,社区种草功能,共现,1
域名,维护服务,共现,1
域名,证书,共现,1
域名,辅助上线,共现,1
基础商城功能,开分店功能,共现,1
基础商城功能,服务器,共现,1
基础商城功能,模板使用,共现,1
基础商城功能,源代码提供,共现,1
基础商城功能,物流功能,共现,1
基础商城功能,社区种草功能,共现,1
基础商城功能,维护服务,共现,1
基础商城功能,证书,共现,1
基础商城功能,辅助上线,共现,1
开分店功能,服务器,共现,1
开分店功能,模板使用,共现,1
开分店功能,源代码提供,共现,1
开分店功能,物流功能,共现,1
开分店功能,社区种草功能,共现,1
开分店功能,维护服务,共现,1
开分店功能,证书,共现,1
开分店功能,辅助上线,共现,1
服务器,模板使用,共现,1
服务器,源代码提供,共现,1
服务器,物流功能,共现,1
服务器,社区种草功能,共现,1
服务器,维护服务,共现,1
服务器,证书,共现,1
服务器,辅助上线,共现,1
模板使用,源代码提供,共现,1
模板使用,物流功能,共现,1
模板使用,社区种草功能,共现,1
模板使用,维护服务,共现,1
模板使用,证书,共现,1
模板使用,辅助上线,共现,1
源代码提供,物流功能,共现,1
源代码提供,社区种草功能,共现,1
源代码提供,维护服务,共现,1
源代码提供,证书,共现,1
源代码提供,辅助上线,共现,1
物流功能,社区种草功能,共现,1
物流功能,维护服务,共现,1
物流功能,证书,共现,1
物流功能,辅助上线,共现,1
社区种草功能,维护服务,共现,1
社区种草功能,证书,共现,1
社区种草功能,辅助上线,共现,1
维护服务,证书,共现,1
维护服务,辅助上线,共现,1
证书,辅助上线,共现,1
产品推介会,会议展览,共现,1
产品推介会,促销活动,共现,1
产品推介会,发布会,共现,1
产品推介会,周年庆典,共现,1
产品推介会,年会,共现,1
产品推介会,开业,共现,1
产品推介会,物料,共现,1
会议展览,促销活动,共现,1
会议展览,发布会,共现,1
会议展览,周年庆典,共现,1
会议展览,年会,共现,1
会议展览,开业,共现,1
会议展览,物料,共现,1
促销活动,发布会,共现,1
促销活动,周年庆典,共现,1
促销活动,年会,共现,1
促销活动,开业,共现,1
促销活动,物料,共现,1
发布会,周年庆典,共现,1
发布会,年会,共现,1
发布会,开业,共现,1
发布会,物料,共现,1
周年庆典,年会,共现,1
周年庆典,开业,共现,1
周年庆典,物料,共现,1
年会,开业,共现,1
年会,物料,共现,1
开业,物料,共现,1
Mysql,PHP,共现,1
Mysql,PayPal,共现,1
Mysql,中文,共现,1
Mysql,交费,共现,1
Mysql,会议注册网站,共现,1
Mysql,后台管理,共现,1
Mysql,咨讯动态发布和展示,共现,1
Mysql,外币在线支付,共现,1
Mysql,微信,共现,1
Mysql,报名注册,共现,1
Mysql,文件上传存储调用,共现,1
Mysql,消息通知,共现,1
Mysql,版权合规,共现,1
Mysql,甲方,共现,1
Mysql,留言互动,共现,1
Mysql,网站首页综合信息展示,共现,1
Mysql,英文模板,共现,1
Mysql,论文投稿,共现,1
Mysql,酒店预订,共现,1
Mysql,银行转帐,共现,1
Mysql,首信易,共现,1
Mysql,首页模板,共现,1
PHP,PayPal,共现,1
PHP,中文,共现,1
PHP,交费,共现,1
PHP,会议注册网站,共现,1
PHP,后台管理,共现,1
PHP,咨讯动态发布和展示,共现,1
PHP,外币在线支付,共现,1
PHP,微信,共现,1
