id,Name,year,first_year,is_new_this_year,degree_kk,order_count,demand_sum,trans_sum,avg_trans_per_order
原创性强,原创性强,2022,2018,0,1.0,1,0.0,800.0,800.0
实验室整体规划设计,实验室整体规划设计,2022,2019,0,1.0,1,0.0,500.0,500.0
LOGO设计,LOGO设计,2022,2014,0,447.0,134,168900.0,185566.0,1384.8208955223881
剪辑师,剪辑师,2022,2021,0,3.0,1,5000.0,5000.0,5000.0
传统文化,传统文化,2022,2015,0,1.0,1,5000.0,5000.0,5000.0
动漫微电影视频,动漫微电影视频,2022,2021,0,1.0,1,23500.0,23500.0,23500.0
视频合并,视频合并,2022,2017,0,1.0,1,1500.0,1500.0,1500.0
吸引眼球,吸引眼球,2022,2014,0,2.0,2,3500.0,3500.0,1750.0
质感,质感,2022,2014,0,2.0,2,2600.0,2600.0,1300.0
款式,款式,2022,2015,0,1.0,1,2000.0,2000.0,2000.0
画面简洁,画面简洁,2022,2019,0,1.0,1,2000.0,2000.0,2000.0
造型设计,造型设计,2022,2015,0,3.0,2,12000.0,12000.0,6000.0
配音需求,配音需求,2022,2016,0,1.0,1,1300.0,1300.0,1300.0
IM,IM,2022,2016,0,1.0,1,1300.0,1300.0,1300.0
我们的要求,我们的要求,2022,2020,0,2.0,1,5000.0,5000.0,5000.0
视频制作,视频制作,2022,2014,0,2.0,3,8000.0,8000.0,2666.6666666666665
购买链接,购买链接,2022,2015,0,1.0,1,3500.0,3500.0,3500.0
产品介绍,产品介绍,2022,2014,0,1.0,1,3500.0,3500.0,3500.0
设计思路,设计思路,2022,2018,0,5.0,3,17000.0,16800.0,5600.0
奉献,奉献,2022,2017,0,1.0,1,500.0,500.0,500.0
正气,正气,2022,2016,0,1.0,1,500.0,500.0,500.0
厚德,厚德,2022,2017,0,1.0,1,500.0,500.0,500.0
担当,担当,2022,2019,0,1.0,1,500.0,500.0,500.0
修车,修车,2022,2016,0,1.0,1,500.0,500.0,500.0
普通家庭,普通家庭,2022,2017,0,1.0,1,0.0,3600.0,3600.0
部队,部队,2022,2017,0,1.0,1,500.0,500.0,500.0
产业园区,产业园区,2022,2016,0,1.0,1,0.0,3600.0,3600.0
有品质,有品质,2022,2017,0,1.0,1,0.0,500.0,500.0
不侵犯第三方权利,不侵犯第三方权利,2022,2018,0,1.0,1,0.0,500.0,500.0
文字形式,文字形式,2022,2015,0,2.0,2,0.0,1000.0,500.0
医疗科技公司,医疗科技公司,2022,2016,0,2.0,2,0.0,1000.0,500.0
