id,Name,year,first_year,is_new_this_year,degree_kk,order_count,demand_sum,trans_sum,avg_trans_per_order
开发,开发,2020,2014,0,532.0,932,21265002.0,21244947.0,22795.007510729614
软件开发,软件开发,2020,2014,0,254.0,768,24468166.0,24469066.0,31860.763020833332
设计,设计,2020,2014,0,472.0,747,7168923.0,7145123.0,9565.091030789827
原创,原创,2020,2014,0,381.0,538,404989.0,395379.0,734.9052044609665
logo设计,logo设计,2020,2014,0,486.0,463,1380170.0,1353858.0,2924.099352051836
LOGO设计,LOGO设计,2020,2014,0,863.0,434,1313470.0,1296114.0,2986.4377880184334
小程序,小程序,2020,2014,0,414.0,389,5840933.0,5794446.0,14895.748071979435
小程序开发,小程序开发,2020,2014,0,225.0,345,6092854.0,6067654.0,17587.402898550725
APP开发,APP开发,2020,2014,0,254.0,327,9745238.0,9727138.0,29746.599388379203
简洁,简洁,2020,2014,0,234.0,295,231360.0,225798.0,765.4169491525424
微信公众号,微信公众号,2020,2014,0,110.0,288,2600412.0,2595712.0,9012.888888888889
微信小程序,微信小程序,2020,2016,0,139.0,285,4870247.0,4835147.0,16965.42807017544
大气,大气,2020,2014,0,220.0,281,208155.0,202742.0,721.5017793594307
二期,二期,2020,2014,0,230.0,264,7678661.0,7664331.0,29031.55681818182
包装设计,包装设计,2020,2014,0,328.0,261,1570351.0,1563271.0,5989.544061302682
VI设计,VI设计,2020,2014,0,176.0,240,3038813.0,3037212.0,12655.05
知识产权,知识产权,2020,2014,0,162.0,217,169493.0,162783.0,750.1520737327189
LOGO,LOGO,2020,2014,0,698.0,212,243820.0,232287.0,1095.6933962264152
系统开发,系统开发,2020,2014,0,138.0,194,6801923.0,6801923.0,35061.4587628866
APP,APP,2020,2014,0,223.0,180,3444933.0,3396333.0,18868.516666666666
