id,Name,year,first_year,is_new_this_year,degree_kk,order_count,demand_sum,trans_sum,avg_trans_per_order
开发,开发,2019,2014,0,664.0,1321,35221064.0,35158452.0,26615.028009084028
软件开发,软件开发,2019,2014,0,350.0,920,31875756.0,31855756.0,34625.821739130435
app开发,app开发,2019,2014,0,208.0,623,22747510.0,22747510.0,36512.857142857145
APP开发,APP开发,2019,2014,0,435.0,627,19310521.0,19253421.0,30707.21052631579
二期,二期,2019,2014,0,352.0,452,15567441.0,15566441.0,34439.02876106195
app定制,app定制,2019,2016,0,12.0,330,12486710.0,12486710.0,37838.51515151515
app设计,app设计,2019,2014,0,10.0,328,12306560.0,12306560.0,37520.0
设计,设计,2019,2014,0,769.0,1671,11933809.0,11909657.0,7127.263315380012
系统开发,系统开发,2019,2014,0,203.0,323,11782463.0,11782463.0,36478.21362229102
微信小程序,微信小程序,2019,2016,0,242.0,534,11488156.0,11479122.0,21496.483146067414
网站开发,网站开发,2019,2014,0,187.0,457,10295301.0,10291801.0,22520.352297593
小程序开发,小程序开发,2019,2014,0,292.0,535,9894142.0,9885742.0,18478.02242990654
微信公众号,微信公众号,2019,2014,0,196.0,465,9782316.0,9776136.0,21023.948387096774
一期,一期,2019,2014,0,203.0,267,8894802.0,8894802.0,33313.86516853933
小程序,小程序,2019,2014,0,646.0,617,8810753.0,8763013.0,14202.614262560777
app商城,app商城,2019,2015,0,5.0,205,8113262.0,8113262.0,39576.887804878046
安卓,安卓,2019,2014,0,19.0,208,7967578.0,7948878.0,38215.75961538462
苹果,苹果,2019,2015,0,13.0,203,7888078.0,7880578.0,38820.581280788174
第二期,第二期,2019,2014,0,199.0,203,7498751.0,7498751.0,36939.66009852217
三期,三期,2019,2014,0,188.0,212,7363398.0,7363398.0,34733.00943396227
