ID,Transaction_Price,Publication_Time,type,[z]
任务编号：258495,360.0,2014-04-25,订单,1
任务编号：323239,200.0,2014-12-20,订单,1
任务编号：323240,200.0,2014-12-20,订单,1
任务编号：323242,200.0,2014-12-20,订单,1
任务编号：323243,200.0,2014-12-20,订单,1
任务编号：322651,110.0,2014-12-17,订单,1
任务编号：322551,400.0,2014-12-17,订单,1
任务编号：315924,150.0,2014-11-12,订单,1
任务编号：315352,300.0,2014-11-09,订单,1
任务编号：325407,12510.0,2014-12-31,订单,1
任务编号：325353,800.0,2014-12-31,订单,1
任务编号：324894,800.0,2014-12-29,订单,1
任务编号：324429,800.0,2014-12-26,订单,1
任务编号：324085,30000.0,2014-12-24,订单,1
任务编号：323939,5000.0,2014-12-23,订单,1
任务编号：323736,2000.0,2014-12-23,订单,1
任务编号：323416,3500.0,2014-12-22,订单,1
任务编号：323308,1000.0,2014-12-21,订单,1
任务编号：323097,3800.0,2014-12-19,订单,1
任务编号：322557,5000.0,2014-12-17,订单,1
任务编号：321983,1500.0,2014-12-15,订单,1
任务编号：321708,1000.0,2014-12-12,订单,1
任务编号：321325,9000.0,2014-12-10,订单,1
任务编号：320900,1500.0,2014-12-08,订单,1
任务编号：320574,150.0,2014-12-06,订单,1
任务编号：320085,1500.0,2014-12-03,订单,1
任务编号：319994,8000.0,2014-12-03,订单,1
任务编号：319604,4000.0,2014-12-01,订单,1
任务编号：319584,5000.0,2014-12-01,订单,1
任务编号：319379,1000.0,2014-11-30,订单,1
任务编号：319167,8000.0,2014-11-28,订单,1
任务编号：318487,2000.0,2014-11-25,订单,1
任务编号：318245,18880.0,2014-11-24,订单,1
任务编号：317871,500.0,2014-11-21,订单,1
任务编号：317222,3000.0,2014-11-19,订单,1
任务编号：316716,5000.0,2014-11-17,订单,1
任务编号：316816,150.0,2014-11-17,订单,1
任务编号：316391,1600.0,2014-11-14,订单,1
任务编号：316388,5000.0,2014-11-14,订单,1
任务编号：315738,1000.0,2014-11-11,订单,1
任务编号：315555,32000.0,2014-11-10,订单,1
任务编号：315451,500.0,2014-11-10,订单,1
任务编号：315446,5000.0,2014-11-10,订单,1
任务编号：314672,15000.0,2014-11-05,订单,1
任务编号：314421,1200.0,2014-11-04,订单,1
任务编号：313977,2500.0,2014-11-02,订单,1
任务编号：313935,5000.0,2014-11-02,订单,1
任务编号：313316,870.0,2014-10-29,订单,1
任务编号：313248,1500.0,2014-10-29,订单,1
任务编号：312634,900.0,2014-10-26,订单,1
任务编号：311581,4200.0,2014-10-20,订单,1
任务编号：311147,500.0,2014-10-17,订单,1
任务编号：311156,10000.0,2014-10-17,订单,1
任务编号：310112,500.0,2014-10-12,订单,1
任务编号：310082,700.0,2014-10-12,订单,1
任务编号：309388,1300.0,2014-10-08,订单,1
任务编号：308061,900.0,2014-09-26,订单,1
任务编号：308014,1000.0,2014-09-26,订单,1
任务编号：307902,3000.0,2014-09-25,订单,1
任务编号：307487,1500.0,2014-09-23,订单,1
任务编号：306409,3200.0,2014-09-17,订单,1
任务编号：306407,5000.0,2014-09-17,订单,1
任务编号：305200,800.0,2014-09-11,订单,1
任务编号：305133,2100.0,2014-09-11,订单,1
任务编号：305055,6000.0,2014-09-10,订单,1
任务编号：304741,12000.0,2014-09-07,订单,1
任务编号：304476,7000.0,2014-09-05,订单,1
任务编号：302974,3500.0,2014-08-28,订单,1
任务编号：302465,2000.0,2014-08-25,订单,1
任务编号：302412,6000.0,2014-08-25,订单,1
任务编号：301672,20000.0,2014-08-20,订单,1
任务编号：301319,1500.0,2014-08-19,订单,1
任务编号：301291,800.0,2014-08-19,订单,1
任务编号：301194,1000.0,2014-08-18,订单,1
任务编号：300652,950.0,2014-08-14,订单,1
任务编号：300369,500.0,2014-08-13,订单,1
任务编号：300164,2000.0,2014-08-12,订单,1
任务编号：300001,1000.0,2014-08-11,订单,1
任务编号：299959,9800.0,2014-08-11,订单,1
任务编号：299965,20000.0,2014-08-11,订单,1
任务编号：299296,1800.0,2014-08-07,订单,1
任务编号：298755,12000.0,2014-08-05,订单,1
任务编号：297841,1000.0,2014-07-31,订单,1
任务编号：297517,1000.0,2014-07-29,订单,1
任务编号：297351,4500.0,2014-07-29,订单,1
任务编号：297196,1000.0,2014-07-28,订单,1
任务编号：297010,2680.0,2014-07-26,订单,1
任务编号：296206,1000.0,2014-07-22,订单,1
任务编号：295787,1000.0,2014-07-19,订单,1
任务编号：294672,600.0,2014-07-13,订单,1
任务编号：294346,2300.0,2014-07-10,订单,1
任务编号：294302,200.0,2014-07-10,订单,1
任务编号：293232,2000.0,2014-07-03,订单,1
任务编号：293058,6000.0,2014-07-02,订单,1
任务编号：293031,3500.0,2014-07-02,订单,1
任务编号：293041,1000.0,2014-07-02,订单,1
任务编号：292757,150.0,2014-07-01,订单,1
任务编号：292664,10000.0,2014-07-01,订单,1
任务编号：292618,300.0,2014-06-30,订单,1
任务编号：291917,6000.0,2014-06-25,订单,1
任务编号：291890,800.0,2014-06-25,订单,1
任务编号：291273,5000.0,2014-06-21,订单,1
任务编号：290670,3500.0,2014-06-17,订单,1
任务编号：290211,1000.0,2014-06-14,订单,1
任务编号：289989,1000.0,2014-06-12,订单,1
任务编号：289858,999.0,2014-06-11,订单,1
任务编号：289670,1000.0,2014-06-10,订单,1
任务编号：289561,5000.0,2014-06-10,订单,1
任务编号：289551,200.0,2014-06-10,订单,1
任务编号：289549,2800.0,2014-06-09,订单,1
任务编号：289020,10000.0,2014-06-06,订单,1
任务编号：288583,30000.0,2014-06-03,订单,1
任务编号：287873,1000.0,2014-05-28,订单,1
任务编号：287479,150.0,2014-05-25,订单,1
任务编号：287292,800.0,2014-05-23,订单,1
任务编号：287199,800.0,2014-05-22,订单,1
任务编号：287244,1000.0,2014-05-23,订单,1
任务编号：286389,5000.0,2014-05-17,订单,1
任务编号：286317,15000.0,2014-05-16,订单,1
任务编号：286288,800.0,2014-05-16,订单,1
任务编号：285428,850.0,2014-05-12,订单,1
任务编号：285214,2200.0,2014-05-09,订单,1
任务编号：285134,2000.0,2014-05-09,订单,1
任务编号：284881,4000.0,2014-05-07,订单,1
任务编号：284394,5000.0,2014-05-05,订单,1
任务编号：284198,1000.0,2014-05-03,订单,1
任务编号：283938,1200.0,2014-04-30,订单,1
任务编号：283934,600.0,2014-04-30,订单,1
任务编号：283469,200.0,2014-04-28,订单,1
任务编号：283448,3000.0,2014-04-28,订单,1
任务编号：283439,350.0,2014-04-28,订单,1
任务编号：258341,1000.0,2014-04-24,订单,1
任务编号：258293,700.0,2014-04-23,订单,1
任务编号：257914,400.0,2014-04-21,订单,1
任务编号：257194,1000.0,2014-04-16,订单,1
任务编号：255795,800.0,2014-04-10,订单,1
任务编号：253998,1000.0,2014-03-27,订单,1
任务编号：253691,500.0,2014-03-25,订单,1
任务编号：253402,20000.0,2014-03-23,订单,1
任务编号：253037,800.0,2014-03-20,订单,1
任务编号：253006,1000.0,2014-03-20,订单,1
任务编号：252244,5000.0,2014-03-15,订单,1
任务编号：251708,3000.0,2014-03-12,订单,1
任务编号：251471,800.0,2014-03-10,订单,1
任务编号：249578,3500.0,2014-02-25,订单,1
任务编号：249270,1000.0,2014-02-23,订单,1
任务编号：249198,500.0,2014-02-22,订单,1
任务编号：249173,600.0,2014-02-21,订单,1
任务编号：248555,8000.0,2014-02-18,订单,1
任务编号：248230,3500.0,2014-02-14,订单,1
任务编号：248113,4000.0,2014-02-13,订单,1
任务编号：248018,550.0,2014-02-13,订单,1
任务编号：247269,550.0,2014-02-06,订单,1
任务编号：246955,550.0,2014-01-26,订单,1
任务编号：246766,2000.0,2014-01-24,订单,1
任务编号：246628,300.0,2014-01-23,订单,1
任务编号：246359,500.0,2014-01-21,订单,1
任务编号：246287,1800.0,2014-01-20,订单,1
任务编号：244859,800.0,2014-01-08,订单,1
任务编号：244857,888.0,2014-01-08,订单,1
任务编号：316179,2000.0,2014-11-13,订单,1
任务编号：315162,100.0,2014-11-07,订单,1
任务编号：314834,700.0,2014-11-06,订单,1
任务编号：304744,3000.0,2014-09-07,订单,1
任务编号：325368,10000.0,2014-12-31,订单,1
任务编号：325342,300.0,2014-12-31,订单,1
任务编号：325214,1500.0,2014-12-30,订单,1
任务编号：324615,5000.0,2014-12-26,订单,1
任务编号：324573,1500.0,2014-12-26,订单,1
任务编号：324570,2500.0,2014-12-26,订单,1
任务编号：324529,2300.0,2014-12-26,订单,1
任务编号：324486,1000.0,2014-12-26,订单,1
任务编号：324233,1500.0,2014-12-25,订单,1
任务编号：323878,10000.0,2014-12-23,订单,1
任务编号：323810,3000.0,2014-12-23,订单,1
任务编号：323732,500.0,2014-12-23,订单,1
任务编号：323661,575.0,2014-12-22,订单,1
任务编号：323649,4200.0,2014-12-22,订单,1
任务编号：323631,5000.0,2014-12-22,订单,1
任务编号：323618,3000.0,2014-12-22,订单,1
任务编号：323604,800.0,2014-12-22,订单,1
任务编号：323546,300.0,2014-12-22,订单,1
任务编号：323347,600.0,2014-12-21,订单,1
任务编号：323229,1500.0,2014-12-20,订单,1
任务编号：323096,800.0,2014-12-19,订单,1
任务编号：323013,800.0,2014-12-19,订单,1
任务编号：322907,15000.0,2014-12-18,订单,1
任务编号：322788,2000.0,2014-12-18,订单,1
任务编号：322725,4000.0,2014-12-18,订单,1
任务编号：322639,300.0,2014-12-17,订单,1
任务编号：322213,500.0,2014-12-16,订单,1
任务编号：321958,200.0,2014-12-14,订单,1
任务编号：321976,200.0,2014-12-15,订单,1
任务编号：321748,500.0,2014-12-12,订单,1
任务编号：321633,100.0,2014-12-12,订单,1
任务编号：321559,10000.0,2014-12-11,订单,1
任务编号：321402,841.0,2014-12-11,订单,1
任务编号：321203,6000.0,2014-12-10,订单,1
任务编号：321037,6000.0,2014-12-09,订单,1
任务编号：320894,100.0,2014-12-08,订单,1
任务编号：320831,12800.0,2014-12-08,订单,1
任务编号：320737,100.0,2014-12-08,订单,1
任务编号：320710,1800.0,2014-12-08,订单,1
任务编号：320687,350.0,2014-12-07,订单,1
任务编号：320475,13000.0,2014-12-05,订单,1
任务编号：320337,400.0,2014-12-05,订单,1
任务编号：320229,2000.0,2014-12-04,订单,1
任务编号：320191,200.0,2014-12-04,订单,1
任务编号：320017,3000.0,2014-12-03,订单,1
任务编号：320062,800.0,2014-12-03,订单,1
任务编号：319879,1500.0,2014-12-02,订单,1
任务编号：319882,100.0,2014-12-02,订单,1
任务编号：319792,350.0,2014-12-02,订单,1
任务编号：319764,500.0,2014-12-02,订单,1
任务编号：319608,1500.0,2014-12-01,订单,1
任务编号：319561,20000.0,2014-12-01,订单,1
任务编号：319434,230.0,2014-11-30,订单,1
任务编号：319487,600.0,2014-12-01,订单,1
任务编号：319422,4000.0,2014-11-30,订单,1
任务编号：319207,2500.0,2014-11-28,订单,1
任务编号：319253,4600.0,2014-11-29,订单,1
任务编号：319229,3000.0,2014-11-28,订单,1
任务编号：319122,3000.0,2014-11-28,订单,1
任务编号：318960,200.0,2014-11-27,订单,1
任务编号：318883,200.0,2014-11-27,订单,1
任务编号：318809,200.0,2014-11-27,订单,1
任务编号：318828,50000.0,2014-11-27,订单,1
任务编号：318760,400.0,2014-11-26,订单,1
任务编号：318756,300.0,2014-11-26,订单,1
任务编号：318739,500.0,2014-11-26,订单,1
任务编号：318723,24800.0,2014-11-26,订单,1
任务编号：318670,1000.0,2014-11-26,订单,1
任务编号：318599,500.0,2014-11-26,订单,1
任务编号：318236,930.0,2014-11-24,订单,1
任务编号：318200,505.0,2014-11-24,订单,1
任务编号：318136,8000.0,2014-11-24,订单,1
任务编号：318040,200.0,2014-11-23,订单,1
任务编号：317832,1500.0,2014-11-21,订单,1
任务编号：317846,400.0,2014-11-21,订单,1
任务编号：317637,100.0,2014-11-21,订单,1
任务编号：317543,500.0,2014-11-20,订单,1
任务编号：317510,5000.0,2014-11-20,订单,1
任务编号：317408,100.0,2014-11-20,订单,1
任务编号：317459,2700.0,2014-11-20,订单,1
任务编号：317233,500.0,2014-11-19,订单,1
任务编号：317130,100.0,2014-11-18,订单,1
任务编号：316836,150.0,2014-11-17,订单,1
任务编号：316754,2500.0,2014-11-17,订单,1
任务编号：316714,2200.0,2014-11-17,订单,1
任务编号：316637,4000.0,2014-11-16,订单,1
任务编号：316660,500.0,2014-11-16,订单,1
任务编号：316608,600.0,2014-11-15,订单,1
任务编号：316636,2000.0,2014-11-16,订单,1
任务编号：316568,200.0,2014-11-15,订单,1
任务编号：316454,800.0,2014-11-14,订单,1
任务编号：316412,5000.0,2014-11-14,订单,1
任务编号：316363,5000.0,2014-11-14,订单,1
任务编号：316018,1000.0,2014-11-12,订单,1
任务编号：315725,200.0,2014-11-11,订单,1
任务编号：315571,12000.0,2014-11-10,订单,1
任务编号：315465,500.0,2014-11-10,订单,1
任务编号：315402,4500.0,2014-11-09,订单,1
任务编号：314717,100.0,2014-11-05,订单,1
任务编号：314718,101.0,2014-11-05,订单,1
任务编号：314668,1500.0,2014-11-05,订单,1
任务编号：314476,5000.0,2014-11-05,订单,1
任务编号：314423,5000.0,2014-11-04,订单,1
任务编号：314200,500.0,2014-11-03,订单,1
任务编号：313986,100.0,2014-11-02,订单,1
任务编号：313989,200.0,2014-11-02,订单,1
任务编号：313919,400.0,2014-11-02,订单,1
任务编号：313842,800.0,2014-11-01,订单,1
任务编号：313724,1500.0,2014-10-31,订单,1
任务编号：313739,2000.0,2014-10-31,订单,1
任务编号：313658,200.0,2014-10-31,订单,1
任务编号：313236,300.0,2014-10-29,订单,1
任务编号：313220,40000.0,2014-10-29,订单,1
任务编号：313185,3500.0,2014-10-29,订单,1
任务编号：313092,500.0,2014-10-28,订单,1
任务编号：313005,800.0,2014-10-28,订单,1
任务编号：312751,200.0,2014-10-27,订单,1
任务编号：312805,200.0,2014-10-27,订单,1
任务编号：312782,2000.0,2014-10-27,订单,1
任务编号：312300,30000.0,2014-10-23,订单,1
任务编号：312211,200.0,2014-10-23,订单,1
任务编号：312087,1500.0,2014-10-22,订单,1
任务编号：311583,5200.0,2014-10-20,订单,1
任务编号：311569,1600.0,2014-10-20,订单,1
任务编号：311560,1000.0,2014-10-20,订单,1
任务编号：311411,100.0,2014-10-20,订单,1
任务编号：311099,200.0,2014-10-17,订单,1
任务编号：311125,2000.0,2014-10-17,订单,1
任务编号：311103,3000.0,2014-10-17,订单,1
任务编号：310941,100.0,2014-10-16,订单,1
任务编号：310924,300.0,2014-10-16,订单,1
任务编号：310888,500.0,2014-10-16,订单,1
任务编号：310464,235.0,2014-10-14,订单,1
任务编号：310421,100.0,2014-10-14,订单,1
任务编号：310147,500.0,2014-10-13,订单,1
任务编号：310164,500.0,2014-10-13,订单,1
任务编号：310059,1000.0,2014-10-12,订单,1
任务编号：310015,4500.0,2014-10-11,订单,1
任务编号：309452,1000.0,2014-10-09,订单,1
任务编号：309612,500.0,2014-10-09,订单,1
任务编号：309283,360.0,2014-10-07,订单,1
任务编号：309035,100.0,2014-10-04,订单,1
任务编号：308755,18000.0,2014-09-30,订单,1
任务编号：308593,1000.0,2014-09-29,订单,1
任务编号：308578,2000.0,2014-09-29,订单,1
任务编号：308546,1500.0,2014-09-29,订单,1
任务编号：308481,600.0,2014-09-29,订单,1
任务编号：308413,300.0,2014-09-29,订单,1
任务编号：308355,800.0,2014-09-28,订单,1
任务编号：308160,500.0,2014-09-27,订单,1
任务编号：307628,300.0,2014-09-24,订单,1
任务编号：307636,500.0,2014-09-24,订单,1
任务编号：307452,2000.0,2014-09-23,订单,1
任务编号：307442,500.0,2014-09-23,订单,1
任务编号：307329,2500.0,2014-09-22,订单,1
任务编号：306861,8000.0,2014-09-19,订单,1
任务编号：306703,100.0,2014-09-19,订单,1
任务编号：306700,5950.0,2014-09-19,订单,1
任务编号：306634,100.0,2014-09-18,订单,1
任务编号：306453,1500.0,2014-09-18,订单,1
任务编号：306371,8000.0,2014-09-17,订单,1
任务编号：306082,2000.0,2014-09-16,订单,1
任务编号：306024,3000.0,2014-09-16,订单,1
任务编号：305838,300.0,2014-09-15,订单,1
任务编号：305738,500.0,2014-09-14,订单,1
任务编号：305551,1000.0,2014-09-12,订单,1
任务编号：305457,2000.0,2014-09-12,订单,1
任务编号：305187,300.0,2014-09-11,订单,1
任务编号：305041,1000.0,2014-09-10,订单,1
任务编号：304875,1500.0,2014-09-09,订单,1
任务编号：304837,4000.0,2014-09-09,订单,1
任务编号：304639,200.0,2014-09-06,订单,1
任务编号：304314,5000.0,2014-09-04,订单,1
任务编号：304316,2000.0,2014-09-04,订单,1
任务编号：304220,1000.0,2014-09-04,订单,1
任务编号：303778,1400.0,2014-09-02,订单,1
任务编号：303488,15000.0,2014-08-31,订单,1
任务编号：303460,3000.0,2014-08-30,订单,1
任务编号：303181,200.0,2014-08-29,订单,1
任务编号：302994,500.0,2014-08-28,订单,1
任务编号：302922,500.0,2014-08-27,订单,1
任务编号：302853,500.0,2014-08-27,订单,1
任务编号：302831,800.0,2014-08-27,订单,1
任务编号：302812,500.0,2014-08-27,订单,1
任务编号：302686,300.0,2014-08-26,订单,1
任务编号：302639,3000.0,2014-08-26,订单,1
任务编号：302588,100.0,2014-08-26,订单,1
任务编号：302565,3000.0,2014-08-26,订单,1
任务编号：302509,1181.0,2014-08-25,订单,1
任务编号：302242,500.0,2014-08-24,订单,1
任务编号：302203,1000.0,2014-08-23,订单,1
任务编号：302062,3000.0,2014-08-22,订单,1
任务编号：301651,100.0,2014-08-20,订单,1
任务编号：301298,3000.0,2014-08-19,订单,1
任务编号：301001,1200.0,2014-08-17,订单,1
任务编号：300723,3000.0,2014-08-14,订单,1
任务编号：300665,1500.0,2014-08-14,订单,1
任务编号：300613,600.0,2014-08-14,订单,1
任务编号：300470,1000.0,2014-08-13,订单,1
任务编号：300375,300.0,2014-08-13,订单,1
任务编号：299942,1500.0,2014-08-11,订单,1
任务编号：299587,300.0,2014-08-08,订单,1
任务编号：299637,200.0,2014-08-08,订单,1
任务编号：299174,200.0,2014-08-07,订单,1
任务编号：299072,10000.0,2014-08-06,订单,1
任务编号：298953,300.0,2014-08-06,订单,1
任务编号：298753,5000.0,2014-08-05,订单,1
任务编号：298345,2000.0,2014-08-02,订单,1
任务编号：298057,100.0,2014-08-01,订单,1
任务编号：297620,500.0,2014-07-30,订单,1
任务编号：297482,500.0,2014-07-29,订单,1
任务编号：297441,1000.0,2014-07-29,订单,1
任务编号：297360,300.0,2014-07-29,订单,1
任务编号：297131,200.0,2014-07-28,订单,1
任务编号：297032,600.0,2014-07-26,订单,1
任务编号：297045,800.0,2014-07-27,订单,1
任务编号：296942,9100.0,2014-07-26,订单,1
任务编号：296606,450.0,2014-07-24,订单,1
任务编号：296545,200.0,2014-07-24,订单,1
任务编号：296445,1000.0,2014-07-23,订单,1
任务编号：296388,12500.0,2014-07-23,订单,1
任务编号：296339,500.0,2014-07-23,订单,1
任务编号：296279,800.0,2014-07-22,订单,1
任务编号：296175,1000.0,2014-07-22,订单,1
任务编号：296140,4000.0,2014-07-22,订单,1
任务编号：296054,2110.0,2014-07-21,订单,1
任务编号：295985,150.0,2014-07-21,订单,1
任务编号：295495,10000.0,2014-07-17,订单,1
任务编号：295384,2000.0,2014-07-17,订单,1
任务编号：295458,1000.0,2014-07-17,订单,1
任务编号：295236,600.0,2014-07-16,订单,1
任务编号：295127,3500.0,2014-07-16,订单,1
任务编号：295084,1500.0,2014-07-15,订单,1
任务编号：295033,2000.0,2014-07-15,订单,1
任务编号：294673,12000.0,2014-07-13,订单,1
任务编号：294628,200.0,2014-07-12,订单,1
任务编号：294524,5000.0,2014-07-11,订单,1
任务编号：294489,3500.0,2014-07-11,订单,1
任务编号：294471,2300.0,2014-07-11,订单,1
任务编号：294457,300.0,2014-07-11,订单,1
任务编号：294288,5000.0,2014-07-10,订单,1
任务编号：294185,1600.0,2014-07-10,订单,1
任务编号：294052,1000.0,2014-07-09,订单,1
任务编号：293951,6000.0,2014-07-08,订单,1
任务编号：293913,10000.0,2014-07-08,订单,1
任务编号：293799,5000.0,2014-07-07,订单,1
任务编号：293626,300.0,2014-07-07,订单,1
任务编号：293130,500.0,2014-07-03,订单,1
任务编号：292762,1500.0,2014-07-01,订单,1
任务编号：292529,15000.0,2014-06-30,订单,1
任务编号：292403,500.0,2014-06-29,订单,1
任务编号：292349,2925.0,2014-06-28,订单,1
任务编号：292333,650.0,2014-06-28,订单,1
任务编号：292156,1500.0,2014-06-27,订单,1
任务编号：292049,3000.0,2014-06-26,订单,1
任务编号：291999,180.0,2014-06-26,订单,1
任务编号：291754,100.0,2014-06-24,订单,1
任务编号：291631,1000.0,2014-06-24,订单,1
任务编号：291440,2000.0,2014-06-23,订单,1
任务编号：291372,600.0,2014-06-22,订单,1
任务编号：322368,510.0,2014-12-16,订单,1
任务编号：322336,3000.0,2014-12-16,订单,1
任务编号：325378,1000.0,2014-12-31,订单,1
任务编号：251033,300.0,2014-03-07,订单,1
任务编号：325384,100.0,2014-12-31,订单,1
任务编号：324868,200.0,2014-12-29,订单,1
任务编号：324777,100.0,2014-12-28,订单,1
