Source,Target,Type
任务编号：258495,knowledge:中华寿喜文化商标,关联
任务编号：258495,knowledge:品牌标识突出,关联
任务编号：258495,knowledge:简洁明快,关联
任务编号：258495,knowledge:大气、简约,关联
任务编号：258495,knowledge:全球华人,关联
任务编号：258495,knowledge:喜欢中华寿喜文化的世界友人,关联
任务编号：258495,knowledge:原创,关联
任务编号：258495,knowledge:法律合规,关联
任务编号：258495,knowledge:知识产权,关联
任务编号：258495,knowledge:商标注册,关联
任务编号：323239,knowledge:女裤详情页,关联
任务编号：323239,knowledge:页面设计,关联
任务编号：323239,knowledge:女性买家,关联
任务编号：323240,knowledge:女裤详情页,关联
任务编号：323242,knowledge:网站UI设计,关联
任务编号：323242,knowledge:女裤详情页设计,关联
任务编号：323242,knowledge:电话,关联
任务编号：323243,knowledge:女裤详情页,关联
任务编号：322651,knowledge:app图标,关联
任务编号：322651,knowledge:软件UI设计,关联
任务编号：322651,knowledge:高清图标,关联
任务编号：322651,knowledge:512*512尺寸PNG,关联
任务编号：322651,knowledge:psd格式原始文件,关联
任务编号：322651,knowledge:公开使用,关联
任务编号：322651,knowledge:碎片恋人字样,关联
任务编号：322651,knowledge:碎片lover字样,关联
任务编号：322651,knowledge:碎片水晶图示,关联
任务编号：322651,knowledge:性感诱惑元素,关联
任务编号：322651,knowledge:美女和帅哥,关联
任务编号：322651,knowledge:解锁获取碎片水晶,关联
任务编号：322651,knowledge:摄像头和地图操作,关联
任务编号：322551,knowledge:微信界面,关联
任务编号：322551,knowledge:页面设计,关联
任务编号：322551,knowledge:手机操控,关联
任务编号：322551,knowledge:参考样式1,关联
任务编号：322551,knowledge:参考样式2,关联
任务编号：322551,knowledge:界面设计一,关联
任务编号：322551,knowledge:界面设计二,关联
任务编号：322551,knowledge:一个页面浏览完毕,关联
任务编号：315924,knowledge:X展架,关联
任务编号：315924,knowledge:微信公众号,关联
任务编号：315924,knowledge:金钥匙财富,关联
任务编号：315924,knowledge:财富大门,关联
任务编号：315924,knowledge:理财专区,关联
任务编号：315924,knowledge:投资专区,关联
任务编号：315924,knowledge:健康教子,关联
任务编号：315352,knowledge:安卓手机应用图标,关联
任务编号：315352,knowledge:灯具行业,关联
任务编号：315352,knowledge:简约,关联
任务编号：315352,knowledge:大方,关联
任务编号：315352,knowledge:宝之蓝照明,关联
任务编号：325378,knowledge:系统UI界面首页,关联
任务编号：325378,knowledge:Form-World平台,关联
任务编号：325378,knowledge:关系架构图,关联
任务编号：325378,knowledge:界面设计,关联
任务编号：325378,knowledge:精致、有厚重感、层次感,关联
