ID,Name,type,[z]
数据采集,数据采集,能力,2
数据处理,数据处理,能力,2
小程序开发,小程序开发,能力,2
网站UI设计,网站UI设计,能力,2
APP开发,APP开发,能力,2
企业官网,企业官网,能力,2
微信开发,微信开发,能力,2
H5开发,H5开发,能力,2
其他网站,其他网站,能力,2
其他管理软件,其他管理软件,能力,2
后端开发,后端开发,能力,2
前端开发,前端开发,能力,2
OA系统,OA系统,能力,2
游戏其他,游戏其他,能力,2
网站二次开发,网站二次开发,能力,2
脚本开发,脚本开发,能力,2
通讯通信,通讯通信,能力,2
其他工具软件,其他工具软件,能力,2
其他软件开发,其他软件开发,能力,2
其他行业,其他行业,能力,2
产品原型设计,产品原型设计,能力,2
APP界面设计,APP界面设计,能力,2
医疗健康,医疗健康,能力,2
手机网站,手机网站,能力,2
系统工具,系统工具,能力,2
电商网站,电商网站,能力,2
数据库设计,数据库设计,能力,2
软件UI设计,软件UI设计,能力,2
游戏UI设计,游戏UI设计,能力,2
手游开发,手游开发,能力,2
运维服务,运维服务,能力,2
采集工具,采集工具,能力,2
电商,电商,能力,2
门户网站,门户网站,能力,2
API接口,API接口,能力,2
模板建站,模板建站,能力,2
外贸网站,外贸网站,能力,2
商城建设,商城建设,能力,2
定制开发,定制开发,能力,2
ERP系统,ERP系统,能力,2
金融,金融,能力,2
物联网,物联网,能力,2
嵌入式软件,嵌入式软件,能力,2
VR游戏,VR游戏,能力,2
项目管理软件,项目管理软件,能力,2
电子设备,电子设备,能力,2
响应式网站,响应式网站,能力,2
区块链应用,区块链应用,能力,2
影音播放,影音播放,能力,2
测试服务,测试服务,能力,2
品牌起名,品牌起名,能力,2
广告策划,广告策划,能力,2
公司起名,公司起名,能力,2
宝宝起名,宝宝起名,能力,2
店铺/网店起名,店铺/网店起名,能力,2
宣传策划,宣传策划,能力,2
其他,其他,能力,2
品牌故事,品牌故事,能力,2
营销推广软文,营销推广软文,能力,2
网店取名,网店取名,能力,2
产品卖点,产品卖点,能力,2
商业提案,商业提案,能力,2
文学创作,文学创作,能力,2
百科/问答撰写,百科/问答撰写,能力,2
专业代笔,专业代笔,能力,2
软文发布,软文发布,能力,2
编辑校对,编辑校对,能力,2
其他内容创作,其他内容创作,能力,2
节假日祝福,节假日祝福,能力,2
道歉短信,道歉短信,能力,2
纪念日祝福,纪念日祝福,能力,2
英语,英语,能力,2
网络接单,网络接单,能力,2
教育培训,教育培训,能力,2
活动策划,活动策划,能力,2
产品推广,产品推广,能力,2
征集点子,征集点子,能力,2
整合营销,整合营销,能力,2
品牌策划,品牌策划,能力,2
网站优化方案,网站优化方案,能力,2
关键词优化,关键词优化,能力,2
口碑营销,口碑营销,能力,2
公众号推广,公众号推广,能力,2
微信代运营,微信代运营,能力,2
APP推广,APP推广,能力,2
其他付费推广,其他付费推广,能力,2
微信推广,微信推广,能力,2
问卷调查,问卷调查,能力,2
信息流,信息流,能力,2
小程序推广,小程序推广,能力,2
软装设计,软装设计,能力,2
其他家装服务,其他家装服务,能力,2
门头设计,门头设计,能力,2
办公空间,办公空间,能力,2
新房装修,新房装修,能力,2
餐饮饮食,餐饮饮食,能力,2
效果图设计,效果图设计,能力,2
施工图设计,施工图设计,能力,2
娱乐休闲,娱乐休闲,能力,2
导视设计,导视设计,能力,2
医疗机构,医疗机构,能力,2
样板间,样板间,能力,2
自建房,自建房,能力,2
复式设计,复式设计,能力,2
工程造价,工程造价,能力,2
商业建筑,商业建筑,能力,2
喷泉设计,喷泉设计,能力,2
舞台设计,舞台设计,能力,2
别墅设计,别墅设计,能力,2
展台展厅,展台展厅,能力,2
商业空间,商业空间,能力,2
其他公装设计,其他公装设计,能力,2
创意短视频,创意短视频,能力,2
FLASH制作,FLASH制作,能力,2
动画设计,动画设计,能力,2
剪辑服务,剪辑服务,能力,2
图片处理,图片处理,能力,2
影视拍摄,影视拍摄,能力,2
广告片/MV,广告片/MV,能力,2
后期制作,后期制作,能力,2
新媒体营销,新媒体营销,能力,2
网红营销,网红营销,能力,2
企业宣传片,企业宣传片,能力,2
短视频营销,短视频营销,能力,2
三维动画,三维动画,能力,2
字幕处理,字幕处理,能力,2
配音配乐,配音配乐,能力,2
短视频代运营,短视频代运营,能力,2
包装设计,包装设计,能力,2
LOGO设计,LOGO设计,能力,2
海报设计,海报设计,能力,2
画册设计,画册设计,能力,2
封面设计,封面设计,能力,2
H5设计,H5设计,能力,2
卡通形象设计,卡通形象设计,能力,2
吉祥物设计,吉祥物设计,能力,2
