Source,Target,Type,EdgeType
数据采集,任务编号：1029121,属于,能力-订单
图像识别,任务编号：1045791,属于,能力-订单
数据采集,任务编号：1052803,属于,能力-订单
其他人工智能,任务编号：1037042,属于,能力-订单
人脸识别,任务编号：1038608,属于,能力-订单
多媒体AI,任务编号：1050131,属于,能力-订单
数据存储,任务编号：1061773,属于,能力-订单
图像识别,任务编号：1066288,属于,能力-订单
图像识别,任务编号：1066346,属于,能力-订单
图像识别,任务编号：1066347,属于,能力-订单
公司注册,任务编号：1059823,属于,能力-订单
商标注册,任务编号：1051534,属于,能力-订单
APP开发,任务编号：1026324,属于,能力-订单
企业官网,任务编号：1026391,属于,能力-订单
小程序开发,任务编号：1026435,属于,能力-订单
APP开发,任务编号：1026464,属于,能力-订单
小程序开发,任务编号：1026466,属于,能力-订单
小程序开发,任务编号：1026528,属于,能力-订单
APP开发,任务编号：1026553,属于,能力-订单
其他软件开发,任务编号：1026843,属于,能力-订单
小程序开发,任务编号：1026804,属于,能力-订单
采集工具,任务编号：1026864,属于,能力-订单
其他行业,任务编号：1027282,属于,能力-订单
APP开发,任务编号：1027347,属于,能力-订单
SAAS软件,任务编号：1027499,属于,能力-订单
网站UI设计,任务编号：1027510,属于,能力-订单
小程序开发,任务编号：1027537,属于,能力-订单
小程序开发,任务编号：1027542,属于,能力-订单
SAAS软件,任务编号：1027554,属于,能力-订单
APP开发,任务编号：1027597,属于,能力-订单
门户网站,任务编号：1027976,属于,能力-订单
小程序开发,任务编号：1028065,属于,能力-订单
企业官网,任务编号：1028124,属于,能力-订单
分销管理软件,任务编号：1028237,属于,能力-订单
APP开发,任务编号：1028238,属于,能力-订单
小程序开发,任务编号：1028173,属于,能力-订单
网站二次开发,任务编号：1028342,属于,能力-订单
软件UI设计,任务编号：1028615,属于,能力-订单
其他软件开发,任务编号：1028551,属于,能力-订单
SAAS软件,任务编号：1028755,属于,能力-订单
响应式网站,任务编号：1028673,属于,能力-订单
其他软件开发,任务编号：1028780,属于,能力-订单
前端开发,任务编号：1029188,属于,能力-订单
H5开发,任务编号：1029504,属于,能力-订单
SAAS软件,任务编号：1029515,属于,能力-订单
小程序开发,任务编号：1029721,属于,能力-订单
小程序开发,任务编号：1029739,属于,能力-订单
OA系统,任务编号：1029772,属于,能力-订单
其他软件开发,任务编号：1029895,属于,能力-订单
SAAS软件,任务编号：1030021,属于,能力-订单
手机网站,任务编号：1030137,属于,能力-订单
电商网站,任务编号：1030295,属于,能力-订单
小程序开发,任务编号：1030236,属于,能力-订单
其他软件开发,任务编号：1030647,属于,能力-订单
手游开发,任务编号：1030550,属于,能力-订单
H5开发,任务编号：1030667,属于,能力-订单
安监系统软件,任务编号：1031016,属于,能力-订单
H5开发,任务编号：1031040,属于,能力-订单
小程序开发,任务编号：1031228,属于,能力-订单
APP开发,任务编号：1031331,属于,能力-订单
其他软件开发,任务编号：1031421,属于,能力-订单
安监系统软件,任务编号：1031583,属于,能力-订单
网站二次开发,任务编号：1031609,属于,能力-订单
小程序开发,任务编号：1031686,属于,能力-订单
小程序开发,任务编号：1031725,属于,能力-订单
小程序开发,任务编号：1031761,属于,能力-订单
APP开发,任务编号：1031871,属于,能力-订单
小程序开发,任务编号：1032993,属于,能力-订单
其他软件开发,任务编号：1032903,属于,能力-订单
商城建设,任务编号：1032987,属于,能力-订单
小程序开发,任务编号：1033176,属于,能力-订单
网站二次开发,任务编号：1033190,属于,能力-订单
安监系统软件,任务编号：1033164,属于,能力-订单
小程序开发,任务编号：1033229,属于,能力-订单
响应式网站,任务编号：1033349,属于,能力-订单
小程序开发,任务编号：1033419,属于,能力-订单
其他软件开发,任务编号：1033499,属于,能力-订单
APP开发,任务编号：1033498,属于,能力-订单
其他软件开发,任务编号：1033908,属于,能力-订单
其他软件开发,任务编号：1034119,属于,能力-订单
小程序开发,任务编号：1034166,属于,能力-订单
SAAS软件,任务编号：1034276,属于,能力-订单
小程序开发,任务编号：1034350,属于,能力-订单
小程序开发,任务编号：1034751,属于,能力-订单
SAAS软件,任务编号：1034738,属于,能力-订单
脚本开发,任务编号：1034609,属于,能力-订单
定制开发,任务编号：1034727,属于,能力-订单
电商网站,任务编号：1034814,属于,能力-订单
采集工具,任务编号：1034819,属于,能力-订单
定制开发,任务编号：1034857,属于,能力-订单
APP开发,任务编号：1035010,属于,能力-订单
小程序开发,任务编号：1035183,属于,能力-订单
小程序开发,任务编号：1035206,属于,能力-订单
小程序开发,任务编号：1035342,属于,能力-订单
H5开发,任务编号：1035812,属于,能力-订单
其他工具软件,任务编号：1036097,属于,能力-订单
定制开发,任务编号：1036191,属于,能力-订单
响应式网站,任务编号：1036193,属于,能力-订单
H5开发,任务编号：1036202,属于,能力-订单
小程序开发,任务编号：1036228,属于,能力-订单
小程序开发,任务编号：1036565,属于,能力-订单
H5开发,任务编号：1036723,属于,能力-订单
定制开发,任务编号：1037041,属于,能力-订单
小程序开发,任务编号：1037101,属于,能力-订单
商城建设,任务编号：1037242,属于,能力-订单
网站UI设计,任务编号：1037244,属于,能力-订单
APP开发,任务编号：1037323,属于,能力-订单
APP开发,任务编号：1037336,属于,能力-订单
营销型网站,任务编号：1037590,属于,能力-订单
软件UI设计,任务编号：1037696,属于,能力-订单
APP开发,任务编号：1037714,属于,能力-订单
网站UI设计,任务编号：1037775,属于,能力-订单
小程序开发,任务编号：1038021,属于,能力-订单
小程序开发,任务编号：1038056,属于,能力-订单
API接口,任务编号：1038310,属于,能力-订单
微信开发,任务编号：1038440,属于,能力-订单
小程序开发,任务编号：1038640,属于,能力-订单
APP开发,任务编号：1038729,属于,能力-订单
定制开发,任务编号：1038716,属于,能力-订单
定制开发,任务编号：1038850,属于,能力-订单
区块链应用,任务编号：1038940,属于,能力-订单
模板建站,任务编号：1038986,属于,能力-订单
软件UI设计,任务编号：1039305,属于,能力-订单
软件UI设计,任务编号：1039339,属于,能力-订单
小程序开发,任务编号：1039409,属于,能力-订单
门户网站,任务编号：1039472,属于,能力-订单
产品原型设计,任务编号：1039600,属于,能力-订单
其他软件开发,任务编号：1040058,属于,能力-订单
APP界面设计,任务编号：1040148,属于,能力-订单
APP开发,任务编号：1040324,属于,能力-订单
小程序开发,任务编号：1040378,属于,能力-订单
H5开发,任务编号：1040472,属于,能力-订单
前端开发,任务编号：1040689,属于,能力-订单
其他软件开发,任务编号：1040785,属于,能力-订单
前端开发,任务编号：1040776,属于,能力-订单
其他软件开发,任务编号：1040857,属于,能力-订单
企业官网,任务编号：1040976,属于,能力-订单
其他软件开发,任务编号：1041465,属于,能力-订单
小程序开发,任务编号：1041475,属于,能力-订单
定制开发,任务编号：1041524,属于,能力-订单
后端开发,任务编号：1041556,属于,能力-订单
APP开发,任务编号：1041580,属于,能力-订单
网站UI设计,任务编号：1041805,属于,能力-订单
模板建站,任务编号：1041996,属于,能力-订单
H5开发,任务编号：1041908,属于,能力-订单
小程序开发,任务编号：1041932,属于,能力-订单
小程序开发,任务编号：1041990,属于,能力-订单
小程序开发,任务编号：1042153,属于,能力-订单
定制开发,任务编号：1042531,属于,能力-订单
电子设备,任务编号：1042554,属于,能力-订单
其他软件开发,任务编号：1042922,属于,能力-订单
小程序开发,任务编号：1042938,属于,能力-订单
脚本开发,任务编号：1042948,属于,能力-订单
采集工具,任务编号：1042958,属于,能力-订单
企业官网,任务编号：1042957,属于,能力-订单
小程序开发,任务编号：1043252,属于,能力-订单
电子设备,任务编号：1043352,属于,能力-订单
小程序开发,任务编号：1043433,属于,能力-订单
其他网站,任务编号：1043605,属于,能力-订单
APP开发,任务编号：1043712,属于,能力-订单
微信开发,任务编号：1043855,属于,能力-订单
网站UI设计,任务编号：1043874,属于,能力-订单
其他网站,任务编号：1043893,属于,能力-订单
门户网站,任务编号：1043912,属于,能力-订单
其他工具软件,任务编号：1044067,属于,能力-订单
其他软件开发,任务编号：1044047,属于,能力-订单
小程序开发,任务编号：1044013,属于,能力-订单
H5开发,任务编号：1043964,属于,能力-订单
软件UI设计,任务编号：1044030,属于,能力-订单
运维服务,任务编号：1044225,属于,能力-订单
其他软件开发,任务编号：1044204,属于,能力-订单
H5开发,任务编号：1044250,属于,能力-订单
PCBA,任务编号：1044284,属于,能力-订单
其他软件开发,任务编号：1044545,属于,能力-订单
小程序开发,任务编号：1044641,属于,能力-订单
APP开发,任务编号：1044484,属于,能力-订单
APP开发,任务编号：1044613,属于,能力-订单
手游开发,任务编号：1044713,属于,能力-订单
网站UI设计,任务编号：1044853,属于,能力-订单
小程序开发,任务编号：1044920,属于,能力-订单
APP开发,任务编号：1044991,属于,能力-订单
其他软件开发,任务编号：1045016,属于,能力-订单
其他软件开发,任务编号：1045017,属于,能力-订单
其他软件开发,任务编号：1045018,属于,能力-订单
游戏建模,任务编号：1045557,属于,能力-订单
软件UI设计,任务编号：1045813,属于,能力-订单
小程序开发,任务编号：1046127,属于,能力-订单
其他软件开发,任务编号：1046024,属于,能力-订单
小程序开发,任务编号：1046091,属于,能力-订单
APP开发,任务编号：1046282,属于,能力-订单
响应式网站,任务编号：1046259,属于,能力-订单
商城建设,任务编号：1046406,属于,能力-订单
小程序开发,任务编号：1046483,属于,能力-订单
小程序开发,任务编号：1046569,属于,能力-订单
APP开发,任务编号：1046796,属于,能力-订单
定制开发,任务编号：1047027,属于,能力-订单
API接口,任务编号：1047079,属于,能力-订单
小程序开发,任务编号：1047335,属于,能力-订单
软件UI设计,任务编号：1047461,属于,能力-订单
APP开发,任务编号：1047563,属于,能力-订单
