ID,Name,type,[z]
knowledge:软件,软件,知识,0
knowledge:快速找到,快速找到,知识,0
knowledge:粗红线,粗红线,知识,0
knowledge:两格,两格,知识,0
knowledge:一字走向的图形,一字走向的图形,知识,0
knowledge:计算真太阳方位角,计算真太阳方位角,知识,0
knowledge:计算月亮方位角,计算月亮方位角,知识,0
knowledge:SQL程序,SQL程序,知识,0
knowledge:观测地的经纬度,观测地的经纬度,知识,0
knowledge:北京时间,北京时间,知识,0
knowledge:太阳角度,太阳角度,知识,0
knowledge:月亮角度,月亮角度,知识,0
knowledge:机器学习模型,机器学习模型,知识,0
knowledge:业务模型,业务模型,知识,0
knowledge:机器学习算法库,机器学习算法库,知识,0
knowledge:接口封装,接口封装,知识,0
knowledge:测试,测试,知识,0
knowledge:交付周期,交付周期,知识,0
knowledge:时间充裕,时间充裕,知识,0
knowledge:教室人数统计,教室人数统计,知识,0
knowledge:人头计数,人头计数,知识,0
knowledge:AIGC技术,AIGC技术,知识,0
knowledge:内容生成模型开发,内容生成模型开发,知识,0
knowledge:趋势强弱指数,趋势强弱指数,知识,0
knowledge:斜率和趋势,斜率和趋势,知识,0
knowledge:数据分析师,数据分析师,知识,0
knowledge:数据来源限制,数据来源限制,知识,0
knowledge:多语言语音识别系统,多语言语音识别系统,知识,0
knowledge:语音识别,语音识别,知识,0
knowledge:高级交互能力,高级交互能力,知识,0
knowledge:用户互动体验,用户互动体验,知识,0
knowledge:展厅,展厅,知识,0
knowledge:教育,教育,知识,0
knowledge:医疗,医疗,知识,0
knowledge:自然语言实时对话,自然语言实时对话,知识,0
knowledge:标准动作,标准动作,知识,0
knowledge:知识库,知识库,知识,0
knowledge:图像采集,图像采集,知识,0
knowledge:语音指令,语音指令,知识,0
knowledge:多轮对话,多轮对话,知识,0
knowledge:情感识别能力,情感识别能力,知识,0
knowledge:跳舞动作,跳舞动作,知识,0
knowledge:挥手动作,挥手动作,知识,0
knowledge:知识库构建,知识库构建,知识,0
knowledge:知识库维护,知识库维护,知识,0
knowledge:安卓设备,安卓设备,知识,0
knowledge:高精度建模,高精度建模,知识,0
knowledge:Blender,Blender,知识,0
knowledge:科大讯飞API,科大讯飞API,知识,0
knowledge:百度API,百度API,知识,0
knowledge:LLM大语言模型,LLM大语言模型,知识,0
knowledge:Android,Android,知识,0
knowledge:会议记录自动化工具,会议记录自动化工具,知识,0
knowledge:字幕生成工具,字幕生成工具,知识,0
knowledge:商标,商标,知识,0
knowledge:名称,名称,知识,0
knowledge:上档次,上档次,知识,0
knowledge:有色金属熔炼用坩埚,有色金属熔炼用坩埚,知识,0
knowledge:小程序首页UI,小程序首页UI,知识,0
knowledge:UI设计,UI设计,知识,0
knowledge:数字人公司,数字人公司,知识,0
knowledge:用户个人形象,用户个人形象,知识,0
knowledge:爆款视频,爆款视频,知识,0
knowledge:大数据算法,大数据算法,知识,0
knowledge:竞品UI界面,竞品UI界面,知识,0
knowledge:广告栏,广告栏,知识,0
knowledge:视频创作模块,视频创作模块,知识,0
knowledge:作品库,作品库,知识,0
knowledge:使用教程,使用教程,知识,0
knowledge:客户案例,客户案例,知识,0
knowledge:惊艳,惊艳,知识,0
knowledge:优化,优化,知识,0
knowledge:参考,参考,知识,0
knowledge:微信小程序,微信小程序,知识,0
knowledge:好多个你,好多个你,知识,0
knowledge:设计风格方案,设计风格方案,知识,0
knowledge:爆款文案,爆款文案,知识,0
knowledge:时间成本,时间成本,知识,0
knowledge:附件,附件,知识,0
knowledge:可以自由发挥,可以自由发挥,知识,0
knowledge:线上交易系统,线上交易系统,知识,0
knowledge:二级页面,二级页面,知识,0
knowledge:会员管理,会员管理,知识,0
knowledge:信息展示,信息展示,知识,0
knowledge:国际化大宗商品风格,国际化大宗商品风格,知识,0
knowledge:简洁明快,简洁明快,知识,0
knowledge:矿产资源行业客户,矿产资源行业客户,知识,0
knowledge:版权合规,版权合规,知识,0
knowledge:玩具品牌网站,玩具品牌网站,知识,0
knowledge:品牌宣传,品牌宣传,知识,0
knowledge:业务拓展,业务拓展,知识,0
knowledge:用户服务,用户服务,知识,0
knowledge:产品展示,产品展示,知识,0
knowledge:定制成本在线计算,定制成本在线计算,知识,0
knowledge:年轻家长,年轻家长,知识,0
knowledge:毛绒玩具,毛绒玩具,知识,0
knowledge:简约,简约,知识,0
knowledge:餐饮店铺,餐饮店铺,知识,0
knowledge:餐饮店铺起名,餐饮店铺起名,知识,0
knowledge:年轻人,年轻人,知识,0
knowledge:工商注册能过去,工商注册能过去,知识,0
knowledge:网站开发,网站开发,知识,0
knowledge:费用托管,费用托管,知识,0
knowledge:Excel编程开发,Excel编程开发,知识,0
knowledge:输入单个查询条件,输入单个查询条件,知识,0
