标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,交易价格1,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【国际商标】公司商标起名,https://task.epwk.com/1088288/,468人,13人,¥100,圆满完成,单人悬赏,秒回客KPUQM,本公司是生产经营有色金属熔炼用坩埚的 想给坩埚起个上档次的商标名称。,2024.08.02,2024.09.23,任务编号：1088288,,,,于男,https://task.epwk.com/javascript:;,￥ 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司注册】给装修公司起名,https://task.epwk.com/1059823/,1261人,33人,¥200,圆满完成,单人悬赏,威风志XpZby,"1.给装修装饰公司起名字
2.三个字或者四个字的名字",2023.10.09,2024.03.29,任务编号：1059823,,,,Frankhhhyyy,https://task.epwk.com/javascript:;,￥ 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【商标注册】商标图形设计,https://task.epwk.com/984692/,886人,6人,¥500,圆满完成,单人悬赏,lxm1971,"设计要求：1、大米袋子上面的商标设计，简洁有寓意2、图形上包含“莲”或“花”字或图形3、大气、简洁、有行业特点；4、有视觉冲击力，醒目易识别；5、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2022.03.03,2022.07.29,任务编号：984692,,,,微时代snz0M,https://task.epwk.com/javascript:;,￥ 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司注册】教育类公司取名,https://task.epwk.com/912202/,2315人,34人,¥100,圆满完成,单人悬赏,o5fe8948a21993,现需要给教育类公司起一个大气有内涵的名字，公司主要从事学历提升和研究生培训等方面业务。名字最好是2个字或者3个字，如：陕西xx教育科技有限公司。,2020.12.27,2021.03.16,任务编号：912202,,,,Y力拔山兮气盖世,https://task.epwk.com/javascript:;,￥ 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【商标注册】帮忙取个商标名,https://task.epwk.com/890092/,1871人,21人,¥158,圆满完成,单人悬赏,o5f4b****77571,"我公司是做财税服务的，往往起名为 某某财务。
起名要求：不要传统的名字，互联网时代要求客户听一遍就记住，最好是某种动物名或水果名，其他新颖有意思的名也可以",2020.09.04,2020.11.22,任务编号：890092,,,,o5ebe00ed26a5e,https://task.epwk.com/javascript:;,￥ 158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司注册】给公司起一个名字,https://task.epwk.com/879559/,2345人,13人,¥100,圆满完成,单人悬赏,zpp2068,成立一家智能公司，现阶段主要负责智能过滤系统、智能清洗系统运营，未来全力以赴拓展智能领域项目和业务。征名要求：1、朗朗上口、便于记忆；2、正面积极向上，体现公司精神风貌；3、寓意公司战略方向：智能、信息化、环保、制造业、工业4.0、未来、科技......,2020.07.21,2020.08.05,任务编号：879559,,,,平川技艺研究所,https://shop.epwk.com/9w56ewrekdv1/,￥ 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司注册】耳机电子类公司起名,https://task.epwk.com/870227/,2327人,25人,¥150,圆满完成,单人悬赏,o5ee44a9aa52d7,耳机数码外设公司名称征集，本公司位于浙江，                    经营介绍： 主营各类耳机，鼠标键盘等外设。                            产品主要二类：                                            1、各类耳机，小耳机，头戴式等                            2、有鼠标，小键盘灯电脑外设                            要求：                                            1、能直接体现公司主营耳机业务的相关关联，简单明了的能突出声乐方面的关键，可有英文关键词直译或者组合的，(必需可以注册公司的)                                        2、有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任,2020.06.13,2020.07.19,任务编号：870227,,,,RamonHe,https://task.epwk.com/javascript:;,￥ 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【商标注册】商标取名,https://task.epwk.com/846156/,2568人,41人,¥100,圆满完成,单人悬赏,o5d22c6d1afdf2,本人从事食品行业，现在要征求取商标名字，用于花茶 保健 养生 保健 丰胸的名字2-3个，后面有带一个堂字的,2020.03.21,2020.06.26,任务编号：846156,,,,o5e7586c677179,https://task.epwk.com/javascript:;,￥ 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司注册】石化公司取名,https://task.epwk.com/758885/,6798人,30人,¥300,圆满完成,单人悬赏,顾文林,云南xx石化有限公司（两个字或三个字）,2019.06.12,2019.11.23,任务编号：758885,,,,小表表弟,https://task.epwk.com/javascript:;,￥ 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【商标注册】畜牧产品商标取名起名征集,https://task.epwk.com/702874/,4948人,37人,¥200,圆满完成,单人悬赏,htkm,"中文商标取名要求1、此次商标取名定位于山东优质畜牧产品，包含肉、蛋、特产等。2、包含关键字：”鲁“、”齐鲁“、”牧“，包含其中之一，或者组合也行3、目的是把山东省农业厅畜牧局优质畜牧产品推向全国4、中文取名字数请保持在3—5个字，要求能注册，易于记忆和传播5、要求突出主题和品牌元素、要有视觉冲击力，醒目易识易记，要求有创意。6、主题元素：有故事、内涵，有一定的文化底蕴。7、请一定要确保取的名字在商标29，30类下可以注册。8、取名后，要附上创意说明。9、要求必须是原创，不得是电脑取名。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2019.01.14,2019.03.17,任务编号：702874,,,,柳伟工作室,https://shop.epwk.com/81n41m7qenp6/,￥ 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【商标注册】实业公司取名,https://task.epwk.com/675190/,7593人,57人,¥200,圆满完成,单人悬赏,topbird,福建XX实业有限公司经营范围：物业开发 长租公寓、民宿、娱乐场所等。（1）字号2—4个字，越短越好，须经过厦门工商、福建工商网络注册系统名核无重，尽量避免谐音等驳回敏感条件；（2）字号未注册住宿、长租公寓分类商标；（3）名称要求字词简单大气、寓意易懂，拒绝生僻字，并和经营项目属性无冲突；（4）名称核名通过才算正式取名；（5) 厦门市市场监督管理局公众号也可进行名核辅助。,2018.10.27,2019.02.11,任务编号：675190,,,,比柯思网络科技,https://task.epwk.com/javascript:;,￥ 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司注册】高档整装公司取名,https://task.epwk.com/587860/,7017人,70人,¥150,圆满完成,单人悬赏,o5a9f748a1595e,装修公司（高档整装）核心优势关注环保，品牌这两个字（容易记忆，琅琅上口，接地气点最好，要么当下流行的词语或有关于重庆历史文化与重庆接地气的名字）要求可以注册。,2018.03.07,2019.02.08,任务编号：587860,,,,天山童姥来了,https://task.epwk.com/javascript:;,￥ 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【外观设计专利】企业LOGO设计,https://task.epwk.com/584405/,12398人,8人,¥500,圆满完成,单人悬赏,Mr186****8812,公司简介：东莞市伍环奥体体育科技有限公司（简称：伍环科技）是基于广东伍环奥体体育产业公司深耕多年体育行业而成立的一家科技公司，从伍环成立初期就倡导“以人为本、体育创造价值”的理念经营。伍环科技秉承“健康好体质，从儿童开始”的企业使命，专注从事幼儿身体素质以及与此相关的儿童动作发展、身体机能、社会能力发展方面的测量、改善及大数据服务。通过提供专业的儿童体育健康检测服务，精准高效的大数据分析平台，科学全面的体育健康课程体系，智能化的业务场景无缝接入，实现“个人-家庭-社群-社会”的健康数据生态圈，打造基于儿童体质健康领域的最专业体育健康社交平台。公司名字释义：伍环 - 通五环，奥运五环奥体体育 - 奥运体育科技 - 以体育为业务基础的科技公司，业务：智能穿戴，体育大数据、体育社交需求：伍环作为企业形象，体育作为基础元素，科技作为外展元素注意事项：规避与奥运五环的可能侵权行为，五色可以使用。特向有兴趣的朋友征稿，请附上创意说明另附带公司名片设计知识产权说明： 1、所设计的作品应为原创，LOGO未在国家商标局注册过，所设计的作品为原创，为第一次发布，未侵犯他人著作权；如有侵犯他人著作权，由设计者承担所有法律责任。2、如中标，设计方必须提供以上要求设计作品完整的方案，包括各种矢量图形源文件和所用到的字体，以方便进行修改完善和印刷。3、中标的设计作品，我方（东莞市伍环奥体体育科技有限公司）支付设计制作费后，即拥有该作品知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改、组合和应用。4、设计作品一经采用，所有权、修改权和使用权均归我方所有，设计者不得在其他任何地方使用该设计作品，包括并不限于著作权、使用权、发布权以及对设计作品进行修改、组合、应用等权利。设计作品一经采用，所有权、修改权和使用权均由本公司所有，设计者不得再在其他任何地方使用该作品，否则构成侵权，本公司保留依法追究设计方法律责任的权利。5、参加此设计任务者被视为同意以上所有声明。,2018.02.26,2018.04.08,任务编号：584405,,,,o5a921c362ed02,https://task.epwk.com/javascript:;,￥ 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【公司注册】商贸公司取名,https://task.epwk.com/386134/,9286人,9人,¥100,圆满完成,单人悬赏,o5556c1818c016,注册个商贸公司，保证能注册，保证原创按以下要求:取名应简短明快，易于和消费者进行信息交流，便于消费者记忆，同时还能引起大众的遐想，寓意更加丰富。字数越少认识程度越高，亦即名字越短越具有传播力。要考虑各地的通用性。总之，判断一个公司名称好坏，标准在于是否易于记忆，其形象是否鲜明、表达能力强否、独特性如何、传播方便与否等。公司名称应当是“音、形、意”的完美结合，以达到好看、好记、好印象的效果。应具备自己的独特性。具有个性的公司名称可避免与别公司名称雷同，以防混淆大众记忆，并可加深大众对公司的印象。应具备不同凡响的气魄，具有冲击力、有气魄，给人以震撼。要响亮，易于上口。要富有时代感的吉祥色彩。要。富于时代感的名称具有鲜明性，符合时代潮流，并能迅速为大众所接受。1.音念起来会不会很顺口2.和别的公司名称没有类似的不会混淆3.义的意境很美4.外国人容易发音5.标准很容易设计6.不会让人家产生不当的联想7.好不好以英文字表达8.名称和从事行业形象会不会让人感觉9.很好发音，念起来有节奏感10.只须念上一、两次就会牢牢记住11.标准字很容易设计,2015.10.20,2015.11.20,任务编号：386134,,,,mf18811353659,https://task.epwk.com/javascript:;,￥ 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
