标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,能力标签,订单编号后缀,需求方,设计师,知识
需要文章的撰写,https://task.epwk.com/244139/,588人,1人,¥350,圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,需要文章的撰写,直接雇佣￥ 350,￥ 350,任务编号：244139,3153-3304.csv,,244139,A244139,B244139,文章撰写
【动漫其他】1000块画10张场景,https://task.epwk.com/244146/,779人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,1000块画10张场景,直接雇佣￥ 1000,￥ 1000,任务编号：244146,3153-3304.csv,动漫其他,244146,A244146,B244146,"场景设计, 插画设计"
【封面设计】单本教辅图书封面设计,https://task.epwk.com/244149/,370人,1人,"¥1,600",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,单本教辅图书封面设计,直接雇佣￥ 1600,￥ 1600,任务编号：244149,3153-3304.csv,封面设计,244149,A244149,B244149,"教辅图书, 封面设计"
【小程序开发】修改企业网站的问题,https://task.epwk.com/244241/,232人,1人,¥200,圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,修改企业网站的问题,直接雇佣￥ 200,￥ 200,任务编号：244241,3153-3304.csv,小程序开发,244241,A244241,B244241,"企业网站, 问题修改"
【动漫其他】500元画场景（二）,https://task.epwk.com/244266/,648人,1人,¥500,圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,500元画场景（二）,直接雇佣￥ 500,￥ 500,任务编号：244266,3153-3304.csv,动漫其他,244266,A244266,B244266,"动漫场景, 封面/插画设计"
【产品外观设计】消费电子产品外观设计,https://task.epwk.com/244288/,1478人,1人,"¥2,300",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,消费电子产品外观设计,直接雇佣￥ 2300,￥ 2300,任务编号：244288,3153-3304.csv,产品外观设计,244288,A244288,B244288,"消费电子, 外观设计"
【企业官网】为公司的软件建网站修改,https://task.epwk.com/244328/,315人,1人,¥100,圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,为公司的软件建网站修改,直接雇佣￥ 100,￥ 100,任务编号：244328,3153-3304.csv,企业官网,244328,A244328,B244328,"软件网站, 公司网站修改"
【网站UI设计】营销型网站网页视觉包装美工设计,https://task.epwk.com/244408/,320人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,营销型网站网页视觉包装美工设计,直接雇佣￥ 3000,￥ 3000,任务编号：244408,3153-3304.csv,网站UI设计,244408,A244408,B244408,"营销型网站, 网页视觉设计, 包装设计"
【软件UI设计】软件UI图标制作,https://task.epwk.com/244435/,760人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,软件UI图标制作,直接雇佣￥ 1000,￥ 1000,任务编号：244435,3153-3304.csv,软件UI设计,244435,A244435,B244435,"软件UI, 图标设计"
【海报设计】公司促销活动海报设计,https://task.epwk.com/244461/,253人,1人,"¥1,600",圆满完成,https://task.epwk.com/page3226.html?m=6&o=7,公司促销活动海报设计,直接雇佣￥ 1600,￥ 1600,任务编号：244461,3153-3304.csv,海报设计,244461,A244461,B244461,"公司促销, 海报设计"
