ID,标题,价格,type,[z]
任务编号：244139,需要文章的撰写,¥350,订单,1
任务编号：244146,【动漫其他】1000块画10张场景,"¥1,000",订单,1
任务编号：244149,【封面设计】单本教辅图书封面设计,"¥1,600",订单,1
任务编号：244241,【小程序开发】修改企业网站的问题,¥200,订单,1
任务编号：244266,【动漫其他】500元画场景（二）,¥500,订单,1
任务编号：244288,【产品外观设计】消费电子产品外观设计,"¥2,300",订单,1
任务编号：244328,【企业官网】为公司的软件建网站修改,¥100,订单,1
任务编号：244408,【网站UI设计】营销型网站网页视觉包装美工设计,"¥3,000",订单,1
任务编号：244435,【软件UI设计】软件UI图标制作,"¥1,000",订单,1
任务编号：244461,【海报设计】公司促销活动海报设计,"¥1,600",订单,1
任务编号：244516,【网站UI设计】公司网站整站设计,"¥1,000",订单,1
任务编号：244519,【APP开发】商场主题展览活动移动应用安卓版制作,"¥7,000",订单,1
任务编号：244535,【小程序开发】找人做FLASH程序开发,"¥2,000",订单,1
任务编号：244549,【网站优化方案】百度360搜搜互动网站推广,¥750,订单,1
任务编号：244581,【广告设计】两块宣传展板设计,"¥1,500",订单,1
任务编号：244600,【3D建模】产品需建模及出2张效果图,"¥3,000",订单,1
任务编号：244683,【电商网站】模仿一个电子商务网站,"¥3,700",订单,1
任务编号：244690,【电商网站】爱宝玛咖网站建设,"¥3,000",订单,1
任务编号：244723,【APP开发】商场主题展览活动移动应用安卓版制作[二],"¥1,500",订单,1
任务编号：244802,【商业提案】找人做一份商业文案,"¥5,000",订单,1
任务编号：244836,【VI设计】连锁药店VI 设计,"¥4,000",订单,1
任务编号：244848,【企业官网】公司网站开发,"¥3,500",订单,1
任务编号：244852,【小程序开发】惠氏APP系统开发费第二期,"¥21,200",订单,1
任务编号：244865,【网站UI设计】需要网站的建设,¥260,订单,1
任务编号：244867,【企业官网】需要动态数据的展现,"¥5,000",订单,1
任务编号：244963,【企业官网】泉州金融超市第二期付款,"¥3,800",订单,1
任务编号：244988,【产品外观设计】电子产品结构设计,"¥4,000",订单,1
任务编号：245000,【VI设计】标志及简单VI设计,"¥2,000",订单,1
任务编号：245009,【VI设计】需要做企业VI的设计,"¥5,000",订单,1
任务编号：245127,【电商网站】做一个可以交易的电子书网站,"¥1,800",订单,1
任务编号：245139,【包装设计】征集茶粉袋包装设计,¥250,订单,1
任务编号：245284,【其他工业设计】模具承包制作,"¥47,000",订单,1
任务编号：245285,【其他工业设计】基站外观设计、结构设计及模型制作,"¥20,800",订单,1
任务编号：245304,【产品外观设计】电子产品配件设计,¥800,订单,1
任务编号：245322,【前端开发】website网站设计,¥100,订单,1
任务编号：245385,【广告设计】Flash广告动画制作,"¥9,000",订单,1
任务编号：245388,【其他软件开发】用stata做金融数据分析,¥400,订单,1
任务编号：245401,【小程序开发】比特币交易平台开发,"¥20,000",订单,1
任务编号：245405,【LOGO设计】临沧前沿LOGO字体设计,¥500,订单,1
任务编号：245436,【LOGO设计】榴莲西点甜品屋LOGO设计,"¥1,500",订单,1
任务编号：245492,【APP开发】IOS手机APP软件开发,¥900,订单,1
任务编号：245512,【前端开发】需要网站切图制作,"¥1,000",订单,1
任务编号：245627,【产品外观设计】等离子进化器外观设计,"¥7,500",订单,1
任务编号：245637,【专业代笔】将人物事迹材料改写成报告文学形式,¥205,订单,1
任务编号：245685,【小程序开发】需要传感器APP设计,"¥1,800",订单,1
任务编号：245709,【印刷出版】年会物料设计,"¥7,000",订单,1
任务编号：245714,【背景墙设计】征集公司背景墙设计,¥100,订单,1
任务编号：245718,【电商网站】商城支付接口用paybal制作,"¥4,000",订单,1
任务编号：245759,【产品推广】福建区域互动问答,"¥4,536",订单,1
任务编号：245768,【网站UI设计】需要仿建一个网站,¥600,订单,1
任务编号：245778,【图片处理】淘宝投诉原图还原,¥100,订单,1
任务编号：245779,【插画设计】找人帮忙做插图设计,"¥2,450",订单,1
任务编号：245785,【产品外观设计】邮币appUI设计,"¥1,000",订单,1
任务编号：245788,【APP开发】邮币行情app IOS版本开发第一阶段,"¥2,000",订单,1
任务编号：245897,【前端开发】产品中心内页设计和HTML响应,¥500,订单,1
任务编号：245903,【小程序开发】開發客戶系統,¥500,订单,1
任务编号：245991,【手游开发】小型模拟购物社区动画游戏制作[一],"¥5,000",订单,1
任务编号：246006,【APP开发】app添加功能开发,¥400,订单,1
任务编号：246013,【企业官网】年会网站修改设计,"¥2,120",订单,1
任务编号：246017,【卡通形象设计】游戏人物设计,"¥1,500",订单,1
任务编号：246018,【海报设计】需要企业海报设计,¥200,订单,1
任务编号：246026,【宣传册设计】产品的DM设计,¥650,订单,1
任务编号：246029,【LOGO设计】新面膜起名和logo设计,¥300,订单,1
任务编号：246033,【数据录入】信息数据录入之242,"¥6,120",订单,1
