ID,Name,主体类型,type,[z]
A399602,A399602,需求方,需求方,3
B399602,B399602,设计师,设计师,3
A399603,A399603,需求方,需求方,3
B399603,B399603,设计师,设计师,3
A399615,A399615,需求方,需求方,3
B399615,B399615,设计师,设计师,3
A399652,A399652,需求方,需求方,3
B399652,B399652,设计师,设计师,3
A399688,A399688,需求方,需求方,3
B399688,B399688,设计师,设计师,3
A399700,A399700,需求方,需求方,3
B399700,B399700,设计师,设计师,3
A399703,A399703,需求方,需求方,3
B399703,B399703,设计师,设计师,3
A399714,A399714,需求方,需求方,3
B399714,B399714,设计师,设计师,3
A399721,A399721,需求方,需求方,3
B399721,B399721,设计师,设计师,3
A399723,A399723,需求方,需求方,3
B399723,B399723,设计师,设计师,3
A399750,A399750,需求方,需求方,3
B399750,B399750,设计师,设计师,3
A399767,A399767,需求方,需求方,3
B399767,B399767,设计师,设计师,3
A399771,A399771,需求方,需求方,3
B399771,B399771,设计师,设计师,3
A399787,A399787,需求方,需求方,3
B399787,B399787,设计师,设计师,3
A399815,A399815,需求方,需求方,3
B399815,B399815,设计师,设计师,3
A399836,A399836,需求方,需求方,3
B399836,B399836,设计师,设计师,3
A399845,A399845,需求方,需求方,3
B399845,B399845,设计师,设计师,3
A399852,A399852,需求方,需求方,3
B399852,B399852,设计师,设计师,3
A399853,A399853,需求方,需求方,3
B399853,B399853,设计师,设计师,3
A399861,A399861,需求方,需求方,3
B399861,B399861,设计师,设计师,3
A399863,A399863,需求方,需求方,3
B399863,B399863,设计师,设计师,3
A399867,A399867,需求方,需求方,3
B399867,B399867,设计师,设计师,3
A399887,A399887,需求方,需求方,3
B399887,B399887,设计师,设计师,3
A399890,A399890,需求方,需求方,3
B399890,B399890,设计师,设计师,3
A399893,A399893,需求方,需求方,3
B399893,B399893,设计师,设计师,3
A399894,A399894,需求方,需求方,3
B399894,B399894,设计师,设计师,3
A399896,A399896,需求方,需求方,3
B399896,B399896,设计师,设计师,3
A399897,A399897,需求方,需求方,3
B399897,B399897,设计师,设计师,3
A399913,A399913,需求方,需求方,3
