Source,Target,Type
任务编号：698621,knowledge:商标,关联
任务编号：698621,knowledge:企业品牌,关联
任务编号：698621,knowledge:餐饮品牌,关联
任务编号：698621,knowledge:公司logo设计,关联
任务编号：698632,knowledge:社交,关联
任务编号：698632,knowledge:App,关联
任务编号：698634,knowledge:房地产项目,关联
任务编号：698634,knowledge:提报,关联
任务编号：698635,knowledge:房地产项目,关联
任务编号：698635,knowledge:提报,关联
任务编号：698636,knowledge:企业宣传,关联
任务编号：698636,knowledge:画册设计,关联
任务编号：698651,knowledge:金融软件,关联
任务编号：698651,knowledge:软件开发,关联
任务编号：698653,knowledge:QML,关联
任务编号：698653,knowledge:视频网页,关联
任务编号：698653,knowledge:Demo,关联
任务编号：698655,knowledge:前端,关联
任务编号：698655,knowledge:签到页面,关联
任务编号：698655,knowledge:开发,关联
任务编号：698656,knowledge:年夜饭,关联
任务编号：698656,knowledge:预订优惠,关联
任务编号：698656,knowledge:宣传设计,关联
任务编号：698677,knowledge:标志设计,关联
任务编号：698691,knowledge:房产信息,关联
任务编号：698691,knowledge:网站开发,关联
任务编号：698695,knowledge:餐饮VI设计,关联
任务编号：698697,knowledge:建设管理系统,关联
任务编号：698697,knowledge:需求分析,关联
任务编号：698697,knowledge:原型设计,关联
任务编号：698700,knowledge:餐饮VI设计,关联
任务编号：698700,knowledge:补充费用,关联
任务编号：698707,knowledge:任务平台,关联
任务编号：698707,knowledge:开发,关联
任务编号：698708,knowledge:微信商城装修,关联
任务编号：698708,knowledge:微盟,关联
任务编号：698708,knowledge:有赞,关联
任务编号：698708,knowledge:微擎,关联
任务编号：698708,knowledge:优物库,关联
任务编号：698708,knowledge:微讯云端,关联
任务编号：698708,knowledge:微商城,关联
任务编号：698708,knowledge:微信推广,关联
任务编号：698709,knowledge:同城生活,关联
任务编号：698709,knowledge:小程序,关联
任务编号：698711,knowledge:互助,关联
任务编号：698711,knowledge:互保平台,关联
任务编号：698711,knowledge:APP开发,关联
任务编号：698712,knowledge:共享农业,关联
任务编号：698712,knowledge:小程序,关联
任务编号：698712,knowledge:拼团,关联
任务编号：698712,knowledge:砍价,关联
任务编号：698712,knowledge:秒杀,关联
任务编号：698712,knowledge:活动报名,关联
任务编号：698712,knowledge:溯源查询,关联
任务编号：698712,knowledge:众筹租用,关联
任务编号：698712,knowledge:认养,关联
任务编号：698754,knowledge:二次开发,关联
任务编号：698789,knowledge:纸盒包装,关联
任务编号：698789,knowledge:设计,关联
任务编号：698800,knowledge:电商设计,关联
任务编号：698800,knowledge:美工,关联
任务编号：698800,knowledge:天猫淘宝京东商城,关联
任务编号：698814,knowledge:小程序商城,关联
任务编号：698814,knowledge:维护,关联
任务编号：698826,knowledge:物流,关联
任务编号：698826,knowledge:app,关联
任务编号：698832,knowledge:响应式网站,关联
任务编号：698832,knowledge:Bootstrap框架,关联
任务编号：698832,knowledge:H5页面,关联
任务编号：698836,knowledge:跨版广告,关联
任务编号：698836,knowledge:出血尺寸,关联
任务编号：698836,knowledge:42.6 cmX 29.1cm,关联
任务编号：698839,knowledge:视频处理,关联
任务编号：698839,knowledge:优化,关联
任务编号：698840,knowledge:各部门宣传页,关联
任务编号：698842,knowledge:营销活动,关联
任务编号：698842,knowledge:策划,关联
任务编号：698844,knowledge:微信商城,关联
任务编号：698844,knowledge:运营,关联
任务编号：698845,knowledge:LOGO,关联
任务编号：698845,knowledge:设计,关联
任务编号：698846,knowledge:微信商城,关联
任务编号：698846,knowledge:运营,关联
任务编号：698847,knowledge:网站建设,关联
任务编号：698847,knowledge:企业站,关联
任务编号：698847,knowledge:PC端,关联
任务编号：698847,knowledge:手机端,关联
任务编号：698847,knowledge:微信端,关联
任务编号：698850,knowledge:微商城,关联
任务编号：698850,knowledge:搭建,关联
任务编号：698850,knowledge:装修,关联
任务编号：698854,knowledge:微信商城,关联
任务编号：698854,knowledge:小程序,关联
任务编号：698856,knowledge:主任logo,关联
任务编号：698856,knowledge:设计,关联
任务编号：698864,knowledge:三维动画,关联
任务编号：698864,knowledge:制作,关联
任务编号：698866,knowledge:app开发,关联
任务编号：698866,knowledge:app定制,关联
任务编号：698866,knowledge:app设计,关联
任务编号：698866,knowledge:app商城,关联
任务编号：698866,knowledge:安卓,关联
任务编号：698866,knowledge:苹果,关联
任务编号：698871,knowledge:地产项目,关联
任务编号：698871,knowledge:月度提报,关联
任务编号：698872,knowledge:app开发,关联
任务编号：698872,knowledge:app定制,关联
任务编号：698872,knowledge:app设计,关联
任务编号：698872,knowledge:app商城,关联
任务编号：698872,knowledge:安卓,关联
任务编号：698872,knowledge:苹果,关联
任务编号：698887,knowledge:金融开发,关联
任务编号：698887,knowledge:APP,关联
任务编号：698896,knowledge:网站定制,关联
任务编号：698896,knowledge:开发,关联
任务编号：698897,knowledge:小程序开发,关联
任务编号：698903,knowledge:社交软件,关联
任务编号：698903,knowledge:软件开发,关联
任务编号：698904,knowledge:金融开发,关联
任务编号：698904,knowledge:APP,关联
任务编号：698905,knowledge:智能家居,关联
任务编号：698905,knowledge:软件开发,关联
任务编号：698906,knowledge:微信商城,关联
任务编号：698906,knowledge:开发,关联
任务编号：698907,knowledge:智能家居软件,关联
任务编号：698907,knowledge:软件开发,关联
任务编号：698907,knowledge:二期,关联
任务编号：698908,knowledge:电商网站,关联
任务编号：698908,knowledge:app开发,关联
任务编号：698908,knowledge:四期,关联
任务编号：698910,knowledge:电商网站,关联
任务编号：698910,knowledge:app开发,关联
任务编号：698910,knowledge:尾款,关联
任务编号：698916,knowledge:教学教育,关联
任务编号：698916,knowledge:软件开发,关联
任务编号：698920,knowledge:考拉,关联
任务编号：698920,knowledge:插画稿,关联
任务编号：698927,knowledge:加湿器,关联
任务编号：698927,knowledge:产品设计,关联
任务编号：698928,knowledge:智能家居系统,关联
任务编号：698928,knowledge:系统开发,关联
任务编号：698930,knowledge:智能家居系统,关联
任务编号：698930,knowledge:系统开发,关联
任务编号：698930,knowledge:第二期,关联
任务编号：698934,knowledge:直播平台,关联
任务编号：698934,knowledge:开发,关联
任务编号：698935,knowledge:视频网站,关联
任务编号：698935,knowledge:开发,关联
任务编号：698936,knowledge:通信软件,关联
任务编号：698936,knowledge:软件开发,关联
