Source,Target,Type
A1026317,安全服务,发布
B1026317,安全服务,完成
A1026330,企业官网,发布
B1026330,企业官网,完成
A1026331,LOGO设计,发布
B1026331,LOGO设计,完成
A1026336,排版设计,发布
B1026336,排版设计,完成
A1026455,包装设计,发布
B1026455,包装设计,完成
A1026506,书籍装帧,发布
B1026506,书籍装帧,完成
A1026557,小程序开发,发布
B1026557,小程序开发,完成
A1026603,画册设计,发布
B1026603,画册设计,完成
A1026609,APP开发,发布
B1026609,APP开发,完成
A1026631,门户网站,发布
B1026631,门户网站,完成
A1026643,LOGO设计,发布
B1026643,LOGO设计,完成
A1026696,PPT设计,发布
B1026696,PPT设计,完成
A1026784,书籍装帧,发布
B1026784,书籍装帧,完成
A1026856,其他软件开发,发布
B1026856,其他软件开发,完成
A1026877,LOGO设计,发布
B1026877,LOGO设计,完成
A1026940,宣传册设计,发布
B1026940,宣传册设计,完成
A1026953,包装设计,发布
B1026953,包装设计,完成
A1027177,H5开发,发布
B1027177,H5开发,完成
A1027228,手游开发,发布
B1027228,手游开发,完成
A1027456,小程序开发,发布
B1027456,小程序开发,完成
A1027457,小程序开发,发布
B1027457,小程序开发,完成
A1027575,APP开发,发布
B1027575,APP开发,完成
A1027692,脚本开发,发布
B1027692,脚本开发,完成
A1027880,定制开发,发布
B1027880,定制开发,完成
A1027913,其他工具软件,发布
B1027913,其他工具软件,完成
A1028098,LOGO设计,发布
B1028098,LOGO设计,完成
A1028128,定制开发,发布
B1028128,定制开发,完成
A1028141,LOGO设计,发布
B1028141,LOGO设计,完成
A1028203,LOGO设计,发布
B1028203,LOGO设计,完成
A1028268,响应式网站,发布
B1028268,响应式网站,完成
A1028278,产品外观设计,发布
B1028278,产品外观设计,完成
A1028396,定制开发,发布
B1028396,定制开发,完成
A1028401,LOGO设计,发布
B1028401,LOGO设计,完成
A1028433,画册设计,发布
B1028433,画册设计,完成
A1028479,商城建设,发布
B1028479,商城建设,完成
A1028513,电商网站,发布
B1028513,电商网站,完成
A1028573,APP开发,发布
B1028573,APP开发,完成
A1028623,LOGO设计,发布
B1028623,LOGO设计,完成
A1028716,LOGO设计,发布
B1028716,LOGO设计,完成
A1028950,表情设计,发布
B1028950,表情设计,完成
A1029008,电商网站,发布
B1029008,电商网站,完成
A1029102,其他软件开发,发布
B1029102,其他软件开发,完成
A1029156,小程序开发,发布
B1029156,小程序开发,完成
A1029157,书籍装帧,发布
B1029157,书籍装帧,完成
A1029176,LOGO设计,发布
B1029176,LOGO设计,完成
A1029377,三维动画,发布
B1029377,三维动画,完成
A1029391,彩页设计,发布
B1029391,彩页设计,完成
A1029396,VI设计,发布
B1029396,VI设计,完成
A1029521,其他软件开发,发布
B1029521,其他软件开发,完成
A1029524,APP开发,发布
B1029524,APP开发,完成
A1029527,H5开发,发布
B1029527,H5开发,完成
A1029620,LOGO设计,发布
B1029620,LOGO设计,完成
A1029699,电商网站,发布
B1029699,电商网站,完成
A1029713,企业宣传片,发布
B1029713,企业宣传片,完成
A1029789,小程序开发,发布
B1029789,小程序开发,完成
A1029938,书籍装帧,发布
B1029938,书籍装帧,完成
A1029962,商业空间,发布
B1029962,商业空间,完成
A1029996,表情设计,发布
B1029996,表情设计,完成
A1030023,小程序开发,发布
