Source,Target,Type
安全服务,任务编号：1026317,属于
企业官网,任务编号：1026330,属于
LOGO设计,任务编号：1026331,属于
排版设计,任务编号：1026336,属于
包装设计,任务编号：1026455,属于
书籍装帧,任务编号：1026506,属于
小程序开发,任务编号：1026557,属于
画册设计,任务编号：1026603,属于
APP开发,任务编号：1026609,属于
门户网站,任务编号：1026631,属于
LOGO设计,任务编号：1026643,属于
PPT设计,任务编号：1026696,属于
书籍装帧,任务编号：1026784,属于
其他软件开发,任务编号：1026856,属于
LOGO设计,任务编号：1026877,属于
宣传册设计,任务编号：1026940,属于
包装设计,任务编号：1026953,属于
H5开发,任务编号：1027177,属于
手游开发,任务编号：1027228,属于
小程序开发,任务编号：1027456,属于
小程序开发,任务编号：1027457,属于
APP开发,任务编号：1027575,属于
脚本开发,任务编号：1027692,属于
定制开发,任务编号：1027880,属于
其他工具软件,任务编号：1027913,属于
LOGO设计,任务编号：1028098,属于
定制开发,任务编号：1028128,属于
LOGO设计,任务编号：1028141,属于
LOGO设计,任务编号：1028203,属于
响应式网站,任务编号：1028268,属于
产品外观设计,任务编号：1028278,属于
定制开发,任务编号：1028396,属于
LOGO设计,任务编号：1028401,属于
画册设计,任务编号：1028433,属于
商城建设,任务编号：1028479,属于
电商网站,任务编号：1028513,属于
APP开发,任务编号：1028573,属于
LOGO设计,任务编号：1028623,属于
LOGO设计,任务编号：1028716,属于
表情设计,任务编号：1028950,属于
电商网站,任务编号：1029008,属于
其他软件开发,任务编号：1029102,属于
小程序开发,任务编号：1029156,属于
书籍装帧,任务编号：1029157,属于
LOGO设计,任务编号：1029176,属于
三维动画,任务编号：1029377,属于
彩页设计,任务编号：1029391,属于
VI设计,任务编号：1029396,属于
其他软件开发,任务编号：1029521,属于
APP开发,任务编号：1029524,属于
H5开发,任务编号：1029527,属于
LOGO设计,任务编号：1029620,属于
电商网站,任务编号：1029699,属于
企业宣传片,任务编号：1029713,属于
小程序开发,任务编号：1029789,属于
书籍装帧,任务编号：1029938,属于
商业空间,任务编号：1029962,属于
表情设计,任务编号：1029996,属于
小程序开发,任务编号：1030023,属于
SAAS软件,任务编号：1030024,属于
包装设计,任务编号：1030053,属于
小程序开发,任务编号：1030067,属于
运维服务,任务编号：1030070,属于
详情页设计,任务编号：1030093,属于
VI设计,任务编号：1030324,属于
APP开发,任务编号：1030457,属于
APP开发,任务编号：1030486,属于
H5开发,任务编号：1030507,属于
其他网站,任务编号：1030620,属于
APP开发,任务编号：1030840,属于
H5开发,任务编号：1030945,属于
响应式网站,任务编号：1031101,属于
包装设计,任务编号：1031160,属于
LOGO设计,任务编号：1031453,属于
其他软件开发,任务编号：1031489,属于
其他软件开发,任务编号：1031490,属于
APP界面设计,任务编号：1031556,属于
商业提案,任务编号：1031597,属于
其他软件开发,任务编号：1031671,属于
VI设计,任务编号：1031672,属于
小程序开发,任务编号：1031791,属于
书籍装帧,任务编号：1031964,属于
电商网站,任务编号：1031999,属于
电商网站,任务编号：1032097,属于
LOGO设计,任务编号：1032128,属于
网站二次开发,任务编号：1032218,属于
其他软件开发,任务编号：1032224,属于
定制开发,任务编号：1032237,属于
H5开发,任务编号：1032272,属于
彩页设计,任务编号：1032551,属于
商业提案,任务编号：1032568,属于
LOGO设计,任务编号：1032760,属于
包装设计,任务编号：1032872,属于
剪辑服务,任务编号：1032952,属于
网站二次开发,任务编号：1033086,属于
网站二次开发,任务编号：1033183,属于
画册设计,任务编号：1033462,属于
门户网站,任务编号：1033488,属于
小程序开发,任务编号：1033564,属于
手机网站,任务编号：1033641,属于
小程序开发,任务编号：1033705,属于
定制开发,任务编号：1033736,属于
封面设计,任务编号：1034048,属于
LOGO设计,任务编号：1034106,属于
海报设计,任务编号：1034139,属于
宣传册设计,任务编号：1034209,属于
其他网站,任务编号：1034211,属于
VI设计,任务编号：1034220,属于
包装设计,任务编号：1034365,属于
LOGO设计,任务编号：1034467,属于
网站二次开发,任务编号：1034683,属于
其他软件开发,任务编号：1034707,属于
H5开发,任务编号：1034797,属于
海报设计,任务编号：1034843,属于
LOGO设计,任务编号：1034881,属于
H5开发,任务编号：1035100,属于
嵌入式软件,任务编号：1035218,属于
LOGO设计,任务编号：1035414,属于
PPT设计,任务编号：1035537,属于
APP开发,任务编号：1035570,属于
小程序开发,任务编号：1035601,属于
H5开发,任务编号：1035603,属于
小程序开发,任务编号：1035605,属于
排版设计,任务编号：1035610,属于
彩页设计,任务编号：1035830,属于
APP开发,任务编号：1035836,属于
APP开发,任务编号：1035838,属于
LOGO设计,任务编号：1035857,属于
LOGO设计,任务编号：1035878,属于
剪辑服务,任务编号：1035886,属于
手机网站,任务编号：1036000,属于
排版设计,任务编号：1036029,属于
VI设计,任务编号：1036091,属于
VI设计,任务编号：1036122,属于
其他软件开发,任务编号：1036237,属于
包装设计,任务编号：1036272,属于
LOGO设计,任务编号：1036274,属于
画册设计,任务编号：1036276,属于
手游开发,任务编号：1036280,属于
其他软件开发,任务编号：1036285,属于
APP开发,任务编号：1036388,属于
包装设计,任务编号：1036460,属于
LOGO设计,任务编号：1036518,属于
包装设计,任务编号：1036521,属于
画册设计,任务编号：1036524,属于
画册设计,任务编号：1036535,属于
彩页设计,任务编号：1036537,属于
书籍装帧,任务编号：1036793,属于
LOGO设计,任务编号：1036841,属于
小程序开发,任务编号：1036864,属于
SAAS软件,任务编号：1036873,属于
LOGO设计,任务编号：1036949,属于
包装设计,任务编号：1036950,属于
画册设计,任务编号：1036952,属于
喷绘写真制作,任务编号：1036953,属于
小程序开发,任务编号：1036967,属于
VI设计,任务编号：1036975,属于
定制开发,任务编号：1037006,属于
餐饮饮食,任务编号：1037177,属于
新房装修,任务编号：1037181,属于
LOGO设计,任务编号：1037377,属于
包装设计,任务编号：1037378,属于
画册设计,任务编号：1037379,属于
喷绘写真制作,任务编号：1037380,属于
书籍装帧,任务编号：1037445,属于
英语,任务编号：1037504,属于
LOGO设计,任务编号：1037659,属于
包装设计,任务编号：1037661,属于
喷绘写真制作,任务编号：1037663,属于
其他软件开发,任务编号：1037707,属于
H5开发,任务编号：1037792,属于
H5开发,任务编号：1037793,属于
其他网站,任务编号：1037835,属于
门户网站,任务编号：1037984,属于
包装设计,任务编号：1038041,属于
排版设计,任务编号：1038133,属于
产品原型设计,任务编号：1038311,属于
APP开发,任务编号：1038316,属于
网站二次开发,任务编号：1038317,属于
VI设计,任务编号：1038322,属于
APP界面设计,任务编号：1038592,属于
其他网站,任务编号：1038611,属于
游戏其他,任务编号：1038813,属于
LOGO设计,任务编号：1039043,属于
小程序开发,任务编号：1039195,属于
LOGO设计,任务编号：1039242,属于
包装设计,任务编号：1039243,属于
海报设计,任务编号：1039252,属于
宣传册设计,任务编号：1039253,属于
其他宣传品设计,任务编号：1039256,属于
嵌入式软件,任务编号：1039328,属于
书籍装帧,任务编号：1039569,属于
包装设计,任务编号：1039591,属于
小程序开发,任务编号：1039615,属于
VR场景,任务编号：1039626,属于
抖音代运营,任务编号：1039720,属于
抖音代运营,任务编号：1039721,属于
抖音代运营,任务编号：1039722,属于
抖音代运营,任务编号：1039724,属于
抖音代运营,任务编号：1039725,属于
抖音代运营,任务编号：1039726,属于
抖音代运营,任务编号：1039727,属于
抖音代运营,任务编号：1039728,属于
抖音代运营,任务编号：1039729,属于
三维动画,任务编号：1039731,属于
三维动画,任务编号：1039732,属于
三维动画,任务编号：1039733,属于
三维动画,任务编号：1039734,属于
三维动画,任务编号：1039737,属于
三维动画,任务编号：1039738,属于
动画制作,任务编号：1039739,属于
动画制作,任务编号：1039740,属于
动画制作,任务编号：1039763,属于
动画制作,任务编号：1039764,属于
动画制作,任务编号：1039765,属于
动画制作,任务编号：1039767,属于
动画制作,任务编号：1039768,属于
动画制作,任务编号：1039769,属于
动画制作,任务编号：1039770,属于
产品视频,任务编号：1039771,属于
产品视频,任务编号：1039773,属于
产品视频,任务编号：1039775,属于
产品视频,任务编号：1039778,属于
产品视频,任务编号：1039779,属于
产品视频,任务编号：1039780,属于
广告片/MV,任务编号：1039784,属于
广告片/MV,任务编号：1039831,属于
广告片/MV,任务编号：1039832,属于
产品视频,任务编号：1039833,属于
企业宣传片,任务编号：1039841,属于
企业宣传片,任务编号：1039842,属于
视频定制,任务编号：1039843,属于
视频定制,任务编号：1039844,属于
视频定制,任务编号：1039846,属于
视频定制,任务编号：1039847,属于
视频定制,任务编号：1039848,属于
视频定制,任务编号：1039851,属于
视频定制,任务编号：1039852,属于
创意短视频,任务编号：1039853,属于
创意短视频,任务编号：1039858,属于
创意短视频,任务编号：1039861,属于
创意短视频,任务编号：1039863,属于
创意短视频,任务编号：1039864,属于
创意短视频,任务编号：1039865,属于
抖音视频,任务编号：1039866,属于
标签设计,任务编号：1039877,属于
抖音视频,任务编号：1039885,属于
抖音视频,任务编号：1039886,属于
抖音视频,任务编号：1039887,属于
抖音视频,任务编号：1039889,属于
抖音视频,任务编号：1039890,属于
抖音视频,任务编号：1039891,属于
抖音视频,任务编号：1039892,属于
抖音视频,任务编号：1039893,属于
抖音视频,任务编号：1039894,属于
短视频营销,任务编号：1039898,属于
短视频营销,任务编号：1039902,属于
短视频营销,任务编号：1039903,属于
直播卖货,任务编号：1039904,属于
直播卖货,任务编号：1039906,属于
直播卖货,任务编号：1039907,属于
直播卖货,任务编号：1039908,属于
直播卖货,任务编号：1039909,属于
直播卖货,任务编号：1039910,属于
直播卖货,任务编号：1039911,属于
直播卖货,任务编号：1039912,属于
直播卖货,任务编号：1039913,属于
专题片制作,任务编号：1039914,属于
专题片制作,任务编号：1039915,属于
专题片制作,任务编号：1039916,属于
专题片制作,任务编号：1039917,属于
专题片制作,任务编号：1039918,属于
专题片制作,任务编号：1039919,属于
专题片制作,任务编号：1039920,属于
专题片制作,任务编号：1039921,属于
专题片制作,任务编号：1039922,属于
专题片制作,任务编号：1039923,属于
剪辑服务,任务编号：1039924,属于
剪辑服务,任务编号：1039925,属于
剪辑服务,任务编号：1039926,属于
剪辑服务,任务编号：1039927,属于
剪辑服务,任务编号：1039928,属于
剪辑服务,任务编号：1039929,属于
剪辑服务,任务编号：1039930,属于
剪辑服务,任务编号：1039931,属于
剪辑服务,任务编号：1039932,属于
剪辑服务,任务编号：1039933,属于
产品拍摄,任务编号：1039934,属于
产品拍摄,任务编号：1039935,属于
产品拍摄,任务编号：1039936,属于
产品拍摄,任务编号：1039937,属于
产品拍摄,任务编号：1039938,属于
产品拍摄,任务编号：1039939,属于
产品拍摄,任务编号：1039940,属于
产品拍摄,任务编号：1039941,属于
产品拍摄,任务编号：1039942,属于
产品拍摄,任务编号：1039943,属于
VR/AR/MR,任务编号：1039944,属于
VR/AR/MR,任务编号：1039948,属于
VR/AR/MR,任务编号：1039951,属于
VR/AR/MR,任务编号：1039952,属于
VR/AR/MR,任务编号：1039953,属于
APP开发,任务编号：1039963,属于
LOGO设计,任务编号：1040013,属于
包装设计,任务编号：1040015,属于
画册设计,任务编号：1040017,属于
喷绘写真制作,任务编号：1040018,属于
画册设计,任务编号：1040142,属于
其他网站,任务编号：1040275,属于
LOGO设计,任务编号：1040340,属于
喷绘写真制作,任务编号：1040428,属于
包装设计,任务编号：1040429,属于
LOGO设计,任务编号：1040430,属于
PPT设计,任务编号：1040432,属于
画册设计,任务编号：1040609,属于
喷绘写真制作,任务编号：1040610,属于
LOGO设计,任务编号：1040612,属于
包装设计,任务编号：1040613,属于
多媒体AI,任务编号：1040665,属于
IT解决方案,任务编号：1040674,属于
包装设计,任务编号：1040694,属于
商城建设,任务编号：1040701,属于
APP开发,任务编号：1040807,属于
VI设计,任务编号：1040826,属于
短视频营销,任务编号：1040870,属于
定制开发,任务编号：1040884,属于
宣传单设计,任务编号：1040915,属于
其他宣传品设计,任务编号：1040916,属于
吉祥物设计,任务编号：1040921,属于
VI设计,任务编号：1040922,属于
H5开发,任务编号：1040990,属于
视频推广,任务编号：1041096,属于
排版设计,任务编号：1041104,属于
