ID,Name,能力类型,type,[z]
其他网站,其他网站,能力,能力,2
小程序开发,小程序开发,能力,能力,2
书籍装帧,书籍装帧,能力,能力,2
LOGO设计,LOGO设计,能力,能力,2
产品外观设计,产品外观设计,能力,能力,2
包装设计,包装设计,能力,能力,2
APP开发,APP开发,能力,能力,2
H5开发,H5开发,能力,能力,2
软件UI设计,软件UI设计,能力,能力,2
定制开发,定制开发,能力,能力,2
网站二次开发,网站二次开发,能力,能力,2
游戏其他,游戏其他,能力,能力,2
测试服务,测试服务,能力,能力,2
其他软件开发,其他软件开发,能力,能力,2
后端开发,后端开发,能力,能力,2
API接口,API接口,能力,能力,2
网站UI设计,网站UI设计,能力,能力,2
数据采集,数据采集,能力,能力,2
VI设计,VI设计,能力,能力,2
商城建设,商城建设,能力,能力,2
企业官网,企业官网,能力,能力,2
微信开发,微信开发,能力,能力,2
电商网站,电商网站,能力,能力,2
专业代笔,专业代笔,能力,能力,2
主图设计,主图设计,能力,能力,2
APP界面设计,APP界面设计,能力,能力,2
模板建站,模板建站,能力,能力,2
交互设计,交互设计,能力,能力,2
脚本开发,脚本开发,能力,能力,2
响应式网站,响应式网站,能力,能力,2
微信推广,微信推广,能力,能力,2
门户网站,门户网站,能力,能力,2
详情页设计,详情页设计,能力,能力,2
影音播放,影音播放,能力,能力,2
后期制作,后期制作,能力,能力,2
抖音视频,抖音视频,能力,能力,2
剪辑服务,剪辑服务,能力,能力,2
背景墙设计,背景墙设计,能力,能力,2
动漫角色设计,动漫角色设计,能力,能力,2
漫画设计,漫画设计,能力,能力,2
网店推广,网店推广,能力,能力,2
其他工具软件,其他工具软件,能力,能力,2
手机网站,手机网站,能力,能力,2
游戏建模,游戏建模,能力,能力,2
营销推广软文,营销推广软文,能力,能力,2
产品推广,产品推广,能力,能力,2
动漫其他,动漫其他,能力,能力,2
店铺装修,店铺装修,能力,能力,2
创意短视频,创意短视频,能力,能力,2
页游/端游开发,页游/端游开发,能力,能力,2
二维动画,二维动画,能力,能力,2
商业提案,商业提案,能力,能力,2
区块链应用,区块链应用,能力,能力,2
效果图设计,效果图设计,能力,能力,2
项目管理软件,项目管理软件,能力,能力,2
PPT设计,PPT设计,能力,能力,2
餐饮,餐饮,能力,能力,2
排版设计,排版设计,能力,能力,2
3D建模,3D建模,能力,能力,2
图像识别,图像识别,能力,能力,2
其他短视频,其他短视频,能力,能力,2
可视化,可视化,能力,能力,2
影视拍摄,影视拍摄,能力,能力,2
宣传册设计,宣传册设计,能力,能力,2
数据分析,数据分析,能力,能力,2
自然语音处理,自然语音处理,能力,能力,2
企业宣传片,企业宣传片,能力,能力,2
宣传策划,宣传策划,能力,能力,2
手游开发,手游开发,能力,能力,2
三维动画,三维动画,能力,能力,2
画册设计,画册设计,能力,能力,2
视频定制,视频定制,能力,能力,2
彩页设计,彩页设计,能力,能力,2
产品结构设计,产品结构设计,能力,能力,2
语音识别,语音识别,能力,能力,2
AIGC技术,AIGC技术,能力,能力,2
AI接口,AI接口,能力,能力,2
其他管理软件,其他管理软件,能力,能力,2
外贸网站,外贸网站,能力,能力,2
其他建筑设计,其他建筑设计,能力,能力,2
插画设计,插画设计,能力,能力,2
电话调查,电话调查,能力,能力,2
海报设计,海报设计,能力,能力,2
动画制作,动画制作,能力,能力,2
动画设计,动画设计,能力,能力,2
ERP系统,ERP系统,能力,能力,2
公众号文章,公众号文章,能力,能力,2
行业分析报告,行业分析报告,能力,能力,2
种草文案,种草文案,能力,能力,2
详情页文案,详情页文案,能力,能力,2
公关稿,公关稿,能力,能力,2
自媒体软文,自媒体软文,能力,能力,2
展台设计,展台设计,能力,能力,2
电商平台管理,电商平台管理,能力,能力,2
其他平台代运营,其他平台代运营,能力,能力,2
节日营销活动,节日营销活动,能力,能力,2
专业背书营销,专业背书营销,能力,能力,2
