Source,Target,Type
任务编号：896782,knowledge:酒店,关联
任务编号：896782,knowledge:房价,关联
任务编号：896782,knowledge:全国所有城市,关联
任务编号：896782,knowledge:某一个指定的日期,关联
任务编号：896782,knowledge:某个指定酒店品牌,关联
任务编号：896727,knowledge:携程网酒店数据,关联
任务编号：896727,knowledge:数据采集,关联
任务编号：896727,knowledge:用户,关联
任务编号：896727,knowledge:12月31号,关联
任务编号：896727,knowledge:连锁酒店,关联
任务编号：896727,knowledge:高端酒店,关联
任务编号：912202,knowledge:公司名字,关联
任务编号：912202,knowledge:大气,关联
任务编号：912202,knowledge:有内涵,关联
任务编号：912202,knowledge:学历提升,关联
任务编号：912202,knowledge:研究生培训,关联
任务编号：912202,knowledge:2个字或者3个字,关联
任务编号：890092,knowledge:商标名,关联
任务编号：890092,knowledge:新颖,关联
任务编号：890092,knowledge:有记忆点,关联
任务编号：890092,knowledge:动物名,关联
任务编号：890092,knowledge:水果名,关联
任务编号：890092,knowledge:客户,关联
任务编号：879559,knowledge:公司名字,关联
任务编号：879559,knowledge:智能公司,关联
任务编号：879559,knowledge:智能过滤系统,关联
任务编号：879559,knowledge:智能清洗系统,关联
任务编号：879559,knowledge:智能领域项目和业务,关联
任务编号：879559,knowledge:朗朗上口,关联
任务编号：879559,knowledge:便于记忆,关联
任务编号：879559,knowledge:正面积极向上,关联
任务编号：879559,knowledge:公司精神风貌,关联
任务编号：879559,knowledge:智能,关联
任务编号：879559,knowledge:信息化,关联
任务编号：879559,knowledge:环保,关联
任务编号：879559,knowledge:制造业,关联
任务编号：879559,knowledge:工业4.0,关联
任务编号：879559,knowledge:未来,关联
任务编号：879559,knowledge:科技,关联
任务编号：870227,knowledge:公司名称,关联
任务编号：870227,knowledge:体现主营耳机业务,关联
任务编号：870227,knowledge:耳机数码外设公司,关联
任务编号：870227,knowledge:可注册公司,关联
任务编号：870227,knowledge:可注册商标,关联
任务编号：846156,knowledge:商标名字,关联
任务编号：846156,knowledge:花茶,关联
任务编号：846156,knowledge:保健,关联
任务编号：846156,knowledge:养生,关联
任务编号：846156,knowledge:丰胸,关联
任务编号：846156,knowledge:堂字,关联
任务编号：889854,knowledge:unity动画,关联
任务编号：889854,knowledge:制作,关联
任务编号：889854,knowledge:Unity,关联
任务编号：889854,knowledge:版权登记,关联
任务编号：885493,knowledge:电子看板背景,关联
任务编号：885493,knowledge:边框PNG图片设计,关联
任务编号：885493,knowledge:大屏看板的背景,关联
任务编号：885493,knowledge:标题框,关联
任务编号：885493,knowledge:透明矩形区域框,关联
任务编号：885493,knowledge:样例要求,关联
任务编号：885493,knowledge:3套方案,关联
任务编号：885493,knowledge:电话,关联
任务编号：885493,knowledge:微信,关联
任务编号：885493,knowledge:替换目标,关联
任务编号：860264,knowledge:LOGO,关联
任务编号：860264,knowledge:品牌标识突出,关联
任务编号：860264,knowledge:红色加灰色为设计调性,关联
任务编号：860264,knowledge:富荐会成员,关联
任务编号：860264,knowledge:创意设计,关联
任务编号：860264,knowledge:简洁明快,关联
任务编号：860264,knowledge:色彩协调,关联
任务编号：850712,knowledge:APP发现板块,关联
任务编号：850712,knowledge:搜索栏,关联
任务编号：850712,knowledge:文字内容,关联
任务编号：850712,knowledge:玩法规则,关联
任务编号：850712,knowledge:衣库,关联
任务编号：850712,knowledge:分类,关联
任务编号：850712,knowledge:发布人,关联
任务编号：850712,knowledge:发布信息描述栏,关联
任务编号：850712,knowledge:产品图片,关联
任务编号：850712,knowledge:出售产品图片及价格,关联
任务编号：850712,knowledge:标签,关联
任务编号：850712,knowledge:点赞、评论,关联
任务编号：850712,knowledge:购买点击栏,关联
任务编号：850712,knowledge:竖板图片,关联
任务编号：849154,knowledge:app活动专题页,关联
任务编号：849154,knowledge:海报介绍页面,关联
任务编号：849154,knowledge:静态图片设计,关联
