ID,Transaction_Price,Publication_Time,type,[z]
任务编号：563574,1000.0,2017-12-15,订单,1
任务编号：490424,1300.0,2017-04-08,订单,1
任务编号：565566,400.0,2017-12-21,订单,1
任务编号：563411,300.0,2017-12-14,订单,1
任务编号：553508,200.0,2017-11-14,订单,1
任务编号：551146,800.0,2017-11-07,订单,1
任务编号：548918,800.0,2017-10-30,订单,1
任务编号：545115,1200.0,2017-10-19,订单,1
任务编号：541427,1200.0,2017-10-08,订单,1
任务编号：536219,300.0,2017-09-18,订单,1
任务编号：533258,700.0,2017-09-08,订单,1
任务编号：531608,300.0,2017-09-03,订单,1
任务编号：528533,500.0,2017-08-23,订单,1
任务编号：517418,500.0,2017-07-15,订单,1
任务编号：517157,480.0,2017-07-14,订单,1
任务编号：516193,500.0,2017-07-10,订单,1
任务编号：514700,300.0,2017-07-04,订单,1
任务编号：511735,600.0,2017-06-22,订单,1
任务编号：510787,1000.0,2017-06-19,订单,1
任务编号：501633,800.0,2017-05-15,订单,1
任务编号：495947,300.0,2017-04-26,订单,1
任务编号：490221,500.0,2017-04-07,订单,1
任务编号：490193,1000.0,2017-04-07,订单,1
任务编号：481947,360.0,2017-03-09,订单,1
任务编号：481784,800.0,2017-03-09,订单,1
任务编号：481453,2000.0,2017-03-08,订单,1
任务编号：479446,500.0,2017-03-01,订单,1
任务编号：476783,300.0,2017-02-19,订单,1
任务编号：474492,500.0,2017-02-10,订单,1
任务编号：469415,1200.0,2017-01-06,订单,1
任务编号：568934,1000.0,2017-12-31,订单,1
任务编号：568762,2000.0,2017-12-31,订单,1
任务编号：568372,1400.0,2017-12-29,订单,1
任务编号：568418,10000.0,2017-12-29,订单,1
任务编号：568348,1500.0,2017-12-29,订单,1
任务编号：568311,10000.0,2017-12-29,订单,1
任务编号：568082,10000.0,2017-12-28,订单,1
任务编号：567637,9000.0,2017-12-27,订单,1
任务编号：567496,8000.0,2017-12-27,订单,1
任务编号：567512,3000.0,2017-12-27,订单,1
任务编号：567340,1000.0,2017-12-26,订单,1
任务编号：567326,3000.0,2017-12-26,订单,1
任务编号：566963,1720.0,2017-12-25,订单,1
任务编号：566912,500.0,2017-12-25,订单,1
任务编号：566717,25000.0,2017-12-25,订单,1
任务编号：566038,7440.0,2017-12-22,订单,1
任务编号：566037,12400.0,2017-12-22,订单,1
任务编号：565998,4000.0,2017-12-22,订单,1
任务编号：565741,3000.0,2017-12-21,订单,1
任务编号：565562,800.0,2017-12-21,订单,1
任务编号：565419,1000.0,2017-12-20,订单,1
任务编号：564635,5000.0,2017-12-20,订单,1
任务编号：564840,3000.0,2017-12-19,订单,1
任务编号：564636,800.0,2017-12-18,订单,1
任务编号：564511,34800.0,2017-12-18,订单,1
任务编号：564320,1000.0,2017-12-17,订单,1
任务编号：564243,3000.0,2017-12-17,订单,1
任务编号：563534,8000.0,2017-12-14,订单,1
任务编号：563525,3900.0,2017-12-14,订单,1
任务编号：563498,1000.0,2017-12-14,订单,1
任务编号：563465,10000.0,2017-12-14,订单,1
任务编号：563423,4000.0,2017-12-14,订单,1
任务编号：563324,3000.0,2017-12-14,订单,1
任务编号：563167,3000.0,2017-12-13,订单,1
任务编号：562719,15000.0,2017-12-13,订单,1
任务编号：562769,4000.0,2017-12-13,订单,1
任务编号：562568,5000.0,2017-12-12,订单,1
任务编号：562472,54000.0,2017-12-12,订单,1
任务编号：562004,10000.0,2017-12-11,订单,1
任务编号：561988,4500.0,2017-12-11,订单,1
任务编号：561602,1500.0,2017-12-09,订单,1
任务编号：561324,1000.0,2017-12-08,订单,1
任务编号：561250,1000.0,2017-12-08,订单,1
任务编号：561258,6000.0,2017-12-08,订单,1
任务编号：561075,4000.0,2017-12-07,订单,1
任务编号：560434,1550.0,2017-12-06,订单,1
任务编号：560792,1000.0,2017-12-07,订单,1
任务编号：560981,4000.0,2017-12-07,订单,1
任务编号：560897,300.0,2017-12-07,订单,1
任务编号：560805,4000.0,2017-12-07,订单,1
任务编号：560496,10000.0,2017-12-06,订单,1
任务编号：560444,400.0,2017-12-06,订单,1
