ID,Name,type,[z]
人脸识别,人脸识别,能力,2
图像识别,图像识别,能力,2
数据处理,数据处理,能力,2
AI接口,AI接口,能力,2
智能体训练,智能体训练,能力,2
AI模型训练,AI模型训练,能力,2
AI课程培训,AI课程培训,能力,2
数据分析,数据分析,能力,2
AI实战项目,AI实战项目,能力,2
AI知识库,AI知识库,能力,2
智能体模板,智能体模板,能力,2
数据标注,数据标注,能力,2
AI聊天机器人,AI聊天机器人,能力,2
Chatgpt,Chatgpt,能力,2
AI系统集成,AI系统集成,能力,2
语音识别,语音识别,能力,2
模型调优,模型调优,能力,2
AI数字人,AI数字人,能力,2
AI算法开发,AI算法开发,能力,2
AI写作,AI写作,能力,2
AIGC技术,AIGC技术,能力,2
其他人工智能,其他人工智能,能力,2
大模型应用,大模型应用,能力,2
AI服务咨询,AI服务咨询,能力,2
私有化部署,私有化部署,能力,2
智能体搭建,智能体搭建,能力,2
智能客服,智能客服,能力,2
AI设计,AI设计,能力,2
小程序开发,小程序开发,能力,2
其他软件开发,其他软件开发,能力,2
运维服务,运维服务,能力,2
采集工具,采集工具,能力,2
APP开发,APP开发,能力,2
软件UI设计,软件UI设计,能力,2
脚本开发,脚本开发,能力,2
定制开发,定制开发,能力,2
阅读/图像,阅读/图像,能力,2
响应式网站,响应式网站,能力,2
H5开发,H5开发,能力,2
APP界面设计,APP界面设计,能力,2
ERP系统,ERP系统,能力,2
其他管理软件,其他管理软件,能力,2
网站二次开发,网站二次开发,能力,2
微信开发,微信开发,能力,2
外贸网站,外贸网站,能力,2
门户网站,门户网站,能力,2
手游开发,手游开发,能力,2
系统工具,系统工具,能力,2
前端开发,前端开发,能力,2
页游/端游开发,页游/端游开发,能力,2
电商网站,电商网站,能力,2
网站UI设计,网站UI设计,能力,2
产品原型设计,产品原型设计,能力,2
后端开发,后端开发,能力,2
游戏建模,游戏建模,能力,2
企业官网,企业官网,能力,2
电子设备,电子设备,能力,2
其他网站,其他网站,能力,2
API接口,API接口,能力,2
手机网站,手机网站,能力,2
物联网,物联网,能力,2
嵌入式软件,嵌入式软件,能力,2
产品卖点,产品卖点,能力,2
公司起名,公司起名,能力,2
品牌起名,品牌起名,能力,2
广告口号,广告口号,能力,2
营销推广软文,营销推广软文,能力,2
广告策划,广告策划,能力,2
编辑校对,编辑校对,能力,2
项目策划,项目策划,能力,2
宣传策划,宣传策划,能力,2
招商加盟,招商加盟,能力,2
服务人员,服务人员,能力,2
网络接单,网络接单,能力,2
SEO排名优化,SEO排名优化,能力,2
APP推广,APP推广,能力,2
微信推广,微信推广,能力,2
问卷调查,问卷调查,能力,2
效果图设计,效果图设计,能力,2
展台展厅,展台展厅,能力,2
别墅设计,别墅设计,能力,2
施工图设计,施工图设计,能力,2
门头设计,门头设计,能力,2
酒店宾馆,酒店宾馆,能力,2
商业建筑,商业建筑,能力,2
商业空间,商业空间,能力,2
动画制作,动画制作,能力,2
剪辑服务,剪辑服务,能力,2
影视拍摄,影视拍摄,能力,2
二维动画,二维动画,能力,2
视频定制,视频定制,能力,2
其他短视频,其他短视频,能力,2
创意类视频创作,创意类视频创作,能力,2
三维动画,三维动画,能力,2
后期制作,后期制作,能力,2
产品视频,产品视频,能力,2
LOGO设计,LOGO设计,能力,2
海报设计,海报设计,能力,2
包装设计,包装设计,能力,2
宣传册设计,宣传册设计,能力,2
会员卡设计,会员卡设计,能力,2
产品外观设计,产品外观设计,能力,2
字体设计,字体设计,能力,2
3D建模,3D建模,能力,2
VI设计,VI设计,能力,2
PPT设计,PPT设计,能力,2
产品结构设计,产品结构设计,能力,2
宣传单设计,宣传单设计,能力,2
详情页设计,详情页设计,能力,2
工业产品设计,工业产品设计,能力,2
漫画设计,漫画设计,能力,2
主图设计,主图设计,能力,2
背景墙设计,背景墙设计,能力,2
易拉宝/展架设计,易拉宝/展架设计,能力,2
封面设计,封面设计,能力,2
吉祥物设计,吉祥物设计,能力,2
