Source,Target,Type
人脸识别,任务编号：1122480,属于
图像识别,任务编号：1120044,属于
图像识别,任务编号：1117480,属于
数据处理,任务编号：1118194,属于
AI接口,任务编号：1117899,属于
智能体训练,任务编号：1119640,属于
AI模型训练,任务编号：1119639,属于
AI课程培训,任务编号：1119631,属于
数据分析,任务编号：1119630,属于
AI实战项目,任务编号：1119717,属于
AI知识库,任务编号：1119637,属于
智能体模板,任务编号：1119635,属于
数据标注,任务编号：1119636,属于
AI聊天机器人,任务编号：1119716,属于
Chatgpt,任务编号：1119715,属于
AI系统集成,任务编号：1119629,属于
语音识别,任务编号：1116489,属于
模型调优,任务编号：1119626,属于
AI数字人,任务编号：1119625,属于
AI算法开发,任务编号：1119628,属于
AI写作,任务编号：1119627,属于
AIGC技术,任务编号：1116486,属于
图像识别,任务编号：1098661,属于
数据分析,任务编号：1097312,属于
机器学习,任务编号：1095071,属于
图像识别,任务编号：1076027,属于
数据分析,任务编号：1071365,属于
数据采集,任务编号：1052803,属于
图像识别,任务编号：1045791,属于
数据采集,任务编号：1029121,属于
图像识别,任务编号：1022903,属于
图像识别,任务编号：1020359,属于
图像识别,任务编号：1005092,属于
数据采集,任务编号：967065,属于
数据采集,任务编号：963071,属于
数据采集,任务编号：896782,属于
数据采集,任务编号：896727,属于
数据采集,任务编号：823435,属于
数据采集,任务编号：812730,属于
数据采集,任务编号：799265,属于
数据采集,任务编号：769088,属于
数据采集,任务编号：761898,属于
数据采集,任务编号：756896,属于
其他人工智能,任务编号：744738,属于
其他人工智能,任务编号：1122732,属于
大模型应用,任务编号：1119719,属于
AI服务咨询,任务编号：1119718,属于
私有化部署,任务编号：1119714,属于
数据处理,任务编号：1107749,属于
AI接口,任务编号：1105171,属于
智能体搭建,任务编号：1119713,属于
AIGC技术,任务编号：1116483,属于
智能客服,任务编号：1119711,属于
AI设计,任务编号：1119710,属于
语音识别,任务编号：1116491,属于
语音识别,任务编号：1116490,属于
其他人工智能,任务编号：1093427,属于
图像识别,任务编号：1066347,属于
图像识别,任务编号：1066346,属于
图像识别,任务编号：1066288,属于
数据存储,任务编号：1061773,属于
多媒体AI,任务编号：1050131,属于
人脸识别,任务编号：1038608,属于
其他人工智能,任务编号：1037042,属于
数据采集,任务编号：1025301,属于
数据采集,任务编号：1022320,属于
数据采集,任务编号：1021210,属于
数据采集,任务编号：1020642,属于
