需求方,设计师,任务编号,能力标签,交易价格,发布时间
k3804****63,盛阔科技,任务编号：1118842,小程序开发,4500.0,2025-04-15
k9639****36,码上智创工坊,任务编号：1118834,小程序开发,300.0,2025-04-15
威惠创EjpI4,汇世纪网络科技,任务编号：1118724,其他软件开发,21000.0,2025-04-14
聚盘6JfOp,缇讯科技(上海)有限公司,任务编号：1118044,运维服务,1000.0,2025-04-09
k1698****32,码上就好,任务编号：1117606,小程序开发,2000.0,2025-04-05
jiashengwen,缇讯科技(上海)有限公司,任务编号：1117558,其他软件开发,600.0,2025-04-04
liuqiyue,艺欣科技工作室,任务编号：1117400,采集工具,2300.0,2025-04-02
北漂有家,汇世纪网络科技,任务编号：1117281,APP开发,15000.0,2025-04-01
Alf_1,初晓创意互联,任务编号：1117278,软件UI设计,4500.0,2025-04-01
低调的熊猫,山东明途软件开发,任务编号：1116821,脚本开发,2500.0,2025-03-27
企威特lhx52,毕米科技工作室,任务编号：1116791,定制开发,11000.0,2025-03-27
k9080****19,深圳市致翌软件技术有限责任公司,任务编号：1116783,小程序开发,6500.0,2025-03-27
威尚PCoXy,塞坦科技,任务编号：1116618,小程序开发,5000.0,2025-03-26
Trance豆腐,洛阳蓝普网络技术有限公司,任务编号：1116327,小程序开发,4500.0,2025-03-24
ppt达人孙文,创码天地,任务编号：1116304,阅读/图像,1000.0,2025-03-23
呦哦呦,江苏执笔科技有限公司,任务编号：1116097,响应式网站,4000.0,2025-03-20
迪特利Q2Vd1,果田科技 100%好评服务商,任务编号：1116064,其他软件开发,5600.0,2025-03-20
叶摩拉2Ksam,艺欣科技工作室,任务编号：1115523,脚本开发,1000.0,2025-03-17
o59e9b39593e56,山东明途软件开发,任务编号：1114721,其他软件开发,1500.0,2025-03-13
易联宝TkJZj,深圳宏佑兄弟工作室,任务编号：1114665,APP开发,4500.0,2025-03-13
鲸创客T8iRD,缇讯科技(上海)有限公司,任务编号：1114388,定制开发,6000.0,2025-03-12
友森联创,泰灵工作室,任务编号：1114335,H5开发,800.0,2025-03-12
惟优社IR6Y3,初晓创意互联,任务编号：1114329,APP界面设计,2000.0,2025-03-12
zscnkd,皓月应用,任务编号：1113665,ERP系统,2800.0,2025-03-10
特斯威y6NDA,正都科技,任务编号：1113549,小程序开发,800.0,2025-03-10
o59e9b39593e56,山东明途软件开发,任务编号：1113372,其他软件开发,3000.0,2025-03-08
无锡发现者,缇讯科技(上海)有限公司,任务编号：1113202,小程序开发,1800.0,2025-03-07
k7442****68,普江科技,任务编号：1112171,小程序开发,4600.0,2025-03-04
友森联创,艺欣科技工作室,任务编号：1112038,H5开发,200.0,2025-03-03
中互信达,德州悠扬信息科技有限公司,任务编号：1112011,小程序开发,800.0,2025-03-03
北极光LY,宁夏鲲鹏网络,任务编号：1111889,其他管理软件,5000.0,2025-03-03
威铺hNNb9,洛阳蓝普网络技术有限公司,任务编号：1111982,APP开发,3500.0,2025-03-03
o5df9d3748cc45,正都科技,任务编号：1111618,小程序开发,3000.0,2025-03-01
迪特利Q2Vd1,菠菜软件定制工作室,任务编号：1111610,其他软件开发,3000.0,2025-03-01
威品nIuvs,哆米设计,任务编号：1110936,APP界面设计,3000.0,2025-02-26
斜_杠,上海哲怡,任务编号：1110731,小程序开发,1500.0,2025-02-25
尊鉴MIJyk,初晓创意互联,任务编号：1110709,网站二次开发,6000.0,2025-02-25
