需求方,设计师,任务编号,能力标签,交易价格,发布时间
xbs123,B任务编号：1058891,任务编号：1058891,APP开发,510.0,2023-09-26
特服kFXhu,B任务编号：990769,任务编号：990769,APP开发,501.0,2022-04-09
o5c15056d13a8f,B任务编号：943270,任务编号：943270,影音播放,600.0,2021-07-07
北初,B任务编号：940755,任务编号：940755,小程序开发,500.0,2021-06-22
o60b4df7c59a40,B任务编号：937706,任务编号：937706,APP开发,600.0,2021-06-01
o5e19f9a7ddf97,B任务编号：830868,任务编号：830868,其他工具软件,500.0,2020-01-12
军团龍骑士,B任务编号：806360,任务编号：806360,APP开发,501.0,2019-10-25
o579a****55672,B任务编号：777891,任务编号：777891,微信开发,501.0,2019-07-31
A2W3QVO,B任务编号：723899,任务编号：723899,游戏代练,500.0,2019-03-19
三只鹅,B任务编号：718471,任务编号：718471,游戏代练,530.0,2019-03-07
mf53c75c33df3a0,B任务编号：718046,任务编号：718046,游戏代练,1000.0,2019-03-06
十年信誉,B任务编号：714649,任务编号：714649,游戏代练,1400.0,2019-02-26
mf188****3298,B任务编号：713298,任务编号：713298,游戏代练,500.0,2019-02-22
qianggelaile00,B任务编号：707548,任务编号：707548,APP开发,500.0,2019-01-27
mf53c75c33df3a0,B任务编号：707741,任务编号：707741,游戏代练,550.0,2019-01-28
mf53c75c33df3a0,B任务编号：702973,任务编号：702973,游戏代练,550.0,2019-01-14
o594fa46d39e50,B任务编号：700661,任务编号：700661,游戏代练,500.0,2019-01-07
mf53c75c33df3a0,B任务编号：670259,任务编号：670259,游戏代练,500.0,2018-10-15
mf53c75c33df3a0,B任务编号：652674,任务编号：652674,游戏代练,501.0,2018-08-24
mf188****3298,B任务编号：640969,任务编号：640969,游戏代练,500.0,2018-07-24
财神三少,B任务编号：640206,任务编号：640206,游戏代练,1200.0,2018-07-23
三只鹅,B任务编号：632185,任务编号：632185,游戏代练,500.0,2018-07-02
mf53c75c33df3a0,B任务编号：630830,任务编号：630830,游戏代练,552.0,2018-06-28
三只鹅,B任务编号：618984,任务编号：618984,游戏代练,500.0,2018-05-28
mf53c75c33df3a0,B任务编号：615108,任务编号：615108,游戏其他,1250.0,2018-05-17
十年信誉,B任务编号：613738,任务编号：613738,游戏其他,2100.0,2018-05-14
微雨石蓝,B任务编号：613425,任务编号：613425,APP开发,500.0,2018-05-13
G游戏平台,B任务编号：610399,任务编号：610399,测试服务,500.0,2018-05-05
十年信誉,B任务编号：607291,任务编号：607291,游戏代练,3500.0,2018-04-26
十年信誉,B任务编号：597471,任务编号：597471,游戏其他,1400.0,2018-04-01
十年信誉,B任务编号：588150,任务编号：588150,游戏代练,1800.0,2018-03-08
三只鹅,B任务编号：587609,任务编号：587609,游戏代练,500.0,2018-03-06
三只鹅,B任务编号：587171,任务编号：587171,游戏其他,500.0,2018-03-05
三只鹅,B任务编号：587161,任务编号：587161,游戏代练,500.0,2018-03-05
mf53c75c33df3a0,B任务编号：586193,任务编号：586193,游戏代练,550.0,2018-03-02
十年信誉,B任务编号：581981,任务编号：581981,游戏其他,1800.0,2018-02-11
