标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师,能力标签
【测试服务】测试微信小程序“暖水袋倾诉”,https://task.epwk.com/913700/,3517人,5人,¥100,青山绿水阳光,100.0,￥ 100,2021-01-06,1、微信小程序“暖水袋倾诉”刚刚上线，需要进行功能测试。2、找出bug，截图并文字说明。3、整理成文档交稿即可。,任务编号：913700,o5e4354fc8013e,测试服务
【测试服务】测试微信小程序“暖水袋倾诉”,https://task.epwk.com/913700/,3517人,5人,¥100,青山绿水阳光,100.0,￥ 100,2021-01-06,1、微信小程序“暖水袋倾诉”刚刚上线，需要进行功能测试。2、找出bug，截图并文字说明。3、整理成文档交稿即可。,任务编号：913700,大众IT,测试服务
【网站UI设计】网站首页美化设计,https://task.epwk.com/729134/,6047人,18人,¥800,Mr138****3377,800.0,￥ 800,2019-04-01,网站首页设计，按我们做好的框 美化就行有不明白的请加我微信或者QQ咨询（要搞子，不接受来问能不能把这单子直接中标给你的情况）做好的页面：http://www.chukou.la/1/index.jpg颜色就要我里面的红色，里面的卡通人物之类都要换掉，或者用其他形式表达大图上的搜索框是不要的，文字基本都是准确的现在在用的网址：www.91chukou.com  LOGO什么之类的可以上去拿QQ; 2300-3398,任务编号：729134,华上设计,网站UI设计
【网站UI设计】网站首页美化设计,https://task.epwk.com/729134/,6047人,18人,¥800,Mr138****3377,800.0,￥ 800,2019-04-01,网站首页设计，按我们做好的框 美化就行有不明白的请加我微信或者QQ咨询（要搞子，不接受来问能不能把这单子直接中标给你的情况）做好的页面：http://www.chukou.la/1/index.jpg颜色就要我里面的红色，里面的卡通人物之类都要换掉，或者用其他形式表达大图上的搜索框是不要的，文字基本都是准确的现在在用的网址：www.91chukou.com  LOGO什么之类的可以上去拿QQ; 2300-3398,任务编号：729134,o5ad87e025013f,网站UI设计
【APP界面设计】移动应用图标设计,https://task.epwk.com/711435/,6429人,59人,"¥10,000",edwinyabo,10000.0,￥ 10000,2019-02-16,设计要求：1. 设计风格请往扁平、简洁、轻质感方向靠拢；2. 该产品是体育竞猜类应用App，颜色应贴近运动风格。（原本应用色值为#00ccff）Ps: 附件为产品商标logo，可参考也可直接引用。请注意这是移动应用图标设计，并非logo设计，每一稿中须保证至少有一个设计方案是引用附件里的商标logo的。,任务编号：711435,马克品牌设计,APP界面设计
【APP界面设计】移动应用图标设计,https://task.epwk.com/711435/,6429人,59人,"¥10,000",edwinyabo,10000.0,￥ 10000,2019-02-16,设计要求：1. 设计风格请往扁平、简洁、轻质感方向靠拢；2. 该产品是体育竞猜类应用App，颜色应贴近运动风格。（原本应用色值为#00ccff）Ps: 附件为产品商标logo，可参考也可直接引用。请注意这是移动应用图标设计，并非logo设计，每一稿中须保证至少有一个设计方案是引用附件里的商标logo的。,任务编号：711435,杭州硬壳文化创意有限公司,APP界面设计
【产品原型设计】瑜珈产品修改,https://task.epwk.com/598922/,1792人,9人,¥500,Wilsonchen,500.0,￥ 500,2018-04-04,产品的作用：保护关节，避免或缓解关节损伤瑜伽垫支撑和手部，膝盖，头部，肘部，脚部和臀部的疼痛缓解。特别适用于疼痛关节，慢性疼痛或损伤恢复。原版产品尺寸：直径15CM，高1.7CM，斜面长度3CM专利说明书里有图案说明产品原创造形，我希望设计师能够修改产品的形状达到相同或类似的功能，需要设计与原产品至少要有五处不相同的作品.产品采用硅胶。,任务编号：598922,一创设计,产品原型设计
【产品原型设计】瑜珈产品修改,https://task.epwk.com/598922/,1792人,9人,¥500,Wilsonchen,500.0,￥ 500,2018-04-04,产品的作用：保护关节，避免或缓解关节损伤瑜伽垫支撑和手部，膝盖，头部，肘部，脚部和臀部的疼痛缓解。特别适用于疼痛关节，慢性疼痛或损伤恢复。原版产品尺寸：直径15CM，高1.7CM，斜面长度3CM专利说明书里有图案说明产品原创造形，我希望设计师能够修改产品的形状达到相同或类似的功能，需要设计与原产品至少要有五处不相同的作品.产品采用硅胶。,任务编号：598922,o5aac7582b7a53,产品原型设计
【网站UI设计】能量饮料官方网站首页风格 设计,https://task.epwk.com/573575/,2646人,17人,"¥1,200",o57e233af02e61,1200.0,￥ 1200,2018-01-15,"项目标的设计“5小时能量”产品官方网站首页的风格在完成首页设计后，我司会与中标的企业联系完成整个网站的所有美工设计产品介绍“5小时能量”是风靡美国的一种新型小瓶浓缩能量饮品，它的容量仅为红牛的1/4，但提神效果更为快速直接，主要目标人群为司机、学生、加班一族。设计要求1. 根据提供的产品logo与产品包装设计提炼出最能反映出产品特性的UI界面，用ai或其他平面设计软件设计出画面效果（例如 附件中参考图片）2. 首页主画面的图片要加合上“5小时能量”的产品，并且凸显产品的设计。整体要给浏览者带来 源自美国、能量冲击、快速提神、好喝饮料 的感觉3. 导航内容：l 能量饮l 产品详情l 关于我们l 互动中心l 商城4. 总体风格：要求贴合产品包装设计、创意新颖、简洁明了、时尚洋气、有欧美的感觉。（可以参考：687474703a2f2f7777772e35686f7572656e657267792e636f6d5c2671756f743b2667743b266c743b752667743b266c743b7370616e style=""font-family:'宋体'color:#800080;"">www.5hourenergy.com</span></u></a><span style=""font-family:'宋体'font-size:11pt;"">）。投稿要求1. 作品JPEG格式和BMP格式的电子版本，分辨率在300dpi以上；最终入选文件应包括各种矢量图形源文件和所用到的字体。2. 作品创作理念和作品含义的简要描述。3. 设计者可提交多份应征作品。知识产权说明1. 参赛作品一经采用，其所有权、修改权和使用权均归主办方所有，设计者不得再在任何地方使用；参赛者所提交的作品必须由参赛者本人创作或参与创作，参赛者应确认其作品的原创性，主办单位不承担因作品侵犯他人（或单位）的权利而产生的法律责任，其法律责任由参赛者本人承担。",任务编号：573575,小众设计工作室,网站UI设计
【网站UI设计】能量饮料官方网站首页风格 设计,https://task.epwk.com/573575/,2646人,17人,"¥1,200",o57e233af02e61,1200.0,￥ 1200,2018-01-15,"项目标的设计“5小时能量”产品官方网站首页的风格在完成首页设计后，我司会与中标的企业联系完成整个网站的所有美工设计产品介绍“5小时能量”是风靡美国的一种新型小瓶浓缩能量饮品，它的容量仅为红牛的1/4，但提神效果更为快速直接，主要目标人群为司机、学生、加班一族。设计要求1. 根据提供的产品logo与产品包装设计提炼出最能反映出产品特性的UI界面，用ai或其他平面设计软件设计出画面效果（例如 附件中参考图片）2. 首页主画面的图片要加合上“5小时能量”的产品，并且凸显产品的设计。整体要给浏览者带来 源自美国、能量冲击、快速提神、好喝饮料 的感觉3. 导航内容：l 能量饮l 产品详情l 关于我们l 互动中心l 商城4. 总体风格：要求贴合产品包装设计、创意新颖、简洁明了、时尚洋气、有欧美的感觉。（可以参考：687474703a2f2f7777772e35686f7572656e657267792e636f6d5c2671756f743b2667743b266c743b752667743b266c743b7370616e style=""font-family:'宋体'color:#800080;"">www.5hourenergy.com</span></u></a><span style=""font-family:'宋体'font-size:11pt;"">）。投稿要求1. 作品JPEG格式和BMP格式的电子版本，分辨率在300dpi以上；最终入选文件应包括各种矢量图形源文件和所用到的字体。2. 作品创作理念和作品含义的简要描述。3. 设计者可提交多份应征作品。知识产权说明1. 参赛作品一经采用，其所有权、修改权和使用权均归主办方所有，设计者不得再在任何地方使用；参赛者所提交的作品必须由参赛者本人创作或参与创作，参赛者应确认其作品的原创性，主办单位不承担因作品侵犯他人（或单位）的权利而产生的法律责任，其法律责任由参赛者本人承担。",任务编号：573575,广州搏锋,网站UI设计
