标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【小程序开发】h5开发,https://task.epwk.com/1118842/,20人,1人,3000-5000元,圆满完成,k3804****63,称呼:王总地区:四川成都需求:想做生态环境留言墙的h5开发，扫码进入 有个封面、再是留言 有活动要求（须知） ：1、围绕XXX表达对XXX的美好祝愿与期许； 2、经审核后，符合活动要求的留言将展示；3、点赞前10名获得小礼品；4、同一个ID每天最多10次点赞  其他需求：1、扫码进入的人 可以只留言，也可以不留言只点赞。2、后台能看到点赞排名。 参与者扫码进去的，能看到展示出来的别人的留言、点赞数。3、确定排名前10的名单后可发私信给获奖人，获奖人能在h5里私信收件地址、电话,2025-04-15,2025.04.23,任务编号：1118842,4500.0,5天,重庆市-市辖区,盛阔科技,https://shop.epwk.com/7g5ykw4zzn0q/,盛阔科技,出售服务,https://shop.epwk.com/7g5ykw4zzn0q/chushou/,企业,三品,71分,总 7 次中标，交易总金额,￥8.92万,盛阔科技,,小程序应用开发,"￥800
            /起",微信公众号开发,"￥600
            /起",APP应用开发,"￥1200
            /起",企业网站开发,"￥500
            /起",前端页面开发,"￥100
            /起",后台功能开发,"￥500
            /起",页面UI设计,"￥100
            /起",,,,,小程序开发
【小程序开发】技术协助操作,https://task.epwk.com/1118834/,30人,2人,1000元以内,圆满完成,k9639****36,"称呼:刘先生地区:安徽省,马鞍山市需求:本科计算机应用选题是基于酒店应用管理JAVA，论文弄好了，也给了我源程序，我不知道如何打开操作，因为答辩需要演示，有源文件，不知道如何打开操作，需要技术或者可以远程连接电脑协助操作完成时间:尽快预算:报价联系备注；手机微信同号",2025-04-15,2025.04.17,任务编号：1118834,300.0,1天,江苏省-南京市-浦口区,码上智创工坊,https://shop.epwk.com/j7n38jkjl5e1/,码上智创工坊,出售服务,https://shop.epwk.com/j7n38jkjl5e1/chushou/,个人,九品,52分,总 1 次中标，交易总金额,￥285.00,码上智创工坊,,,,,,,,,,,,,,,,,,,,小程序开发
【其他软件开发】CRM营销办公综合管理平台第一期,https://task.epwk.com/1118724/,559人,5人,2万-5万元,圆满完成,威惠创EjpI4,目名称：华杉云CRM营销办公综合管理平台功能包括以下：1、复刻B环云+在它CRM中增加工作评分功能+ OA工单工作流来（代替钉钉）+应用中的  在线学习考试功能的开发2、积分制管理软件的开发3、资质证书管理功能(参照筑为ZW证书管理 )的开发4、L语APP 的营销工具功能代码开发最终开发内容与验收标准见附件：定制开发功能模块确认清单,2025-04-14,2025.04.18,任务编号：1118724,21000.0,"60天,100天","四川省-成都市,陕西省-西安市",汇世纪网络科技,https://shop.epwk.com/zqdpl2mqon1v/,汇世纪网络科技,出售服务,https://shop.epwk.com/zqdpl2mqon1v/chushou/,个人,一品,65分,总 12 次中标，交易总金额,￥18.41万,汇世纪网络科技,,【热门】企业管理系统,"￥1000
            /起",【热门】电商小程序,"￥1000
            /起",【热门】打车小程序,"￥1000
            /起",【热门】陪玩APP,"￥1000
            /起",【热门】外卖小程序,"￥1000
            /起",【热门】官网设计,"￥1000
            /起",,,,,,,其他软件开发
【运维服务】小程序后期维护,https://task.epwk.com/1118044/,180人,2人,1000-3000元,圆满完成,聚盘6JfOp,小程序后期维护，逻辑问题等，可长期合作，详谈。价格详谈,2025-04-09,2025.04.29,任务编号：1118044,1000.0,100天,上海市-市辖区,缇讯科技(上海)有限公司,https://shop.epwk.com/09drjyex653w/,缇讯科技(上海)有限公司,出售服务,https://shop.epwk.com/09drjyex653w/chushou/,企业,四品,76分,总 17 次中标，交易总金额,￥5.2万,缇讯科技(上海)有限公司,,物联网嵌入式开发云平台搭建大数据分析硬件云端智能解决方案,价格面议,全行业Saas系统针对垂直行业基于定制化多租户复杂权限系统,价格面议,开源大模型蒸馏定制行业小模型开发适用于各行各业解决方案,价格面议,汽车后市场相关软件开发客户关系管理系统汽配数据采集分析系统,价格面议,复杂项目协同管理解决方案,价格面议,直播数藏电商在线教育抽奖定制行业模版小程序APP,"￥1000
            /起",,,,,,,运维服务
【小程序开发】抽奖小程序开发（已确定合作者）,https://task.epwk.com/1117606/,85人,1人,1000-3000元,圆满完成,k1698****32,称呼：罗先生地区: 四川成都，本地服务商1、用户端与商家融合的小程序，用户提交了实名资料成为商家，商家发布抽奖，普通用户参与抽奖2、抽奖（现金抵扣劵，折扣劵，实物劵），券都生成兑换码，到店线下核销。3、普通用户端有banner（定位），4、费用2000-3000，5、UI样式基本已经确定。预算: 2000-3000时间：尽快备注：微信是手机号,2025-04-05,2025.04.13,任务编号：1117606,2000.0,15天,河北省-邯郸市,码上就好,https://shop.epwk.com/7g5ykw23zn0q/,码上就好,出售服务,https://shop.epwk.com/7g5ykw23zn0q/chushou/,工作室,七品,57分,总 1 次中标，交易总金额,￥1900.00,码上就好,,,,,,,,,,,,,,,,,,,,小程序开发
【其他软件开发】c#做一个websocket服务端(wss)的demo,https://task.epwk.com/1117558/,153人,1人,1000元以内,圆满完成,jiashengwen,c# winformwss而不是ws简单demo：加载证书，连接请求，数据传输，发送数据，关闭简单：不要太复杂顺带说明，如何生成测试用的证书验证：通过h5的websocket wss连接能成功即可,2025-04-04,2025.04.05,任务编号：1117558,600.0,1天,上海市-市辖区,缇讯科技(上海)有限公司,https://shop.epwk.com/09drjyex653w/,缇讯科技(上海)有限公司,出售服务,https://shop.epwk.com/09drjyex653w/chushou/,企业,四品,76分,总 17 次中标，交易总金额,￥5.2万,缇讯科技(上海)有限公司,,物联网嵌入式开发云平台搭建大数据分析硬件云端智能解决方案,价格面议,全行业Saas系统针对垂直行业基于定制化多租户复杂权限系统,价格面议,开源大模型蒸馏定制行业小模型开发适用于各行各业解决方案,价格面议,汽车后市场相关软件开发客户关系管理系统汽配数据采集分析系统,价格面议,复杂项目协同管理解决方案,价格面议,直播数藏电商在线教育抽奖定制行业模版小程序APP,"￥1000
            /起",,,,,,,其他软件开发
【采集工具】discord转发telegram,https://task.epwk.com/1117400/,107人,1人,1000-3000元,圆满完成,liuqiyue,转发工具：            discord转发telegram功能：       --实时转发：（支持无延迟或自定义延迟时间，可设置毫秒，秒，分，时级延迟）       --内容选择转发：可单选或多选/全选（转发文字，图片，语音，链接，表情，特殊字符）        --可替换：（文字替换文字，特殊字符替换文字，不限替换数量）自定义替换规则       --水印：（自定义添加水印）文字/图片水印，可调整位置，颜色，透明度       --前后缀：（支持在转发消息前面或者后面自动添加自定义前缀或后缀）       --翻译：（支持自动翻译，可设置目标语言，如英文→中文）       --备注：（可设置每个转发频道的名称和接收频道名称，便于管理）       --过滤：过滤网址（https//，文字链接，其他网址;//链接中包含指定关键字不过滤）       --关键词不转发：（黑名单关键词，包含特定关键词的消息不转发）       --跟随删除：（当发送者在discord删除消息时，telegram端自动同步删除）       --标注信息：（discord标注信息同步在telegram是置顶信息，discord取消标注同步telegram取消置顶）        --频道子区：（discord频道可以创建子区，频道或频道子区消息可以转发到指定的telegram频道）       --指定频道成员：（指定监听discord成员发言，转发到指定频道）       --原文引用：（discord端对原文的引用回复telegram端同步引用原文进行同步回复）       --跟随编辑：（支持discord端对原消息的二次编辑后telegram端也对原消息二次编辑）       --多频道转发：  支持无限数量的discord频道与telegram频道/群的转发规则       --操作系统： Windows，Mac       --可视化操作面板，本地exe安装程序（执行文件，数据储存，读取都是本地），需能独立操作和更换使用设备及规则配置， 更换设备时把原文件粘贴到配置文件夹即可保留原来的配置       --自定义端口/ ip设置： 支持本地或服务器部署，自定义监听端口和ip配置       --交付源码      --验收：满足以上功能，测试3天（不可缺少功能，缺少视为项目失败）      --禁止开发者留后门--验收期间发现留后门全额退款，拒绝验收      --因平台调整规则，导致项目无法继续开发双方视工作量商量支付500-1500的劳动报酬      --售后维护：3个月内出现故障，bug，停止运行，强退，免费维护      --本软件或执行文件不得在第三方平台，云端，他人服务器运行，部署      --交付周期： 10天，完整交付      --交付后3日内测试，验收合格全额支付2300      --订单总额：2800元。项目开发共计支付2300，售后期冻结500。售后结束解冻。一共2800（售后单额外发布项目还是由本开发者接单，售后中途不可取消项目，售后项目关联本项目编号）     以上功能都是转发核心功能，缺少功能视为项目失败，请确定好是否能做,2025-04-02,2025.04.23,任务编号：1117400,2300.0,10天,广东省-深圳市,艺欣科技工作室,https://shop.epwk.com/2j5xo4mrg5xm/,艺欣科技工作室,出售服务,https://shop.epwk.com/2j5xo4mrg5xm/chushou/,工作室,六品,74分,总 6 次中标，交易总金额,￥1.13万,艺欣科技工作室,,小程序开发 | 微信 | 支付宝 | 短视频平台 | 小红书,价格面议,后台管理系统,价格面议,安卓APP开发 - 高端定制,价格面议,GPT 应用开发,价格面议,采集工具开发,价格面议,VR应用开发,价格面议,,,,,,,采集工具
【APP开发】北漂友家app第一期,https://task.epwk.com/1117281/,44人,1人,1万-2万元,圆满完成,北漂有家,"北漂友家 经营介绍：房客源管理软件设计要求： 1、大气、简洁、明快;2、有视觉冲击力，醒目易识别，突出餐饮品牌元素;3、能体现特色，LOGO已有，但如限制了设计师的创意，可重新设计。4、各种管功能，在线签约功能，提醒功能。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2025-04-01,2025.04.02,任务编号：1117281,15000.0,50天,四川省-成都市,汇世纪网络科技,https://shop.epwk.com/zqdpl2mqon1v/,汇世纪网络科技,出售服务,https://shop.epwk.com/zqdpl2mqon1v/chushou/,个人,一品,65分,总 12 次中标，交易总金额,￥18.41万,汇世纪网络科技,,【热门】企业管理系统,"￥1000
            /起",【热门】电商小程序,"￥1000
            /起",【热门】打车小程序,"￥1000
            /起",【热门】陪玩APP,"￥1000
            /起",【热门】外卖小程序,"￥1000
            /起",【热门】官网设计,"￥1000
            /起",,,,,,,APP开发
【软件UI设计】小程序UI界面设计,https://task.epwk.com/1117278/,461人,3人,3000-5000元,圆满完成,Alf_1,微信小程序界面设计，大概不到30个页面左右，有意向的微信联系。,2025-04-01,2025.04.29,任务编号：1117278,4500.0,"15天,3天","河北省-石家庄市,四川省-成都市",初晓创意互联,https://shop.epwk.com/3gd2mvzyyner/,初晓创意互联,出售服务,https://shop.epwk.com/3gd2mvzyyner/chushou/,个人,一品,98分,总 58 次中标，交易总金额,￥17.62万,初晓创意互联,,网站建设定制开发设计企业公司官网营销门户仿站外贸网站建设制作,"￥5000
            /套",app小程序H5应用软件网站网页交互外包定制ui设计,"￥100
            /页",软件界面设计管理系统ui设计大数据ui客户端软件触摸屏,"￥500
            /页",网页设计网站设计软件设计ui设计app小程序h5前端切图,"￥1000
            /页",网站UI设计 手机端UI设计 软件界面设计 数据大屏设计,"￥300
            /页",移动应用app小程序软件网页界面大数据可视化UI定制设计,"￥10000
            /页",,,,,,,软件UI设计
【脚本开发】AI智能体+自动强题答题自动化脚本,https://task.epwk.com/1116821/,150人,1人,1000-3000元,圆满完成,低调的熊猫,"项目需求描述：星盘知识AI智能体开发基于Coze或其他AI平台开发星盘知识问答模块提供通俗易懂的星盘知识解答，包括：十二星座基本特征行星运行对星座的影响星盘解读基础知识星座运势分析方法主体分为两块,塔罗牌和骰子回答内容长度控制在300-400字不能带有标点符合和反人类回答采用自然语言处理技术，确保回答通俗易懂支持多轮对话，能够根据用户提问深入解答自动化抢题答题脚本开发支持PC端和手机端（可root）双平台运行(任意一种即可)具备以下核心功能：自动识别题目内容快速匹配最佳答案自动提交答题结果图片识别模块：支持高精度文字识别（OCR）题目截取与识别响应时间<0.5秒支持多种字体和背景识别投屏连接功能：实现手机与PC的稳定投屏连接支持无线和有线两种连接方式确保投屏延迟<100ms系统集成与优化实现AI智能体与答题脚本的无缝对接优化资源占用，确保流畅运行提供简单易用的用户界面定期更新知识库和算法模型安全与稳定性确保系统运行稳定，避免崩溃提供异常处理机制保护用户隐私和数据安全维护与支持提供定期更新和维护支持问题反馈和快速响应提供使用说明和操作指南本项目旨在通过AI技术和自动化脚本的结合，为用户提供高效、准确的星盘知识问答和答题服务，同时确保系统的稳定性和易用性。",2025-03-27,2025.04.13,任务编号：1116821,2500.0,5天,山东省-济南市,山东明途软件开发,https://shop.epwk.com/omdwk97w1drp/,山东明途软件开发,出售服务,https://shop.epwk.com/omdwk97w1drp/chushou/,工作室,六品,51分,总 3 次中标，交易总金额,￥7000.00,山东明途软件开发,,,,,,,,,,,,,,,,,,,,脚本开发
