需求方,设计师,任务编号,能力标签,交易价格,发布时间
jmgzjb,hencongmingde,任务编号：1089151,品牌起名,4000.0,2024-08-12
jmgzjb,纤尘繁星,任务编号：1089151,品牌起名,4000.0,2024-08-12
mf180****4815,晓云文匠,任务编号：1085573,品牌起名,200.0,2024-07-08
mf180****4815,似幻11,任务编号：1085573,品牌起名,200.0,2024-07-08
李医生,hencongmingde,任务编号：1084789,品牌起名,500.0,2024-06-30
李医生,南沙群岛设计策划咨询工作室,任务编号：1084789,品牌起名,500.0,2024-06-30
mf180****5945,蜜蜂工作室,任务编号：1081971,广告策划,301.0,2024-05-31
mf180****5945,武林设计,任务编号：1081971,广告策划,301.0,2024-05-31
啥哇嘀卡,时空巡使,任务编号：1080092,品牌起名,100.0,2024-05-13
啥哇嘀卡,米米文案,任务编号：1080092,品牌起名,100.0,2024-05-13
旧城以西1998,虎三,任务编号：1075214,产品卖点,300.0,2024-03-25
旧城以西1998,至尊齐铭,任务编号：1075214,产品卖点,300.0,2024-03-25
o592a63a3449c4,躺星耀河,任务编号：1070186,宝宝起名,300.0,2024-01-19
o592a63a3449c4,o5de8f6d85b53a,任务编号：1070186,宝宝起名,300.0,2024-01-19
o5c18****2f9c6,草莓糖霜,任务编号：1067124,店铺/网店起名,605.0,2023-12-15
o5c18****2f9c6,名仕广告,任务编号：1067124,店铺/网店起名,605.0,2023-12-15
mf133****0310,未来城市设计,任务编号：1064442,品牌起名,800.0,2023-11-20
mf133****0310,麦阁AVkj0,任务编号：1064442,品牌起名,800.0,2023-11-20
开设堂Ef8Ox,雾谷设计,任务编号：1058115,品牌起名,100.0,2023-09-19
开设堂Ef8Ox,燕设一品,任务编号：1058115,品牌起名,100.0,2023-09-19
寻希品网络科技,创品Fengjy,任务编号：1057534,公司起名,1001.0,2023-09-14
寻希品网络科技,方圆台Skibh,任务编号：1057534,公司起名,1001.0,2023-09-14
chauncc,千秋万名,任务编号：1044008,公司起名,380.0,2023-06-05
chauncc,wsjyhns2008的商铺,任务编号：1044008,公司起名,380.0,2023-06-05
chauncc,郡立赋新,任务编号：1040049,公司起名,300.0,2023-05-09
chauncc,半爿设计,任务编号：1040049,公司起名,300.0,2023-05-09
k5500****98,我是一只鱼的档口,任务编号：1031051,商业提案,188.0,2023-03-01
k5500****98,龙马策划,任务编号：1031051,商业提案,188.0,2023-03-01
游泳健将,极点科技,任务编号：1023743,品牌起名,840.0,2022-12-02
游泳健将,君合设计工作室,任务编号：1023743,品牌起名,840.0,2022-12-02
o5e91****2108e,喵星人文案,任务编号：1021744,公司起名,100.0,2022-11-14
o5e91****2108e,启明星辰,任务编号：1021744,公司起名,100.0,2022-11-14
佳树,三生万物广告,任务编号：1010565,品牌起名,1100.0,2022-08-18
佳树,程曦创意设计工作室,任务编号：1010565,品牌起名,1100.0,2022-08-18
无厘头段子手,孤独的锅包肉,任务编号：1008561,文学创作,500.0,2022-08-04
无厘头段子手,mf178****0453,任务编号：1008561,文学创作,500.0,2022-08-04
o5a1835f94bf43,异凡策划,任务编号：1008046,品牌起名,600.0,2022-08-01
o5a1835f94bf43,o58297f5c0728f,任务编号：1008046,品牌起名,600.0,2022-08-01
威勒尼3cTjL,心有灵犀文字工坊,任务编号：1004547,品牌起名,300.0,2022-07-09
威勒尼3cTjL,mf150****8882,任务编号：1004547,品牌起名,300.0,2022-07-09
昂米禾1l5ig,hencongmingde,任务编号：985642,产品卖点,1700.0,2022-03-09
昂米禾1l5ig,璇极文化,任务编号：985642,产品卖点,1700.0,2022-03-09
阿克索生物科技,智通策划文案,任务编号：983223,产品卖点,150.0,2022-02-22
阿克索生物科技,闻风创意,任务编号：983223,产品卖点,150.0,2022-02-22
o605174bbd625d,小邹18,任务编号：976674,品牌起名,220.0,2021-12-28
o605174bbd625d,码字铺，靠谱,任务编号：976674,品牌起名,220.0,2021-12-28
o605174bbd625d,见证奇迹,任务编号：976673,品牌起名,200.0,2021-12-28
o605174bbd625d,冰糖雪碧,任务编号：976673,品牌起名,200.0,2021-12-28
szmpgcled,戈壁沙漠1981,任务编号：967003,品牌起名,111.0,2021-11-02
szmpgcled,码字铺，靠谱,任务编号：967003,品牌起名,111.0,2021-11-02
啥哇嘀卡,慎字如金,任务编号：962318,店铺/网店起名,100.0,2021-10-25
啥哇嘀卡,蓝公子不姓蓝,任务编号：962318,店铺/网店起名,100.0,2021-10-25
o5d09f7e435477,靠谱小伙,任务编号：956591,品牌起名,840.0,2021-09-22
o5d09f7e435477,o61337e1d41261,任务编号：956591,品牌起名,840.0,2021-09-22
靓荐EEyCl,风速阁r6esY,任务编号：952746,品牌起名,128.0,2021-08-30
靓荐EEyCl,高地密码hoJWe,任务编号：952746,品牌起名,128.0,2021-08-30
福建小树林,小Z设计狮,任务编号：952193,公司起名,300.0,2021-08-27
福建小树林,ZSZ工作室,任务编号：952193,公司起名,300.0,2021-08-27
o604100e248fda,歪方设计,任务编号：925636,品牌起名,200.0,2021-03-22
o604100e248fda,【千字造】专业起名取名,任务编号：925636,品牌起名,200.0,2021-03-22
o5e905853f36ab,禅生妙境,任务编号：914348,宣传策划,200.0,2021-01-08
o5e905853f36ab,京南小组,任务编号：914348,宣传策划,200.0,2021-01-08
o5ff3c4d485482,mf150****8882,任务编号：913405,品牌起名,1000.0,2021-01-05
o5ff3c4d485482,青野标书方案定制,任务编号：913405,品牌起名,1000.0,2021-01-05
青山绿水阳光,精鑫设计工作室,任务编号：913287,品牌起名,100.0,2021-01-04
青山绿水阳光,君梓阁～,任务编号：913287,品牌起名,100.0,2021-01-04
贝多芬的猫,风铃文案/平面设计,任务编号：912201,店铺/网店起名,100.0,2020-12-27
贝多芬的猫,mf150****8882,任务编号：912201,店铺/网店起名,100.0,2020-12-27
青山绿水阳光,o5f61c1e32b575,任务编号：912129,项目策划,120.0,2020-12-27
青山绿水阳光,o5c863f72d810e,任务编号：912129,项目策划,120.0,2020-12-27
佳佳最佳佳,美其名曰,任务编号：911656,成人起名,180.0,2020-12-24
佳佳最佳佳,不知风起何时,任务编号：911656,成人起名,180.0,2020-12-24
青山绿水阳光,o5fbc612a08f1b,任务编号：908133,其他,100.0,2020-12-04
青山绿水阳光,o5f61c1e32b575,任务编号：908133,其他,100.0,2020-12-04
o5c8450d19a265,天幕创意,任务编号：906032,品牌起名,300.0,2020-11-22
o5c8450d19a265,moonwalker2020,任务编号：906032,品牌起名,300.0,2020-11-22
o5ba1b861076ea,扉梵视觉设计,任务编号：905234,宣传策划,360.0,2020-11-18
o5ba1b861076ea,o5d14d1dc989e2,任务编号：905234,宣传策划,360.0,2020-11-18
cngygy,禅生妙境,任务编号：902866,宣传策划,100.0,2020-11-05
cngygy,sssdaojian,任务编号：902866,宣传策划,100.0,2020-11-05
至友酒业,YZL-大杨,任务编号：902785,广告策划,1000.0,2020-11-05
至友酒业,桑落,任务编号：902785,广告策划,1000.0,2020-11-05
o5f85****3bc54,Lewandowski,任务编号：901136,品牌起名,300.0,2020-10-28
o5f85****3bc54,绿门红玉,任务编号：901136,品牌起名,300.0,2020-10-28
京东惠哥,知知工作室,任务编号：900553,产品卖点,100.0,2020-10-25
京东惠哥,明俩青年,任务编号：900553,产品卖点,100.0,2020-10-25
o5f85****3bc54,xz99,任务编号：898238,品牌起名,300.0,2020-10-13
o5f85****3bc54,案上之蛙,任务编号：898238,品牌起名,300.0,2020-10-13
ladysayhihi,女人撑起半拉天,任务编号：897919,品牌起名,1000.0,2020-10-12
ladysayhihi,十月创意工作室,任务编号：897919,品牌起名,1000.0,2020-10-12
百万富翁123,千灵 取名+logo设计,任务编号：896522,品牌起名,100.0,2020-10-06
百万富翁123,茜仟,任务编号：896522,品牌起名,100.0,2020-10-06
o5f4762ad71aec,o5d34069cab7b5,任务编号：896491,品牌起名,100.0,2020-10-06
o5f4762ad71aec,卓越品牌策划工作室,任务编号：896491,品牌起名,100.0,2020-10-06
o5f4762ad71aec,十月创意工作室,任务编号：896487,品牌起名,100.0,2020-10-06
o5f4762ad71aec,o5d34069cab7b5,任务编号：896487,品牌起名,100.0,2020-10-06
o5d58007d62268,九臣原创设计,任务编号：895696,品牌起名,188.0,2020-09-29
o5d58007d62268,壹品伯爵设计工作室,任务编号：895696,品牌起名,188.0,2020-09-29
汇芯高新,壹品伯爵设计工作室,任务编号：895590,其他,580.0,2020-09-28
汇芯高新,欧乐创意文案,任务编号：895590,其他,580.0,2020-09-28
o5d5c0fe4d647f,风铃文案/平面设计,任务编号：895150,公司起名,600.0,2020-09-26
o5d5c0fe4d647f,九臣原创设计,任务编号：895150,公司起名,600.0,2020-09-26
o5d5c0fe4d647f,寡盐视觉,任务编号：895070,品牌起名,600.0,2020-09-25
o5d5c0fe4d647f,般若设计,任务编号：895070,品牌起名,600.0,2020-09-25
o5d5c0fe4d647f,mf183****7259,任务编号：895068,品牌起名,600.0,2020-09-25
o5d5c0fe4d647f,月雾,任务编号：895068,品牌起名,600.0,2020-09-25
o5f6328d89a6c7,壹品伯爵设计工作室,任务编号：893326,品牌起名,100.0,2020-09-17
o5f6328d89a6c7,鑫晨设计室,任务编号：893326,品牌起名,100.0,2020-09-17
一只快乐的冬瓜,艺点策划,任务编号：892367,品牌起名,200.0,2020-09-14
一只快乐的冬瓜,狐家小爷,任务编号：892367,品牌起名,200.0,2020-09-14
o55e6c9aa6e122,o590857ad76aa7,任务编号：889213,品牌起名,200.0,2020-09-02
o55e6c9aa6e122,vivid悦968,任务编号：889213,品牌起名,200.0,2020-09-02
mf159****1601,一网不捞鱼,任务编号：889064,品牌起名,250.0,2020-08-31
mf159****1601,o5f4bb7f105bad,任务编号：889064,品牌起名,250.0,2020-08-31
o5e88****81636,九臣原创设计,任务编号：887296,品牌起名,100.0,2020-08-23
o5e88****81636,k2474819985,任务编号：887296,品牌起名,100.0,2020-08-23
o5f3d9e28e6be8,十月创意工作室,任务编号：886570,店铺/网店起名,500.0,2020-08-20
o5f3d9e28e6be8,见证奇迹,任务编号：886570,店铺/网店起名,500.0,2020-08-20
o5d58007d62268,七七驾到,任务编号：885808,品牌起名,188.0,2020-08-17
o5d58007d62268,茜仟,任务编号：885808,品牌起名,188.0,2020-08-17
涑爽ssushine,o5acf5da73c2e7,任务编号：884050,品牌起名,188.0,2020-08-10
涑爽ssushine,美其名曰,任务编号：884050,品牌起名,188.0,2020-08-10
一只快乐的冬瓜,o5ee8c9c481fec,任务编号：883519,品牌起名,200.0,2020-08-07
一只快乐的冬瓜,小康取名,任务编号：883519,品牌起名,200.0,2020-08-07
一只快乐的冬瓜,o5d34069cab7b5,任务编号：883516,品牌起名,200.0,2020-08-07
一只快乐的冬瓜,千秋万名,任务编号：883516,品牌起名,200.0,2020-08-07
o5d330b9e691e6,小汪汪ch,任务编号：883449,宝宝起名,200.0,2020-08-06
o5d330b9e691e6,艺点策划,任务编号：883449,宝宝起名,200.0,2020-08-06
lan82929,xrx312,任务编号：882759,品牌起名,200.0,2020-08-04
lan82929,森禾米创意工作室,任务编号：882759,品牌起名,200.0,2020-08-04
hailong5218,小郑同学,任务编号：881427,品牌起名,100.0,2020-07-30
hailong5218,@烨名珠@,任务编号：881427,品牌起名,100.0,2020-07-30
一只快乐的冬瓜,自由的垃圾,任务编号：879102,品牌起名,200.0,2020-07-20
一只快乐的冬瓜,妙灵文案设计,任务编号：879102,品牌起名,200.0,2020-07-20
o5f10fbf7d8aed,凡跃广告,任务编号：878502,公司起名,500.0,2020-07-17
o5f10fbf7d8aed,o5d34069cab7b5,任务编号：878502,公司起名,500.0,2020-07-17
一笔一画,黑妞文案,任务编号：875821,产品卖点,500.0,2020-07-06
一笔一画,sc6288,任务编号：875821,产品卖点,500.0,2020-07-06
o59bf2a91bf322,o5d34069cab7b5,任务编号：875479,宣传策划,300.0,2020-07-05
o59bf2a91bf322,那一家店,任务编号：875479,宣传策划,300.0,2020-07-05
o5c0de26b27ce6,凌云文案,任务编号：875123,品牌起名,200.0,2020-07-03
o5c0de26b27ce6,那一家店,任务编号：875123,品牌起名,200.0,2020-07-03
ykjiangfeng,谢诗妍,任务编号：874787,品牌起名,300.0,2020-07-02
ykjiangfeng,凡跃广告,任务编号：874787,品牌起名,300.0,2020-07-02
o5ef54ffc3e238,wuzuiyu,任务编号：873623,宝宝起名,188.0,2020-06-28
o5ef54ffc3e238,o5ed3080681b78,任务编号：873623,宝宝起名,188.0,2020-06-28
o5c18****2f9c6,o5e3fa881d0aae,任务编号：873041,广告策划,500.0,2020-06-24
o5c18****2f9c6,知日书阁,任务编号：873041,广告策划,500.0,2020-06-24
o5def07f03361e,心有灵犀文字工坊,任务编号：872373,公司起名,200.0,2020-06-22
o5def07f03361e,努力诚实地做事,任务编号：872373,公司起名,200.0,2020-06-22
yuzuiweihe,o5e4ced5b8e120,任务编号：872335,品牌起名,100.0,2020-06-22
yuzuiweihe,见证奇迹,任务编号：872335,品牌起名,100.0,2020-06-22
陈姑娘CXM,可乐有点甜,任务编号：871014,品牌起名,100.0,2020-06-16
陈姑娘CXM,九臣原创设计,任务编号：871014,品牌起名,100.0,2020-06-16
o5e9d380944f70,o5d2accffe199a,任务编号：870115,宣传策划,500.0,2020-06-12
o5e9d380944f70,o5d1593ea18754,任务编号：870115,宣传策划,500.0,2020-06-12
铁笔担道义,o5d1593ea18754,任务编号：869057,专业代笔,100.0,2020-06-09
铁笔担道义,九品芝麻,任务编号：869057,专业代笔,100.0,2020-06-09
