标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【产品卖点】AI论文写作业工具公众号请人编写广告文案撰写,2337人,25人,¥200,圆满完成,壹选Sv9gO,先关注论文快车服务公众号，根据公众号的功能和操作流程，以个例编写论文痛苦，结合案例！打造和宣传论文快车公众号品牌！吸引更多的潜在客户使用我们的论文写作工具！字数600-800字左右。,2025-03-24,2025.04.18,任务编号：1116369,200.0,28.0,诚创天翼,个人,七品,37分,,,,,,,,,,,,,,,,,,,,,产品卖点
【公司起名】公司起名,3187人,143人,¥100,圆满完成,o5f7836c7b0e24,财税代账公司，山东注册，易传播，简单好记原则，2.3个字,2025-03-16,2025.04.03,任务编号：1115278,100.0,183.0,武林设计,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】【重金悬赏】房地产项目创意设计征集,6370人,170人,"¥2,000",圆满完成,为客呈现Aox2z,【重金悬赏】房地产项目案名征集 一、任务类型：品牌设计（项目案名）二、任务预算：2000元三、任务周期：10天（2025年2月27日—3月9日）四、项目背景：我们目前正在筹备一个全新的房产地产纯洋房社区项目，项目位于安康市高新区，周边教育资源较为丰富，包含安康高新中学分校等学校，紧邻富家河湿地公园等，距离高铁站较近；项目总体量200多亩，面向改善类型客群，整体定位为轻奢改善生活方式。五、设计要求：1.  案名需求文字长度3-4个字之间。易读、易记、大气、避免生僻字，需提交命名释意。可结合一些安康本地的文化元素、文化理念等。      2、内容、元素等参考方向及建议       可参考安康“金州”、 “硒谷”、“秦巴”、“茶花”等历史文化属性等。六、提交格式：案名：Word/PDF文档，案名需提供相应释义。,2025-02-27,2025.03.27,任务编号：1111172,2000.0,233.0,隐形人设计工作室,工作室,一品,53分,,,企业电商详情页设计,"￥1000
            /起",产品字体设计,"￥500
            /起",产品海报设计,"￥1000
            /起",企业产品画册设计,"￥300
            /页",产品包装设计,"￥1000
            /起",logo品牌标志设计,"￥500
            /起",,,,,,,公司起名
【品牌起名】品牌名字征集,4131人,150人,¥100,圆满完成,o5f7836c7b0e24,起一个祛痘品牌的名字，要求能注册商标，最好能引经据典，注册3-5-35-44，3 个字，要求能注册商标，最好能引经据典，能从名字上看到所做业务。比如：豆康。不要带痘字的带祛字的，成功率都是很低甚至为 0,2025-02-19,2025.03.13,任务编号：1109386,100.0,195.0,银子啦,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】根据周易五行取公司名字,5704人,183人,¥600,圆满完成,企威特TqrGE,大致是本人准备注册一家公司，周易五行相生相克角度配合通俗易懂，大气的取公司名字。取的名字可以用于注册，而不是已经被注册的名字。公司主要是种植竹子，卖竹笋、竹竿、中草药、林下经济等业务。具体可以与我沟通,2025-02-19,2025.03.11,任务编号：1109344,600.0,240.0,o5eb2734f8c161,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【广告口号】短视频平台认证话题挑战赛标语,9201人,207人,¥700,圆满完成,jmgzjb,活动背景：为做好“桃花开”各市场的品牌推广、动销拉动。公司就“中高考”推出短视频平台认证挑战赛活动。现对活动标题宣传语进行悬赏。 活动目的：在高考前让考生家长买一箱桃花开送给考生，增添好运气，从而形成一种风俗习惯，拉动产品动销。 标题宣传语需求： 1.文案需与高考、好运相关联，展现活动主题2.字数不得超过12字（建议4-10个汉字）3.不得出现绝对性的广告词以及过于宽泛的词句4.要求语句通顺，朗朗上口，便于传播示例：“旗开得胜桃花开、一举夺魁好运来”其他品牌挑战赛标语展示：   1. 事事可成58同城   2.传祺M8安全很开门   3.卡拉OK一步到魏,2025-02-11,2025.02.28,任务编号：1107904,700.0,263.0,zwh123123,,,,,,,,,,,,,,,,,,,,,,,,广告口号
【品牌起名】品牌起名,1771人,78人,¥100,圆满完成,o5f7836c7b0e24,"湘菜连锁品牌名，通俗易懂，辨识度高,品牌名字，简单就好，名字能关联到湘菜，读起来不拗口，通俗易懂,要注册43.35类,3个字以内",2024-12-24,2025.01.26,任务编号：1100947,100.0,113.0,威多宝UisO9,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】品牌起名,2105人,66人,¥100,圆满完成,o5f7836c7b0e24,"看下附件要求,根据英文起中文,品牌名称和公司的起名共用一个名称,我们的产品几个特点，第一个就是那个耐用和可靠。这个是特点，因为我们这些产品屏幕，电池，包括钢化膜，数据线呐，其实都是功能性产品，就是它是坏了以后才会找我买的，所以如果耐用的话就说明他可以不用买新的嘛，选我们的是最好的嘛，最合适的嘛，其实是一个这样的逻辑，就是从产品品类，行业特点，还有名字。",2024-12-02,2024.12.25,任务编号：1098188,100.0,98.0,晓云文匠,工作室,六品,37分,,,品牌起名原创商标取名注册代理公司字号店铺小程序网站中英文命名,￥100,企业文化设计品牌故事宣传文案公司简介撰写产品介绍商业策划写作,￥180,品牌广告语创作策划原创意设计 公司宣传口号企业产品标语定制,￥180,,,,,,,,,,,,,品牌起名
【品牌起名】洗衣粉品牌，起英文名，不要AI起的,2551人,85人,¥300,圆满完成,丢失的马蹄钉,能体现洗衣粉特点，简短，寓意好，朗朗上口,2024-11-22,2025.04.20,任务编号：1097404,300.0,134.0,艺心,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【宝宝起名】给宝宝起名,2810人,65人,¥130,圆满完成,yangyi1111,龙年，2024年阳历11月20日，阴历10月20，女宝，姓付，取一个单名，要求朗读通顺，有美好含义即可，另需要对名字进行释义，结合易经更好。男方名字：付利民女方名字：杨霞       供参考。,2024-11-21,2025.03.20,任务编号：1097344,130.0,96.0,飞扬数字传媒工作室,工作室,九品,37分,,,,,,,,,,,,,,,,,,,,,宝宝起名
