需求方,设计师,任务编号,能力标签,交易价格,发布时间
聚云Io8G6,B任务编号：1109223,任务编号：1109223,网络接单,500.0,2025-02-18
聚云Io8G6,B任务编号：1109179,任务编号：1109179,网络接单,510.0,2025-02-18
聚云Io8G6,B任务编号：1107445,任务编号：1107445,网络接单,501.0,2025-02-08
铸威MTI4d,B任务编号：1099590,任务编号：1099590,网络接单,600.0,2024-12-15
聚云nPocK,B任务编号：1069725,任务编号：1069725,网络接单,500.0,2024-01-13
qiang6144,B任务编号：1055475,任务编号：1055475,网络接单,720.0,2023-08-28
唯客心2JJG6,B任务编号：1050456,任务编号：1050456,网络接单,500.0,2023-07-21
晴天太阳好,B任务编号：1040800,任务编号：1040800,网络接单,3195.0,2023-05-15
qiang6144,B任务编号：1040699,任务编号：1040699,网络接单,3384.0,2023-05-13
晴天太阳好,B任务编号：1040600,任务编号：1040600,网络接单,1368.0,2023-05-12
o5ef9****447f0,B任务编号：1039596,任务编号：1039596,网络接单,3030.0,2023-05-08
o5ef9****447f0,B任务编号：1032699,任务编号：1032699,网络接单,500.0,2023-03-14
qiang6144,B任务编号：1029948,任务编号：1029948,网络接单,3500.0,2023-02-20
晴天太阳好,B任务编号：1021850,任务编号：1021850,网络接单,1998.0,2022-11-15
qiang6144,B任务编号：1021837,任务编号：1021837,网络接单,1926.0,2022-11-15
qiang6144,B任务编号：1019221,任务编号：1019221,网络接单,504.0,2022-10-25
晴天太阳好,B任务编号：1018861,任务编号：1018861,网络接单,10485.0,2022-10-21
qiang6144,B任务编号：1018780,任务编号：1018780,网络接单,10467.0,2022-10-21
晴天太阳好,B任务编号：1018330,任务编号：1018330,网络接单,10098.0,2022-10-18
qiang6144,B任务编号：1018155,任务编号：1018155,网络接单,1827.0,2022-10-17
晴天太阳好,B任务编号：1017981,任务编号：1017981,网络接单,1818.0,2022-10-14
qiang6144,B任务编号：1017968,任务编号：1017968,网络接单,1800.0,2022-10-14
晴天太阳好,B任务编号：1017939,任务编号：1017939,网络接单,1341.0,2022-10-14
qiang6144,B任务编号：1017863,任务编号：1017863,网络接单,1422.0,2022-10-14
晴天太阳好,B任务编号：1017771,任务编号：1017771,网络接单,1323.0,2022-10-13
晴天太阳好,B任务编号：1013978,任务编号：1013978,网络接单,9846.0,2022-09-14
qiang6144,B任务编号：1013868,任务编号：1013868,网络接单,9765.0,2022-09-13
麦兜建站,B任务编号：1013606,任务编号：1013606,网络接单,545.0,2022-09-09
o5ef9****447f0,B任务编号：1013459,任务编号：1013459,网络接单,9995.0,2022-09-08
qiang6144,B任务编号：1012353,任务编号：1012353,网络接单,1098.0,2022-08-31
晴天太阳好,B任务编号：1012239,任务编号：1012239,网络接单,9297.0,2022-08-30
qiang6144,B任务编号：1012114,任务编号：1012114,网络接单,9216.0,2022-08-30
晴天太阳好,B任务编号：1012018,任务编号：1012018,网络接单,1089.0,2022-08-29
qiang6144,B任务编号：1006100,任务编号：1006100,网络接单,1017.0,2022-07-19
晴天太阳好,B任务编号：1004806,任务编号：1004806,网络接单,2358.0,2022-07-11
qiang6144,B任务编号：1004740,任务编号：1004740,网络接单,2277.0,2022-07-11
晴天太阳好,B任务编号：1004393,任务编号：1004393,网络接单,1818.0,2022-07-08
qiang6144,B任务编号：1004340,任务编号：1004340,网络接单,1737.0,2022-07-08
晴天太阳好,B任务编号：1003856,任务编号：1003856,网络接单,1638.0,2022-07-05
qiang6144,B任务编号：1003838,任务编号：1003838,网络接单,1557.0,2022-07-05
晴天太阳好,B任务编号：1003802,任务编号：1003802,网络接单,1098.0,2022-07-05
qiang6144,B任务编号：1003775,任务编号：1003775,网络接单,1026.0,2022-07-05
晴天太阳好,B任务编号：1003663,任务编号：1003663,网络接单,1008.0,2022-07-04
o5ef9****447f0,B任务编号：998622,任务编号：998622,网络接单,500.0,2022-05-31
晴天太阳好,B任务编号：997707,任务编号：997707,网络接单,549.0,2022-05-25
晴天太阳好,B任务编号：997019,任务编号：997019,网络接单,3780.0,2022-05-20
qiang6144,B任务编号：996996,任务编号：996996,网络接单,3717.0,2022-05-20
晴天太阳好,B任务编号：996832,任务编号：996832,网络接单,3258.0,2022-05-19
qiang6144,B任务编号：996798,任务编号：996798,网络接单,3177.0,2022-05-19
晴天太阳好,B任务编号：996664,任务编号：996664,网络接单,2610.0,2022-05-18
qiang6144,B任务编号：996628,任务编号：996628,网络接单,1017.0,2022-05-18
晴天太阳好,B任务编号：995213,任务编号：995213,网络接单,2061.0,2022-05-09
qiang6144,B任务编号：995198,任务编号：995198,网络接单,1980.0,2022-05-09
晴天太阳好,B任务编号：995178,任务编号：995178,网络接单,1593.0,2022-05-09
qiang6144,B任务编号：995062,任务编号：995062,网络接单,1503.0,2022-05-09
晴天太阳好,B任务编号：994847,任务编号：994847,网络接单,621.0,2022-05-07
o59bbeca8ac1cd,B任务编号：994644,任务编号：994644,网络接单,500.0,2022-05-06
qiang6144,B任务编号：994650,任务编号：994650,网络接单,2529.0,2022-05-06
qiang6144,B任务编号：993850,任务编号：993850,网络接单,720.0,2022-04-28
晴天太阳好,B任务编号：993313,任务编号：993313,网络接单,1458.0,2022-04-25
qiang6144,B任务编号：993209,任务编号：993209,网络接单,1422.0,2022-04-25
qiang6144,B任务编号：992143,任务编号：992143,网络接单,1017.0,2022-04-18
qiang6144,B任务编号：991130,任务编号：991130,网络接单,603.0,2022-04-12
o5ef9****447f0,B任务编号：990960,任务编号：990960,网络接单,500.0,2022-04-11
qiang6144,B任务编号：989653,任务编号：989653,网络接单,603.0,2022-04-02
晴天太阳好,B任务编号：989103,任务编号：989103,网络接单,5310.0,2022-03-30
qiang6144,B任务编号：988198,任务编号：988198,网络接单,5175.0,2022-03-24
cdxingchao,B任务编号：986045,任务编号：986045,网络接单,500.0,2022-03-11
创品XrT6c,B任务编号：983619,任务编号：983619,网络接单,600.0,2022-02-24
晴天太阳好,B任务编号：982944,任务编号：982944,网络接单,1575.0,2022-02-20
o5ef9****447f0,B任务编号：982442,任务编号：982442,网络接单,600.0,2022-02-16
qiang6144,B任务编号：982198,任务编号：982198,网络接单,4149.0,2022-02-15
晴天太阳好,B任务编号：981906,任务编号：981906,网络接单,1080.0,2022-02-13
cdxingchao,B任务编号：979264,任务编号：979264,网络接单,500.0,2022-01-14
晴天太阳好,B任务编号：978295,任务编号：978295,网络接单,1080.0,2022-01-08
o5ef9****447f0,B任务编号：977149,任务编号：977149,网络接单,500.0,2021-12-30
o5ef9****447f0,B任务编号：976686,任务编号：976686,网络接单,550.0,2021-12-28
o5ff2b227d5628,B任务编号：972874,任务编号：972874,网络接单,500.0,2021-12-04
晴天太阳好,B任务编号：969372,任务编号：969372,网络接单,1080.0,2021-11-13
cdxingchao,B任务编号：968355,任务编号：968355,网络接单,500.0,2021-11-08
JXC匠相传,B任务编号：967953,任务编号：967953,网络接单,500.0,2021-11-05
o5ef9****447f0,B任务编号：967235,任务编号：967235,网络接单,500.0,2021-11-02
小楊工作室,B任务编号：961413,任务编号：961413,网络接单,500.0,2021-10-20
o5ff2b227d5628,B任务编号：960986,任务编号：960986,网络接单,500.0,2021-10-18
o5ef9****447f0,B任务编号：960824,任务编号：960824,网络接单,550.0,2021-10-17
晴天太阳好,B任务编号：958570,任务编号：958570,网络接单,1770.0,2021-10-05
晴天太阳好,B任务编号：958355,任务编号：958355,网络接单,1080.0,2021-10-03
cdxingchao,B任务编号：958097,任务编号：958097,网络接单,500.0,2021-09-30
o5ef9****447f0,B任务编号：956011,任务编号：956011,网络接单,650.0,2021-09-18
晴天太阳好,B任务编号：952541,任务编号：952541,网络接单,1380.0,2021-08-29
cdxingchao,B任务编号：951892,任务编号：951892,网络接单,500.0,2021-08-25
cdxingchao,B任务编号：951885,任务编号：951885,网络接单,500.0,2021-08-25
o5ff2b227d5628,B任务编号：951260,任务编号：951260,网络接单,500.0,2021-08-22
晴天太阳好,B任务编号：946784,任务编号：946784,网络接单,1170.0,2021-07-27
o5d2a965b26f00,B任务编号：944727,任务编号：944727,网络接单,500.0,2021-07-15
cdxingchao,B任务编号：944174,任务编号：944174,网络接单,500.0,2021-07-13
cdxingchao,B任务编号：944166,任务编号：944166,网络接单,500.0,2021-07-13
individual,B任务编号：943899,任务编号：943899,网络接单,500.0,2021-07-11
o60dc34a626d00,B任务编号：942207,任务编号：942207,网络接单,500.0,2021-06-30
晴天太阳好,B任务编号：941653,任务编号：941653,网络接单,1170.0,2021-06-27
o5ff2b227d5628,B任务编号：941498,任务编号：941498,网络接单,500.0,2021-06-25
晴天太阳好,B任务编号：938994,任务编号：938994,网络接单,1155.0,2021-06-09
cdxingchao,B任务编号：938555,任务编号：938555,网络接单,500.0,2021-06-07
cdxingchao,B任务编号：938532,任务编号：938532,网络接单,500.0,2021-06-07
mf150****1728,B任务编号：937905,任务编号：937905,网络接单,600.0,2021-06-02
晴天太阳好,B任务编号：935253,任务编号：935253,网络接单,1080.0,2021-05-18
cdxingchao,B任务编号：932450,任务编号：932450,网络接单,500.0,2021-04-30
cdxingchao,B任务编号：932438,任务编号：932438,网络接单,500.0,2021-04-30
木子工作室,B任务编号：931483,任务编号：931483,网络接单,500.0,2021-04-25
晴天太阳好,B任务编号：930621,任务编号：930621,网络接单,1200.0,2021-04-20
o5ef9****447f0,B任务编号：930508,任务编号：930508,网络接单,810.0,2021-04-19
晴天太阳好,B任务编号：929030,任务编号：929030,网络接单,1290.0,2021-04-12
