需求方,设计师,任务编号,能力标签,交易价格,发布时间
永不止步9899,B任务编号：1113171,任务编号：1113171,APP推广,1200.0,2025-03-07
alexlounbut,B任务编号：1110829,任务编号：1110829,微信推广,3300.0,2025-02-26
alexlounbut,B任务编号：1108317,任务编号：1108317,问卷调查,4000.0,2025-02-14
MoshowGames,B任务编号：1101348,任务编号：1101348,产品推广,2100.0,2024-12-26
威威起家xqeST,B任务编号：1086125,任务编号：1086125,公众号推广,500.0,2024-07-12
威威起家1v9vG,B任务编号：1085490,任务编号：1085490,信息流,501.0,2024-07-07
xushunbin8939,B任务编号：1082615,任务编号：1082615,产品推广,501.0,2024-06-07
蓝忆欢,B任务编号：1077943,任务编号：1077943,APP推广,501.0,2024-04-22
o5a794c8275f3a,B任务编号：1077337,任务编号：1077337,微信推广,501.0,2024-04-16
威镇天下sFGbO,B任务编号：1077029,任务编号：1077029,小程序推广,500.0,2024-04-12
大海啊你全是水,B任务编号：1076016,任务编号：1076016,小程序推广,501.0,2024-04-02
o592780fa9144b,B任务编号：1074729,任务编号：1074729,问卷调查,500.0,2024-03-20
安威客IcDpq,B任务编号：1068435,任务编号：1068435,微信推广,500.0,2023-12-29
mf189****3997,B任务编号：1066608,任务编号：1066608,公众号推广,510.0,2023-12-11
mf189****3997,B任务编号：1066591,任务编号：1066591,公众号推广,510.0,2023-12-11
唯客心Q2T2j,B任务编号：1065613,任务编号：1065613,APP推广,540.0,2023-11-30
金选oRip3,B任务编号：1065231,任务编号：1065231,问卷调查,501.0,2023-11-27
壹选c2jY6,B任务编号：1065064,任务编号：1065064,APP推广,500.0,2023-11-26
monster22,B任务编号：1063447,任务编号：1063447,微信推广,600.0,2023-11-09
Ronan_,B任务编号：1061645,任务编号：1061645,问卷调查,12000.0,2023-10-24
alexlounbut,B任务编号：1061643,任务编号：1061643,问卷调查,750.0,2023-10-24
monster22,B任务编号：1060355,任务编号：1060355,微信推广,600.0,2023-10-12
mf187****4998,B任务编号：1058875,任务编号：1058875,产品推广,500.0,2023-09-26
王尔德,B任务编号：1058820,任务编号：1058820,APP推广,504.0,2023-09-25
NAUV14,B任务编号：1058225,任务编号：1058225,公众号推广,700.0,2023-09-20
o5be265dbd6e65,B任务编号：1056508,任务编号：1056508,APP推广,1000.0,2023-09-06
o5ef9****447f0,B任务编号：1054899,任务编号：1054899,APP推广,635.0,2023-08-23
威上帝QsaYa,B任务编号：1054746,任务编号：1054746,微信推广,500.0,2023-08-22
天山雪杉,B任务编号：1051167,任务编号：1051167,APP推广,500.0,2023-07-26
天山雪杉,B任务编号：1050575,任务编号：1050575,APP推广,500.0,2023-07-22
兜兜的解忧杂货铺,B任务编号：1050469,任务编号：1050469,公众号推广,501.0,2023-07-21
任务大户,B任务编号：1047399,任务编号：1047399,视频推广,2000.0,2023-06-30
o5ef9****447f0,B任务编号：1047267,任务编号：1047267,APP推广,505.0,2023-06-30
V创b8rEw,B任务编号：1040939,任务编号：1040939,微信推广,1000.0,2023-05-15
V创b8rEw,B任务编号：1040941,任务编号：1040941,微信推广,900.0,2023-05-15
V创b8rEw,B任务编号：1040767,任务编号：1040767,视频推广,1000.0,2023-05-14
o5ef9****447f0,B任务编号：1040898,任务编号：1040898,APP推广,3315.0,2023-05-15
o58a1****643fc,B任务编号：1040644,任务编号：1040644,产品推广,3000.0,2023-05-12
荷鲁斯大数据,B任务编号：1040113,任务编号：1040113,公众号推广,600.0,2023-05-10
o5b0540fc1371a,B任务编号：1038248,任务编号：1038248,APP推广,500.0,2023-04-25
辛古网络科技,B任务编号：1038072,任务编号：1038072,小程序推广,501.0,2023-04-24
kennylovesnature,B任务编号：1037255,任务编号：1037255,产品推广,520.0,2023-04-17
o59f7e0c2b793d,B任务编号：1037191,任务编号：1037191,APP推广,500.0,2023-04-17
福建爱淘,B任务编号：1036735,任务编号：1036735,微信推广,500.0,2023-04-12
鑫信发,B任务编号：1036027,任务编号：1036027,微信推广,500.0,2023-04-07
晴天太阳好,B任务编号：1035228,任务编号：1035228,APP推广,25938.0,2023-03-31
qiang6144,B任务编号：1035224,任务编号：1035224,APP推广,25920.0,2023-03-31
ityama,B任务编号：1034954,任务编号：1034954,微信推广,500.0,2023-03-30
kennylovesnature,B任务编号：1034185,任务编号：1034185,公众号推广,500.0,2023-03-24
晴天太阳好,B任务编号：1031184,任务编号：1031184,APP推广,6381.0,2023-03-01
qiang6144,B任务编号：1031100,任务编号：1031100,APP推广,6372.0,2023-03-01
晴天太阳好,B任务编号：1030613,任务编号：1030613,APP推广,1008.0,2023-02-24
Mi_Miao2022,B任务编号：1030568,任务编号：1030568,问卷调查,20500.0,2023-02-24
威旺miZ59,B任务编号：1030041,任务编号：1030041,微信推广,500.0,2023-02-20
zsp1992zsp120,B任务编号：1029688,任务编号：1029688,APP推广,500.0,2023-02-17
晴天太阳好,B任务编号：1029463,任务编号：1029463,APP推广,4383.0,2023-02-15
qiang6144,B任务编号：1029424,任务编号：1029424,APP推广,3564.0,2023-02-15
o5ef9****447f0,B任务编号：1028397,任务编号：1028397,APP推广,4385.0,2023-02-06
晴天太阳好,B任务编号：1028267,任务编号：1028267,APP推广,2862.0,2023-02-03
qiang6144,B任务编号：1028260,任务编号：1028260,APP推广,2844.0,2023-02-03
晴天太阳好,B任务编号：1027963,任务编号：1027963,APP推广,3105.0,2023-02-01
qiang6144,B任务编号：1027757,任务编号：1027757,APP推广,3096.0,2023-01-30
晴天太阳好,B任务编号：1027097,任务编号：1027097,APP推广,2169.0,2023-01-13
qiang6144,B任务编号：1026955,任务编号：1026955,APP推广,2160.0,2023-01-11
晴天太阳好,B任务编号：1026182,任务编号：1026182,APP推广,1701.0,2022-12-30
qiang6144,B任务编号：1026162,任务编号：1026162,APP推广,1692.0,2022-12-30
威火力EcQ7x,B任务编号：1025969,任务编号：1025969,APP推广,500.0,2022-12-27
鲜花满城,B任务编号：1025892,任务编号：1025892,小程序推广,800.0,2022-12-26
qiang6144,B任务编号：1025539,任务编号：1025539,APP推广,1494.0,2022-12-21
