需求方,设计师,任务编号,能力标签,交易价格,发布时间
o5cfc93b377104,腾际品牌管理,任务编号：1061913,营销解决方案,1300.0,2023-10-27
威友wOKw1,利宏营销策划,任务编号：1056583,小程序推广,500.0,2023-09-06
微服RrLaP,北京德达互动,任务编号：1028190,整合营销,999.0,2023-02-03
微服RrLaP,北京德达互动,任务编号：1028191,整合营销,999.0,2023-02-03
k3822****55,腾际品牌管理,任务编号：984225,公众号推广,450.0,2022-02-28
vitorru,利宏营销策划,任务编号：960482,活动策划,4000.0,2021-10-14
k7477****5,k758959886,任务编号：959666,口碑营销,15000.0,2021-09-20
k2261****8,k313280465,任务编号：959554,口碑营销,20000.0,2021-09-18
k7716****2,k830492370,任务编号：959229,口碑营销,10000.0,2021-09-16
k8640****3,江湖墨年,任务编号：959199,口碑营销,30000.0,2021-09-15
k9325****3,k554629348,任务编号：958929,口碑营销,5000.0,2021-09-15
k9080****3,k346099767,任务编号：959051,口碑营销,15000.0,2021-09-15
k9381****3,k596764147,任务编号：958942,口碑营销,6000.0,2021-09-15
k5456****4,兮风夜影,任务编号：958789,口碑营销,20000.0,2021-09-14
k5462****9,k247263443,任务编号：958622,口碑营销,10000.0,2021-09-12
k1750****3,k453721373,任务编号：958636,口碑营销,20000.0,2021-09-12
k1906****3,k693777954,任务编号：958509,口碑营销,20000.0,2021-09-11
k2529****1,k365967315,任务编号：958455,口碑营销,20000.0,2021-09-10
k1330****1,k906964340,任务编号：958785,网站优化方案,5000.0,2021-09-10
同君行GHITR,阿瑞营销推广工作室,任务编号：953924,整合营销,500.0,2021-09-07
k5117****9,k839851248,任务编号：959231,关键词优化,9000.0,2021-09-03
k8953****7,風雨英雄,任务编号：958617,网站优化方案,9000.0,2021-09-01
k4402****0,凉辰梦瑾,任务编号：958506,关键词优化,10000.0,2021-09-01
k1921****3,k139663151,任务编号：958270,关键词优化,8000.0,2021-08-15
k7716****2,k739325196,任务编号：958324,网站优化方案,3000.0,2021-08-15
o60d6df086fdf4,铭雨芊品牌设计,任务编号：949960,整合营销,2000.0,2021-08-14
k9971****4,k336452383,任务编号：958269,网站优化方案,5000.0,2021-08-14
k2268****6,k438328238,任务编号：958406,口碑营销,15000.0,2021-08-08
k1361****1,k343845623,任务编号：958453,网站优化方案,6000.0,2021-08-06
k9192****6,浅末工作室,任务编号：958349,关键词优化,8000.0,2021-08-03
k1842****7,无敌帅锅,任务编号：958347,口碑营销,20000.0,2021-08-02
o60584f54c71b6,卷耳文化设计,任务编号：945254,微信代运营,300.0,2021-07-19
k6768****37,阿瑞营销推广工作室,任务编号：938892,活动策划,750.0,2021-06-08
k6768****37,阿瑞营销推广工作室,任务编号：936457,活动策划,2000.0,2021-05-25
大众推广ABCD,阿瑞营销推广工作室,任务编号：930591,产品推广,300.0,2021-04-20
