需求方,设计师,任务编号,能力标签,交易价格,发布时间
柏建宏,威益客ZOV61,任务编号：1112201,动画制作,1560.0,2025-03-04
威创未来q3mTK,阙歌影视制作服务商,任务编号：1083997,图片处理,200.0,2024-06-22
臻品记JcIz1,镇添文化传媒,任务编号：1071072,影视拍摄,166.0,2024-01-31
o60d88f2fc7238,o565e8b682a17b,任务编号：950298,FLASH制作,1200.0,2021-08-17
tai92bao,金海岸Design,任务编号：920057,创意短视频,488.0,2021-02-20
o5413e0c7a9b12,BEACON STUDIO,任务编号：906437,图片处理,300.0,2020-11-24
奇尚珠宝,W13822925157,任务编号：862110,短视频营销,100.0,2020-05-18
o5dd1****533fa,北京悠闲传媒,任务编号：856706,短视频代运营,150.0,2020-04-27
cyd118,soledad,任务编号：756278,影视拍摄,1200.0,2019-06-05
chinarenht,何必忧愁,任务编号：723462,短视频代运营,200.0,2019-03-19
mf138****5185,青耕软件,任务编号：715594,配音配乐,500.0,2019-02-28
o5383****7ff75,睿力互娱网络有限公司,任务编号：628518,图片处理,300.0,2018-06-21
o5960c64dec921,一辰创客,任务编号：625772,剧本创作,300.0,2018-06-13
o58a41ba81ed92,鸡爪和猪蹄,任务编号：570389,短视频营销,250.0,2018-01-05
mf139****3353,云出设计,任务编号：548763,图片处理,400.0,2017-10-30
brzytong,VCT视觉工作室,任务编号：525508,创意短视频,500.0,2017-08-13
o57cd91fecea94,逸品装饰,任务编号：521352,三维动画,300.0,2017-07-29
太郎文化传媒,魅力四设,任务编号：509822,图片处理,300.0,2017-06-15
o5921a1723c742,兰屿设计,任务编号：503550,三维动画,400.0,2017-05-21
mf135****1181,猎博科技,任务编号：478826,图片处理,100.0,2017-02-27
mf132****6588,狼琊设计,任务编号：466117,图片处理,100.0,2016-12-21
o5809****dbefc,四维艺术工作室,任务编号：452460,剧本创作,100.0,2016-10-21
mf137****9008,花野君的画铺15800372188,任务编号：444450,三维动画,3000.0,2016-09-06
epwkdxm,YIMEID,任务编号：437002,广告片/MV,20000.0,2016-07-28
Mr186****7294,o55ebd426cd9fd,任务编号：432722,图片处理,150.0,2016-07-08
lycicy,名艺堂创意设计,任务编号：425772,图片处理,500.0,2016-06-04
china2015,如波工作室,任务编号：413053,图片处理,600.0,2016-03-30
o55c489b552b71,凡美广告有限公司,任务编号：396001,图片处理,600.0,2015-12-09
o55c489b552b71,三田彩帛设计工作室,任务编号：392160,图片处理,600.0,2015-11-19
mf136****4007,LILY工作室,任务编号：390219,图片处理,300.0,2015-11-09
anjoe,崔酉,任务编号：388904,配音配乐,100.0,2015-11-01
mf155****4666,任真设计工作室,任务编号：387491,创意短视频,1400.0,2015-10-26
mf134****2351,晨彩工作室,任务编号：384532,图片处理,300.0,2015-10-13
mf54144ea45762d,凡美广告有限公司,任务编号：380371,图片处理,100.0,2015-09-18
mf187****8717,seeking sky,任务编号：375223,配音配乐,100.0,2015-08-25
o552e3d91bcdf0,林中小屋,任务编号：346293,图片处理,170.0,2015-04-15
mf136****9199,老照片修复,任务编号：344762,图片处理,300.0,2015-04-09
mf135****0858,老照片修复,任务编号：329369,图片处理,100.0,2015-01-22
没事儿9191,MAX極製设计,任务编号：325858,图片处理,666.0,2015-01-05
境界创作,上海铭初文化传播有限公司,任务编号：309454,配音配乐,100.0,2014-10-09
oXToto,云想创意,任务编号：307528,图片处理,300.0,2014-09-24
julianyoung,崇偲Vastyleism,任务编号：298515,图片处理,300.0,2014-08-04
o531a71b46d43a,环岛影视制作,任务编号：256215,FLASH制作,300.0,2014-04-14
