需求方,设计师,任务编号,能力标签,交易价格,发布时间
聚佳尚美CQLgZ,大圣传媒文化工作室,任务编号：1113777,产品视频,50.0,2025-03-10
ypwk8****698,上海光梭行工作室,任务编号：1113124,产品视频,3600.0,2025-03-07
ypwk8****698,上海光梭行工作室,任务编号：1113123,产品视频,7200.0,2025-03-07
ypwk8****698,上海光梭行工作室,任务编号：1113120,产品视频,7200.0,2025-03-07
o5f6d607cb1281,上海光梭行工作室,任务编号：1110445,剪辑服务,450.0,2025-02-24
徐乂乂,杭州镜中境数字科技有限公司,任务编号：1109437,剪辑服务,11400.0,2025-02-19
o5f6d607cb1281,上海光梭行工作室,任务编号：1108950,剪辑服务,750.0,2025-02-17
vitorru,素造创意,任务编号：1101449,影视拍摄,16900.0,2024-12-27
水上景色,视界剪辑室,任务编号：1100234,剪辑服务,100.0,2024-12-19
专客crKqp,慧域工作室,任务编号：1099618,剪辑服务,100.0,2024-12-15
o5dc0e3c3581bf,秦皇岛一点动漫,任务编号：1098795,视频定制,7500.0,2024-12-09
k2131****59,匠心光影新媒体（深圳）有限公司,任务编号：1098627,影视拍摄,4760.0,2024-12-06
o5f6d607cb1281,安生工作室,任务编号：1097898,剪辑服务,700.0,2024-11-28
威辅BvuVg,亿帆文创,任务编号：1097815,剪辑服务,480.0,2024-11-28
o5c7c7db28f20e,识亿品牌顾问,任务编号：1097241,视频定制,200.0,2024-11-20
vitorru,澜图工作室,任务编号：1095245,剪辑服务,999.0,2024-10-29
水上景色,安生工作室,任务编号：1094240,剪辑服务,210.0,2024-10-17
E企航2pp7Q,澜图工作室,任务编号：1093786,剪辑服务,100.0,2024-10-12
vitorru,阙歌影视制作服务商,任务编号：1093345,产品视频,600.0,2024-10-08
vitorru,阙歌影视制作服务商,任务编号：1093346,产品视频,2400.0,2024-10-08
k7936****12,天津领跃传媒&琦锐广告设计,任务编号：1092767,二维动画,2000.0,2024-09-26
高地密码GuB80,卓益工作室,任务编号：1091678,MV/混剪,240.0,2024-09-12
威勒尼kRmxw,柳州奕影传媒科技有限公司,任务编号：1091544,剪辑服务,100.0,2024-09-11
vitorru,杭州霓影华视影视文化有限公司,任务编号：1091522,产品视频,3500.0,2024-09-10
