需求方,设计师,任务编号,能力标签,交易价格,发布时间
威品XfU3q,雨夜设计工作室,任务编号：1116425,LOGO设计,500.0,2025-03-24
威惠创dhAOe,海旭设计,任务编号：1116408,LOGO设计,500.0,2025-03-24
鲸创客OrTns,朱胤龙设计空间站,任务编号：1116165,海报设计,300.0,2025-03-21
星威联盟JOWjx,tomzhouwei,任务编号：1116143,包装设计,1200.0,2025-03-21
合业手7KCx8,骄世客hSBBL,任务编号：1116111,包装设计,1000.0,2025-03-20
k5223****02,常展创意设计,任务编号：1116032,包装设计,1088.0,2025-03-20
o58d5fe54a449a,东田品牌设计,任务编号：1115980,LOGO设计,500.0,2025-03-19
o5cb6****34b87,诸侯视觉,任务编号：1115919,LOGO设计,500.0,2025-03-19
V领yzMwd,远翰设计,任务编号：1115787,包装设计,1500.0,2025-03-18
爱威特品LAuT6,昊航设计,任务编号：1115683,包装设计,3000.0,2025-03-18
o5a33062beba74,乔木个人工作室,任务编号：1115656,LOGO设计,888.0,2025-03-18
chancing,一叶知秋CC设计,任务编号：1114794,LOGO设计,1000.0,2025-03-14
威链tNDka,雨夜设计工作室,任务编号：1115520,LOGO设计,600.0,2025-03-17
preipo2017,隐士设计,任务编号：1115212,LOGO设计,600.0,2025-03-16
创心K2cqw,沐风设计,任务编号：1115085,LOGO设计,600.0,2025-03-15
V企动力khPLu,雨夜设计工作室,任务编号：1114726,LOGO设计,500.0,2025-03-14
jackyoung,诸侯视觉,任务编号：1114432,LOGO设计,666.0,2025-03-12
E企航DRjwr,双士广告,任务编号：1114328,宣传册设计,1300.0,2025-03-12
多财多亿,深圳非凡设计工作室,任务编号：1113820,LOGO设计,500.0,2025-03-10
优品汇BLoUD,隐士设计,任务编号：1113147,LOGO设计,500.0,2025-03-07
V领7TaeO,三鱼创意,任务编号：1112261,会员卡设计,400.0,2025-03-04
优源汇客rdJB6,侠道视觉,任务编号：1111993,LOGO设计,500.0,2025-03-03
威你所思zeCGI,Fu设计,任务编号：1111919,LOGO设计,800.0,2025-03-03
威品堂HgtDq,风驰广告影视,任务编号：1111549,产品外观设计,1200.0,2025-03-01
运筹威幄wL6dH,深圳非凡设计工作室,任务编号：1111547,LOGO设计,1500.0,2025-03-01
合业手7KCx8,文创设计工作室,任务编号：1111427,包装设计,1000.0,2025-02-28
创时空4zmjS,V领YyswJ,任务编号：1111388,产品外观设计,300.0,2025-02-28
汉悦净化,隐士设计,任务编号：1111386,LOGO设计,1000.0,2025-02-28
o5a33062beba74,乔木个人工作室,任务编号：1111379,LOGO设计,1000.0,2025-02-28
优品汇BLoUD,谨明设计,任务编号：1111183,LOGO设计,600.0,2025-02-27
Lareinaz,隐形人设计工作室,任务编号：1111097,LOGO设计,750.0,2025-02-27
shanyi,风驰广告影视,任务编号：1110844,产品外观设计,2000.0,2025-02-26
o59b2b40b24004,W-Ge,任务编号：1110490,包装设计,800.0,2025-02-24
威品62UlG,速 豹 品 牌 设 计,任务编号：1110264,LOGO设计,500.0,2025-02-23
生活的理想,东方创意,任务编号：1109491,LOGO设计,500.0,2025-02-19
bbdbbdb,佳动设计工作室,任务编号：1109465,海报设计,300.0,2025-02-19
生活的理想,墨思设计Moth,任务编号：1109442,LOGO设计,500.0,2025-02-19
mf139****9416,牧行者工作室,任务编号：1109201,LOGO设计,1800.0,2025-02-18
威品金创liChn,金生设计室,任务编号：1108622,LOGO设计,500.0,2025-02-15
JX先生,o5d0363f701c78,任务编号：1108561,LOGO设计,1100.0,2025-02-15
洗月,雨夜设计工作室,任务编号：1108513,LOGO设计,500.0,2025-02-14
多财多亿,诸侯视觉,任务编号：1108357,LOGO设计,500.0,2025-02-14
妙莲茶叙,侠道视觉,任务编号：1108105,LOGO设计,666.0,2025-02-12
o62a18a8bee796,东方创意,任务编号：1108041,LOGO设计,800.0,2025-02-12
青稞子,wsjyhns2008的商铺,任务编号：1107914,LOGO设计,800.0,2025-02-11
Gaodev,佳动设计工作室,任务编号：1107388,包装设计,1000.0,2025-02-08
合业手7KCx8,昊航设计,任务编号：1107165,包装设计,1000.0,2025-02-07
rongshengjiaoyu,佳动设计工作室,任务编号：1107127,LOGO设计,800.0,2025-02-07
尚品X6bYc,沈阳中瑞恒信,任务编号：1106808,海报设计,300.0,2025-02-05
佳诚7EMUq,牧行者工作室,任务编号：1106311,LOGO设计,500.0,2025-01-31
k1833****78,MAX空间设计,任务编号：1105278,包装设计,2160.0,2025-01-21
数模科技,深圳非凡设计工作室,任务编号：1104841,LOGO设计,500.0,2025-01-17
o58d5fe54a449a,有乾设计工作室,任务编号：1104781,LOGO设计,500.0,2025-01-17
mf133****5008,隐士设计,任务编号：1104732,LOGO设计,500.0,2025-01-17
威尊享XmhHN,KIN RABBIT,任务编号：1104253,LOGO设计,500.0,2025-01-14
o5aebb5c47e1ce,一念阁 | 设计,任务编号：1104214,LOGO设计,500.0,2025-01-14
gaominzhileng,素凡创新设计,任务编号：1103933,LOGO设计,500.0,2025-01-12
哈喽小狄,布鲁恩设计,任务编号：1103832,LOGO设计,500.0,2025-01-11
陈同学是我,tomzhouwei,任务编号：1103791,LOGO设计,500.0,2025-01-11
一品企鹅WcUid,唯美意境,任务编号：1103445,LOGO设计,500.0,2025-01-09
kang0811,一品流图,任务编号：1103348,LOGO设计,500.0,2025-01-08
mf180****5945,tomzhouwei,任务编号：1103341,LOGO设计,500.0,2025-01-08
陈同学是我,佳动设计工作室,任务编号：1103336,字体设计,300.0,2025-01-08
o59b2b40b24004,布鲁恩设计,任务编号：1103301,LOGO设计,500.0,2025-01-08
yumiko0414,诸侯视觉,任务编号：1103275,LOGO设计,500.0,2025-01-08
星星点灯啊,黄hoder,任务编号：1102950,LOGO设计,500.0,2025-01-06
李颖博,渲染精彩,任务编号：1102944,LOGO设计,500.0,2025-01-06
威火力HcJR0,星岬设计工作室,任务编号：1102908,LOGO设计,1000.0,2025-01-06
方枪枪1986,MIO视觉艺术,任务编号：1102499,LOGO设计,500.0,2025-01-03
飞莱c7hjJ,MAX空间设计,任务编号：1102277,海报设计,300.0,2025-01-02
o598848b6bf977,一念阁 | 设计,任务编号：1101926,LOGO设计,1800.0,2024-12-30
GEMMASTER,深圳非凡设计工作室,任务编号：1101696,LOGO设计,500.0,2024-12-29
开设堂siFPo,寻道  设计,任务编号：1101517,LOGO设计,700.0,2024-12-27
snjebb,隐形人设计工作室,任务编号：1101168,LOGO设计,936.0,2024-12-25
epqihua,叁点设计,任务编号：1100790,LOGO设计,1500.0,2024-12-23
致利昂SMvRj,诺普品牌 NUOPLE,任务编号：1100503,包装设计,1200.0,2024-12-21
owenepwk,xqq017,任务编号：1100341,标签设计,300.0,2024-12-20
fymjason,xqq017,任务编号：1100322,LOGO设计,500.0,2024-12-20
shanyi,绯影设计工作室,任务编号：1100163,LOGO设计,600.0,2024-12-19
o5dce88edddda2,隐形人设计工作室,任务编号：1099929,LOGO设计,1000.0,2024-12-17
k4222****11,沐风设计,任务编号：1099743,LOGO设计,500.0,2024-12-16
威火力HcJR0,金生设计室,任务编号：1099364,LOGO设计,1000.0,2024-12-13
zxy29****8,金生设计室,任务编号：1099137,LOGO设计,800.0,2024-12-12
zhaocai耶,东方创意,任务编号：1098788,LOGO设计,580.0,2024-12-09
北之辰,毛立 视觉,任务编号：1098646,LOGO设计,500.0,2024-12-07
集创MbI00,宇航前行,任务编号：1098642,LOGO设计,600.0,2024-12-07
中体磐石,隐士设计,任务编号：1098597,LOGO设计,500.0,2024-12-06
