需求方,设计师,任务编号,能力标签,交易价格,发布时间
No312,盗火设计,任务编号：1121525,封面设计,2600.0,2025-05-07
No312,平面设计阿军,任务编号：1121525,封面设计,2600.0,2025-05-07
mf138****8721,深圳非凡设计工作室,任务编号：1120272,LOGO设计,600.0,2025-04-25
mf138****8721,深圳非凡品牌策划,任务编号：1120272,LOGO设计,600.0,2025-04-25
ZSJOSHSON,樂山樂水888999,任务编号：1119215,LOGO设计,1800.0,2025-04-17
ZSJOSHSON,鸿儒大师的商铺,任务编号：1119215,LOGO设计,1800.0,2025-04-17
o5b2b0ee311303,三鱼创意,任务编号：1117907,吉祥物设计,4000.0,2025-04-08
o5b2b0ee311303,墨思设计Moth,任务编号：1117907,吉祥物设计,4000.0,2025-04-08
No312,平面设计阿军,任务编号：1116279,封面设计,2000.0,2025-03-23
No312,佳动设计工作室,任务编号：1116279,封面设计,2000.0,2025-03-23
a5318****,tomzhouwei,任务编号：1116059,LOGO设计,500.0,2025-03-20
a5318****,海旭设计,任务编号：1116059,LOGO设计,500.0,2025-03-20
领尊YSQsZ,素凡创新设计,任务编号：1104402,包装设计,1200.0,2025-01-15
领尊YSQsZ,不至于此瓦龙,任务编号：1104402,包装设计,1200.0,2025-01-15
o5def07f03361e,速 豹 品 牌 设 计,任务编号：1099840,LOGO设计,500.0,2024-12-17
o5def07f03361e,凤动传媒,任务编号：1099840,LOGO设计,500.0,2024-12-17
No312,MOJA-墨匠品牌创设,任务编号：1094189,LOGO设计,1600.0,2024-10-16
No312,MIO视觉艺术,任务编号：1094189,LOGO设计,1600.0,2024-10-16
金潞商3niV2,宇易品牌策划,任务编号：1093536,LOGO设计,500.0,2024-10-10
金潞商3niV2,隐形人设计工作室,任务编号：1093536,LOGO设计,500.0,2024-10-10
No312,麦鹏文化,任务编号：1093202,LOGO设计,1500.0,2024-10-03
No312,ONLY IDEA 设计工作室,任务编号：1093202,LOGO设计,1500.0,2024-10-03
njytj,海旭设计,任务编号：1092982,LOGO设计,1200.0,2024-09-28
njytj,一念阁 | 设计,任务编号：1092982,LOGO设计,1200.0,2024-09-28
mf138****8721,金生设计室,任务编号：1091345,LOGO设计,500.0,2024-09-08
mf138****8721,雨夜设计工作室,任务编号：1091345,LOGO设计,500.0,2024-09-08
置信区间,简。心商铺,任务编号：1089831,LOGO设计,1500.0,2024-08-20
置信区间,凡人设计工作室,任务编号：1089831,LOGO设计,1500.0,2024-08-20
小企鹅w7AxA,望川设计,任务编号：1089472,LOGO设计,5000.0,2024-08-15
小企鹅w7AxA,新创视觉,任务编号：1089472,LOGO设计,5000.0,2024-08-15
o5a65c2df9a62d,金生设计室,任务编号：1089171,LOGO设计,500.0,2024-08-12
o5a65c2df9a62d,相同设计,任务编号：1089171,LOGO设计,500.0,2024-08-12
爱网如斯,素凡创新设计,任务编号：1087624,海报设计,2200.0,2024-07-26
爱网如斯,广杨工作室,任务编号：1087624,海报设计,2200.0,2024-07-26
shirley女郎,MIO视觉艺术,任务编号：1084976,服装设计,1152.0,2024-07-02
shirley女郎,言叶LBA平面设计工作室,任务编号：1084976,服装设计,1152.0,2024-07-02
mf158****9642,迪斯尼创意,任务编号：1083952,LOGO设计,2700.0,2024-06-21
mf158****9642,速 豹 品 牌 设 计,任务编号：1083952,LOGO设计,2700.0,2024-06-21
青之萃zd2KF,海雅品牌设计,任务编号：1082258,LOGO设计,500.0,2024-06-03
青之萃zd2KF,速 豹 品 牌 设 计,任务编号：1082258,LOGO设计,500.0,2024-06-03
mmmmmico,牧行者工作室,任务编号：1080936,LOGO设计,3000.0,2024-05-21
mmmmmico,海旭设计,任务编号：1080936,LOGO设计,3000.0,2024-05-21
同路股份,雨夜设计工作室,任务编号：1079270,LOGO设计,2999.0,2024-05-06
同路股份,素凡创新设计,任务编号：1079270,LOGO设计,2999.0,2024-05-06
hongruida,隐形人设计工作室,任务编号：1078983,LOGO设计,500.0,2024-04-30
hongruida,画语塘品牌设计,任务编号：1078983,LOGO设计,500.0,2024-04-30
世外家园,素凡创新设计,任务编号：1078768,LOGO设计,1200.0,2024-04-29
世外家园,诸侯视觉,任务编号：1078768,LOGO设计,1200.0,2024-04-29
HG厚,隐形人设计工作室,任务编号：1078345,LOGO设计,800.0,2024-04-25
HG厚,速 豹 品 牌 设 计,任务编号：1078345,LOGO设计,800.0,2024-04-25
唯创eMDTJ,素凡创新设计,任务编号：1077304,LOGO设计,700.0,2024-04-16
唯创eMDTJ,雨夜设计工作室,任务编号：1077304,LOGO设计,700.0,2024-04-16
jmgzjb,广杨工作室,任务编号：1076512,包装设计,2800.0,2024-04-08
jmgzjb,晏楚设计,任务编号：1076512,包装设计,2800.0,2024-04-08
愈之Bruce,KIN RABBIT,任务编号：1074278,VI设计,1200.0,2024-03-16
愈之Bruce,牧行者工作室,任务编号：1074278,VI设计,1200.0,2024-03-16
o58e4b1cd0b37c,恒犇设计,任务编号：1073953,LOGO设计,1000.0,2024-03-13
o58e4b1cd0b37c,金生设计室,任务编号：1073953,LOGO设计,1000.0,2024-03-13
o5cd39682d8dbf,金生设计室,任务编号：1073437,LOGO设计,999.0,2024-03-09
o5cd39682d8dbf,第9号设计工作室,任务编号：1073437,LOGO设计,999.0,2024-03-09
HG厚,凡人设计工作室,任务编号：1072798,LOGO设计,500.0,2024-03-04
HG厚,第9号设计工作室,任务编号：1072798,LOGO设计,500.0,2024-03-04
HG厚,o5cd2deb247139,任务编号：1072793,包装设计,2200.0,2024-03-04
HG厚,pandsya,任务编号：1072793,包装设计,2200.0,2024-03-04
chan21cn,隐形人设计工作室,任务编号：1072234,LOGO设计,800.0,2024-02-26
chan21cn,天栎文化传媒,任务编号：1072234,LOGO设计,800.0,2024-02-26
o5c18****2f9c6,木友情品牌设计,任务编号：1072151,LOGO设计,2000.0,2024-02-25
o5c18****2f9c6,小余的小店,任务编号：1072151,LOGO设计,2000.0,2024-02-25
o598848b6bf977,雨夜设计工作室,任务编号：1071867,LOGO设计,1000.0,2024-02-21
o598848b6bf977,一念阁 | 设计,任务编号：1071867,LOGO设计,1000.0,2024-02-21
o58e4b1cd0b37c,艺科设计师,任务编号：1071770,LOGO设计,1000.0,2024-02-20
o58e4b1cd0b37c,小角牛向前,任务编号：1071770,LOGO设计,1000.0,2024-02-20
敏邦嘉0STxx,charles_zhang,任务编号：1041375,标签设计,300.0,2023-05-17
敏邦嘉0STxx,荔枝图设,任务编号：1041375,标签设计,300.0,2023-05-17
epqihua,赞歌创意,任务编号：1040056,卡通形象设计,22000.0,2023-05-09
epqihua,温暖闲生工作室,任务编号：1040056,卡通形象设计,22000.0,2023-05-09
mf186****0888,零壹设计中心,任务编号：1039642,LOGO设计,700.0,2023-05-08
mf186****0888,宇易品牌策划,任务编号：1039642,LOGO设计,700.0,2023-05-08
feixu22,彩虹工作室,任务编号：1036724,主图设计,600.0,2023-04-12
feixu22,o5d8b5e11a5d69,任务编号：1036724,主图设计,600.0,2023-04-12
ganjue68,吾艺方舟品牌设计官方旗舰店,任务编号：1035939,LOGO设计,500.0,2023-04-06
