Source,Target,Transaction_Price,Publication_Time,Type
中华寿面,任务编号：258495,360.0,2014-04-25,发布
Mr137****9868,任务编号：323239,200.0,2014-12-20,发布
Mr137****9868,任务编号：323240,200.0,2014-12-20,发布
Mr137****9868,任务编号：323242,200.0,2014-12-20,发布
Mr137****9868,任务编号：323243,200.0,2014-12-20,发布
qiguzh,任务编号：322651,110.0,2014-12-17,发布
将军与士兵,任务编号：322551,400.0,2014-12-17,发布
lgd073,任务编号：315924,150.0,2014-11-12,发布
mf187****8282,任务编号：315352,300.0,2014-11-09,发布
aiming555,任务编号：325407,12510.0,2014-12-31,发布
M1351****683,任务编号：325353,800.0,2014-12-31,发布
su_shine,任务编号：324894,800.0,2014-12-29,发布
delibit,任务编号：324429,800.0,2014-12-26,发布
mf152****7200,任务编号：324085,30000.0,2014-12-24,发布
素材,任务编号：323939,5000.0,2014-12-23,发布
aiming555,任务编号：323736,2000.0,2014-12-23,发布
mf130****8649,任务编号：323416,3500.0,2014-12-22,发布
mf189****2008,任务编号：323308,1000.0,2014-12-21,发布
zhougs168,任务编号：323097,3800.0,2014-12-19,发布
smile11,任务编号：322557,5000.0,2014-12-17,发布
Mr139****6518,任务编号：321983,1500.0,2014-12-15,发布
o5416a0fc3d806,任务编号：321708,1000.0,2014-12-12,发布
Mr189****0217,任务编号：321325,9000.0,2014-12-10,发布
娱乐乐翻天,任务编号：320900,1500.0,2014-12-08,发布
GG180****0426,任务编号：320574,150.0,2014-12-06,发布
enbo,任务编号：320085,1500.0,2014-12-03,发布
wantai,任务编号：319994,8000.0,2014-12-03,发布
luobububu,任务编号：319604,4000.0,2014-12-01,发布
revofong,任务编号：319584,5000.0,2014-12-01,发布
acan2008,任务编号：319379,1000.0,2014-11-30,发布
大甲,任务编号：319167,8000.0,2014-11-28,发布
Ulucu,任务编号：318487,2000.0,2014-11-25,发布
lzhll999,任务编号：318245,18880.0,2014-11-24,发布
helloworld123,任务编号：317871,500.0,2014-11-21,发布
mf189****9110,任务编号：317222,3000.0,2014-11-19,发布
一步步,任务编号：316716,5000.0,2014-11-17,发布
创新网络,任务编号：316816,150.0,2014-11-17,发布
青年牛,任务编号：316391,1600.0,2014-11-14,发布
uuCollins,任务编号：316388,5000.0,2014-11-14,发布
o5461****34831,任务编号：315738,1000.0,2014-11-11,发布
眼镜猴2013,任务编号：315555,32000.0,2014-11-10,发布
西安汇华教育,任务编号：315451,500.0,2014-11-10,发布
霸气外露,任务编号：315446,5000.0,2014-11-10,发布
流浪在合肥,任务编号：314672,15000.0,2014-11-05,发布
寻网页设计,任务编号：314421,1200.0,2014-11-04,发布
a1599****554,任务编号：313977,2500.0,2014-11-02,发布
Mr189****0217,任务编号：313935,5000.0,2014-11-02,发布
viviana2014,任务编号：313316,870.0,2014-10-29,发布
backy,任务编号：313248,1500.0,2014-10-29,发布
frogeyes,任务编号：312634,900.0,2014-10-26,发布
天羧科技,任务编号：311581,4200.0,2014-10-20,发布
phpapp,任务编号：311147,500.0,2014-10-17,发布
hainan_4796,任务编号：311156,10000.0,2014-10-17,发布
mf138****5514,任务编号：310112,500.0,2014-10-12,发布
awell,任务编号：310082,700.0,2014-10-12,发布
mf183****8797,任务编号：309388,1300.0,2014-10-08,发布
andyli783,任务编号：308061,900.0,2014-09-26,发布
open28,任务编号：308014,1000.0,2014-09-26,发布
gmjimmy,任务编号：307902,3000.0,2014-09-25,发布
武汉鑫思杰设计,任务编号：307487,1500.0,2014-09-23,发布
拉风车友,任务编号：306409,3200.0,2014-09-17,发布
baronli,任务编号：306407,5000.0,2014-09-17,发布
水印唐琪,任务编号：305200,800.0,2014-09-11,发布
寻求长期合作伙伴,任务编号：305133,2100.0,2014-09-11,发布
mf5407cf21b1610,任务编号：305055,6000.0,2014-09-10,发布
mf540c1f7b9d817,任务编号：304741,12000.0,2014-09-07,发布
o54096dbc7b36f,任务编号：304476,7000.0,2014-09-05,发布
love34,任务编号：302974,3500.0,2014-08-28,发布
tao62****334,任务编号：302465,2000.0,2014-08-25,发布
yalongren,任务编号：302412,6000.0,2014-08-25,发布
yuanfan,任务编号：301672,20000.0,2014-08-20,发布
xu_cq,任务编号：301319,1500.0,2014-08-19,发布
机智的小霸王,任务编号：301291,800.0,2014-08-19,发布
我是文盲小白痴,任务编号：301194,1000.0,2014-08-18,发布
wl798****64,任务编号：300652,950.0,2014-08-14,发布
e价查询,任务编号：300369,500.0,2014-08-13,发布
w2812****4,任务编号：300164,2000.0,2014-08-12,发布
qq646****00,任务编号：300001,1000.0,2014-08-11,发布
chb1986,任务编号：299959,9800.0,2014-08-11,发布
圆通慧达,任务编号：299965,20000.0,2014-08-11,发布
崔宏毅,任务编号：299296,1800.0,2014-08-07,发布
dj186****9970,任务编号：298755,12000.0,2014-08-05,发布
aaamike,任务编号：297841,1000.0,2014-07-31,发布
创龙轩设计,任务编号：297517,1000.0,2014-07-29,发布
首页营销,任务编号：297351,4500.0,2014-07-29,发布
飞鸟怡夏,任务编号：297196,1000.0,2014-07-28,发布
wabgwei1217,任务编号：297010,2680.0,2014-07-26,发布
weiniu168,任务编号：296206,1000.0,2014-07-22,发布
手机批发,任务编号：295787,1000.0,2014-07-19,发布
jhmax720,任务编号：294672,600.0,2014-07-13,发布
ieft,任务编号：294346,2300.0,2014-07-10,发布
lancam,任务编号：294302,200.0,2014-07-10,发布
o53b53ec5c16e4,任务编号：293232,2000.0,2014-07-03,发布
gmjimmy,任务编号：293058,6000.0,2014-07-02,发布
o53b3ded738c21,任务编号：293031,3500.0,2014-07-02,发布
刘大侠,任务编号：293041,1000.0,2014-07-02,发布
o538329fa49e67,任务编号：292757,150.0,2014-07-01,发布
dingyayun,任务编号：292664,10000.0,2014-07-01,发布
mojian0820,任务编号：292618,300.0,2014-06-30,发布
Entstudy,任务编号：291917,6000.0,2014-06-25,发布
jiawan,任务编号：291890,800.0,2014-06-25,发布
ep4289,任务编号：291273,5000.0,2014-06-21,发布
yushentongxing,任务编号：290670,3500.0,2014-06-17,发布
追梦的小猫,任务编号：290211,1000.0,2014-06-14,发布
solarislx,任务编号：289989,1000.0,2014-06-12,发布
solarislx,任务编号：289858,999.0,2014-06-11,发布
废轮胎网,任务编号：289670,1000.0,2014-06-10,发布
