ID,Transaction_Price,Publication_Time
任务编号：896782,300.0,2020-10-07
任务编号：896727,200.0,2020-10-07
任务编号：912202,100.0,2020-12-27
任务编号：890092,158.0,2020-09-04
任务编号：879559,100.0,2020-07-21
任务编号：870227,150.0,2020-06-13
任务编号：846156,100.0,2020-03-21
任务编号：889854,1000.0,2020-09-03
任务编号：885493,500.0,2020-08-15
任务编号：860264,500.0,2020-05-11
任务编号：850712,1000.0,2020-04-07
任务编号：849154,400.0,2020-04-01
任务编号：912970,8000.0,2020-12-31
任务编号：912460,850.0,2020-12-29
任务编号：912316,400.0,2020-12-28
任务编号：912288,8000.0,2020-12-28
任务编号：911926,1800.0,2020-12-25
任务编号：911910,1000.0,2020-12-25
任务编号：911813,9000.0,2020-12-24
任务编号：911517,10000.0,2020-12-23
任务编号：910663,2000.0,2020-12-22
任务编号：911321,1200.0,2020-12-22
任务编号：911143,5000.0,2020-12-21
任务编号：910500,18000.0,2020-12-17
任务编号：910453,600.0,2020-12-16
任务编号：910219,1200.0,2020-12-15
任务编号：910117,4000.0,2020-12-15
任务编号：910088,3000.0,2020-12-15
任务编号：910075,9500.0,2020-12-15
任务编号：909656,500.0,2020-12-12
任务编号：909505,16000.0,2020-12-11
任务编号：909444,14000.0,2020-12-10
任务编号：909439,20000.0,2020-12-10
任务编号：909348,2500.0,2020-12-10
任务编号：908721,2500.0,2020-12-07
任务编号：908601,5000.0,2020-12-07
任务编号：908600,3600.0,2020-12-07
任务编号：908579,300.0,2020-12-07
任务编号：908500,9500.0,2020-12-07
任务编号：908442,4000.0,2020-12-06
任务编号：908438,3000.0,2020-12-06
任务编号：908431,10000.0,2020-12-06
任务编号：908152,800.0,2020-12-04
任务编号：908093,7000.0,2020-12-03
任务编号：908036,1000.0,2020-12-03
任务编号：907817,1000.0,2020-12-02
任务编号：907645,5000.0,2020-12-01
任务编号：907049,3500.0,2020-11-28
任务编号：906925,1000.0,2020-11-27
任务编号：906828,400.0,2020-11-26
任务编号：906761,9000.0,2020-11-26
任务编号：906701,3500.0,2020-11-26
任务编号：906438,16850.0,2020-11-24
任务编号：906092,3000.0,2020-11-23
任务编号：905832,3500.0,2020-11-20
任务编号：905559,1500.0,2020-11-19
任务编号：905511,1000.0,2020-11-19
任务编号：905253,3000.0,2020-11-18
任务编号：905232,6000.0,2020-11-18
任务编号：905067,1000.0,2020-11-17
任务编号：904881,500.0,2020-11-16
任务编号：904735,2000.0,2020-11-16
任务编号：904341,1000.0,2020-11-13
任务编号：904071,600.0,2020-11-12
任务编号：903945,100.0,2020-11-11
任务编号：903589,450.0,2020-11-09
任务编号：903361,3500.0,2020-11-08
任务编号：903339,4300.0,2020-11-08
任务编号：903063,20000.0,2020-11-06
任务编号：902975,100.0,2020-11-06
任务编号：902556,1500.0,2020-11-04
任务编号：902445,1000.0,2020-11-03
任务编号：902081,530.0,2020-11-02
任务编号：901958,15000.0,2020-11-01
任务编号：901950,700.0,2020-11-01
任务编号：901884,2300.0,2020-10-31
任务编号：901525,5000.0,2020-10-29
任务编号：900751,800.0,2020-10-26
任务编号：900560,3500.0,2020-10-25
任务编号：900555,800.0,2020-10-25
任务编号：900061,2500.0,2020-10-22
任务编号：900041,10000.0,2020-10-22
任务编号：899677,5500.0,2020-10-20
任务编号：899647,150.0,2020-10-20
任务编号：899601,1800.0,2020-10-20
任务编号：899228,6300.0,2020-10-19
任务编号：899119,4000.0,2020-10-18
任务编号：898930,1000.0,2020-10-16
任务编号：898780,1000.0,2020-10-15
任务编号：898626,3400.0,2020-10-15
任务编号：898337,1000.0,2020-10-14
任务编号：898241,2500.0,2020-10-13
任务编号：897506,200.0,2020-10-10
任务编号：897464,15000.0,2020-10-10
任务编号：897417,1500.0,2020-10-10
任务编号：897403,7000.0,2020-10-10
任务编号：897287,4300.0,2020-10-09
任务编号：896972,300.0,2020-10-08
任务编号：896928,11000.0,2020-10-08
任务编号：896821,1000.0,2020-10-07
任务编号：896789,10380.0,2020-10-07
任务编号：896617,7000.0,2020-10-06
任务编号：896486,7500.0,2020-10-06
任务编号：896367,4000.0,2020-10-04
任务编号：896265,800.0,2020-10-03
任务编号：896090,1000.0,2020-09-30
任务编号：895893,2000.0,2020-09-29
任务编号：895348,12000.0,2020-09-27
任务编号：894053,5000.0,2020-09-21
任务编号：893906,8000.0,2020-09-21
任务编号：893881,2200.0,2020-09-20
任务编号：893643,6000.0,2020-09-18
任务编号：893417,15000.0,2020-09-18
任务编号：893362,2000.0,2020-09-17
任务编号：893229,400.0,2020-09-17
任务编号：893008,12000.0,2020-09-16
任务编号：892910,5000.0,2020-09-16
任务编号：892732,11920.0,2020-09-15
任务编号：892616,3500.0,2020-09-15
任务编号：892339,3000.0,2020-09-14
任务编号：892239,4000.0,2020-09-14
任务编号：892234,9000.0,2020-09-14
任务编号：892051,18000.0,2020-09-13
任务编号：891956,9000.0,2020-09-12
任务编号：891919,600.0,2020-09-11
任务编号：891708,1000.0,2020-09-11
任务编号：891525,6650.0,2020-09-10
任务编号：891247,4500.0,2020-09-09
任务编号：891139,1500.0,2020-09-08
任务编号：891029,1000.0,2020-09-08
任务编号：890379,1000.0,2020-09-05
任务编号：890336,700.0,2020-09-05
任务编号：890107,2500.0,2020-09-04
任务编号：889576,5000.0,2020-09-02
任务编号：889526,16000.0,2020-09-02
任务编号：889348,18000.0,2020-09-01
任务编号：889322,3500.0,2020-09-01
任务编号：888778,14000.0,2020-08-29
任务编号：888728,5000.0,2020-08-28
任务编号：888492,10000.0,2020-08-27
任务编号：888351,2900.0,2020-08-27
任务编号：888037,2000.0,2020-08-26
任务编号：887487,10000.0,2020-08-24
任务编号：887402,1000.0,2020-08-24
任务编号：887092,6000.0,2020-08-21
任务编号：887064,8000.0,2020-08-21
任务编号：886530,500.0,2020-08-19
任务编号：886430,8000.0,2020-08-19
任务编号：886257,8500.0,2020-08-18
任务编号：885793,3000.0,2020-08-17
任务编号：885706,1500.0,2020-08-17
任务编号：885675,6000.0,2020-08-17
任务编号：885398,20000.0,2020-08-14
任务编号：885360,40000.0,2020-08-14
任务编号：885294,400.0,2020-08-14
任务编号：884778,9000.0,2020-08-12
任务编号：884750,1000.0,2020-08-12
任务编号：884276,1000.0,2020-08-11
任务编号：884206,1000.0,2020-08-10
任务编号：883742,1000.0,2020-08-08
任务编号：883587,18888.0,2020-08-07
任务编号：882681,10000.0,2020-08-04
任务编号：882647,1500.0,2020-08-04
任务编号：882323,7200.0,2020-08-03
任务编号：882302,2000.0,2020-08-03
任务编号：882199,1000.0,2020-08-02
任务编号：882060,50000.0,2020-08-01
任务编号：882037,500.0,2020-08-01
任务编号：882028,1000.0,2020-08-01
任务编号：881945,500.0,2020-07-31
任务编号：881602,14000.0,2020-07-30
任务编号：881112,2000.0,2020-07-28
任务编号：880335,7000.0,2020-07-24
任务编号：880281,500.0,2020-07-24
任务编号：880199,12000.0,2020-07-24
任务编号：880207,20000.0,2020-07-24
任务编号：879907,3000.0,2020-07-23
任务编号：880113,10000.0,2020-07-23
任务编号：880027,10000.0,2020-07-23
任务编号：879863,3000.0,2020-07-22
任务编号：879195,4600.0,2020-07-20
任务编号：878961,4000.0,2020-07-20
任务编号：877312,13200.0,2020-07-13
任务编号：876827,3000.0,2020-07-10
任务编号：876406,8000.0,2020-07-08
任务编号：876249,3780.0,2020-07-08
任务编号：876130,1010.0,2020-07-07
任务编号：875979,150.0,2020-07-07
任务编号：875797,7500.0,2020-07-06
任务编号：875728,10000.0,2020-07-06
任务编号：875727,4000.0,2020-07-06
任务编号：875665,4000.0,2020-07-06
任务编号：875093,10000.0,2020-07-03
任务编号：875069,500.0,2020-07-02
任务编号：874888,1000.0,2020-07-02
任务编号：874762,3000.0,2020-07-01
任务编号：874679,2500.0,2020-07-01
任务编号：874604,1000.0,2020-07-01
任务编号：874565,9000.0,2020-07-01
任务编号：873679,600.0,2020-06-28
任务编号：873383,1000.0,2020-06-26
任务编号：873239,100.0,2020-06-26
任务编号：871670,3000.0,2020-06-19
任务编号：871250,7400.0,2020-06-17
任务编号：871163,1500.0,2020-06-17
任务编号：870473,2700.0,2020-06-15
任务编号：870438,10000.0,2020-06-15
任务编号：870271,800.0,2020-06-13
任务编号：870259,120000.0,2020-06-13
任务编号：870188,350.0,2020-06-13
任务编号：869819,25500.0,2020-06-11
任务编号：869750,5000.0,2020-06-11
任务编号：869134,3000.0,2020-06-09
任务编号：868431,500.0,2020-06-08
任务编号：868047,6000.0,2020-06-05
任务编号：867765,2800.0,2020-06-04
任务编号：867699,10000.0,2020-06-04
任务编号：867623,2600.0,2020-06-04
任务编号：867064,13000.0,2020-06-02
任务编号：866786,3500.0,2020-06-02
任务编号：866411,2000.0,2020-06-01
任务编号：866159,12800.0,2020-05-30
任务编号：865922,900.0,2020-05-29
任务编号：865877,1000.0,2020-05-29
任务编号：865781,1980.0,2020-05-29
任务编号：865599,5000.0,2020-05-28
任务编号：865386,4000.0,2020-05-28
任务编号：865011,7000.0,2020-05-27
任务编号：864894,5500.0,2020-05-26
任务编号：864702,15000.0,2020-05-26
任务编号：864693,3750.0,2020-05-26
任务编号：864472,1000.0,2020-05-25
任务编号：864402,2500.0,2020-05-25
任务编号：864377,3000.0,2020-05-25
任务编号：863864,2000.0,2020-05-23
任务编号：863419,2000.0,2020-05-21
任务编号：863406,1680.0,2020-05-21
任务编号：863059,5000.0,2020-05-20
任务编号：862750,1000.0,2020-05-19
任务编号：862299,6000.0,2020-05-18
任务编号：862037,20000.0,2020-05-17
任务编号：861956,20000.0,2020-05-17
任务编号：861798,4290.0,2020-05-16
任务编号：861305,300.0,2020-05-14
任务编号：861098,8000.0,2020-05-14
任务编号：860766,2500.0,2020-05-13
任务编号：860480,4000.0,2020-05-12
任务编号：860452,5000.0,2020-05-12
任务编号：860107,2800.0,2020-05-11
任务编号：859780,19000.0,2020-05-10
任务编号：859760,12000.0,2020-05-09
任务编号：859533,3000.0,2020-05-09
任务编号：859405,27500.0,2020-05-08
任务编号：859071,3000.0,2020-05-07
任务编号：858967,500.0,2020-05-07
任务编号：858802,1000.0,2020-05-07
任务编号：858770,4500.0,2020-05-06
任务编号：858412,5000.0,2020-05-05
任务编号：857652,1500.0,2020-05-01
任务编号：857643,1000.0,2020-05-01
任务编号：857460,900.0,2020-04-30
任务编号：856929,4000.0,2020-04-28
任务编号：856246,3000.0,2020-04-26
任务编号：855040,3000.0,2020-04-22
任务编号：854814,2500.0,2020-04-21
任务编号：854614,4000.0,2020-04-21
任务编号：854542,3000.0,2020-04-20
任务编号：854467,5000.0,2020-04-20
任务编号：854181,5000.0,2020-04-19
任务编号：854228,10000.0,2020-04-20
任务编号：853870,5000.0,2020-04-17
任务编号：853910,1500.0,2020-04-18
任务编号：853356,20000.0,2020-04-16
任务编号：852925,2500.0,2020-04-15
任务编号：853083,6000.0,2020-04-15
任务编号：852727,5000.0,2020-04-14
任务编号：852555,1000.0,2020-04-14
任务编号：852423,500.0,2020-04-13
任务编号：852409,1400.0,2020-04-13
任务编号：852174,2000.0,2020-04-12
任务编号：851873,346.0,2020-04-10
任务编号：851646,12500.0,2020-04-10
任务编号：851508,13200.0,2020-04-09
任务编号：851264,1000.0,2020-04-09
任务编号：850868,18000.0,2020-04-07
任务编号：850829,2000.0,2020-04-07
任务编号：850360,5000.0,2020-04-06
任务编号：850146,30000.0,2020-04-04
任务编号：849704,5500.0,2020-04-02
任务编号：849688,800.0,2020-04-02
任务编号：849285,42000.0,2020-04-01
任务编号：848939,12000.0,2020-03-31
任务编号：848911,16000.0,2020-03-31
任务编号：848629,6000.0,2020-03-30
任务编号：848338,500.0,2020-03-29
任务编号：848250,3000.0,2020-03-29
任务编号：848276,5000.0,2020-03-29
任务编号：847863,15384.0,2020-03-27
任务编号：847853,1200.0,2020-03-27
任务编号：847706,1000.0,2020-03-26
任务编号：847693,15000.0,2020-03-26
任务编号：847635,1000.0,2020-03-26
任务编号：847437,10000.0,2020-03-26
任务编号：847452,600.0,2020-03-26
任务编号：847402,300.0,2020-03-25
任务编号：847202,900.0,2020-03-25
任务编号：847064,600.0,2020-03-24
任务编号：847119,1000.0,2020-03-25
任务编号：847015,13000.0,2020-03-24
任务编号：846965,3000.0,2020-03-24
任务编号：846668,12000.0,2020-03-23
任务编号：846625,5000.0,2020-03-23
任务编号：845764,1500.0,2020-03-20
任务编号：845719,18888.0,2020-03-20
任务编号：845723,38000.0,2020-03-20
任务编号：845604,500.0,2020-03-19
任务编号：845231,1500.0,2020-03-18
任务编号：844111,11000.0,2020-03-15
任务编号：844015,100.0,2020-03-15
任务编号：843654,3000.0,2020-03-13
任务编号：843559,12700.0,2020-03-13
任务编号：843538,1000.0,2020-03-12
任务编号：843278,600.0,2020-03-12
任务编号：843228,2700.0,2020-03-12
任务编号：842729,900.0,2020-03-10
任务编号：842632,4000.0,2020-03-10
任务编号：842539,100.0,2020-03-10
任务编号：842511,3800.0,2020-03-10
任务编号：842207,432.0,2020-03-09
任务编号：841419,500.0,2020-03-06
任务编号：841337,1200.0,2020-03-05
任务编号：841302,4000.0,2020-03-05
任务编号：841281,9400.0,2020-03-05
任务编号：833480,4000.0,2020-03-05
任务编号：841129,1000.0,2020-03-05
任务编号：840146,800.0,2020-03-01
任务编号：839942,2500.0,2020-02-29
任务编号：839899,4000.0,2020-02-29
任务编号：839888,2500.0,2020-02-29
任务编号：839828,7500.0,2020-02-29
